wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-150.0,-109.524,-71.4285,-153.061166667,-135.714166667,-119.0475,-130.952333333,-128.571166667,-69.0475
179.16,1.11116666665,-13.3331666667,-26.6665,-9.0474761905,-24.4445,-2.22208333335,-22.2223333334,-12.222,-47.7776666666
179.54,0.0,-47.2225,41.6666666669,-9.92064285715,-61.1111666669,13.8886666667,-61.1113333333,-8.333,-63.8891666666
179.93,38.8888333334,71.1110000001,47.7776666667,63.1745952381,51.111,49.4445,11.1113333334,54.4441666666,32.2221666666
180.31,4.67283333335,13.7071666667,10.2805,21.2725952381,13.863,10.9813333334,-16.9781666667,3.1155,17.2898333334
180.69,-1.25016666665,9.3055,10.0,17.222047619,11.8053333333,6.45858333335,-19.5833333333,0.555666666665,15.2776666666
181.07,9.50433333333,17.7686666667,18.8705,27.1153571429,24.3801666667,15.9088333333,-10.193,10.0548333334,21.4876666667
181.45,8.25833333335,18.7688333333,23.1231666666,27.391952381,27.0271666667,15.4656666667,-12.1621666667,13.814,27.4776666667
181.83,-0.647166666665,16.3431666667,22.0066666667,23.0468333334,24.5955,7.92875,-21.8446666666,11.9741666666,31.3916666666
182.21,-13.6965,1.48533333334,15.5113333334,14.2387619047,14.3565,-6.76583333335,-29.3728333334,0.660166666665,25.5775
182.59,-33.5365,-13.0081666667,12.1951666666,0.98742857143,1.4228333333,-18.0890833333,-53.8618333333,-14.4308333333,19.1056666667
182.97,-36.9733333333,-14.1761666667,12.4521666667,-6.65026190477,4.406,-21.16875,-54.2146666667,-19.54,13.4098333334
183.35,-34.8485,-4.73466666669,20.4545,-7.95454761905,8.71216666665,-19.6023333333,-49.9998333333,-17.9925,17.803
183.73,-39.8148333334,-10.0001666667,14.2593333333,-12.8571904762,7.40733333335,-23.4259166667,-51.4816666667,-15.9258333333,12.5928333334
184.11,-43.3995,-17.9868333333,6.1055,-18.6940238095,4.29066666668,-34.7358333334,-46.0396666666,-11.2213333333,4.62083333335
