wavelength,Back_DigSitm,Belly_DigSitm,Breast_DigSitm,Crissum_DigSitm,Crown_DigSitm,DorTail_DigSitm,Rump_DigSitm,Throat_DigSitm,WingTip_DigSitm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-103.571375,-105.952333333,-100.000083333,-86.1905166667,-133.333333333,-125.595291667,-76.1904166667,-148.809666667,-115.476
179.16,-4.16666666667,-9.44433333334,24.4445,-8.55557499998,1.66658333333,18.611,18.3333333333,-4.16666666665,40.5555
179.54,9.02775000001,27.7778333333,1.38883333335,10.55555,9.72216666667,26.3888333334,34.7221666667,-47.9166666667,24.9999166666
179.93,57.5000416667,51.1110833333,52.22225,51.77775,49.9999166667,79.4444166666,70.0,13.3331666667,38.3331666667
180.31,18.3799583333,26.7911666667,22.8974166667,26.004675,14.0965833333,40.3817083333,25.3116666667,-7.94391666665,23.053
180.69,13.4721666667,20.4166666667,20.7638333333,23.159675,9.51391666665,36.8055416667,18.8195833333,-7.847,15.1389166667
181.07,22.0041666667,31.81825,26.8595,32.1419583333,19.7658333333,52.996,24.518,5.71616666668,23.4848333334
181.45,24.5120416667,36.1111666666,25.8259166667,35.292775,18.2431666667,57.545125,23.1981666667,3.97920833332,19.6695833333
181.83,19.8220833333,31.4726666667,20.3883333333,32.3381833333,13.5921666667,56.5132083333,18.1229166667,4.97579166668,14.9675833333
182.21,8.00341666667,26.48525,12.0460833333,25.0825333333,2.97016666668,47.4009166667,9.48841666666,0.701458333325,11.9636666667
182.59,-6.60558333333,18.4959166667,1.82925,18.79055,-13.4146666666,45.1219166667,1.21958333335,-9.6545,2.33758333334
182.97,-8.95575000003,15.9003333333,1.81975,19.12845,-14.17625,41.6186666667,-2.68199999998,-6.369875,2.49041666667
183.35,-4.68758333332,19.6969166667,7.57575000001,24.801225,-13.6364166667,46.7804583333,-0.662916666675,2.93554166665,4.54541666667
183.73,-1.38908333332,15.8334166667,4.44458333334,25.907375,-13.0555,42.6852083334,-5.9259166667,1.66666666667,8.05558333333
184.11,-6.31199999999,3.71291666667,-4.78549999999,19.0511166666,-15.6765833333,28.0525833333,-10.7260833334,2.269,4.9505
184.49,-5.275125,7.79816666667,-3.66974999999,16.4985666667,-12.5381666667,25.2676666667,-7.87466666667,6.57495833333,7.33941666668
184.87,-1.40212500002,17.3075833333,-2.96483333333,20.8573,-11.0576666667,29.4470833333,-0.40075,10.77725,16.4264166667
185.25,-12.25,7.75,-8.74999999999,10.9666666667,-23.75,12.8333333333,-11.25,0.29166666665,8.33333333332
185.63,-29.11925,-8.33333333333,-22.3485833333,-2.16860833332,-39.4885833333,-1.609625,-28.8825,-13.967875,-4.73483333332
186.01,-27.8769166667,-4.26583333332,-14.28575,1.76591666665,-38.09525,1.09116666668,-26.2895,-14.236,0.2975
186.39,-28.977125,-9.97474999997,-19.5705833333,1.72984999998,-45.4545833333,-5.55566666665,-35.8584166667,-8.270125,5.42924999993
186.77,-29.0384583333,-8.84616666668,-27.05125,-1.01296666667,-41.66675,-12.43575,-36.6665833333,-7.24354166667,6.53841666675
187.15,-48.1770416668,-20.4860833333,-49.82625,-12.8819333334,-63.1944166666,-31.2499166667,-57.2916666667,-18.3158750001,-5.55533333325
187.53,-94.8925416666,-48.6559166668,-84.4086666667,-47.1506249999,-111.559,-82.9300000001,-101.344,-48.7905416667,-27.6881666667
187.91,-242.777833333,-123.333333333,-178.333416667,-138.889016667,-232.777833334,-195.277875,-185.555583334,-93.3334166667,-67.2224166667
188.29,305.46875,180.208333333,232.8125,238.229166667,292.708333334,268.229166667,232.8125,168.75,132.8125
188.67,182.258166666,127.4195,146.236583333,157.392608333,187.634333333,177.553666666,151.075333333,112.3655,104.301166667
189.05,160.416666667,119.375,140.0,143.3125,164.375,159.791666666,141.041666667,106.875,99.1666666668
189.43,127.243625,104.968,117.788416667,115.88145,124.519333333,129.487208333,108.974333333,89.182625,67.4680833333
189.81,145.934916667,112.6015,134.756083333,128.882208333,138.414666667,144.7155,118.292666666,79.471625,68.4961666666
190.19,138.083333333,112.166666667,139.333333333,127.4,134.833333333,142.083333333,125.5,87.2500000001,82.5000000001
190.57,164.393958333,131.25,159.659,149.090875,164.393833333,164.867291667,153.030333333,118.466,114.772583333
190.95,136.166666667,113.833333333,134.833333334,124.95,143.5,135.75,133.833333333,93.5833333333,101.5
191.33,138.010291667,119.557833333,134.013583333,134.064616667,150.000166667,138.095208333,137.244916666,87.4999583334,100.170083333
191.71,135.227291667,122.12125,140.302833333,137.863616667,148.484833333,138.560625,135.151416667,83.9392083334,102.121333333
192.09,149.064666667,142.346833333,163.095333334,161.394391667,179.081666667,159.863791667,162.244833333,109.778916667,121.258416667
192.47,196.09375,180.46875,214.583333333,212.005208333,244.010416667,210.026041667,209.375,138.932291667,155.729166667
192.85,170.39475,157.456166666,174.999916667,181.951625,196.27175,174.342,170.175416667,120.943,121.929833333
193.23,139.825541667,136.240166667,147.286666666,152.732491667,160.465166667,150.484541667,136.434083334,103.779166667,92.2478333334
193.61,105.555666667,103.333333333,97.4073333332,114.870391667,136.296333333,118.888708333,101.296333333,78.6110416667,79.4444166666
193.99,93.1546249999,94.0475,83.7303333334,104.087225,131.746083333,113.690375,92.6588333333,72.8174166667,61.1113333334
194.37,101.464041667,106.981916667,92.7929166666,116.261183333,147.522583333,124.437083333,104.27925,74.7747083333,65.0902500001
194.75,83.1666666668,91.3333333334,78.6666666667,98.7333333334,107.833333333,102.333333333,75.9999999999,62.1666666668,49.3333333333
195.13,79.340375,92.3610833334,72.6853333334,92.4190583334,93.6341666666,100.405,75.9259166666,72.5115,51.1574166667
195.51,81.7769999999,95.5825,74.0962500001,87.3192249999,87.7509166666,103.915791667,76.0039166666,79.9195833333,51.9074999999
195.89,84.5619583334,104.487,71.3676666667,90.0319666666,91.2393333334,105.822541667,81.08975,89.2628333334,53.5256666667
196.27,72.0744166666,92.0213333333,65.6915,81.4981833333,79.078,90.514125,71.8970000001,77.570875,52.1276666668
196.65,65.3333333333,84.1666666667,61.5,74.8500000001,72.4166666666,85.2916666667,68.6666666667,73.6249999999,51.6666666668
197.03,56.4066666667,77.5090833333,58.9606666667,67.5895916667,67.8315,84.4981666667,65.6811666667,70.8331250001,48.4766666666
197.40,56.2900416667,76.2819999999,54.1668333333,69.1828749999,64.9039166666,84.5352916667,68.3493333333,67.0273333332,50.4806666667
197.78,69.5035833333,92.2871666667,74.7341666667,89.5034499999,75.8864999999,101.019666667,84.4859166666,80.0090416666,64.09575
198.16,59.544125,80.3417499999,65.812,76.6380333334,62.0370833333,88.248125,68.9458333334,70.2991249999,58.1198333333
198.54,52.6602916667,72.1795833333,55.3845,67.884475,53.141,79.3589583333,57.1155,65.0000416667,47.94875
198.92,50.06225,67.8481666667,53.04725,64.2848583333,49.005,75.5285416667,57.83575,61.62925,45.64675
199.30,53.851625,70.098,59.8738333333,70.88925,52.311,79.831875,63.5154166666,62.2899999999,51.4706666667
199.68,53.571375,67.2969166666,60.9945833333,72.5839166667,53.7814166667,79.2016666666,63.8655833334,61.3095,55.182
200.06,53.2736666667,65.344,66.6004166667,70.56865,50.7935833333,82.1759583333,61.9708333334,62.004,56.8781666667
200.44,53.0054583333,63.5929166666,61.88525,65.5805583333,43.2376666667,84.8019583333,58.5380833334,59.0505416668,50.683
200.82,50.582,63.2351666667,55.9434166667,61.7830583333,39.706,75.8578333333,54.9630833333,57.5365833333,45.5269166667
201.19,49.388,62.1795833333,53.4965833333,59.300875,36.8298333333,71.882375,50.816,56.4682916666,42.8905
201.57,45.1947083333,59.4283333334,52.18975,54.2762,31.0219166667,66.575375,45.5595,54.2580416666,40.511
201.95,41.6075833334,56.3829166667,47.04475,49.4799416667,29.3736666667,63.682,43.558,51.034125,37.766
202.33,41.9190833334,57.5126666666,48.2323333333,50.9973833334,26.6414166667,65.2462083333,44.1288333333,50.4102916667,37.37375
202.71,48.07425,65.54625,54.8320833333,57.3531583334,29.2016666667,73.074125,50.8405,54.8317916668,46.0085833333
203.09,51.6589166667,75.2315833333,57.639,63.881125,31.7901666667,78.5492916667,54.1666666668,61.3039166668,51.6205
203.47,45.878625,74.9094166667,48.46025,60.7428833333,20.8335,73.1885833333,47.0109166666,61.7755000001,45.9240833333
203.85,43.3332916666,75.3922499999,38.5295,56.2549,16.4705,65.9311666667,45.49025,60.5392499999,44.902
204.22,36.111125,67.5926666667,22.1295,43.22215,11.4815833333,49.0739166667,38.3333333333,48.2407499999,35.1853333333
204.60,34.693875,63.52025,20.4081666667,41.181975,15.136,42.6021666666,35.9694166667,47.40625,37.925
204.98,45.3463333334,77.4892500001,28.8961666667,53.0952166667,21.3203333333,57.413375,43.18175,57.3592916667,48.8093333333
205.36,53.2127083333,86.4457499999,36.2449166666,61.9978083333,30.5220833333,63.2528333333,52.5101666667,63.3032916667,57.6305
205.74,58.4414583333,99.3505,36.6883333333,73.3982333333,36.7964166667,77.1643333333,63.6363333333,69.6969166667,69.6969166667
206.12,66.1645833333,104.417583333,42.46975,76.9578583333,42.5701666667,87.1487916666,66.5662499998,75.7027916667,73.59425
206.50,71.91,107.490583333,50.2806666666,82.27525,55.2435000001,93.3989583332,72.7528333333,82.1162083334,82.0225
206.87,65.4069583333,104.845166666,41.6665833333,75.649225,48.8373333333,87.5,62.1124999999,78.1490833333,77.4226666667
207.25,65.8245833334,97.7835833332,40.7801666667,68.138425,49.2906666666,83.8209583333,57.2695,76.5957916666,77.3934166667
207.63,58.75,87.4999166666,41.04175,62.1041,47.986,79.1320416666,53.8194166667,70.0695416667,69.72225
208.01,55.4540416667,87.2629166667,43.3605,62.6624833333,44.1734166667,79.8440416667,49.25475,68.4959583333,65.5825833334
208.39,56.177,89.8394166667,48.7571666667,65.4678833333,43.7865833333,85.636125,47.807,74.9999166666,66.6669166667
208.77,61.6208333333,96.4066666667,62.2325,75.4892916667,50.0765,93.8839583333,54.2813333332,81.574875,72.8594166668
209.14,55.0485,85.7662500001,57.1775833333,68.0474666666,47.5669166667,83.4854166667,50.6083333333,73.6008333334,68.6738333334
209.52,58.0079166666,89.2578333333,58.9843333334,70.8919083334,49.54425,88.3462916667,52.1484166667,76.43225,76.1065833333
209.90,59.7015833333,85.8209166666,61.3184166667,68.227575,50.4353333334,86.007375,51.18175,77.0522916667,75.5596666666
210.28,55.1412083333,81.7204999999,62.3654166667,63.985175,42.742,78.0240833333,44.15325,73.0847916667,73.7901666667
210.66,50.8609166667,76.9973333333,54.75225,57.3828083333,34.6418333334,68.49175,38.843,70.5579166666,70.1789999999
211.03,50.132375,75.06625,57.8041666667,58.9748666667,35.7804166667,65.5089583333,41.2036666667,71.0646666667,70.4365
211.41,51.378125,75.8333333333,66.6668333333,64.5961083333,41.9871666667,67.980875,47.24375,77.8205416668,74.5511666667
211.79,57.8857083333,78.7879166667,74.2424166667,67.19005,47.5894166667,74.6212916667,47.7961666667,85.984875,81.8869999999
212.17,62.0734583333,79.1338333333,78.01825,68.1299916667,50.5249166667,76.9685416667,50.65625,88.812375,85.4330833333
212.55,68.7815416666,85.9214999999,84.2804166666,75.68175,57.197,82.1337916667,57.0076666667,94.4760833333,90.7195833333
212.92,69.086,90.0538333334,83.7365,75.329375,59.13975,84.274125,59.3413333334,99.6637916666,97.5805833333
213.30,75.5555,102.460416667,94.6824166666,81.1825416667,64.6825,93.4128333333,65.5557499999,111.984125,109.126916667
213.68,71.1477083333,101.415,94.1038333332,78.6634166667,65.7231666667,94.2215416666,64.0723333334,113.207291667,105.424333333
214.06,62.2054583333,100.757583333,93.0976666666,72.1211416667,59.596,86.995,55.21875,110.437625,98.65325
214.44,57.5307083334,94.4953333333,83.4098333333,68.0733166667,59.40375,85.6267916667,55.2753333333,106.727791667,93.1195
214.81,64.2064166667,102.619,93.65075,79.6667250001,68.492,95.6745833333,64.5238333333,118.055583333,100.317416667
