wavelength,Back_DolFrif,Belly_DolFrif,Breast_DolFrif,Crissum_DolFrif,Crown_DolFrif,DorTail_DolFrif,Patch10_DolFrif,Rump_DolFrif,Throat_DolFrif,WingTip_DolFrif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,269.444444445,29.1666666665,325.0,333.333333333,341.666666667,402.777777778,288.888888889,306.481481481,231.944444444,332.638888889
179.54,72.6495555556,48.7181666667,79.4872222221,84.6153333333,85.47,97.436,87.1793333333,77.7778888889,94.4443888888,77.1367499999
179.93,42.2222222222,-58.3333333333,5.55555555556,44.4444444445,-7.77777777777,33.3333333333,48.8888888889,17.037037037,46.6666666667,32.5
180.31,309.523777778,-4.7621666665,315.873111111,384.920888889,376.984111111,536.507888889,418.254111111,321.164,263.492333333,453.373027778
180.69,393.518444445,16.6665,409.259333333,537.037,481.481555556,695.370333333,521.296333333,425.30862963,353.703888889,571.990722222
181.07,187.407333333,33.3331666665,190.370444444,249.259222222,203.703777778,314.814888889,230.740888889,189.753148148,159.259111111,255.092638889
181.45,155.555444445,43.1623333335,142.45,193.732222222,158.404555555,245.869,180.911444444,150.712074074,121.082833333,191.524138889
181.83,183.501666667,53.0303333335,161.279444444,220.202,174.410777778,279.797888889,204.040444445,181.369407407,134.175166667,223.905777778
182.21,286.956555555,142.029166667,242.512111111,337.681,281.642444444,415.942,306.763111111,283.735925926,197.826166667,344.685833333
182.59,285.042777778,135.256333334,228.205111111,331.196666667,286.752111111,403.846111111,302.564111111,271.65237037,199.999944444,334.722083333
182.97,455.555555555,210.416666666,358.333333333,545.833333333,445.138888889,656.944444443,480.555555556,418.055555555,290.625,506.944444445
183.35,321.333333334,140.666666667,275.555555556,396.0,311.111111111,439.111111111,325.777777778,316.444444444,216.0,356.444444444
183.73,376.608111111,135.965,325.146222222,484.210444445,361.403333333,496.491222222,383.040888889,393.762222222,233.040777778,443.128527778
184.11,262.393111111,77.5641666665,224.786333333,315.384555555,232.478555556,323.931666667,249.572555555,264.67237037,135.683944445,277.243611111
184.49,178.347444444,58.547,165.242222222,216.524444444,165.527111111,231.338888889,188.603888889,187.749222222,94.3020555556,179.059722222
184.87,141.919222222,40.9088333334,130.808111111,155.050666666,131.818,178.788,158.838333334,159.343407407,65.5301111111,143.750111111
185.25,217.989555556,41.2698333335,205.82,231.217,212.698555556,310.581888889,249.735666667,265.079296296,70.1057777778,237.16925
185.63,217.948555556,-39.7433333335,234.188111111,251.282222222,229.914444444,334.188222222,284.615333333,309.686666667,52.9915,297.863305556
186.01,-153.968222222,276.190666667,-177.777888889,-307.936333333,-258.730222222,-388.888777779,-350.793777778,-347.619037037,207.936388889,-351.984194444
186.39,-66.6666666657,1391.66666667,-505.555555553,-788.88888889,-733.333333332,-888.88888889,-950.0,-916.666666667,1438.88888889,-977.777777779
186.77,67.3611111112,210.416666666,-15.2777777779,-30.5555555558,2.08333333333,-9.47390314347e-15,-12.5,-48.8425925927,273.263888889,-45.6597222221
