wavelength,Back_DonAlbf,Belly_DonAlbf,Breast_DonAlbf,Crissum_DonAlbf,Crown_DonAlbf,DorTail_DonAlbf,Patch10_DonAlbf,Patch11_DonAlbf,Patch12_DonAlbf,Rump_DonAlbf,Throat_DonAlbf,WingTip_DonAlbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,155.0,165.0,120.0,52.5919732441,45.0,104.166666667,46.6666666668,149.057971015,45.0,95.8333333333,133.333333333,83.3333333333
179.16,99.2424166667,121.590916667,95.4544166667,66.4537650502,99.2423333334,45.4545416667,93.1819166666,124.011891304,95.4545833334,114.015166667,95.4545,106.818
179.54,112.5,177.083333333,131.25,27.4630713489,16.6666666667,-38.5416666667,37.4999999999,139.039855073,72.9166666667,67.7083333334,70.8333333332,120.833333333
179.93,54.5455000001,89.772875,52.2726666667,14.7728340301,-27.27275,11.7423333333,15.90925,47.7271847826,25.7575833333,34.469625,28.7879166667,56.06075
180.31,70.5491666667,78.03025,67.6136666667,21.7921702899,24.9054166667,22.301125,21.4963333334,74.740594203,37.4053333333,47.2538333333,45.1705,61.8371666666
180.69,66.1173333334,70.83325,58.608,11.4740699554,15.56775,16.8499583333,15.293,69.7562355072,27.1979166667,38.8735833333,41.4836666667,53.6630833333
181.07,56.1355,60.2107083333,47.8021666667,7.0934389632,7.96691666667,10.0272916667,9.61533333335,61.3513297101,18.6814166667,33.3790416667,35.1649166667,47.619
181.45,45.5284166667,48.9836666667,34.1463333333,-8.65492851171,-12.2968333333,-3.25208333335,-10.36575,47.834942029,-0.507916666668,18.3944166667,20.5285,28.76025
181.83,55.5208333333,59.21875,44.4791666667,-0.52222686735,-3.22916666667,11.0416666667,-1.45833333333,56.6304347826,4.79166666667,28.1770833334,30.625,39.7916666667
182.21,58.7036666667,56.0185833333,51.20375,8.0065673077,9.16658333332,18.4259166667,9.35191666667,59.0981666667,12.4073333333,33.8888750001,35.8333333333,42.3149166667
182.59,56.4166666667,55.375,48.25,16.5082218506,18.4166666666,28.9166666667,14.5833333333,61.6304347826,17.8333333333,36.0416666667,42.0833333333,46.0833333333
182.97,53.53525,55.5977083333,48.653,21.3716775362,21.54875,34.3435,14.8148333333,60.295115942,20.2861666667,38.3839583332,42.5925,40.404
183.35,48.8944166667,51.6582083333,36.81975,18.8562098662,12.4150833333,28.2312083333,11.2245833333,54.6362065217,13.6053333333,32.6529583333,36.2244166667,28.3163333333
183.73,45.08775,55.175375,29.649,18.7659360368,7.89466666668,27.1492916667,13.24575,50.3700036232,10.263,31.14025,31.5788333333,22.8948333333
184.11,44.1011666667,51.4512916667,23.9700833333,20.712251951,3.83883333333,29.4475,11.5169166667,48.5385507246,8.42708333333,30.1497916667,31.648,22.5656666667
184.49,44.3841666667,52.4001666667,25.6340833333,26.033296544,10.0543333334,29.1213333334,13.4964166667,46.5187101449,8.96733333332,37.3640416666,32.7898333333,28.7138333333
184.87,43.4920833333,51.5476666667,28.6506666667,33.3071294593,19.4445,32.6586666667,18.0951666667,44.6377826087,18.41275,41.4682499999,38.65075,33.1746666666
185.25,41.2,49.2333333333,30.2666666667,32.837458194,24.4666666667,33.6333333333,23.2,42.6405797101,21.2,39.0666666667,37.8,35.4666666666
185.63,40.3846666666,47.5524166667,31.0606666667,35.1599519231,26.22375,36.68425,26.7481666667,42.1304166666,24.00925,38.8110833333,36.0721666667,40.7925
186.01,28.6731666667,32.6207083333,16.0089166666,26.8527203177,15.7346666667,25.1095833333,16.9955833333,30.0248949275,14.3091666667,27.2204583333,22.1491666667,28.2346666667
186.39,20.4861666667,23.177,1.96766666666,21.1916814381,8.27533333335,17.1586666666,8.91208333332,22.219634058,4.97683333334,19.0104166667,14.5254166666,19.73375
186.77,9.59383333332,10.5740833333,-14.8459166667,11.5146213768,-8.12316666667,2.20591666665,-2.94125,9.3229057971,-11.5546666667,7.59808333333,-0.420166666665,9.59391666667
187.15,13.31975,9.11875,-18.3743333333,12.0367107023,-9.56275000001,0.648916666675,-1.98083333332,8.78772826086,-12.36325,5.32779166666,-0.546499999992,7.71866666667
187.53,16.6665833333,8.43820833333,-15.0559166667,12.216974359,-4.90200000003,4.69191666665,-0.21008333335,9.45066666667,-10.9944166667,5.49729166666,0.28016666665,12.0448333333
187.91,22.6811666667,11.0867083333,-6.73908333333,19.8191580268,2.60875,14.7826666667,5.43491666665,16.0963586956,-5.29,11.883875,8.11591666668,17.4638333333
188.29,18.2889166667,7.33775,-9.66066666667,14.1499895485,-2.21233333333,10.9145833334,1.25375,13.5500615942,-11.9468333333,11.3569166667,3.53983333333,14.8969166667
188.67,2.65966666668,-4.742875,-29.7870833333,-2.74230546265,-23.8475,-3.32458333333,-15.2481666667,-0.64360869565,-35.01775,-8.06729166665,-13.12075,-3.45741666667
189.05,-8.03566666667,-16.2698333333,-42.3610833333,-12.8673804348,-39.5833333333,-14.236125,-27.08325,-7.36714130435,-51.8849166667,-22.8174166667,-32.6388333333,-12.9960833333
189.43,-6.30341666667,-20.993625,-45.19225,-17.4915274526,-43.9103333333,-20.726375,-29.9145,-9.9079637681,-53.6325,-23.5042916666,-39.7435833333,-15.38475
189.81,-7.72041666666,-31.80125,-56.8628333333,-27.9700156076,-52.2059166667,-27.3284583333,-37.5000833333,-16.3150724637,-63.3576666667,-27.696,-43.75,-23.7746666666
190.19,0.86208333335,-13.9366666667,-32.0881666667,-15.118287068,-38.6973333333,-14.5117083334,-20.6896666667,-4.56863043478,-44.06125,-12.1170416667,-24.9043333333,-10.5364166667
190.57,9.46966666666,-5.82391666666,-21.9696666667,-7.02096488293,-28.409,-6.344625,-11.7423333333,1.83216304347,-34.3751666667,-5.35033333335,-17.8029166667,-4.64008333333
190.95,20.0646666667,3.84308333333,-3.23616666667,4.20108598104,-6.31041666668,2.99375,3.47883333332,10.9294855072,-16.2621666667,5.825125,-3.72166666668,6.55366666668
191.33,19.5195833333,4.31670833332,3.30333333333,7.3866031215,-0.225083333325,10.39775,5.48058333332,12.5440144928,-12.8379166667,7.99554166667,2.027,13.5885
191.71,9.00291666667,-0.260625,-4.46433333333,3.42000975475,-5.72933333333,4.39,0.371999999993,8.48867028987,-17.70825,4.83633333332,-3.9435,8.63091666667
