wavelength,Back_DubTaef,Belly_DubTaef,Breast_DubTaef,Crissum_DubTaef,Crown_DubTaef,DorTail_DubTaef,Patch10_DubTaef,Patch11_DubTaef,Rump_DubTaef,Throat_DubTaef,WingTip_DubTaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,115.0,153.333333333,43.3333333333,110.0,21.6666666667,91.6666666667,-10.0,60.0000000001,58.3333333334,59.1666666666,91.6666666667
179.16,43.3333333334,153.333333333,-63.3333333332,46.6666666667,-36.6666666664,99.9999999999,-96.6666666667,-36.6666666667,93.3333333333,15.0000000001,-23.3333333334
179.54,336.666666667,345.0,260.0,335.0,228.333333334,278.333333333,213.333333333,266.666666667,273.333333333,280.0,213.333333333
179.93,81.25,86.0416666667,71.25,79.5833333333,70.4166666667,75.0000000001,70.8333333333,71.6666666667,75.4166666666,82.0833333333,69.1666666667
180.31,358.095333333,375.714266667,47.619,470.476266667,-10.4761333335,209.5238,-39.0476666668,164.761866667,290.476333333,288.571533333,9.52379999988
180.69,407.5,406.25,113.333333333,510.833333333,45.8333333334,285.0,34.1666666667,245.833333333,378.333333333,365.0,87.5000000001
181.07,399.047666667,375.238166666,104.762066666,555.238133333,55.2380666668,341.904666667,74.2857333332,246.6666,416.190466667,394.7618,23.8093999999
181.45,232.222266667,185.2778,68.3331999999,331.6666,41.6667333333,203.888866667,88.3333333334,160.555466667,253.888866667,254.444366667,11.1111333335
181.83,-1366.66666667,-663.333333335,540.000000001,-2733.33333333,633.333333335,-1380.0,-33.3333333334,-733.333333333,-1966.66666667,-1836.66666667,800.0
182.21,24.3478666667,45.2899333333,62.0289999999,-0.7246,64.6376666667,26.5216666668,46.8116,33.9129333333,1.73913333332,15.0,71.8841999999
182.59,23.4920666667,38.3069,43.9154,2.32793333332,47.0900666667,24.0212666667,32.0635333333,23.4922666667,1.79906666665,19.5768333333,53.1218
182.97,28.8584,40.1369,41.0958666667,5.11399999999,44.3834666667,25.1141333333,30.137,20.0912666667,2.28320000001,21.6438333333,49.6804
183.35,17.5126,28.2585666667,33.1342666667,-1.99006666667,35.1244666667,12.1391333334,16.1194666667,7.16413333333,-9.05473333333,11.393,42.7860666667
183.73,16.6169333333,24.5771,28.4576666667,-4.37806666667,28.3581333333,-4.27860000006,9.3532,1.49246666668,-12.4378666667,5.77106666666,42.1890666667
184.11,18.8888666667,21.6666333333,22.6495333333,0.8546,22.2222666667,-7.1794666666,10.2563333333,2.56420000002,-10.1709333333,3.41866666667,40.6838
184.49,23.2479333333,21.7093666667,23.6752666667,2.39319999998,19.9145333333,-7.26513333328,9.74366666668,1.62393333333,-8.97453333333,-0.427399999986,37.4359333333
184.87,35.1372666667,27.4508333333,29.4116666667,10.0391333333,24.8628,-0.07833333338,16.6275333333,14.6667333333,4.07833333334,10.0784,44.9412
185.25,37.3457333333,31.4198333333,30.4938,18.2098,30.4937333333,10.9258666666,24.8148,20.6790666667,13.5186,15.4629666667,44.1357333333
185.63,37.7273333333,31.5655333333,30.4039333333,22.6767333333,31.5656666667,15.5555333333,30.9092,25.707,20.0000666667,21.0858666667,43.1818666667
