wavelength,Back_DubTaem,Belly_DubTaem,Breast_DubTaem,Crissum_DubTaem,Crown_DubTaem,DorTail_DubTaem,Patch10_DubTaem,Patch11_DubTaem,Rump_DubTaem,Throat_DubTaem,WingTip_DubTaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,113.333333333,40.8333333334,129.166666667,180.833333333,86.6666666665,111.666666667,-20.0,101.666666667,115.0,49.9999999999,120.0
179.16,49.9999999999,-113.333333333,60.0,95.0000000001,43.3333333333,-61.6666666667,-53.3333333333,86.6666666667,133.333333333,-53.3333333334,29.9999999999
179.54,275.0,204.166666667,270.833333333,352.5,320.0,280.833333333,268.333333333,313.333333333,300.0,228.333333333,296.666666667
179.93,84.1666666666,79.1666666667,93.7500000001,101.458333333,96.6666666667,102.291666667,83.7500000001,80.0,81.6666666667,75.8333333333,80.4166666666
180.31,181.904866667,72.3809999999,350.476233333,462.857066667,258.0952,301.4287,120.0,268.5716,415.238,238.095266667,125.714133333
180.69,250.0,170.416666667,398.333333333,480.416666667,291.666666667,374.166666667,190.0,303.333333334,487.5,281.666666667,212.5
181.07,250.4762,194.285733333,370.476166667,476.666633333,279.0476,420.476266667,258.095333333,327.619,563.8096,339.047533333,191.428533333
181.45,149.444466667,146.388866667,222.4999,274.7223,160.555533333,269.166666667,164.4444,222.2222,336.111066667,192.222066667,128.333333333
181.83,-573.333333334,-896.666666667,-1566.66666667,-1750.0,-239.999999999,-2016.66666667,-1033.33333333,-1460.0,-2993.33333333,-1200.0,-420.0
182.21,44.3478,34.5652,21.6665333333,25.4348,62.8985333333,20.3623333333,34.3478,19.7101333333,-12.4636666666,28.9855333333,49.7100666667
182.59,37.8836,30.0529,15.873,21.9577666667,55.9788,17.0898,26.9839333333,15.873,-2.75140000002,27.7248666667,36.0848
182.97,35.7990666667,30.411,19.4062333333,23.3334666667,56.4383333333,17.6255333333,26.3927999999,13.6072666667,3.28760000002,30.5023333333,33.3332666667
