wavelength,Back_EmbDuif,Belly_EmbDuif,Breast_EmbDuif,Crissum_EmbDuif,Crown_EmbDuif,DorTail_EmbDuif,Patch10_EmbDuif,Patch11_EmbDuif,Rump_EmbDuif,Throat_EmbDuif,WingTip_EmbDuif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-3.70366666667,-37.037,-40.7406666667,-48.148,-100.0,-11.1113333333,-70.3703333333,-70.3703333333,-22.9630666667,144.444666667,-40.7406666667
179.16,-12.8206666667,-41.0256666667,-12.8206666667,12.8206666667,-61.5386666667,23.077,2.564,-2.56366666667,-4.61533333333,71.795,-17.9486666667
179.54,-118.518333333,-118.518333333,-74.074,-111.111,-96.296,11.111,-48.148,-18.5183333333,-14.0740666667,25.926,-55.5553333333
179.93,72.2223333333,33.3333333333,122.222333333,205.555666667,5.55533333333,155.555333333,5.55566666667,16.667,63.3335333333,133.333,11.1113333333
180.31,-27.778,-57.4073333333,12.963,0.925666666667,-134.259333333,98.148,-61.1113333333,-74.0743333333,-41.8519333333,140.740666667,-50.926
180.69,-8.13,-50.4066666667,23.5773333333,16.2603333333,-122.764,113.821333333,-39.8373333333,-50.4066666667,-22.7643333333,139.024333333,-43.9023333333
181.07,-41.3793333333,-70.115,33.3333333333,14.9423333333,-170.115,177.011666667,-59.77,-59.7703333333,-47.1262666667,143.678333333,-70.115
181.45,21.739,-20.2896666667,113.043333333,66.6666666667,-149.275666667,273.913,-50.7246666667,-14.4926666667,-11.0146666667,228.985666667,-34.7826666667
181.83,199.999666667,61.111,341.666333333,241.666666667,-225.0,602.777666667,-55.5556666667,33.3333333333,33.8888666667,450.0,41.6666666667
182.21,-150.0,122.222333333,-438.888666667,-211.111,666.666666667,-955.555333333,311.111,94.4443333333,191.111266667,-622.222,127.777666667
182.59,-1366.66666667,966.666666667,-3900.0,-1866.66666667,3466.66666667,-6066.66666667,1200.0,266.666666667,140.0,-4033.33333333,0.0
182.97,119.298333333,-29.8246666667,245.614333333,157.894666667,-140.351,380.701666667,-57.8946666667,40.351,39.6491333333,280.702,36.8423333333
183.35,129.629666667,32.099,195.061333333,125.926,-58.0246666667,304.938333333,23.4566666667,71.605,93.0862,240.740666667,43.2096666667
183.73,110.145,-15.9423333333,188.405666667,69.5653333333,-110.145,302.898666667,20.29,86.9566666667,69.5654666667,236.231666667,30.435
184.11,146.666666667,30.0,175.555333333,55.5553333333,-45.5553333333,227.778,51.111,135.555666667,121.555666667,226.666666667,22.2223333333
184.49,257.143,-54.7616666667,335.714333333,64.2856666667,-185.714333333,421.428333333,-16.6666666667,326.190333333,161.4286,400.0,21.4286666667
184.87,180.303,-24.2426666667,227.272666667,21.2123333333,-87.879,278.788,-46.9696666667,212.121,97.576,271.212,18.1816666667
185.25,165.833333333,15.0,169.166666667,55.0,0.0,193.333333333,15.8333333333,164.166666667,100.333333333,201.666666667,44.1666666667
185.63,176.068333333,3.419,158.119666667,53.846,15.3846666667,197.436,12.8203333333,153.846,98.8033333333,171.795,40.171
186.01,144.0,3.33333333333,126.0,63.3333333333,16.0,142.666666667,16.0,118.0,79.2,149.333333333,26.0
186.39,126.754333333,32.4563333333,117.105333333,59.2106666667,40.3506666667,115.350666667,37.7193333333,100.877333333,80.3511333333,138.158,42.1053333333
186.77,125.833333333,37.5,110.416666667,59.5833333333,40.0,116.25,43.3333333333,109.166666667,79.9166666667,146.25,42.9166666667
