wavelength,Back_EmbHerf,Belly_EmbHerf,Breast_EmbHerf,Crissum_EmbHerf,Crown_EmbHerf,DorTail_EmbHerf,Patch10_EmbHerf,Patch11_EmbHerf,Rump_EmbHerf,Throat_EmbHerf,WingTip_EmbHerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-291.666666667,-441.666666667,-91.6666666665,-466.666666667,-41.6666666665,-508.333333333,-341.666666667,-425.0,-375.0,325.0,-66.6666666667
179.16,311.11125,236.111166666,152.77775,211.111083333,213.888916667,201.388833333,263.888833333,191.666583333,280.5555,188.888916667,147.22225
179.54,53.125,56.7708333333,21.3541666666,49.4791666667,51.5625,53.90625,44.7916666667,68.75,60.4166666667,31.25,33.3333333333
179.93,-66.6666666666,-400.0,-333.333333333,-150.0,-250.0,-58.3333333335,-291.666666667,-33.3333333333,-166.666666667,-250.0,-308.333333333
180.31,81.3062499999,56.0810833334,-5.4054166667,44.82,67.3424166666,40.65325,47.5225,80.8558333335,99.5495,20.27025,-11.0361666667
180.69,71.4539166668,52.3049166667,5.67366666665,41.4895,57.0921666666,38.0318333333,38.8298333333,71.8085833334,89.7164166667,23.58175,-7.97875000001
181.07,73.7499999999,45.4166666667,2.08333333333,32.2916666667,64.5833333333,33.7499999999,22.5,71.4583333333,95.625,28.5416666667,-18.3333333333
181.45,52.9166666667,34.5833333333,-6.24999999999,26.0416666667,57.9166666667,37.6041666668,0.625,63.3333333332,78.5416666667,17.7083333333,-28.75
181.83,51.5766666667,33.3333333333,1.12608333335,19.1440833333,59.2342499999,35.1351250001,-0.22525,54.5045,86.2611666667,22.29725,-31.7566666667
182.21,69.36275,52.4510000001,22.5490833333,25.2451666666,75.73525,40.4411666667,-0.735333333325,67.4020833333,117.156833333,33.5783333333,-33.08825
182.59,70.5975833333,56.9184166667,42.1381666666,40.2515,71.541,50.7075,16.66675,61.4778333333,109.1195,43.3960833333,8.80508333332
182.97,62.99425,43.0791666667,37.4292499999,36.1581666667,60.5933333333,40.81925,14.6893333333,46.4689999998,94.4915833334,34.887,12.0055
183.35,73.5875833333,51.27125,53.1073333332,47.5988333334,70.9040000001,52.4010416667,19.0678333333,54.9435833334,99.1525000001,44.9153333333,23.0225833333
183.73,76.0870833334,47.1015,49.4564166667,41.8479166667,61.0505833334,51.0869583334,4.16675,42.7535,101.268166667,32.4276666667,6.52183333333
184.11,71.5446666667,47.9675,41.6664999999,38.6179166666,55.8944166666,54.5732916666,-1.82925000003,42.8861666667,99.1869166667,23.9836666667,-4.47166666667
184.49,67.2480833333,41.2789166666,32.7519166667,42.4419166667,53.1008333333,47.8682083333,-8.72100000008,36.2404999998,96.3179166666,10.46525,-8.13958333335
184.87,81.7983333332,49.12275,32.8945833333,58.9911666666,74.5614166667,58.4430416667,1.97358333335,37.9385833334,116.228083333,12.2806666666,-3.94733333334
185.25,65.57975,43.6594166667,22.1015,47.46375,62.5000833333,45.1087916666,10.8695833334,25.18125,91.8478333333,6.70300000008,-1.81166666667
185.63,60.2679166667,36.1608333333,19.7915833333,33.7798333333,54.4643333333,33.1101666667,15.3273333333,22.3213333333,79.6130833334,9.97025,2.52975
186.01,64.8147500001,33.3333333333,19.7530833333,36.7285,59.25925,45.138875,10.3395833332,25.0000833333,81.0185833332,6.32716666665,2.16050000002
186.39,70.8334166667,40.8045,23.2758333334,49.138,69.9714166667,67.8879166668,29.5976666667,34.0518333333,82.0401666667,14.799,20.25875
186.77,77.9513333332,33.507,6.77083333334,48.7846666666,71.52775,76.0417083333,33.6806666666,25.521,80.5555,2.77783333332,12.8473333333
187.15,95.6440000001,44.6969166667,13.8258333333,55.6818333332,77.4620833333,92.9925,49.0530833333,42.4243333333,90.7197499998,13.6363333333,18.5605
187.53,86.5,42.5,16.8333333333,51.1666666668,77.0,88.1666666665,55.5,43.0,84.4999999999,19.8333333333,26.6666666666
187.91,82.1179999999,39.0625,15.6249166667,52.6042500001,77.2568333333,91.14575,55.2083333332,41.6665,81.0764166667,23.2638333333,35.0694166667
188.29,84.2802499999,38.2575,15.1514166667,49.0530833333,77.2728333333,91.0985416667,57.3863333333,36.7425,78.4090833333,22.1589166667,36.7424166667
188.67,96.8254999999,54.76175,32.7381666667,58.1349999999,91.4683333334,114.285916667,78.9682499998,49.2063333333,79.1665000001,39.8809166667,53.1745
189.05,103.86175,58.3332499999,40.0406666666,52.4390833332,90.6504166666,128.760208333,85.5689166666,51.6259166667,76.0163333333,44.9186666667,59.7560833333
