wavelength,Back_EmbPlaf,Belly_EmbPlaf,Breast_EmbPlaf,Crissum_EmbPlaf,Crown_EmbPlaf,DorTail_EmbPlaf,Patch10_EmbPlaf,Patch11_EmbPlaf,Rump_EmbPlaf,Throat_EmbPlaf,WingTip_EmbPlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,124.761866667,124.761866667,131.904733333,116.666733333,150.476133333,119.524,128.095266667,123.333333333,127.142933333,132.380933333,119.047666667
179.54,102.857066666,126.666466667,110.476333333,118.095333333,140.952333333,119.0478,93.3332,130.4762,82.8572000001,143.809533333,81.9048666667
179.93,39.5556,41.7778,44.8889333333,23.9999333333,39.5556,34.6667333333,43.9998666667,51.5555333333,26.6668666667,55.1111333333,40.4445333333
180.31,50.9492666667,68.1236666667,57.0419333333,56.7329333333,66.1368,56.2473333334,58.234,64.5474666667,49.8455333333,62.6488666667,54.1722666667
180.69,53.8523333333,68.7027333333,58.2435333333,58.9222,67.4650666667,56.966,61.1178,65.1897333333,52.6147333333,62.2355333333,55.1297333333
181.07,51.9460666667,63.1984,53.95,53.8342666667,61.6571333333,51.6377333333,57.6107333333,61.6956,48.9788666667,56.686,49.6339333333
181.45,45.0104,59.7515333333,48.6126666667,48.9854666666,56.853,46.5010666667,54.1200666667,59.3788666667,44.0995333333,50.2278,43.3954
181.83,43.2923333333,58.7655333333,49.3827333333,49.2182,56.0494,46.1728666667,54.3209333333,59.9178,45.6792,48.8477333333,43.5391333334
182.21,46.625,63.375,53.375,54.625,60.0,50.7083333333,59.0833333333,66.3333333333,52.4166666667,51.75,47.4583333333
182.59,40.8212666667,58.1642666667,49.8551333333,50.8214,56.6666,47.2946666667,54.8310666667,64.8308,51.5458666667,47.0047333333,40.2416
182.97,44.0712666667,58.8804,51.654,55.0128,58.4732666667,50.9922,57.5064666667,71.9083333333,54.6566,48.1424666667,42.341
183.35,41.2643333333,57.299,50.3448,51.7241333333,55.862,48.4482,57.5862,72.2987999999,54.3104666667,44.7126,40.2299333333
183.73,38.9604,57.3700666667,52.0488666667,50.8868,55.474,50.4588,59.0825333333,75.474,56.1466666667,42.6910666667,40.5505333333
184.11,39.0475333333,53.1093333333,50.3640666667,48.0672666667,53.0533333333,49.4678,55.5181333333,71.4283999999,56.0224,41.6245333333,37.479
184.49,46.6666666667,53.4445333333,53.8335333333,51.5555333334,53.6665333333,54.3888,57.8888666667,74.3333333333,59.1112,43.8889333333,40.8332666667
184.87,33.2098666667,39.8148,44.4444666667,41.6050666667,44.074,45.8642,45.8642,68.6420666666,49.2592666667,35.4938666667,31.0494666667
185.25,26.3126,38.8200666667,39.9409333333,37.64,41.5928666667,46.0766666667,40.8258,60.7079333333,45.3686666667,32.7434666667,30.9144
185.63,23.2162666666,35.7309333333,34.269,31.9883333333,35.6140666667,42.7485333333,33.2164666667,55.0878,41.8128,28.5964666667,27.6023333333
