wavelength,Back_EmbYpim,Belly_EmbYpim,Breast_EmbYpim,Crissum_EmbYpim,Crown_EmbYpim,DorTail_EmbYpim,Patch10_EmbYpim,Patch11_EmbYpim,Rump_EmbYpim,Throat_EmbYpim,WingTip_EmbYpim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,118.8888,112.222266667,108.333333333,58.3333666667,148.888933333,189.111137778,143.3336,70.0000333333,190.0,149.444533333,185.41675
179.16,85.0000000001,103.333333333,74.1666666666,11.6666666666,96.6666666667,129.888888889,48.3333333333,115.833333333,220.0,146.666666667,-27.0833333333
179.54,45.5555555555,39.3333333333,55.3333333333,94.3333333334,50.6666666667,34.6,77.3333333333,42.6666666667,37.3333333333,56.0,46.6666666667
179.93,18.8888888889,-55.0000000001,78.3333333334,53.3333333332,-50.0000000001,-34.7222222222,116.666666667,-45.0000000001,-51.6666666667,-55.8333333333,35.4166666665
180.31,113.333377778,159.841333333,71.9842,76.9047666667,130.0,165.687813333,77.4602666667,125.000133333,181.745933333,159.920766667,102.281666667
180.69,102.1092,136.497266667,74.1244666667,82.5424,116.8362,144.097988889,76.2711333333,113.841933333,154.350266667,140.169533333,89.0537083333
181.07,89.6825111111,130.4762,61.9046666667,74.5238,102.618933333,128.242213333,61.4286666667,103.333366667,145.476133334,131.369233333,64.6577083332
181.45,77.8572222221,118.452266667,45.5357333333,67.9167,89.8809333332,118.777826667,47.857,90.6548333333,128.9286,116.250033333,65.3274166667
181.83,78.2592666665,120.555533333,46.5,78.4443666667,98.4443333332,118.718571111,55.7776666667,95.6666999999,134.444266667,121.000033333,69.9305833334
182.21,80.9763999999,119.495066667,54.3939333333,81.7678,95.9595999999,119.131173333,69.5960666666,94.5958999999,132.929266667,122.777766667,75.9470416665
182.59,103.999977778,176.952466667,51.5238,112.857166667,140.952266667,170.241177778,90.2858666668,134.476133333,201.904733333,180.1904,102.381041667
182.97,102.397711111,178.070266667,58.9474333333,118.5966,140.526333333,174.929786667,90.8772666667,131.315933333,192.9824,172.894666667,98.1359583333
183.35,99.6527777777,166.875,53.75,123.854166667,139.583333333,178.534722222,81.4583333335,126.770833333,203.125,171.875,104.036458333
183.73,90.5183777776,145.111,54.7776666666,120.666633333,118.888866667,166.488957778,54.8887999999,112.111133333,190.8888,151.889066667,97.6391250001
184.11,119.027777778,168.333333333,93.5416666666,136.875,145.208333333,188.743055556,86.8750000001,129.791666667,209.375,175.625,118.229166667
184.49,120.476266667,176.6664,95.3572333334,148.8095,163.809466667,206.063353333,98.8096,139.4048,241.904733333,191.1906,121.279958333
184.87,-527.407555556,-1066.6668,-246.6666,-653.333300001,-855.555533333,-1322.88889778,-268.888800001,-703.333266666,-1780.0,-1218.88883333,-661.111249999
185.25,-210.833333334,-423.333333333,-125.416666667,-295.833333333,-382.5,-493.944444444,-95.0000000001,-341.25,-659.166666666,-500.833333333,-275.0
185.63,2077.77777778,3533.33333333,1426.66666667,2703.33333333,3480.0,3904.66666667,1326.66666667,2873.33333333,5340.0,4086.66666667,2120.83333333
186.01,275.926,466.6666,171.6668,394.444533333,472.222333333,560.77778889,164.444266667,350.000066667,793.333266666,591.1111,272.222208333
186.39,162.222244445,477.777866668,64.444366666,406.666600001,573.3334,740.222237776,-93.333333332,362.222266666,1219.99993333,784.444399999,238.888833333
186.77,57.4073555555,117.407466667,42.0370333334,109.814833333,137.777733333,144.753104445,-1.11106666674,105.7407,242.222333333,179.814833333,78.4721666667
