wavelength,Back_EunCamm,Belly_EunCamm,Breast_EunCamm,Crissum_EunCamm,Crown_EunCamm,DorTail_EunCamm,Rump_EunCamm,Throat_EunCamm,WingTip_EunCamm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,34.6666666667,32.0,46.0,42.0,58.0,27.0,20.6666666667,54.6666666667,63.3333333333
179.16,70.0,82.5,97.5,108.333333333,90.8333333334,108.333333333,75.8333333334,122.5,112.5
179.54,24.3138666667,12.9413333333,17.2548,36.4705333333,40.3920666667,26.2745333333,20.7842,34.902,24.7059333333
179.93,-326.666666667,-460.0,-326.666666667,-413.333333333,-440.0,-683.333333333,-693.333333333,-366.666666667,-273.333333333
180.31,-4.07393333332,-20.5556666667,-11.2962666667,27.9629333333,42.4074666666,-3.5186,-36.8518000001,32.5924666667,51.1111333334
180.69,9.35900000002,-3.97433333334,2.17960000001,28.9743333333,43.8462666667,9.35883333333,-16.4102666667,29.2307333333,47.8204666667
181.07,-21.1764666667,-48.4313333334,-37.8431333333,10.1961333334,31.3724666666,-14.8038666667,-58.4312666666,7.84320000002,37.4508666667
181.45,-128.5186,-207.7778,-175.5556,-80.3703333333,-23.7038666665,-128.1482,-202.592666667,-92.9630666666,-15.9259333332
181.83,-337.5,-480.833333333,-426.666666667,-235.0,-120.0,-307.916666667,-510.0,-295.0,-40.8333333332
182.21,-127.4074,-170.3704,-168.148066667,-74.8148666668,-9.25926666674,-86.852,-178.518466667,-95.9259333333,31.4815333333
182.59,-114.285933333,-124.523733333,-136.1906,-71.4286,-27.1428666666,-77.0237666667,-142.619066667,-78.0951999999,-6.42866666667
182.97,-165.454466666,-147.575733333,-181.212266667,-92.4243333333,-51.8180666666,-127.7274,-183.333333333,-100.606133333,-27.5758
183.35,-442.963,-394.8148,-453.333266667,-288.148266667,-130.3704,-350.370366667,-539.259333333,-314.8148,-96.2962000001
183.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.11,-291.6666,-336.6668,-314.4444,-176.666666667,-68.8888666667,-232.7778,-363.333333333,-247.222266667,-82.7777999998
184.49,-448.888933333,-624.444466666,-495.555600001,-216.666733333,-24.4445333333,-408.888966667,-607.777866667,-435.555666666,-70.0000666667
184.87,422.222266667,544.444466667,459.999933333,256.296333333,176.296333333,428.518466667,522.222133333,351.111,161.481466667
185.25,-2926.66666667,-4093.33333333,-3460.0,-1913.33333333,-1060.0,-3266.66666667,-4153.33333333,-2433.33333333,-1000.0
185.63,-1233.33333334,-1870.0,-1733.33333333,-983.333333334,-480.000000001,-1690.0,-1920.0,-1010.0,-609.999999998
186.01,143.333266667,210.833266667,204.999933333,140.8334,78.3332666667,207.361166667,211.944466667,126.1112,110.5556
186.39,87.7273333333,148.484866667,134.394066667,105.000066667,65.9092,141.9697,139.242466667,93.3334000001,90.1515333332
186.77,70.7691333333,131.282066667,106.666666667,94.3589333333,56.2820666667,121.218,115.769133333,85.7692666666,75.1281333333
187.15,62.1904666667,120.095333333,94.4761333333,92.4762666666,57.2381333333,105.809533333,102.8572,81.5237333334,70.9523333333
187.53,69.5402666666,144.597666667,120.919533333,109.1954,73.1034000001,131.436866667,121.609133333,91.1495333333,84.7127333334
187.91,64.6995333333,141.858,125.7924,112.349866667,80.6558,131.147433333,122.404466667,87.9781999999,87.4317333333
188.29,71.4057333334,125.783133334,115.1806,108.996,82.5703333333,123.815366667,116.4658,88.7551333333,87.4698666667
188.67,77.7527333333,126.1424,120.2996,118.427,87.7902,120.711466667,117.303466667,89.5130000001,95.1310666666
189.05,74.3642000001,118.212933333,112.439933333,111.683733334,81.5806000001,110.824933333,111.134,85.2921333334,90.2403999999
189.43,68.4956,107.9056,103.362666667,99.9999999999,77.2860666668,103.451433333,101.652,79.5868666667,81.2389333334
189.81,69.9130000001,107.536266667,102.7246,97.7391333334,81.1593999999,103.884133333,103.1304,80.8115333333,79.3624
190.19,67.2165333334,112.44,104.879733333,99.1752,83.7799333335,105.876333333,105.0858,78.2130666666,79.3814000001
190.57,63.9584,107.2222,99.9306666668,91.5277333333,77.5000000001,102.1528,99.3056666666,69.9305333333,74.5139333333
190.95,68.8888,113.131266667,106.397333333,99.5285999998,86.0605333333,107.575733333,103.2324,73.6026,82.5588
191.33,74.8550666666,120.144866667,112.463866667,107.101466667,92.8260666667,115.543566667,112.463733333,75.5798666666,86.8115333333
191.71,73.66,114.313666667,105.098066667,105.621,89.2158000001,109.869166667,106.8626,74.9673999999,82.6143333334
192.09,69.1581999999,106.531933333,97.4411333332,101.952866666,83.2996,103.8384,102.4242,73.7373999999,75.219
192.47,82.0201333334,141.212,134.545533333,138.686733333,111.5152,134.091,132.828333333,93.1312666667,98.6867999999
192.85,73.4199333333,127.186133333,121.038866667,125.367933333,107.013,130.562633333,120.432866667,90.0431333333,93.1601999999
193.23,60.8944,113.902533333,108.699133333,113.3334,96.3414,117.357433333,106.4228,79.8373333334,80.4065333333
193.61,72.9168666667,139.0628,131.8752,136.875266667,110.4168,144.2189,123.646066667,97.0834666668,98.5418
193.99,66.8888666665,133.666733333,133.0,138.333466667,101.888866667,140.333233333,118.999933334,95.6668,95.5555999999
194.37,71.1111333333,118.9682,118.9682,123.492,95.2381999999,128.7699,109.2856,93.6507333335,92.1428000001
194.75,75.8052666667,117.752866667,119.700533333,123.146066667,101.722866667,131.385733333,113.0336,101.573,97.3782666666
195.13,66.5246666667,102.624,109.290666667,107.163133333,90.3546666667,117.2697,103.049533333,91.7731333334,88.7943333333
195.51,64.7619333333,102.380933333,108.503333333,104.829933333,89.8638000001,113.0612,103.809533333,96.1225333335,92.2448666666
195.89,50.0285333333,83.3619333333,89.6295333333,87.5212666668,73.6751999999,92.9630000001,82.5071333333,79.7720666666,80.0569333333
196.27,47.5409333333,83.3333333334,87.1585333333,84.2076666667,71.4753999999,93.4428333333,80.2732666667,75.3005999999,79.9999333333
196.65,41.3930666667,73.6816000001,73.3830666667,71.7413333334,61.5422666667,83.6317666667,70.0995333333,63.5323333333,67.1642
197.03,34.8984666667,68.6956000001,66.9564666667,66.1447999999,55.1304666667,76.6954999999,64.3478,56.9276666667,62.7246
197.40,20.7576,64.9240666667,63.1061333333,62.197,47.0454,78.1059666667,55.6818666667,52.1211333333,60.7576
197.78,21.7476,59.288,56.3106666667,58.5113333334,46.0192,67.7348333333,49.1262,48.7378666667,58.7702
198.16,19.274,57.9536,50.6271333333,56.1717333333,45.4125333333,67.3926666667,46.7986666667,49.0429333334,62.1782666667
198.54,12.5849333333,52.585,45.6463333333,50.2721333333,43.8775333333,58.5033666667,39.864,48.2994,58.7754
198.92,11.0346,45.23,40.2873333334,47.0115333333,39.6552,46.1206333333,35.9768666667,41.2644,52.7011333333
199.30,14.1733333333,47.0340666667,40.21,48.5564666667,39.1602,46.1680333333,34.2258,40.8924,51.076
199.68,0.94333333334,33.4590666667,31.761,39.5598,27.9875333333,37.7671333333,20.1886666667,31.5723333333,45.1572666666
200.06,-6.25506666665,33.2510666667,31.934,40.4115333333,27.0781333333,33.7035333333,15.9672,28.8889333333,49.218
200.44,-6.5752,29.4063333333,31.0503333333,42.5571333333,27.5799333333,27.3061333333,9.95426666664,31.0502666667,51.4154
200.82,-3.03806666667,27.1729333333,31.055,44.6414,25.5695333333,31.0124666667,12.8270666667,31.1392666667,50.8016666667
201.19,11.3580666667,39.7530666667,48.0658666667,57.9422666666,39.6708,49.1770333333,28.2304,48.9711333333,62.0576666667
201.57,32.1014666667,51.7392,60.1449333333,69.6376,52.2464,59.7102,46.6666666667,64.6376666667,72.7535999999
201.95,25.8947333333,41.965,55.579,64.6315333333,44.2806666667,55.8595666667,43.0876666667,59.0176000001,64.7719333333
202.33,21.2246,36.0544,53.5372666667,60.5441333333,39.6598666666,47.0408666667,39.1836,50.3402000001,55.5102666667
202.71,14.7985333333,28.2051333333,43.8828,54.8718666667,30.5494,42.6739,29.3773333333,42.4175333333,46.5933333333
203.09,8.64580000002,22.2918,40.8332666666,60.4168,23.6457333333,43.2291666667,25.9374,44.9999999999,49.8960666667
203.47,5.03706666674,15.1112666667,39.8517999999,72.7407999999,25.3332666666,46.5926,26.5186000001,56.4443333334,59.8519333332
203.85,10.8,21.8666666667,45.6000000001,71.9999999999,36.0,47.7333333333,24.6666666666,52.7999999999,53.5999999999
204.22,-6.3704,8.00000000002,30.6666666667,55.2592666667,25.7776666667,40.5185333333,11.9999333334,45.4815333333,39.7036666667
204.60,-23.0159333333,-10.7936666667,8.41273333333,29.0476,5.07926666666,22.9365666667,-8.73006666672,35.2381333334,27.7778666667
204.98,-12.4636666666,-4.05793333335,8.98553333333,27.8259333333,8.84046666668,16.3768333333,-3.33333333332,40.8695999999,36.3768666667
205.36,-15.8491333333,-13.8364,-1.3836,13.4591333333,-9.93706666669,-6.35226666666,-12.0755333333,20.2516666667,18.8680666667
205.74,-2.40753333333,1.75933333332,15.0002,21.4814666667,7.22219999999,3.70370000002,3.98146666666,24.9075333333,29.9073333333
206.12,-11.1514,-11.6362666667,11.1512666667,18.0606,8.48493333333,-22.2427,-8.60613333332,23.0302666667,24.606
206.50,-22.1137999999,-26.9919333333,-1.301,9.26840000002,-2.27646666668,-40.0813,-20.3250000001,28.4552,21.7886
206.87,-188.666666667,-216.0,-42.6666666666,-42.6666666666,-102.666666667,-262.666666667,-153.333333333,32.0000000001,9.33333333338
207.25,-2300.0,-2846.66666667,-660.000000001,-1180.0,-1473.33333333,-2643.33333333,-2253.33333333,-80.0,-420.0
207.63,-154.0,-238.0,12.0,-70.0000000001,-94.0,-175.0,-146.0,45.3333333336,31.9999999999
208.01,-59.2591999998,-116.296333333,35.9259333334,-8.51853333335,-35.9257333333,-55.9258333334,-38.5184666667,47.0370666667,56.2963333333
208.39,-6.6667333334,-48.4848666665,43.8383333333,16.9698666667,3.03026666658,-4.84833333332,-1.0102,48.0808,54.5455999999
208.77,1.40346666664,-41.0527333333,46.3157333334,31.0525333333,11.9298666666,-2.80690000001,8.5964,41.579,43.6843333334
209.14,-28.0807333333,-69.6970666667,34.7474,11.1112,-6.06066666667,-23.6363333333,-15.7576000001,25.8584,24.2423333334
209.52,-10.3030666667,-45.3031333333,38.6363333333,21.8182666666,8.93939999998,-3.93936666666,0.60600000014,39.5455333333,29.6970666667
209.90,-17.117,-65.0450000001,23.063,11.1712,-8.28833333332,-14.8648666666,-7.3873333334,35.6756666666,21.9819333333
210.28,-84.0578000001,-151.594266667,-30.1448666668,-44.9276,-77.3913333332,-41.3043333333,-40.5798000001,4.3478,-8.11593333324
210.66,-103.666666667,-186.0,-46.6666666669,-50.3333333333,-93.6666666667,-62.1666666667,-50.0,-14.3333333333,-6.6666666666
211.03,-36.7617999999,-92.5714000001,-24.3809333333,-18.2857333333,-40.5714666666,-36.9524,-14.8571333333,-2.28566666666,15.6190666666
211.41,-19.8516666667,-58.8148000001,-9.92599999998,-4.44459999999,-25.1851333333,-28.8147666667,-3.55559999999,6.07400000001,18.3704
211.79,-103.589733333,-160.512866667,-85.8974000001,-77.9487999999,-108.4616,-136.538633333,-67.9487333333,-61.0256666667,-35.1282666666
212.17,-261.3334,-371.555666667,-244.444533333,-244.888866667,-287.999933333,-347.5557,-217.777866667,-201.333333333,-143.555666667
212.55,-2440.0,-3486.66666667,-2363.33333333,-2426.66666667,-2723.33333333,-3288.33333333,-1923.33333333,-1940.0,-1660.0
212.92,5213.33333333,7760.0,5600.0,5560.0,6393.33333333,7226.66666667,4380.0,4466.66666667,3600.0
213.30,1089.33333333,1702.66666667,1253.33333333,1228.0,1417.33333333,1586.66666667,1049.33333333,1021.33333333,824.000000001
213.68,249.777866667,345.777733333,283.555533333,277.555533333,300.6666,332.7779,245.111066667,249.1112,200.2222
214.06,202.074,264.4446,222.518533333,213.777733333,237.185133333,257.185266667,200.5926,198.963,171.407466667
214.44,461.666666667,670.416666667,537.5,500.833333333,584.166666666,655.625,500.0,467.083333333,397.916666667
214.81,1114.44446667,1723.33333333,1347.7778,1315.55546667,1487.77786667,1690.55563333,1328.88886667,1145.55566667,1008.88886667
215.19,386.666733334,612.549066667,464.313733333,463.9216,527.450933333,580.0001,461.9608,408.6274,360.7844
215.57,359.298333333,579.298066667,437.5438,436.140266667,495.438533333,545.7893,423.5088,395.0878,352.280666667
215.95,519.393933333,922.424266667,643.636466666,651.5152,787.878733334,840.302933334,656.969666667,603.030133333,518.788
216.32,827.777799999,1608.88886667,1127.7778,1090.00013333,1348.8888,1471.6667,1120.00013333,968.888866668,888.888866665
216.70,-417.333333333,-878.666666667,-612.666666667,-569.999999999,-748.000000001,-792.666666667,-656.0,-518.0,-476.666666667
217.08,-193.333266667,-427.017466667,-261.754266666,-279.999866667,-344.210466666,-362.631533333,-312.6316,-240.350866667,-238.596533333
217.46,-1377.77773333,-2911.11106667,-1773.3334,-1926.6666,-2315.5556,-2632.22213333,-2006.66666667,-1648.8888,-1786.66673333
217.83,-2.30724185455e+15,-5.44611432211e+15,-3.22416791505e+15,-3.57387924975e+15,-4.14962352029e+15,-4.8149280107e+15,-3.61652697349e+15,-3.00239975158e+15,-3.45020085089e+15
218.21,472.222066667,1366.6666,757.777800001,882.222266666,983.333333333,1165.55556667,841.111066665,680.000133334,832.222133333
218.59,146.6666,420.350866667,241.052533333,300.350733333,322.4562,356.491166667,250.877066667,216.842066666,260.701733333
218.97,141.333333333,387.0,242.666666667,293.0,314.333333333,341.333333333,224.333333333,214.666666667,256.0
219.34,215.757533333,644.242466667,393.9394,480.606133334,530.909133334,585.151533333,323.636333333,336.363666667,416.363533334
219.72,158.888933333,404.814866667,262.2222,318.148266667,336.296333333,381.4813,218.888933333,229.629733333,282.962866667
220.10,175.294066667,447.0588,286.274533333,352.156933333,367.0588,402.744933333,246.666666667,252.549,320.784266666
220.47,179.607866666,432.156666667,290.980533333,344.313733333,373.725466667,395.0982,223.137266667,246.2746,321.960733333
220.85,129.523733333,336.190466667,218.095266667,270.793666667,300.317466667,310.3175,149.8412,172.381,238.412666666
221.23,86.8217333334,178.6046,137.674466667,154.418666667,173.4884,176.666766667,93.0232666665,106.976666666,133.178333333
221.61,104.333333333,191.666666667,158.0,170.0,194.166666667,185.083333333,101.666666667,131.833333333,139.166666667
221.98,142.380866667,249.0476,207.142933333,229.761866667,271.666733333,260.833233333,127.619066667,171.1904,175.238066667
222.36,390.302933333,635.151466666,542.424333333,600.606066667,696.3638,687.272866667,335.151466667,487.272666667,441.2122
222.74,349.166666667,527.083333333,450.416666667,505.416666667,560.416666667,575.625,320.416666667,411.666666667,379.583333333
223.11,628.666666666,910.666666666,769.999999999,871.999999999,971.333333332,981.333333333,566.666666667,744.0,699.999999999
223.49,-636.666666666,-884.000000001,-777.999999999,-858.000000001,-944.000000001,-956.333333334,-558.0,-712.0,-723.999999999
223.87,-186.428666667,-281.1904,-239.762066667,-265.476333333,-308.8096,-309.5238,-178.571333333,-219.285666667,-227.380933333
224.24,-221.190466667,-303.333266667,-275.238133333,-289.5238,-324.523866667,-345.238066667,-201.428466667,-239.047466667,-251.666666667
224.62,-283.188333333,-386.666666667,-353.6232,-379.7102,-410.145066667,-444.492733333,-270.144866667,-319.130666667,-325.797066667
225.00,-294.2424,-390.000066667,-364.545533333,-370.606,-409.697066667,-449.090933333,-271.515133333,-340.302933333,-342.121266666
225.38,-155.856,-216.576533334,-196.936866667,-199.8198,-221.081133333,-249.639566667,-144.324266667,-178.1982,-192.252266667
225.75,-102.1738,-156.956533333,-141.449266667,-146.666533333,-150.869733333,-184.999866667,-105.217266667,-117.970933333,-142.463666667
226.13,-65.6715333333,-97.5123333333,-90.1493333332,-89.6516666667,-95.2238666668,-115.970066667,-64.8756,-74.9254666666,-90.6467333333
226.51,-71.2501999999,-98.6459999999,-93.5420666667,-95.8335333333,-100.4168,-122.864866667,-69.1668666667,-73.9585333332,-96.6668666667
226.88,-55.4387333333,-69.4736666667,-70.0877333333,-71.4036,-74.8245333333,-93.6842333333,-52.807,-58.9472666667,-73.5087333333
227.26,-22.3949333333,-29.0614666667,-29.5145333333,-29.5146666667,-29.4498,-42.5240666667,-22.5890666667,-19.4822666667,-30.8090666667
227.64,-32.3297333333,-44.7310666667,-48.4586666667,-43.6559333333,-45.1612666667,-59.5342,-39.4266,-33.6200666667,-42.6523333333
228.01,-25.0314,-36.7924,-40.566,-37.1069333333,-39.6856666667,-46.4466333333,-31.7610666667,-26.3521333333,-33.2704
228.39,-17.4444666667,-28.0556666667,-30.4444,-30.7222,-32.1110666667,-33.3889333333,-25.1665333333,-17.9444666667,-23.6667333333
