wavelength,Back_GeoConf,Belly_GeoConf,Breast_GeoConf,Crissum_GeoConf,Crown_GeoConf,DorTail_GeoConf,Patch10_GeoConf,Rump_GeoConf,Throat_GeoConf,WingTip_GeoConf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,82.2222666667,91.3335,64.0,58.2222666667,79.5555333333,80.4443333333,56.8888,88.2961555556,48.0000666667,69.3333
179.16,114.666666667,122.2223,118.222133333,86.6665333334,113.333533333,114.222266667,93.3334,114.518577778,99.9999999999,97.3333666668
179.54,46.6666666666,72.4999999999,83.3333333333,36.6666666667,59.9999999999,117.5,74.1666666668,96.9444444445,33.3333333334,57.9166666667
179.93,45.3333333333,42.6666666666,16.0000000001,49.3333333333,96.0000000001,45.3333333333,113.333333333,45.7777777778,140.0,85.9999999999
180.31,78.5262,88.6315333333,91.7895999999,60.2807333334,71.6492666667,92.6314000001,55.9298,95.2981555555,53.0525999999,67.7894333333
180.69,78.2077999999,88.2437666667,93.0466,57.7062,70.6093333334,96.0573333333,55.3406,96.8936666667,52.3297333333,67.9211
181.07,83.6364666667,102.9004,111.4286,63.9826666667,80.5194,112.2078,61.4718,109.927866667,65.5410666667,74.1559
181.45,77.6851999999,95.7870000001,106.018533333,58.9814666667,76.0185333333,110.740666667,57.4074,107.808666667,65.5555333334,67.9167
181.83,77.4130666667,90.1492000001,102.2886,52.3384,74.5273333334,105.4726,56.4178000001,108.623711111,67.3630666666,62.7364
182.21,73.8333333334,85.0,92.5833333333,48.5000000001,71.9999999999,98.8333333333,55.5833333334,103.277777778,67.7499999999,61.2083333333
182.59,68.8889333333,74.8658333334,85.1341333332,42.9885333333,69.8084,92.6435333333,54.1764,95.2489555555,63.1417333334,59.8466666667
182.97,80.1801333334,84.0540333333,99.0090666667,47.3872666666,84.8648666667,107.2072,68.4683999999,113.1532,73.7838666665,71.1260333333
183.35,75.5222666667,86.6669000001,100.199066667,43.3830666666,87.2637333333,113.2338,67.7612,115.091244445,77.7112666668,70.0000333333
183.73,69.1525333333,90.5084666667,105.988666667,34.9153333333,94.1242000001,115.706066667,62.5989333334,110.357844444,78.4180666667,64.5763
184.11,61.091,90.3636333334,104.000066667,21.6972000001,91.0302666667,115.878733333,50.7880000001,109.939444445,77.8181999999,62.3029666667
184.49,51.8518,79.2592333333,91.1112666666,19.5063333333,75.4320666666,103.827266667,48.2717333333,99.9999555555,75.1851333334,48.7654
184.87,58.209,80.3980333333,86.0696000001,30.6468666667,72.1394000001,95.622,54.1295333333,95.8208888888,72.6367999999,53.0846333333
185.25,57.2648666667,66.6239333333,75.6409333333,33.1625333334,63.2478666667,86.9231333334,55.9828666666,88.2622222224,63.6751999999,54.8717666667
185.63,60.965,77.6315333333,80.8771333333,38.1578666667,68.7718666667,92.8948666668,62.2806666667,94.0643555554,65.0000666667,59.4299
186.01,68.3333333333,87.3749999999,88.3333333335,48.0,72.6666666667,97.1666666666,65.5833333332,96.0000000001,70.0000000001,71.4583333333
186.39,71.7591333334,96.2499666665,99.2593333332,56.4816,79.8147333333,107.2222,77.7777999999,104.7222,82.4074666666,85.9259333334
186.77,79.4386,100.0702,97.8945333333,63.5789333333,83.2982666666,110.245666667,85.1227999999,101.403466667,85.0524666667,88.8069333333
187.15,80.3269333333,102.745133333,99.2811333333,64.7712,84.5751333333,115.424866667,90.4576000001,101.263644445,87.3201999999,92.0915333333
187.53,86.9999999999,101.966666667,101.6,65.4,83.7333333332,120.4,98.5333333332,104.688888889,91.4666666668,98.7666666667
187.91,85.0724666667,102.4275,102.7536,66.5216666667,80.3622666667,126.3044,103.115866667,109.275422222,90.2898666667,101.449233333
188.29,88.5522666667,105.622866667,105.050533333,73.0639999999,84.7810666667,131.5824,113.8048,112.794666667,93.0641333333,106.498433333
188.67,103.723066667,131.2555,129.3506,82.6839333335,105.7144,162.2512,137.8356,142.337666667,109.437266667,133.160233333
189.05,104.5334,134.8445,132.088866667,85.7777333335,114.755533333,168.7112,144.177733333,147.407355555,115.733333333,134.533433333
189.43,96.8074666667,134.788766667,129.389666667,78.8733333333,113.051666667,168.5446,138.122,145.477466666,109.671466667,131.9718
189.81,74.1905333333,108.476133333,115.4286,51.3332,95.619,148.2858,116.190533333,125.523888889,83.6189333333,116.095266667
190.19,77.1979333333,115.0724,124.637733333,59.4202666667,105.7972,159.613666667,124.830866667,130.917933333,88.2124666667,115.797033333
190.57,78.4888666667,107.200033333,117.155666667,55.8222,99.8222,151.733466667,115.288866667,120.237111111,81.5111333333,105.9111
190.95,74.5098,114.052266667,131.634,52.1568666667,113.072,183.921533333,129.1504,140.653622222,84.7057999999,112.549133333
191.33,56.8518,113.0556,136.4816,19.2592666667,119.444466667,208.1482,119.4444,148.395088889,72.9629333333,101.018633333
191.71,48.2354,117.549033333,130.980333333,8.62753333334,123.725466667,211.568666667,116.078333333,156.731977778,56.8628,99.7059333332
192.09,54.9383999999,96.111,100.246866667,24.4444,98.0246666665,146.913533333,89.1357999999,121.728355555,59.3828,85.4320000001
192.47,25.6911333333,67.4797666667,81.7886666666,-18.2113333333,81.7885333333,131.382133333,70.2438666667,105.962111111,35.6098,62.8454333333
192.85,24.4444,62.8395333335,71.3580000001,-10.8642666667,67.7777333334,101.852,63.2099333334,82.3046222222,28.8888666667,62.2838
193.23,21.5384666666,64.1667000001,74.6155333333,-11.4103333333,67.6923333333,101.666533333,60.7692666667,85.0855111112,22.8204666667,67.5641333333
193.61,23.8992000001,61.2578333335,71.4465999999,-10.9434,64.0251333333,94.3396666666,65.6603333332,78.658288889,21.7610666667,65.9118333333
193.99,34.3030666667,69.3334,72.7272,9.93933333334,65.2122,101.212133333,74.5454666667,81.2929333333,34.1818,70.4242333333
194.37,27.2548666667,60.8332000001,60.294,10.2940666667,48.3335333333,80.8825333334,61.4706666667,70.4248222223,33.6273333333,65.6862
194.75,19.5833333333,55.3750000001,49.3333333333,12.5833333333,44.3333333333,70.7500000001,54.4166666667,60.3611111111,28.5833333334,56.2083333333
195.13,19.3750666667,48.8889333333,44.7916666667,10.6945333333,37.9166666667,57.8472000001,49.1665333333,52.0370666667,22.3611333333,51.5624
195.51,27.7876,50.2065,48.9675333333,23.0678666667,41.9469333333,55.9883333333,52.5664666667,55.2015777778,26.8436,56.5487333333
195.89,25.92,48.56,47.04,24.96,41.28,51.3066666667,48.3733333333,50.3111111111,28.4266666667,53.4666666667
196.27,18.0458666667,45.6034,40.4597333334,19.1376666667,38.046,46.2068666667,46.8965333333,44.0038888889,21.7814666667,47.0689333333
196.65,23.3073333333,49.2247666667,45.3746,29.7673333333,43.9794666667,52.9715333334,49.1470666667,47.4934444444,27.3902,50.4393666667
197.03,20.4285333333,46.8570666667,40.4762,31.1428666667,43.4762,51.7143333333,46.5714,44.3332888889,28.381,43.8572
197.40,17.8390666667,43.954,37.5172666667,27.6322,41.3792,46.3908666667,44.0,39.2337111111,25.7472,41.2873666667
197.78,11.5289333333,41.8546333333,34.4862,22.6566,40.0502666667,46.5665333333,42.3559333333,38.8470222222,23.0577333333,39.8495666667
198.16,4.83773333334,42.0058666667,33.0384,19.2331333333,41.4158666667,47.0206666667,46.6078666667,41.1995777778,20.4129333333,43.1564666667
198.54,-6.12246666667,32.8911333334,24.8979333334,9.52373333333,37.347,43.4693333333,43.4693333334,34.1042444444,8.09526666667,34.2516
198.92,-18.6008,25.9670666667,18.1893333333,-3.1276,33.1686666667,36.1316,41.3169333333,28.4226444445,-2.46906666667,30.0823
199.30,-39.0323333334,20.5914666667,9.35486666666,-22.5805333333,28.8172,31.1827333334,32.7957333333,22.8316666667,-12.6882,23.1183
199.68,-73.8364666667,8.23896666666,-8.17626666666,-48.8051333333,3.77360000002,17.9874000001,23.6478666667,4.10904444445,-33.4591333333,2.39006666666
200.06,-88.7944000001,-1.27656666674,-13.475,-55.7445999999,-3.82980000001,18.5813999999,25.8155333333,0.37833333332,-44.8228666667,-1.91486666666
200.44,-66.2070000001,-3.046,-11.8392,-41.3794,-1.03460000002,17.1263999999,19.1953333333,3.14184444444,-30.6896,0.2874
200.82,-72.9411333334,2.81046666666,-16.732,-54.3791333333,-4.4444,10.4576,27.3202666667,4.66222222222,-30.8496666667,-3.07183333332
201.19,-255.666666667,-87.0,-133.0,-239.333333333,-112.666666667,-75.0000000001,-33.0000000001,-94.0000000001,-185.666666667,-92.1666666666
201.57,-707.407333333,-344.074033333,-438.518466667,-660.000066667,-410.370333333,-286.6668,-251.111,-331.851777778,-565.926,-332.592633333
201.95,-311.579,-149.298166667,-202.806933333,-292.2806,-182.1054,-154.385933334,-121.052733333,-176.491266667,-284.210533333,-156.842066667
202.33,-185.0,-85.4166666667,-122.083333333,-176.25,-124.791666667,-98.3333333334,-88.125,-119.583333333,-182.5,-99.1666666668
202.71,-319.2594,-151.4814,-234.0742,-319.6296,-220.0,-215.925866667,-195.185066667,-245.432244444,-335.185133333,-183.888833333
203.09,-470.2564,-245.384533333,-374.871733333,-462.563933333,-309.2308,-350.256466667,-302.564133333,-387.008688889,-500.000066667,-319.230866667
203.47,-283.8096,-139.999866666,-233.968266667,-253.333133333,-185.079333333,-209.206333334,-169.523866667,-242.539622222,-306.031933334,-201.1112
203.85,-257.6,-143.333333333,-231.2,-225.866666666,-158.4,-209.066666667,-184.8,-231.377777778,-270.666666667,-186.133333333
204.22,-258.809533333,-149.047633333,-243.333266667,-233.333333334,-169.5238,-237.142866667,-217.380933333,-251.666666667,-277.619066667,-214.642766667
204.60,-320.869733333,-185.6522,-305.797066667,-292.463866667,-215.072533333,-280.2898,-286.9566,-331.400911111,-346.376933333,-262.463733333
204.98,-276.9048,-174.762,-265.476133333,-250.952333333,-205.238133333,-239.5238,-262.857133333,-295.793555556,-317.381066667,-225.119
205.36,-228.952266667,-154.7619,-230.857066667,-205.143066667,-181.142933333,-198.285733333,-216.1906,-241.396844444,-259.4284,-194.1906
205.74,-216.576533333,-137.747866667,-220.180066667,-194.234266667,-176.036,-186.126133333,-189.189266667,-231.351444445,-232.2522,-191.081133333
206.12,-922.0,-612.333333333,-906.666666666,-819.999999999,-793.333333333,-798.666666667,-834.000000001,-977.333333333,-966.0,-869.999999999
206.50,-1818.66666667,-1228.0,-1946.66666667,-1702.66666667,-1602.66666667,-1660.0,-1708.0,-2064.0,-1964.0,-1896.0
206.87,-325.432133333,-219.259266667,-352.098733333,-280.246933333,-278.024733333,-274.320933333,-297.037,-359.6708,-351.604866667,-330.123533333
207.25,-180.310133333,-114.3411,-193.488333333,-146.5116,-160.310133333,-134.1086,-160.0,-196.020755555,-191.007733333,-166.976733333
207.63,-192.820533333,-126.410433333,-219.3162,-168.375933333,-177.094,-164.444466667,-181.3674,-226.039822222,-212.136733333,-180.8548
208.01,-149.999866667,-103.1062,-186.5152,-131.5152,-152.727333333,-136.363533333,-144.5454,-197.525177778,-175.7576,-145.4547
208.39,-181.111066667,-131.944433333,-221.296266667,-140.1852,-194.073933333,-161.481533333,-166.296266667,-236.234577778,-207.037066667,-167.3147
208.77,-372.380933333,-270.476266667,-423.809466667,-264.4444,-384.444333333,-346.031666666,-303.174666667,-439.682577778,-402.5398,-327.618966667
209.14,-1589.33333334,-1134.66666666,-1873.33333333,-1048.0,-1501.33333333,-1549.33333333,-1269.33333333,-1818.22222222,-1638.66666667,-1442.0
209.52,-282.500066667,-187.638933333,-329.166866666,-144.166666667,-247.499933333,-266.944466667,-206.666733333,-327.962955556,-274.166733333,-250.277633333
209.90,-294.333333333,-199.5,-348.333333333,-99.3333333333,-243.0,-290.666666667,-225.666666667,-384.111111111,-296.666666667,-254.333333333
210.28,-123.333333333,-85.3333333333,-154.666666667,-23.5,-99.1666666667,-125.333333333,-86.0,-175.0,-114.833333333,-104.083333334
210.66,-58.0246,-32.7161666667,-73.9504666667,21.4816,-37.2840666667,-57.1606666667,-28.8888,-88.0657999999,-46.7900666667,-37.3458
211.03,-102.592466667,-56.8518333332,-118.8888,13.3332,-68.8889333334,-103.5186,-48.3334,-146.4816,-72.2222666667,-67.963
211.41,-212.463733333,-149.999933333,-237.391333333,-26.6666,-156.8116,-242.898466667,-127.826066667,-285.120688889,-178.550666667,-171.449366667
211.79,-132.190533333,-84.0952999999,-131.047666667,6.47613333333,-82.8572000001,-130.095133333,-63.8094666667,-166.031644445,-89.1428666667,-85.1429333332
212.17,-452.777733333,-280.555666667,-384.444266667,-1.11119999993,-285.555666667,-398.333333334,-219.4444,-531.666711111,-288.888866667,-295.000033333
