wavelength,Back_GeoConm,Belly_GeoConm,Breast_GeoConm,Crissum_GeoConm,Crown_GeoConm,DorTail_GeoConm,Patch10_GeoConm,Rump_GeoConm,Throat_GeoConm,WingTip_GeoConm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,76.8888666667,68.8888,76.0001333333,70.6667333332,102.222266667,79.5556666667,71.5555,81.3334,92.8887999999,72.8887333334
179.16,93.3334000001,111.5555,110.222266667,121.333333333,93.3331999999,119.555466667,83.7776333333,106.666666667,120.888933333,110.666666667
179.54,80.0,77.5000000001,86.6666666667,56.6666666667,78.3333333333,135.0,71.6666666667,120.833333333,98.3333333333,89.9999999999
179.93,9.3333333334,5.33333333334,16.0000000001,73.3333333334,-6.66666666661,-10.6666666667,26.6666666667,-15.9999999999,1.33333333334,18.6666666667
180.31,74.4560666667,86.2806000001,99.6492,91.228,95.1578666666,101.263133333,77.8246333333,102.5966,106.175466667,94.8069333334
180.69,76.2007333333,88.6381,106.1648,93.5483999999,95.4122000001,106.666666667,81.0753000001,105.5912,107.0968,96.2007333334
181.07,82.5972666665,102.294466667,127.445933333,113.2468,104.8484,122.770666667,92.4242333333,120.865733333,121.1256,107.792133333
181.45,89.074,99.9536333333,130.8334,115.370466667,107.777733333,125.277666667,94.1667666666,125.1852,120.740733333,106.8518
181.83,88.4576666667,100.0497,138.706466667,115.920266667,111.0448,126.5672,91.4925333333,123.2836,121.592066667,110.0496
182.21,80.25,90.8333333333,126.833333333,108.916666667,102.25,114.5,86.375,111.5,110.5,97.8333333333
182.59,77.2414666667,85.0573333333,120.842733333,101.379266666,98.4675333334,105.977066666,79.8467666667,98.4674,105.1342,91.1877333333
182.97,95.2252666665,100.4954,144.324333333,119.009,117.027133333,119.8198,98.4236,114.054133333,127.657666667,105.5856
183.35,99.7015333333,98.9055666668,152.5372,123.781066667,114.527266667,130.447933333,102.4876,125.2736,138.905533333,103.880533333
183.73,106.666666667,95.7061666667,156.497066667,132.655333333,118.531133333,132.090466667,108.531066667,129.152533333,141.13,105.988733333
184.11,104.3636,89.0303666667,156.242466667,131.515066667,118.303,130.424133333,112.606133333,129.091,134.545333333,101.5758
184.49,97.9013333333,81.2963,148.271533333,116.913666666,103.4568,123.827333333,98.8889,114.691333333,126.172866667,94.1974666665
184.87,92.1393333333,72.9851000001,131.940333333,108.656666667,104.477466667,111.243733333,91.3930333333,102.885666667,119.900533333,87.8606666667
185.25,94.0170000001,68.5042666667,117.094,95.983,96.4958,102.564066667,83.2905333333,94.3590666668,112.820466667,87.9487999999
185.63,97.2806666666,71.0964,120.350933333,99.1228000001,107.719266667,100.438533333,93.2017333334,93.8596666669,120.964933333,95.2631999999
186.01,101.0,71.1666666667,120.416666667,107.5,112.75,100.583333333,98.9166666667,97.9166666668,125.166666667,97.5
186.39,116.851866667,79.074,131.9444,119.6296,128.425933333,112.037066667,106.25,108.796333333,141.759133333,115.185266667
186.77,112.982533333,80.5963666666,121.8246,115.438533333,120.9122,109.613933333,104.8422,111.157933333,130.105266667,111.228
187.15,112.679666667,83.8889000001,117.712333333,115.817133333,118.6928,108.692666667,99.3464333334,112.549133333,130.784333333,113.398666667
187.53,119.066666667,91.0666666666,122.733333333,118.8,126.133333333,108.533333333,104.833333333,113.333333334,134.4,118.133333333
187.91,120.942,92.4999333334,126.159333334,119.202866667,133.260866667,111.3044,101.884,112.4638,139.420333333,121.5942
188.29,127.4074,98.7205,131.447666667,121.616266667,137.575733333,117.3064,104.814833333,117.508466666,141.885466667,123.367066667
188.67,157.922133333,116.320366667,160.2598,151.515066667,178.268466667,143.982666667,131.645066666,148.052,179.220866667,150.9958
189.05,168.888733333,126.044466667,164.177666667,158.488866667,181.155533333,147.911066667,137.9999,159.111066667,183.0222,161.422266667
189.43,161.032666667,117.981266667,158.309933333,159.6244,183.2864,144.788733333,136.244033333,158.4976,179.812266667,160.093866667
189.81,139.999933333,98.9999333333,134.0952,141.2382,160.666666667,132.762,116.4286,141.333333333,161.714333333,140.571333333
190.19,147.8262,107.584633333,136.328533333,154.2996,165.603866667,141.7392,123.526533333,149.5652,169.372,149.951666667
190.57,136.0,101.288933333,131.7332,147.8222,150.2222,127.822266667,119.200066666,137.066666667,154.044466667,138.6668
190.95,163.137266667,114.378966667,153.071866667,183.0066,182.745133333,144.705733333,137.320466667,157.516266667,182.8758,167.9738
191.33,186.8518,113.611166667,166.481533333,202.777733333,213.703733333,154.4446,159.537033333,165.370533333,201.8518,199.815
191.71,190.196,93.6273666667,160.7842,207.254933333,211.3726,151.372666666,155.882233333,156.666733333,200.9802,204.509733333
192.09,141.605,75.4939000001,119.3826,158.518666667,146.7902,111.975266667,126.6666,124.938133333,144.6914,155.3086
