wavelength,Back_GeoDifm,Belly_GeoDifm,Breast_GeoDifm,Crissum_GeoDifm,Crown_GeoDifm,DorTail_GeoDifm,Patch10_GeoDifm,Rump_GeoDifm,Throat_GeoDifm,WingTip_GeoDifm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-178.333333333,-97.5000000001,-123.333333333,-125.0,19.9999999999,-95.0000000001,-26.6666666667,-88.3333333335,-48.3333333333,-130.0
179.16,84.4444666666,178.889,226.666666667,144.4444,211.111133333,131.111133333,213.3334,191.111133333,197.777666667,131.111133333
179.54,-21.4814666667,-37.7778,-20.0000666667,-38.5185333333,-89.6297333333,-52.5925333334,-43.7037333333,-85.926,-35.5555333333,-55.5556666667
179.93,-120.0,-25.0,-66.6666666667,-31.6666666667,-140.0,-68.3333333334,-230.0,-205.0,-160.0,-130.0
180.31,47.2727333333,23.8637000001,29.3939333333,36.3638,-16.8183333333,39.8484666667,-11.6667333333,-13.7878666667,-9.0908,34.8483333333
180.69,36.1905333333,21.1310333333,25.7144,30.7143333333,-11.4285333333,30.9523333333,-11.6667333333,-14.4048,-2.14293333332,32.5
181.07,27.2414666667,17.8161333333,18.8506,25.2873333333,-13.2184,27.7012,-13.7930666667,-13.1034666667,-2.06913333332,21.8389333333
181.45,32.5253333333,24.6465000001,36.7676666667,32.0203333333,-0.60606666666,36.6666666667,-1.61613333334,-3.13126666668,7.07066666668,31.9192666667
181.83,36.0714,28.9882666667,42.0237333333,45.0,3.57139999997,49.4048666667,-9.76193333333,3.57140000002,2.97626666667,40.2380000001
182.21,30.0776000001,11.0077666667,28.3722,33.7985333333,-23.876,38.9146666666,-24.4959999999,-6.5116,-11.9378666666,32.5582666667
182.59,-2.27273333332,-17.2728,1.0606,3.18193333334,-46.9696666667,10.3030666667,-59.8483999999,-33.9394666667,-45.9090666666,-1.96966666668
182.97,-87.3016,-97.1428666666,-57.1428666667,-71.4286,-184.444466667,-72.6984000001,-212.063533333,-170.7936,-166.349133333,-99.0475999999
183.35,-286.6666,-305.454566667,-258.182,-283.636466667,-481.212066667,-254.545666667,-569.090866667,-462.424133333,-451.515066667,-369.697
183.73,2193.33333333,2260.0,1960.0,2193.33333334,3480.0,1966.66666667,3920.0,3293.33333333,3203.33333333,2810.0
