wavelength,Back_GeoFulm,Belly_GeoFulm,Breast_GeoFulm,Crissum_GeoFulm,Crown_GeoFulm,DorTail_GeoFulm,Patch10_GeoFulm,Rump_GeoFulm,Throat_GeoFulm,WingTip_GeoFulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,53.3333333333,63.3333333333,3.33333333326,13.3333333333,-43.3333333332,100.0,186.666666667,-76.6666666667,36.6666666669,93.3333333333
179.16,-4.76173333332,19.5237333333,-20.4762666667,-5.71433333332,2.8572,32.8572666666,5.23813333331,21.9048,11.9048666667,7.14293333336
179.54,-52.7273999999,-40.6062,-100.606066667,-71.5150666667,-81.2122,-33.3332,-81.2119999999,-52.7272,-61.2121999999,-70.3031333333
179.93,284.444466667,211.111066667,264.4444,260.0,197.7778,117.777666667,166.6666,282.222266667,155.555533333,117.777866667
180.31,-53.3332666667,-9.12286666666,-87.8947333335,-40.1752666667,-44.5613333333,34.9122000001,-22.1052666667,-40.3508666667,-28.7718666666,-30.7016666667
180.69,-78.0180666665,-27.0269333333,-122.162266667,-60.3604000001,-80.3602666667,20.1802666667,-41.8018,-71.5316,-52.973,-52.2521999999
181.07,-103.8096,-41.5238,-153.5238,-78.0952666666,-111.0476,6.28573333326,-77.1427999999,-92.1904666667,-72.0000000001,-70.2857333333
181.45,-184.848533334,-88.7879333334,-250.909066667,-125.454533333,-202.424266667,-15.4545333334,-128.4848,-173.030333333,-127.8788,-111.5152
181.83,-309.523866667,-129.523733333,-388.095266667,-171.428533333,-307.618933333,-37.1428666667,-164.285866667,-273.809466667,-181.9048,-163.809333333
182.21,-232.5,-62.0833333334,-315.833333333,-78.3333333335,-236.666666667,-15.4166666666,-96.6666666667,-195.416666667,-130.0,-120.833333333
182.59,-821.333333333,-292.0,-1132.0,-272.0,-861.333333334,-162.666666667,-500.0,-734.666666667,-421.333333334,-448.0
182.97,484.0,174.666666667,617.333333334,146.0,474.0,132.666666667,275.333333333,433.333333333,254.0,244.0
183.35,306.315866667,139.298333333,384.561466667,126.6666,304.210466667,140.701733333,206.666666667,288.771933333,184.912266667,166.3158
183.73,224.6154,93.0768,266.666533333,77.4359333333,223.076933333,84.3590666665,142.820533333,199.230666667,139.2308,112.564066667
184.11,195.913933333,99.785,236.1292,72.258,209.032266667,85.5915333335,141.0752,186.236533333,136.7742,112.042933333
184.49,185.252666667,105.858533333,237.9798,91.3131333333,201.010066667,88.4847999999,136.5658,176.969733333,136.5656,101.010066667
184.87,151.0526,82.2808,188.947333333,67.3683333334,154.2106,67.193,112.456133334,140.877333333,108.070266667,74.0351333333
185.25,106.143733333,65.0979333335,139.085,45.7516666667,101.6994,45.0981333334,72.8103999999,100.914933333,76.2092,55.6862000001
185.63,90.1886,55.4716666666,130.943266666,33.4591333333,81.6352,33.4592666667,64.1510666667,87.0441333333,64.0252666667,47.9245333333
