wavelength,Back_GeoMagm,Belly_GeoMagm,Breast_GeoMagm,Crissum_GeoMagm,Crown_GeoMagm,DorTail_GeoMagm,Patch10_GeoMagm,Rump_GeoMagm,Throat_GeoMagm,WingTip_GeoMagm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,49.5833333333,53.125,41.6666666667,61.6666666667,62.4999999999,45.0,60.8333333334,40.8333333333,43.75,35.8333333333
179.93,50.9524,90.0000666666,86.6667333333,45.2380666667,63.8095333334,60.9523333333,69.0474000001,40.9523333333,33.3334666667,55.0000666667
180.31,65.9999999999,114.5,116.5,57.5,103.333333333,56.9999999999,74.0000000002,41.5,26.25,49.4999999999
180.69,78.4614666668,122.564033333,134.871866667,69.4017333333,122.2222,69.4017999999,77.0939333335,44.4445333333,22.4787666667,60.5129333333
181.07,102.069066667,153.908,180.9196,76.5517333333,165.747066667,97.0114666665,103.218466667,42.5288666667,26.4366666667,89.5402333331
181.45,282.424266667,440.909133333,504.848533333,229.697,455.151533334,254.545333333,291.5152,110.303133333,123.030266667,261.818233333
181.83,1730.0,2498.33333333,2976.66666666,1260.0,2653.33333333,1696.66666667,1513.33333333,633.333333333,918.333333334,1568.33333333
182.21,-345.925866667,-481.481533333,-625.1852,-239.2592,-557.777733333,-313.333333333,-308.888933333,-135.555533333,-217.407433333,-297.036933333
182.59,-92.6190666668,-115.237966667,-164.285866667,-38.0952,-153.333266667,-79.9999333333,-67.1428,-10.7143333333,-50.1190666667,-66.5475999999
182.97,-65.0450666667,-83.1531333334,-121.6216,-13.6936666666,-115.135133333,-64.5046000001,-59.0990666668,-5.58559999999,-32.4324333333,-57.9278666667
183.35,-75.1516000002,-92.1212333334,-130.909133333,-24.2424666667,-139.191866667,-72.5253333334,-73.1313999999,5.45459999999,-44.6464999999,-80.9091333333
183.73,-73.3333333334,-65.7896666667,-117.7192,-32.2807333333,-122.982466667,-82.4562666667,-65.4385333333,-3.68433333333,-40.0875999999,-72.0175333333
184.11,-99.4871333332,-93.5042333333,-141.367533333,-85.1281333333,-153.8462,-101.0256,-90.4273333333,-32.8204666667,-68.1198999999,-89.6581666667
184.49,-96.3440666667,-88.9247666667,-153.5484,-78.0643999999,-159.354733333,-108.171933333,-90.3226000001,-17.8494,-72.3655666665,-92.9031999998
184.87,-193.333333333,-177.058933333,-274.117733333,-173.3334,-290.588266667,-209.019733333,-203.921533333,-59.9999333332,-162.7451,-186.862733333
185.25,412.727266667,376.969633333,519.393866667,395.757666667,530.303066667,422.424066667,478.181866667,226.6666,372.121133333,380.302933333
185.63,138.166666667,115.083333333,156.666666667,134.333333333,162.5,130.333333333,154.833333333,94.0,127.25,127.75
186.01,113.333333334,100.404233333,143.636333333,125.2526,141.010266667,100.202066667,147.4748,76.1616666667,95.8584666667,113.434333333
186.39,91.7172,70.7069999999,115.7576,115.555533333,120.202133333,82.2222666666,118.585866666,50.1010666666,71.8182333333,93.0303666667
