wavelength,Back_GubCrim,Belly_GubCrim,Breast_GubCrim,Crissum_GubCrim,Crown_GubCrim,DorTail_GubCrim,Patch10_GubCrim,Patch11_GubCrim,Patch12_GubCrim,Rump_GubCrim,Throat_GubCrim,WingTip_GubCrim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-188.333333333,-140.0,-68.3333333333,-125.0,-150.0,-102.5,-141.149425287,-74.9999999999,-131.666666667,-145.0,-206.666666667,-119.166666667
179.16,-31.6666666668,28.888888889,-18.3333333333,-51.6666666666,-6.6666666666,4.16666666666,-9.25287356323,41.6666666667,-4.16666666665,-18.3333333333,6.66666666665,10.8333333333
179.54,34.375,41.6666666666,61.4583333333,42.7083333333,45.3125,50.78125,44.0373563218,73.4375,37.7604166667,54.6875,42.1875,67.1875
179.93,85.2564166667,52.9913333333,102.56425,101.282,83.9744166668,109.615416667,96.2201063218,89.1025,66.987,73.7178333333,71.1539166667,106.73075
180.31,20.33575,21.3931111111,34.826,30.2238333333,31.0943333334,42.3507083333,40.3006695402,42.66175,26.5234583333,33.3954166667,21.8284166667,50.653
180.69,16.8934166667,20.0302222222,34.35375,29.5353333333,27.9479166667,40.8729583333,39.9757327586,40.5895833333,24.801625,31.5760833333,20.8615833333,44.5010833333
181.07,27.0696666667,27.0152222222,42.1569166666,39.16125,37.0370833333,49.455375,50.6498275862,51.14375,34.9399583333,39.9780833333,32.89775,50.9530416667
181.45,26.3690833333,25.0793333333,43.869,44.5834166667,38.3928333333,52.9464583333,55.2340948276,56.1309166667,34.58325,41.0118333333,32.0833333333,54.2261666667
181.83,19.7333333333,17.3333333333,33.2,38.9333333333,33.6,50.0666666667,53.3103448276,53.6,28.1666666667,32.6,23.3333333334,49.1333333334
182.21,15.3393333333,15.7325555556,29.9410833333,34.80825,30.4573333333,47.4558333333,53.8016896551,55.7523333333,27.286,30.60475,22.1239166666,46.7182083333
182.59,6.68308333333,7.15066666666,23.34975,27.1454166667,19.7195,40.47025,46.136341954,50.5776666667,16.0479166667,18.06925,13.779,36.179875
182.97,-13.9815,-14.6912222222,4.72216666667,12.5925833333,5.83316666667,22.453625,28.2375373563,35.2775833333,-5.5555,-2.31466666666,-2.963,21.8054583333
183.35,-20.0855,-23.2193333333,0.64091666665,7.05133333332,0.747749999982,19.6581666667,23.9831494253,38.8889166666,-7.158125,-6.30349999998,-6.73075000001,14.5299166667
183.73,-23.136,-22.2221111111,-1.42533333332,10.52625,-5.70175000002,24.0131666667,26.3498103448,44.408,-7.94966666666,-11.51325,-3.72808333335,11.1294166667
184.11,-49.51925,-50.4272222221,-17.1474999999,1.60233333332,-17.6280833333,24.3590833333,24.85625,56.7308333334,-25.561,-37.8205,-14.4232499999,-10.497
184.49,-107.258166667,-108.960444445,-42.4731666668,-19.3550000001,-49.4622499999,21.6397083333,22.5250804598,89.7849166665,-58.6019166667,-78.7632500001,-49.7311666667,-45.6990833333
184.87,-149.333333333,-173.333333333,-85.6666666666,-58.6666666668,-81.9999999999,-21.5,-6.64367816085,91.3333333334,-115.333333333,-129.666666667,-96.3333333335,-68.6666666668
185.25,-328.125,-360.416666667,-240.625,-221.875,-222.395833333,-124.739583333,-110.721982759,31.7708333335,-306.770833334,-302.604166667,-270.833333333,-197.916666666
185.63,-217.361166667,-229.629666667,-147.222166667,-169.7915,-138.888833333,-93.4027083333,-78.3525086207,2.08333333326,-196.180583333,-197.916583334,-176.388833333,-142.534666667
186.01,-306.578916666,-322.806888889,-174.5615,-209.210333333,-200.0,-136.62275,-123.669066092,-28.0701666667,-263.377333334,-258.772083333,-223.2455,-198.684166667
186.39,-295.83325,-286.868555555,-187.5,-189.015083333,-172.727333333,-114.962041667,-124.960772989,-42.8029999999,-236.36375,-232.9545,-228.409,-188.825791667
186.77,-450.490333333,-397.385777778,-291.176333333,-273.039166667,-264.706,-201.715625,-199.847876437,-101.96075,-324.019625,-328.921666667,-350.980416667,-291.666583334
187.15,-392.98225,-309.356777778,-218.421166667,-230.701666667,-207.894666667,-144.95625,-152.238235632,-59.6491666666,-259.868166667,-268.420916666,-309.649083334,-252.850875
187.53,-415.416666667,-325.555555556,-232.916666667,-264.583333333,-234.166666667,-184.583333334,-183.376436782,-93.3333333334,-294.166666667,-312.5,-358.75,-262.708333333
187.91,2145.83333333,1822.22222222,1418.75,1529.16666667,1291.66666667,1134.375,1108.76436782,689.583333334,1712.5,1785.41666667,1966.66666667,1551.04166667
188.29,535.648166667,464.197444444,379.6295,398.148083333,346.296416667,325.000083333,297.174204023,227.314833333,450.925875,460.185166666,496.296333334,397.685208333
188.67,1074.074,893.82711111,750.925999999,776.851916667,712.037083333,679.166625,619.731747127,442.592583333,862.036833333,924.074,1019.44433333,774.537208333
189.05,374.69125,309.876444445,268.518416667,289.814833333,242.283916667,232.561583333,224.70199138,165.123583333,276.234708333,320.987833333,369.135916667,279.629666667
189.43,358.950583333,290.946444444,266.975166667,265.1235,229.938166667,227.777833333,212.14354023,155.555583333,238.7345,292.283916667,343.209916667,264.197583334
189.81,277.6315,234.795333333,232.236833333,203.070166667,196.710583333,188.377208333,175.695836207,143.201833333,180.482541667,228.947416667,263.815916667,206.798208333
190.19,267.324583334,214.912333334,236.40375,214.254583333,191.6665,189.473708333,174.009413793,149.561166667,175.548375,226.096583333,258.99125,207.675375
190.57,247.348583333,216.414333333,225.568083333,224.24225,194.886416667,194.12875,175.130399426,154.16675,175.189416666,213.636416667,235.606166667,210.890041667
190.95,191.228166666,172.904444444,182.89475,182.456,164.181333333,154.897666667,144.595658046,129.093666667,148.318875,177.193166667,185.672416667,166.228166667
191.33,207.269583333,194.089777778,214.539166667,213.652583333,188.475166667,175.088708333,159.776304598,146.8085,165.780208333,197.695,203.191416667,182.269375
191.71,199.444416666,184.197666667,209.074,205.185083333,173.148166667,155.185208333,139.348626437,132.777833333,156.203583334,185.185166667,188.33325,166.666625
192.09,186.564666667,175.510111111,193.877583333,195.74825,163.2655,141.156458333,134.916704023,126.02025,135.54425,159.693916667,179.761916666,155.442
192.47,163.562,147.494444445,173.856333333,175.326833333,145.098083333,118.8725,117.771048851,107.35275,111.76475,135.621083333,163.39875,136.192791666
192.85,154.807666667,133.333333333,172.436,165.865333333,137.019333333,103.525583333,106.216945402,111.378166667,116.025583333,136.378166667,147.916583333,131.41025
193.23,208.974416666,172.364888889,236.965666666,209.187916667,191.880333334,133.012791667,137.651083333,151.495666667,162.500083333,183.119833333,180.341833333,171.047041667
