wavelength,Back_HapRusm,Belly_HapRusm,Breast_HapRusm,Crissum_HapRusm,Crown_HapRusm,DorTail_HapRusm,Rump_HapRusm,Throat_HapRusm,WingTip_HapRusm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-30.0,30.0,36.6666666668,53.3333333333,270.0,-6.6666666666,106.666666667,216.666666667,196.666666667
179.16,10.6666666666,22.6666666667,22.6666666667,6.66666666666,-38.6666666667,51.9999999999,16.0,-13.3333333333,-38.6666666667
179.54,26.6666666667,60.6666666667,46.0,37.3333333334,26.3333333333,53.3333333333,44.6666666667,27.6666666667,29.6666666667
179.93,-28.0000000001,42.6666666667,-4.66666666674,-26.6666666666,-48.0,0.0,13.3333333334,-26.6666666667,-49.3333333334
180.31,-234.999933333,-103.888866667,-165.833366667,-183.888866667,-423.8888,-71.1111333333,-206.666733333,-332.7778,-307.777733333
180.69,-208.5714,-104.762,-150.714333333,-170.9524,-385.238066667,-67.1429333331,-193.333333333,-327.619066667,-291.904733333
181.07,-143.174466667,-86.6667333333,-106.031666667,-125.396733333,-240.317466667,-53.6507333333,-131.428533333,-223.1746,-195.5554
181.45,-129.206266667,-79.3651333333,-103.015866667,-107.301666667,-217.777733333,-44.7619333332,-116.8254,-218.412666667,-186.3494
181.83,-2693.33333333,-2380.0,-2723.33333333,-2580.0,-4613.33333333,-1413.33333333,-2673.33333333,-4753.33333333,-4213.33333333
182.21,434.4444,420.000066667,482.222133332,425.555666667,778.888800001,196.6668,446.666666666,807.777733334,724.444533335
182.59,181.2122,169.0908,202.727266667,180.606,338.787866667,50.9090666664,140.606,358.787866667,351.515133333
182.97,121.111133333,136.666666667,147.2222,158.888866667,266.666666667,13.8888666668,66.1110666667,308.333333333,273.3334
183.35,91.3333333332,110.666666667,122.0,143.333333333,174.333333333,41.6666666667,69.6666666668,223.666666667,208.333333333
183.73,108.888866667,164.444466667,187.7777,227.7778,257.777666667,37.2222666668,150.555466667,358.333266667,357.2222
184.11,87.4075333335,155.5556,223.333366667,233.3332,240.0,16.2962,114.074133333,416.296133333,411.851933333
184.49,36.6666666669,86.0,178.0,167.333333333,172.666666667,-36.0000000001,71.3333333331,338.0,334.0
184.87,9.52386666674,74.2856666666,250.952500001,217.142933334,192.381133333,-87.6189999999,58.0951333334,376.190466667,420.952466667
185.25,-14.7619333333,3.80953333346,119.047666667,78.5714000002,76.1905999999,-57.1428666668,-0.9523999998,154.761866667,177.619066667
185.63,-16.8626666665,7.0588666666,91.9607333334,68.6276000002,56.8627333333,-38.0392666665,15.2940666667,115.686266667,138.0392
186.01,-2.8571333334,9.52386666661,78.2539666668,49.5238666666,32.3809333334,-29.2063333333,18.7302000001,92.6984666668,113.968333333
186.39,52.0833333333,70.4166666668,145.0,105.416666667,69.9999999999,28.3333333332,62.0833333335,156.666666667,188.333333334
186.77,50.3030000001,60.6061999999,103.3334,70.5052000001,55.1514666667,49.4948666666,63.0302666667,108.2828,110.302933333
187.15,58.6666666667,54.6666666667,91.0000000001,57.3333333334,46.6666666667,52.3333333333,65.8333333333,98.8333333335,103.833333333
187.53,67.2548666667,46.8626000001,90.2940666667,40.5882,38.4314,51.7647999999,66.8627333333,103.3334,97.647
187.91,50.1149999999,33.908,56.4941999999,29.0805333333,25.5172666667,39.4251333333,38.0460666666,65.4024000001,59.1953333334
188.29,50.8334000001,31.2501333333,46.7188666667,25.5209333333,23.1251333333,29.5835333333,34.3750666666,58.8543333333,49.3750666667
188.67,56.5742,30.1852666667,46.1574666666,27.4074,23.5186,31.5740666667,34.5369999999,56.4814666667,47.5000666667
189.05,45.3139333333,17.2946666667,29.9033333334,11.4008,11.1111333333,23.4782,16.8116666667,44.4445333333,35.7489333333
189.43,52.1127333333,25.3522666667,31.6899333333,17.7464666667,17.8403333333,29.5774,20.8450666667,49.0140666667,40.2817333333
189.81,64.0963999999,38.4739333333,42.8915666667,33.5742666667,32.2088,44.4176666667,34.4578666667,59.7590666667,49.8795333333
190.19,71.5909333333,46.4394,49.0151000001,45.1516,44.0908666667,54.6970000001,48.2576666667,65.3788000001,55.9090666667
190.57,59.1246,35.9596666667,39.8651666667,36.3636666667,35.2189333333,44.3770666667,43.0304666667,54.2087333333,46.6665333333
190.95,59.1665333333,32.0454,35.9090333333,35.4546,31.288,40.6060666667,38.1061333334,48.3334,43.2576
191.33,54.7566666667,32.9588666667,38.8016333333,35.206,31.1610666667,40.5991333333,30.7865333333,43.2959333333,39.5506
