wavelength,Back_HapUnif,Belly_HapUnif,Breast_HapUnif,Crissum_HapUnif,Crown_HapUnif,DorTail_HapUnif,Patch10_HapUnif,Rump_HapUnif,Throat_HapUnif,WingTip_HapUnif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-29.5237333333,-37.6191333333,25.7142000001,27.6190666667,-21.9047333333,13.3333333333,25.7141999999,-20.9524333333,-15.238,-33.3332000001
179.16,-44.4444666666,-18.8887999999,-8.8887333334,35.5557333334,-44.4444,-63.3332333333,33.3332666667,-46.6667000001,17.7777333334,-53.3334666667
179.54,-21.3333333333,-58.6666666667,46.6666666666,60.0000000001,-30.6666666666,-5.99911231802e-12,24.0,-15.9999999999,25.3333333333,21.3333333333
179.93,-13.3334,-24.7368,-8.0702,-10.5262666667,-20.7016666667,-5.61413333334,-11.2280666667,-10.5263666667,-12.6314666667,-12.6315333333
180.31,-19.0476666667,-13.2143333333,-0.59526666666,30.5952666667,-32.619,0.41676666668,-11.5478,-31.9643333334,-17.7381333333,-10.1190666667
180.69,-7.72940000001,-0.62806666666,10.9177333333,37.681,-19.7101333334,7.7295,-2.89853333333,-18.8888999999,-4.73433333332,0.772933333332
181.07,-5.12066666667,8.16413333333,8.69566666666,39.7102666667,-19.6135333333,7.6329,-7.92286666666,-18.7441333333,2.12553333332,8.59906666666
181.45,-14.4792,5.3123,8.33326666668,36.7706,-25.4166666667,7.76033333332,-16.0417333333,-21.0417666667,-2.08333333332,7.5
181.83,-26.5537333333,5.8193,3.05080000002,25.0847333333,-33.4463333334,-3.50280000001,-31.6384666667,-29.3785000001,-12.4292666667,-1.921
182.21,-156.333333333,-38.4999999999,-43.0000000001,-0.666666666726,-168.0,-91.6666666667,-187.666666667,-166.0,-105.333333334,-81.0
182.59,-568.571533333,-177.619066667,-214.285733333,-99.9999999999,-584.761866667,-373.809533333,-644.761933333,-582.857233333,-363.8096,-354.285733333
182.97,562.963,249.629666667,262.962933333,253.333266667,576.296266667,449.629633333,691.852,597.407433333,371.851933333,374.814733333
183.35,295.4386,170.8772,139.649133333,167.3684,300.0,276.140266667,365.6142,296.666633333,200.3508,203.859733333
183.73,172.549066667,111.372433333,80.3920666668,99.4118,171.568666667,150.686166667,208.2354,166.078533333,108.2354,123.333333333
184.11,159.473666667,102.719333333,65.7895333333,97.7191999999,152.280733333,132.806966667,186.3158,141.4036,94.0352,107.193
184.49,131.186333333,94.0113999999,74.6892666666,91.7513333334,127.231666667,117.4576,151.073333333,119.3784,87.9096,100.0
