wavelength,Back_HemAtrm,Belly_HemAtrm,Breast_HemAtrm,Crissum_HemAtrm,Crown_HemAtrm,DorTail_HemAtrm,Patch10_HemAtrm,Rump_HemAtrm,Throat_HemAtrm,WingTip_HemAtrm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-75.0,-179.166666667,-133.333333333,-233.333333334,-58.3333333334,-120.833333333,-145.833333333,-329.166666667,-150.0,-350.0
179.16,58.3333333336,229.166666667,179.166666667,204.166666667,91.6666666667,91.6666666668,29.1666666667,275.0,154.166666667,275.0
179.54,189.583333333,187.5,239.583333333,150.0,112.5,157.291666667,250.0,172.916666667,264.583333333,260.416666667
179.93,33.3333333333,120.833333333,54.1666666668,77.0833333332,39.5833333332,29.1666666666,133.333333333,141.666666667,47.9166666668,95.8333333333
180.31,250.0,619.047666667,433.333416666,545.238,228.571416667,326.190333334,516.6665,577.380833333,427.381,620.238083334
180.69,461.111166667,1399.99991667,944.444416667,1327.77791667,411.111,720.833249998,1161.111,1313.88875,891.66675,1327.77783333
181.07,220.833333335,1591.66666667,862.5,1525.0,91.6666666667,508.333333334,1304.16666667,1129.16666667,608.333333332,1408.33333333
181.45,-46.666666666,-560.0,-303.333333334,-603.333333333,1.66666666675,-180.833333333,-641.666666667,-401.666666667,-126.666666667,-515.000000001
181.83,31.2499999998,-282.291666667,-84.3749999998,-346.875,26.0416666665,-55.7291666667,-346.875,-226.041666666,10.4166666668,-239.583333333
182.21,25.7576666668,-88.2576666667,-14.0151666667,-113.636333333,28.4091666668,-29.7347916667,-104.166583333,-49.6211666666,9.09108333333,-77.2727499998
182.59,42.7419166667,-33.3333333333,7.79575000002,-67.4730833333,42.742,3.76341666675,-49.1935000001,-0.268666666675,20.4300833333,-34.6774166666
182.97,73.4847500002,3.28291666665,48.7373333334,-30.5555833334,66.1615000001,35.73225,-15.4040833333,31.5656666668,48.4849166667,10.1009166666
183.35,97.436,25.6410833333,86.8588333332,-20.8333333333,96.1539166667,74.9998333333,-16.0256666667,64.7435833335,103.205166667,34.6155
183.73,130.302833333,54.1666666667,129.545583333,-25.37875,132.954583333,103.598458333,-2.65158333335,82.5758333333,142.803166667,54.1666666665
184.11,69.2708333333,22.1354166667,73.4375,-34.8958333333,74.7395833335,50.6510416667,-13.5416666667,47.1354166667,84.6354166667,22.3958333332
184.49,68.6110000001,17.2224166667,84.9999999999,-29.1666666666,76.1110833333,54.4444166667,-21.9444166666,45.0,94.1666666667,10.5555833334
184.87,58.7605833335,21.58125,71.7948333333,-3.20525000001,71.1538333333,53.0983333333,-10.2564166666,45.5128333334,92.5213333334,9.61525000003
185.25,26.8519166668,-15.27775,44.4443333334,-27.3148333334,44.2128333334,23.6111666667,-59.9536666667,10.4166666668,60.6481666668,-14.8148333333
185.63,24.0740833334,-15.04625,47.6851666667,-16.89825,51.1574166667,25.5785416667,-46.75925,19.9074166667,56.7129166668,-12.037
186.01,18.5416666667,-17.9166666667,32.9166666667,-21.6666666667,41.0416666666,18.75,-43.5416666667,16.6666666667,43.7500000001,-18.75
186.39,34.39725,2.65950000001,39.8936666667,-1.41841666665,49.2908333334,35.815625,-26.4185833333,27.8369999999,58.5107499999,0.70908333335
186.77,38.9705833334,-6.86258333332,43.13725,0.490083333342,59.31375,39.4607916667,-42.4020833333,21.5684999999,81.6175833333,-6.12749999997
187.15,29.7008333333,-19.4444166667,31.1966666667,5.98291666667,49.5727500001,24.358875,-46.5812500001,16.0256666667,62.6068333334,-11.3249166667
187.53,35.1695833333,1.12974999998,24.85875,15.9605,45.19775,22.3163333333,-20.6215,20.0564166667,45.6213333332,1.55366666667
187.91,26.7973333333,-12.0915833334,7.84316666667,8.98691666666,41.9935,4.90191666668,-39.21575,17.1569166667,34.9674166667,-8.82366666665
188.29,37.87875,-16.0984166666,-2.46208333333,7.95466666666,41.6666666668,9.09100000001,-49.4319166667,12.4999166667,32.3865833334,-13.25775
188.67,25.7093333333,-26.4184166666,-23.227,-7.2695,20.5674166668,-3.36883333334,-53.36875,3.36883333332,14.3617500001,-23.227
189.05,11.4583333333,-85.4166666667,-73.1770833333,-51.3020833334,-3.6458333335,-35.15625,-104.947916667,-24.21875,-24.4791666667,-58.0729166667
189.43,48.3333333333,-50.4761666667,-48.09525,-27.8570833333,21.9046666665,-16.9048333333,-57.143,-3.57141666668,-5.00008333342,-30.2381666667
189.81,63.8887500001,-41.8981666668,-25.46275,-10.8796666666,28.9353333332,-8.91191666668,-28.70375,12.037,-0.69433333325,-8.10183333333
190.19,81.1593333333,-96.37675,-61.9565833334,-24.6376666666,32.2463333334,-33.8767083333,-55.43475,20.6522499999,-5.43466666682,-23.9130000001
190.57,24.9999166665,656.94425,565.277833333,408.333333333,172.222333334,411.111166667,427.77775,180.5555,320.83325,322.222083333
190.95,40.4761666666,574.999916666,505.95225,378.57125,138.095083334,382.738166667,370.23825,151.190416667,352.381,252.381
191.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.71,213.888916667,-952.777750001,-783.333333333,-550.000083333,105.555583332,-476.38875,-497.222250001,83.333250001,-524.999999999,-172.222083334
192.09,115.972416666,-145.833333333,-113.888916667,-63.1944166667,120.138833333,-14.5833333333,-34.7222500002,88.8888333332,-39.5832500001,40.2779166667
192.47,74.0740833334,-43.8272500001,3.08633333335,-2.46916666668,84.8766666666,14.5062083333,13.2714166667,62.6543333336,13.8888333333,48.1480833333
192.85,233.333333333,-167.708333333,9.37500000025,-42.7083333332,258.333333333,7.81250000007,-15.625,182.291666666,-13.5416666667,201.041666667
193.23,163.157916667,38.5963333334,96.9296666666,58.7717499999,177.192916667,68.8597083332,47.3684166667,136.842333334,54.3860000001,144.298333333
193.61,106.896583333,41.0920833334,80.4598333334,43.1034999999,123.275833333,53.3045833334,37.3563333333,95.68975,50.8620833334,105.74725
193.99,84.8484166665,41.1616666667,50.0001666668,15.909,104.5455,45.3284583333,8.08091666665,71.7171666667,36.8686666668,82.5758333335
194.37,61.7816666667,45.546,40.6609166667,14.0805,69.2529166667,33.6925,12.5,43.5346666666,29.3103333333,65.2299166666
194.75,58.1196666666,49.7863333334,44.765,20.19225,61.6452499999,40.331125,19.124,41.1325833333,32.7992500001,60.7906666666
195.13,61.9046666666,57.6388333333,46.8254166667,29.4641666667,66.3689166667,45.2877083333,25.8929166667,45.1389166667,38.9880833334,67.0635
195.51,67.2295833333,63.8514166667,44.3695,31.3063333333,68.5810833333,43.243375,24.7748333333,45.0450833332,36.0360000001,73.3108333334
195.89,62.3656666667,64.9195000001,36.9623333334,20.2958333334,68.5483333333,32.9972083334,15.3225833333,43.1450833333,29.9730833332,74.0591666667
196.27,56.87825,58.201,26.4550833333,9.39158333332,58.0687499999,22.48675,11.1111666667,38.4920000001,22.3543333334,70.1057500001
196.65,70.1853333333,77.9629166668,20.18525,7.77783333333,76.2962499999,27.9629166667,11.29625,47.0371666667,20.5555000001,96.11125
197.03,59.6405,66.3399166667,14.3789166667,3.10458333335,68.4640833332,19.9347083333,6.86275000002,36.1110833333,19.6079166667,80.0653333333
197.40,34.6154166667,36.1110833333,-26.9230000001,-46.7949166666,40.8120833334,-16.1324166667,-31.8375833333,5.34183333335,-17.735,65.5982500001
197.78,11.3635833333,20.4545833334,-56.0606666665,-71.7171666665,20.9594999999,-43.5606666666,-49.7473333333,-1.76766666657,-42.4240833333,56.5655833333
198.16,-3.33333333325,-15.8333333335,-109.166666667,-141.666666667,1.25,-106.041666667,-95.4166666668,-36.6666666667,-89.5833333333,66.6666666666
