wavelength,Back_HemFlaf,Belly_HemFlaf,Breast_HemFlaf,Crissum_HemFlaf,Crown_HemFlaf,DorTail_HemFlaf,Patch10_HemFlaf,Rump_HemFlaf,Throat_HemFlaf,WingTip_HemFlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,120.370333333,74.0738888889,198.148222222,81.4813333333,109.259333333,124.074111111,200.000111111,112.963111111,164.814888889,107.407333333
179.16,-155.555555556,-144.444444444,-699.999999999,-88.8888888891,33.3333333333,-344.444444444,-522.222222222,-311.111111111,-522.222222222,-377.777777778
179.54,-130.555555556,-41.6666666668,-219.444444445,-125.0,-83.3333333332,-147.222222222,-150.0,-75.0,-161.111111111,-133.333333333
179.93,33.3334444444,-62.9629999999,151.851777778,81.4815555554,-77.7777777777,70.3704444443,48.1481111111,-48.1483333336,114.814777778,125.925888889
180.31,65.0603333333,34.4044444444,107.630444444,51.1378888889,43.1055555555,70.4148888889,87.817888889,65.7295555557,95.7163333334,88.7553333334
180.69,64.1024444446,32.7228888889,105.372555556,52.2588888889,43.4676666667,71.6728888889,86.3246666668,62.8816666667,90.7203333334,85.3482222223
181.07,63.0491111111,29.199,104.005111111,51.4213333333,41.0853333333,72.3515555555,80.2325555555,59.044,91.9896666666,87.5967777778
181.45,73.611,35.606,110.732333333,64.0152222222,51.2625555555,79.9241111112,82.8282222222,64.7726666668,99.873777778,97.6008888888
181.83,68.0135555556,35.2412222222,104.152555556,57.9123333333,47.138,74.7473333333,74.8597777778,60.7183333333,93.3783333334,92.9292222221
182.21,71.4285555554,34.3916666667,104.444333333,57.9895555556,49.7355555556,73.9683333335,73.1215555555,63.8093333333,92.4867777778,92.2752222222
182.59,74.4774444446,35.0935555555,104.950444444,63.8062222222,51.2652222222,75.3574444445,73.4873333333,62.706,97.3597777776,92.9593333335
182.97,83.6602222221,35.5554444444,116.993444444,68.6275555555,57.9085555556,88.7584444444,80.7843333332,66.928,110.326777778,104.836666667
183.35,96.5986666664,4.98866666663,153.288,68.7074444444,53.7415555555,109.977333333,79.8186666665,65.5329999999,131.519333333,121.088444444
183.73,125.730888889,-0.585,191.520444445,97.076,68.1286666666,133.040888889,96.1986666668,82.1637777776,158.771888889,149.415333333
184.11,177.777555556,-40.4041111112,285.858666667,147.979666667,60.101,187.373666667,129.798,105.050444444,231.818111111,222.727333333
184.49,-212.037111111,183.333222222,-415.740777778,-153.703777778,29.6296666667,-191.666666666,-101.852,-88.8887777777,-302.777777778,-306.481444444
184.87,-69.533888889,92.4731111109,-146.594888889,-40.5017777778,34.4084444445,-53.0466666667,-16.846,-17.5627777776,-106.810111111,-102.509
185.25,-142.929222222,99.495,-232.323444444,-90.9091111111,24.7475555555,-84.8485555557,-55.0504444445,-66.1617777777,-187.373888889,-174.747333333
185.63,-138.888888889,141.111111111,-221.666666667,-52.2222222222,46.6666666668,-58.888888889,-30.5555555554,-38.3333333336,-168.888888889,-157.222222222
186.01,-106.060666667,171.212111111,-137.878666667,-1.51522222223,91.9193333334,-7.07066666667,13.6362222223,18.6867777778,-100.0,-84.8484444443
186.39,-74.074,158.333333333,-89.3517777779,7.40733333334,100.0,10.6482222221,31.9444444446,37.9630000001,-68.5185555556,-65.740777778
186.77,-52.8735555556,133.716555556,-70.4981111112,26.4366666667,79.6935555553,26.0536666667,37.9311111111,34.4827777778,-29.5018888888,-49.0421111111
187.15,-50.3704444444,134.444444444,-56.2962222222,53.7037777779,101.851888889,57.7777777778,54.8146666667,53.7035555554,-10.7407777779,-25.5557777778
187.53,-343.055555556,301.388888889,-316.666666667,58.3333333333,236.111111111,93.0555555556,62.5,77.7777777777,-198.611111111,-255.555555556
187.91,2200.0,-2311.11111111,2422.22222222,-855.555555553,-1822.22222222,-344.444444446,-1066.66666667,-1155.55555556,1677.77777778,1788.88888889
188.29,375.0,-744.444444444,377.777777778,-408.333333333,-452.777777779,-144.444444444,-500.000000001,-497.222222221,216.666666667,213.888888889
188.67,176.851777778,-162.963,166.666555556,-75.925888889,-63.888888889,44.4444444444,-104.629555556,-93.5185555555,101.851777778,107.407555556
189.05,94.1522222223,-78.9472222223,83.0410000002,-59.6488888888,-33.3333333334,23.3917777778,-94.151888889,-71.9298888888,49.7074444443,57.8946666668
189.43,48.3333333332,-77.7777777778,56.111111111,-76.6666666666,-56.6666666667,18.3333333333,-118.888888889,-83.3333333332,1.1111111111,22.2222222222
189.81,-28.205333333,-170.940222222,19.6582222223,-180.342,-179.487333333,-29.06,-232.478666667,-202.564111111,-75.2137777777,-48.717888889
190.19,-12.4999999999,-80.5555555557,41.6666666663,-68.0555555555,-86.1111111113,27.0833333333,-136.805555555,-106.944444445,-31.9444444446,-1.38888888889
190.57,-75.5555555557,-306.666666667,113.333333333,-206.666666667,-295.555555555,-4.44444444457,-446.666666667,-406.666666667,-115.555555556,-166.666666667
190.95,74.074,250.0,-48.1482222222,162.963,298.148222222,-29.6296666666,355.555444445,398.148222221,98.148111111,120.370333333
191.33,105.050444444,130.303222222,39.3939999999,113.131222222,163.636222222,-9.0907777778,217.171666667,244.444444444,116.161666667,70.7072222223
191.71,205.555555556,164.814777778,27.777888889,125.925888889,218.518444445,-75.9257777776,322.222222222,351.851777778,192.592666667,79.6296666667
