wavelength,Back_HemFlam,Belly_HemFlam,Breast_HemFlam,Crissum_HemFlam,Crown_HemFlam,DorTail_HemFlam,Patch10_HemFlam,Rump_HemFlam,Throat_HemFlam,WingTip_HemFlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,139.999933333,211.6666,143.333333333,185.555466667,101.1112,171.111066667,97.7777333333,200.0,124.444466667,135.5556
179.16,-173.333333333,-710.0,-220.0,-686.666666667,-213.333333334,-333.333333333,-153.333333333,-613.333333333,-213.333333333,-393.333333333
179.54,-126.666666667,-210.833333333,-156.666666667,-191.666666667,-151.666666667,-160.0,-118.333333333,-166.666666667,-150.0,-93.3333333333
179.93,42.2222,32.2222999999,73.3332666666,166.666666667,40.0000000001,133.333266667,-51.1111333334,100.000133333,24.4444666667,46.6666000001
180.31,58.0723333333,105.461866667,80.2409333333,100.6426,67.5502,89.4778666667,54.3775333333,97.4298666665,79.1969333334,73.1726666666
180.69,57.6557333334,103.516433333,77.9488,100.3662,66.5935333333,88.5715333333,53.8461333333,97.8022666666,79.1941333333,70.403
181.07,51.7053999999,97.8294999999,72.3256,95.6588666667,65.0386666667,86.0464666667,50.0,94.4186000001,78.2172,67.4420000001
181.45,58.7120666667,103.8258,81.1364,97.8787333333,74.6969333333,93.8635333335,60.5302666667,102.424333333,90.3788000001,74.8484666667
181.83,51.9191333333,92.2559333333,72.0538,86.3972666668,68.2155333333,84.3096,55.1516,95.7576,82.8284,70.5050000001
182.21,53.3968666667,94.1271999999,72.5079333333,82.3492000001,69.5236666667,80.7618,57.7777333333,97.0793333334,86.2857333334,71.8731333333
182.59,54.3235333333,94.6534666667,74.1914,82.9042666667,71.8812666667,78.8779333333,59.3399333333,103.234333333,86.4687333333,74.7195333333
182.97,64.549,108.078466667,79.3726666667,93.6470666667,76.0,89.5686,65.0979999999,118.588066667,94.7450666665,87.0589333333
183.35,58.2312666667,129.319633333,80.2722666667,107.482933333,72.517,107.074866667,54.2855333334,157.414933334,108.571533333,95.5103333333
183.73,79.1227333333,164.912266667,92.4562000001,132.807066667,92.8071333334,132.807,72.1053333333,203.333333333,140.877133333,116.3158
184.11,106.6666,246.060633333,109.696933333,181.212133333,126.969666667,186.0606,90.6060666667,313.3332,192.4242,152.4242
184.49,-108.333333334,-322.7778,-68.8888666666,-199.444533333,-111.666533333,-204.444266667,-66.1109999999,-453.8888,-196.666733333,-169.999933333
