wavelength,Back_HemFrom,Belly_HemFrom,Breast_HemFrom,Crissum_HemFrom,Crown_HemFrom,DorTail_HemFrom,Patch10_HemFrom,Rump_HemFrom,Throat_HemFrom,WingTip_HemFrom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,3.3334,29.9999666667,-24.4445333334,13.3334666666,18.8887333334,40.1168837719,-3.3334,25.5554,16.6666666667,22.2220833333
179.16,-4.16666666666,-2.5,-24.1666666667,22.5,4.16666666659,12.850877193,-1.66666666665,12.5,24.1666666667,1.56250000001
179.54,-170.0,-200.0,-260.0,-153.333333333,-143.333333333,-50.9868421051,-213.333333333,-83.3333333334,-46.6666666668,-127.083333333
179.93,27.3333333333,36.3333333333,17.3333333334,59.3333333333,24.6666666667,42.2807017544,30.0,54.6666666667,50.6666666667,38.7499999999
180.31,-201.9444,-152.9167,-221.111333334,-145.555466667,-161.6666,-156.279196272,-213.611,-118.611,-125.833266667,-160.069375
180.69,-230.0,-183.194366667,-250.555533333,-178.333333333,-179.444533333,-181.013363158,-244.444466667,-141.111066667,-152.499933333,-186.979083333
181.07,-480.952266667,-382.619266667,-470.476133333,-380.476266667,-361.9046,-410.195780482,-500.476333333,-309.047666667,-346.666666667,-358.928541667
181.45,-425.416666667,-351.875,-409.166666667,-358.75,-325.833333333,-381.796875,-472.083333333,-280.0,-318.75,-323.4375
181.83,-326.3492,-258.571333333,-304.444466667,-280.9524,-238.4128,-287.332957675,-369.523733333,-212.381,-249.841133333,-255.753916667
182.21,-428.070133333,-365.789466667,-400.350866667,-394.7368,-319.6492,-395.455951535,-483.859666666,-316.4914,-354.385866667,-363.377041667
182.59,-1557.77786666,-1416.11106667,-1478.88886667,-1518.88886667,-1212.22206667,-1447.82155153,-1745.5556,-1212.22233333,-1310.00006667,-1343.05566666
182.97,-1231.42846667,-1155.2381,-1223.80946667,-1272.381,-967.619133332,-1128.28020022,-1435.23806667,-960.952266665,-1044.76206667,-1095.23820833
183.35,1057.7778,1008.14816667,1045.18533333,1123.7036,871.111133333,991.76909978,1184.44433333,862.222266667,937.777800001,982.407499999
183.73,779.444466666,773.6112,775.000066667,852.777666667,643.888933333,735.135260308,862.777866666,630.0,690.555466668,709.722
184.11,-882.963066667,-885.926033333,-872.592599999,-971.111133335,-671.1112,-813.218698027,-981.4814,-700.7408,-785.185266668,-783.79625
184.49,-150.166666667,-159.083333333,-153.666666667,-176.5,-101.333333333,-139.79879386,-181.166666667,-120.0,-129.666666667,-122.708333333
184.87,-103.066666667,-118.6,-108.133333333,-128.933333333,-68.0,-99.8285087719,-130.933333333,-82.2666666666,-81.0666666667,-78.1666666667
185.25,-52.3004666667,-76.3381666666,-64.2253333333,-83.3802000001,-39.5304666667,-53.9766032896,-77.8404000001,-47.6993999999,-40.3757333333,-47.6525833333
185.63,-49.6803333333,-76.7123333334,-61.7351333333,-83.0137333333,-41.0045333333,-50.7690019737,-72.2375999999,-50.1369999999,-40.6392666667,-46.2329583333
186.01,-36.2248666667,-69.5982666666,-52.5301333333,-69.3977333333,-30.6024,-46.1875350877,-57.9116,-43.8554666667,-34.8595333333,-36.7470416666
186.39,-23.2990666666,-55.1891666667,-40.6184666667,-58.4192,-22.4742666667,-36.9630182017,-45.8418,-31.7525333333,-26.8041333333,-25.0
186.77,-9.20113333333,-42.9476333333,-27.6585333333,-41.653,-13.0578,-25.7842642544,-32.2314,-21.4326,-17.9061333333,-13.8429166667
187.15,-7.202,-41.8735666667,-24.3794666667,-37.3236,-13.2360666667,-24.0772219298,-29.5864,-20.1459333333,-15.7664,-11.0097083333
187.53,1.78653333334,-33.7254333333,-16.5577333333,-27.9738666667,-6.14379999998,-16.4626302632,-21.2634666667,-12.2004666667,-9.23739999999,-3.43141666668
187.91,3.67273333334,-28.6428333333,-13.6527333333,-26.3073333333,-6.78653333335,-16.5293800439,-22.2354666667,-12.6147333333,-9.58080000001,-2.89416666665
188.29,2.26113333334,-32.6899666667,-17.1539333333,-29.6296666666,-12.1638,-21.2437230263,-26.7056,-17.5049333333,-11.9686666667,-6.23779166667
188.67,-2.97193333334,-40.9439333333,-25.2611333333,-36.7872666667,-20.5220666667,-29.1968657895,-34.2168666667,-26.8674666667,-17.9518,-13.5040833333
189.05,-6.19033333327,-44.1268666667,-29.881,-41.1111333333,-26.3492666667,-33.8264730263,-38.2539999999,-32.8174666666,-23.2936666667,-18.9236666666
189.43,-13.0754000001,-53.4839666667,-41.0752666667,-50.3225999999,-35.6989333334,-41.7450574561,-47.3978666667,-42.0645333334,-31.0107999999,-26.4247083333
189.81,-16.4065333333,-62.6243333333,-49.929,-58.8653333333,-41.6548,-50.3089414474,-54.9409333333,-48.3688,-36.4538000001,-30.2895416667
190.19,-25.6330666667,-74.0309666667,-59.1730666666,-69.9224000001,-54.9870666667,-60.6331223684,-66.3564666667,-56.8475999999,-44.5994000001,-34.7867083333
190.57,-37.0986666667,-94.7223,-75.0616666667,-88.2099333333,-70.6173333333,-73.0363127192,-80.8642666666,-71.8519333333,-55.0001333333,-44.0200833333
190.95,-54.7368666667,-112.912133333,-95.7895999999,-113.473666667,-88.9824666667,-90.2085396931,-96.1403333333,-92.0703333333,-72.7718666666,-61.4473333334
191.33,-81.2346000001,-140.041166667,-125.679,-145.926,-114.814866667,-117.394146053,-119.2594,-121.5638,-97.6954666666,-86.6255833333
191.71,-90.7692,-149.572533333,-132.393066667,-157.008466667,-124.700933333,-126.0611,-127.0086,-132.564,-105.641066667,-93.910125
