wavelength,Back_HemGoef,Belly_HemGoef,Breast_HemGoef,Crissum_HemGoef,Crown_HemGoef,DorTail_HemGoef,Patch10_HemGoef,Rump_HemGoef,Throat_HemGoef,WingTip_HemGoef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-68.3333333332,-56.6666666667,-76.6666666667,-98.3333333333,-54.9999999999,-75.0,-91.6666666667,-68.3333333333,-138.333333333,-136.666666667
179.16,94.4445833333,161.111041667,169.444583333,277.77775,244.444416667,211.111166666,269.444541667,169.4445,249.999916667,136.574027778
179.54,8.33333333325,42.7083333333,66.6666666667,47.9166666666,79.1666666666,145.833333333,146.875,120.833333333,116.666666667,120.138888889
179.93,-9.16666666667,-13.3333333333,4.16666666666,-29.1666666667,-4.16666666668,22.5,7.49999999999,-10.0,-11.6666666667,17.7777777778
180.31,74.5369166668,114.351875,74.9999166667,85.1850000001,51.8518333334,16.2036666667,-58.3334166667,-24.5369166666,-7.87033333343,-83.4104166667
180.69,61.666666667,87.1666666666,48.6666666665,57.6666666668,41.0,-2.33333333332,-55.1666666665,-19.3333333333,3.0,-90.5555555555
181.07,97.3333333335,113.333333333,70.3333333334,88.0,58.6666666667,11.3333333332,-40.3333333333,-5.33333333326,51.3333333334,-52.7777777778
181.45,66.2162499999,88.7388333333,53.1530833333,91.2164166668,54.955,20.0449999999,-15.427875,4.05408333323,50.2253333333,-34.15925
181.83,58.46575,75.859625,52.3809166667,70.2380000001,56.217,30.6879166667,8.66412500003,25.6613333333,53.7035833333,6.08466666668
182.21,47.451,61.81375,45.7843333333,56.8626666667,47.843,26.76475,12.2549583334,21.8626666667,41.5686666667,8.15368055555
182.59,47.2573333333,69.620375,48.1012499999,58.8608333333,52.5315,23.9451666667,10.3374583333,23.3120833333,47.574,10.7947638889
182.97,43.6966666667,62.873875,33.8675833333,50.85475,43.1623333333,10.0428333333,0.32054166665,19.1238333333,41.2394166667,0.0534722222
183.35,39.6295833333,54.5833333333,30.2779166667,41.0186666667,38.9814166666,10.5554166667,2.36116666667,22.7778333333,36.0186666667,8.8579861111
183.73,42.1195,55.8422916666,27.6268333333,43.9311666667,39.2210833334,7.88033333333,4.48366666668,25.9963333333,39.1304166666,10.733875
184.11,48.8476666667,59.3527916667,30.40775,47.3403333333,49.3795,9.13125000001,11.480375,31.8263333333,46.8085,13.7262638889
184.49,50.9803333333,60.9069166667,13.11275,49.755,50.73525,-10.4166666667,-3.553875,32.2304166667,42.2793333334,-3.65602777778
184.87,62.0746666667,75.085,6.6326666666,62.5850000001,56.4626666667,-21.5986666667,-17.517125,40.64625,45.5782500001,-3.1178611111
185.25,57.6755,80.9211666667,-11.6226666666,65.3509166668,58.7719166668,-40.7895,-35.635875,37.0614166667,31.3596666666,-31.6887222222
185.63,101.612833333,119.489208333,9.94616666675,90.3225,96.2367499998,-18.8171666667,-24.865625,63.7095833333,59.4086666666,-19.4892083333
186.01,265.972166667,343.749916667,49.9999166665,259.02775,231.249916667,-24.3055,-27.4306249999,191.666666667,140.972333333,-65.2777916666
186.39,368.333333333,497.083333333,70.0,337.5,305.0,16.6666666668,8.75,283.333333333,210.0,-32.6388888889
186.77,156.322083333,190.660958333,43.3908333333,135.919416667,120.977,36.4940833333,27.4425833333,130.172333334,83.6207499999,18.3907777777
187.15,126.620583333,177.083291667,42.5925833333,114.120333333,121.52775,38.4258333333,33.564875,117.361166667,78.9352500001,35.0693888888
187.53,168.269166667,238.942208333,47.7563333332,150.961583334,179.16675,59.2948333333,39.9037083333,144.55125,114.743416667,32.8526111112
187.91,130.637166667,191.299083333,40.4411666667,123.7745,139.951,62.5000000001,33.7009166666,113.970666666,94.3628333333,42.8103749999
188.29,107.80125,154.078166667,43.9716666666,98.0496666665,103.368916667,60.1063333333,35.993,94.149,73.5815000001,46.7199861111
188.67,90.6565833335,128.661541667,53.6616666667,83.4595833332,89.5201666666,60.1009166667,46.3384166667,86.1111666667,69.4445833333,58.9014861112
189.05,72.6851666667,115.56725,47.8009166667,66.8981666667,79.7453333334,50.9258333333,43.692125,71.29625,56.3656666667,50.6172222222
189.43,69.7564166666,108.380208333,53.9325000001,69.0075,79.2135000001,53.3708333333,48.8765833333,75.5618333333,61.14225,58.4270000001
189.81,65.8333333333,111.510416667,49.375,67.5,80.6250000001,45.1041666667,46.8229166667,75.3124999999,56.4583333333,53.8368055556
190.19,59.8889166667,101.277708333,30.7778333333,56.7779166667,75.88875,37.4444166667,35.6667083333,70.5555833333,54.5555,44.4629027778
190.57,66.0257500001,111.218,34.23075,62.1795833333,88.2050833334,47.5641666667,41.5385,80.5127499999,65.5127500001,50.9615277777
190.95,76.9230833333,124.599166667,34.1345833334,66.1858333332,104.647583333,51.7628333333,48.8783333333,92.3078333333,75.48075,59.3483333332
191.33,121.705416667,155.426333333,59.3024166667,96.7053333333,133.527,79.4574166668,82.9455833334,129.069833333,99.2245833333,86.5633055555
191.71,118.9235,139.930625,60.7639166667,92.5346666665,124.131916667,74.3055833334,88.2812916667,118.923583333,95.4860000001,85.1852777777
192.09,139.1415,154.671625,57.5756666667,103.030166667,153.030333333,69.6968333334,95.833375,135.606083333,105.555583333,84.3434166668
192.47,103.571416667,135.317541667,9.127,65.4761666667,150.396666666,35.7143333333,48.611125,122.222083333,96.0316666667,44.1800416668
192.85,270.833333333,377.604166667,26.0416666668,183.333333333,380.208333333,147.916666666,147.916666667,334.375,286.458333333,144.791666667
193.23,402.777666667,468.0555,111.111083333,295.3705,429.629583333,259.259166667,267.592666667,459.25925,430.555583333,290.895111111
193.61,-664.583333332,-790.625,12.5,-385.416666667,-700.000000001,-458.333333334,-423.958333333,-747.916666667,-731.250000001,-389.930555555
193.99,1420.83333333,1785.41666667,233.333333333,820.833333333,1387.5,1312.5,1008.33333333,1750.0,1879.16666667,1155.55555555
194.37,508.333333333,735.416666667,114.583333333,272.916666667,585.416666666,610.416666667,486.458333333,645.833333334,822.916666665,486.458333332
194.75,107.142833333,161.011833333,14.28575,50.0,126.1905,123.809583333,110.71425,147.619166667,198.8095,93.0555416665
195.13,111.805583333,209.375041667,9.72225000017,71.5277500001,159.027833333,153.47225,142.361166667,152.083333333,232.638916667,82.7547222225
195.51,51.6668333333,157.77775,-7.22216666682,20.5556666666,109.999916667,116.111083333,99.1665833334,102.777666667,185.555416667,44.9999444442
195.89,-0.520833333325,109.114583333,-36.9791666667,2.08333333332,56.7708333332,63.0208333333,51.8229166667,74.4791666665,142.1875,-13.888888889
196.27,-42.77775,89.7222083332,-54.4443333333,-31.6666666667,34.9999166666,38.33325,36.3887499999,65.0000000001,121.666583333,-36.5740833333
196.65,18.0555833332,328.47225,-94.4443333334,33.3332500002,154.166583333,93.0555833333,220.833291667,230.5555,374.999916666,18.9815833325
197.03,95.8333333333,-13.09525,134.523916666,77.381,19.04775,38.6904999999,1.78570833332,8.33341666683,-55.9523333333,87.6985138887
197.40,181.410166667,66.3463333332,184.615333333,119.230666667,49.3589166668,54.4871666667,66.9871666666,96.1539166665,2.5641666666,169.871972222
197.78,208.333333333,50.5208333332,255.208333333,137.5,1.74987135892e-10,40.6249999999,63.0208333332,76.0416666666,-63.5416666666,200.694444444
198.16,121.031916667,79.5635833335,133.333416667,91.2697500001,39.6825833334,65.4760000001,55.9524583334,77.3809999999,39.6825000002,120.701069444
198.54,63.0555833334,44.3056250001,67.7778333334,34.4444166667,13.3333333335,38.0555833332,22.2221249999,35.8333333333,11.9444166667,54.1203888889
198.92,61.4815,41.6667500002,67.22225,47.9630833333,28.3334166668,38.70375,28.5186666667,43.5185,25.18525,39.2900833334
199.30,61.7647499999,43.3822916666,63.5620833334,54.2483333333,35.4575833332,46.24175,33.2515833332,43.79075,26.7971666666,32.3528333333
199.68,66.5344166667,52.3147916668,61.64025,54.4973333333,39.4180833334,47.75125,43.7171250001,49.7355833333,32.0105833334,33.8624166667
200.06,50.5465833333,34.7677916667,48.6339166667,50.27325,21.5846666668,27.459,27.25425,31.1475833333,19.8086666667,10.8607083334
200.44,44.707,36.37375,46.3964166667,48.8738333333,30.5181666667,20.1576666667,23.2545416667,33.1081666666,19.7071666667,10.7544583333
200.82,54.0043333333,48.1059166667,54.6535,59.091,35.6060833333,25.6495,28.571625,40.6926666667,28.0304166667,18.6508472222
201.19,65.6667499999,62.9444583333,67.66675,71.889,50.7776666668,39.6666666667,36.3332916667,51.4444166666,37.4445833333,34.8147361111
201.57,56.6005,59.736,58.3334166667,61.6336666667,50.5775,42.2441666667,34.8597916667,44.5545,37.95375,36.0284722222
201.95,57.7285833333,61.3574166667,53.15875,59.0725833333,52.21775,44.4893333333,33.8708333333,44.6236666667,38.4408333333,37.5111527777
202.33,54.8898333333,58.1955833333,53.30575,59.3663333333,50.68875,43.5261666666,29.9587083333,43.1818333333,34.0909166667,35.3304861111
202.71,63.4614166667,63.3546666667,60.39875,70.9400833333,57.3363333333,50.6408333333,33.8675,50.4275,40.3845833333,44.9313194444
203.09,58.399,62.95925,58.0708333334,65.61675,52.231,45.9973333333,34.9737083333,49.4094166667,38.517,44.4554166667
203.47,59.7766666667,62.8935416667,58.5300833333,60.2361666666,45.6694166667,40.3543333333,32.6444166667,47.2440833333,32.6114166667,43.1648611111
203.85,62.95575,63.5742083333,62.30475,61.39325,47.7214166667,43.685,31.9335833333,48.9583333333,32.03125,48.8824027778
204.22,72.947,72.4939166666,68.7801666667,67.5121666667,58.69575,51.1474166667,41.7571666667,58.2125833333,38.5265833333,59.4103194444
204.60,77.8215833332,71.620625,71.9160833333,69.6195,58.2021666667,53.3465,42.2245,57.3490833333,40.9449166667,63.2108472222
204.98,74.2230833333,65.1482083333,66.5253333333,66.1724166666,55.9323333333,45.19775,40.7132083333,49.7880833333,34.8870833333,60.2283472223
205.36,66.7405,53.5029583334,57.817,57.2273333333,46.0914166667,34.3658333333,32.5220416667,42.25675,24.8525833333,48.3040138889
205.74,73.6413333333,55.20825,59.3295833333,62.3188333334,40.9420833333,30.9781666667,32.2917083334,46.2861666667,19.3840833333,45.4557777778
206.12,87.2864166669,59.29475,72.0085,72.1154166666,47.0086666666,35.2564166667,44.8719583334,57.9060833333,22.97,49.7862361111
206.50,102.966166667,62.5705,78.95475,78.3897499999,48.4463333333,34.18075,48.2345,56.0733333333,16.9490833333,56.8501805556
206.87,106.20925,58.9052916667,81.3724999999,68.6275833334,37.9084166667,23.20275,43.5457916666,48.69275,9.6405,52.5599027778
207.25,129.701,72.6495,95.9401666665,83.7606666667,43.1624166667,27.3504166667,40.0640416667,50.641,-1.49583333342,62.215138889
207.63,151.851833333,94.0971666667,110.879583333,111.342416667,85.4166666666,51.62025,52.0832916667,72.4536666667,21.0648333334,82.2146527778
208.01,143.333416667,95.1190416667,90.7140833333,109.28575,84.7619166667,42.8571666667,51.9045833334,75.71425,22.3808333332,61.309625
208.39,91.2161666667,57.8827916668,41.4414166668,65.3153333334,40.0900833334,10.3604166667,14.301875,46.84675,2.25216666657,7.20706944445
208.77,89.0874166667,67.3610000001,36.3095833334,67.2620833334,37.3014166666,19.8413333333,26.8847916666,52.9761666667,2.57933333342,9.02763888888
209.14,90.3847499999,74.4390833334,43.1089166667,70.6731666667,45.19225,39.1025,32.0512083334,61.5384166667,23.0768333333,20.3258055555
209.52,117.517083333,108.928541667,69.8979166666,94.5578333333,73.2992500002,68.8776666668,55.2719583332,93.3673333332,42.0067500001,47.3072638889
209.90,156.57875,137.390125,95.6139166666,126.315833333,110.526333333,96.7105833332,62.0613333333,119.5175,48.4649166666,58.0043888889
210.28,148.44975,148.061875,105.620083333,133.33325,120.736333333,99.8062499999,72.5775416667,127.907,53.6820833334,75.0000694445
210.66,141.111083333,148.0555,105.0,127.777666666,115.926083333,93.8889166666,68.055625,130.370333333,42.2221666666,56.2345138889
211.03,134.166666667,143.749916667,110.416583333,125.416666667,120.83325,99.1664999999,86.8750000001,127.91675,56.25,63.7963611111
211.41,141.6665,138.939375,105.606,126.212166667,128.181833333,104.393916667,93.8634583334,129.090916667,53.3333333332,55.2777777778
211.79,129.232916667,130.357083333,99.6031666666,119.576666667,117.063583333,107.142833333,94.9735833334,122.089916667,57.4074166667,58.068875
212.17,121.923,122.051208333,98.0769166666,109.230833333,115.51275,102.307666667,86.7308749999,113.333416667,51.6667500001,53.2691805556
212.55,149.02775,146.8055,127.22225,130.694333333,149.02775,131.9445,111.38875,135.694416667,63.0555833333,78.9121527778
212.92,147.222333334,144.245791667,131.481416667,130.291,154.62975,134.92075,111.904625,138.227666667,61.9045833333,84.5898055556
213.30,126.282166667,125.694458333,114.529916667,114.423083333,134.829083333,118.376083333,98.9849166667,122.115583333,58.5470833334,78.3652777778
213.68,102.891166667,104.379208333,95.0680000001,98.5545000001,112.84025,97.1938333334,85.71425,97.2789166666,54.0815833333,68.4523194444
214.06,87.678,89.6721666666,83.97425,86.5384166666,98.1480833333,85.4700833333,77.9560416667,84.9715833334,51.1395833333,63.3785
214.44,81.8395833334,80.8962083333,74.8426666667,79.55975,90.4088333333,82.3899166667,68.4747916668,74.9213333333,40.64475,55.1625416667
214.81,88.1621666667,83.99525,78.3489166667,80.5296666667,92.8347500001,89.0186666666,72.8192916667,79.2835,48.83175,63.0450972222
215.19,91.4874166666,84.94625,76.2544166667,80.5555833333,95.0716666669,88.2618333333,68.0555416666,77.9570833332,43.6379166667,67.09975
215.57,88.8048333334,87.7947499999,79.5455,79.88225,91.4140833335,87.5422500002,69.4864583333,80.4713333332,48.9056666667,72.1099305555
215.95,89.0350833333,86.1842500001,79.3860833333,81.1404166667,91.0525833333,83.4210000001,67.2367499999,79.4738333334,47.8945833333,74.8391666667
216.32,95.4980833332,88.3619583333,82.7585000001,88.889,95.4023333334,89.7509166666,70.2107499999,79.6935,48.75475,80.1724166667
216.70,106.159416667,93.1763333332,91.0627499999,97.7054166667,101.57,96.2561666668,71.3163333334,88.0434166666,51.6908333333,85.3865555555
217.08,143.0235,122.577708333,111.434,127.71325,134.689916667,132.170583333,81.9768750001,119.379916667,65.5038333333,108.914763889
217.46,260.0,201.666666667,198.75,203.75,235.416666667,227.083333333,124.375,228.333333333,82.5000000002,178.680555556
217.83,-4175.0,-2358.33333333,-2683.33333333,-2625.0,-3216.66666666,-3291.66666667,-1054.16666666,-3300.0,16.6666666665,-2054.16666667
218.21,-788.333333332,-439.166666666,-533.333333333,-441.666666667,-553.333333333,-598.333333334,-112.5,-618.333333333,-38.3333333333,-457.777777778
218.59,-1962.5,-1139.58333333,-1470.83333333,-1170.83333333,-1495.83333333,-1450.0,-308.333333332,-1691.66666667,-433.333333332,-1311.80555556
218.97,384.090916666,251.136458333,306.818166667,240.909083333,328.787916667,275.757583333,95.0758333334,334.090833333,102.27275,285.479916667
219.34,375.757583333,217.802958333,285.606166667,218.939333333,296.212083333,296.96975,107.954458333,372.72725,129.545416667,245.580791667
219.72,3991.66666667,1716.66666666,2325.0,2175.0,2941.66666667,2658.33333334,583.333333334,3550.0,774.999999998,2465.27777778
220.10,1870.83333333,768.749999999,987.500000002,716.666666666,1250.0,908.333333334,333.333333333,1483.33333334,125.000000001,1081.94444445
220.47,400.757666667,204.545333333,234.091,173.484916667,264.394,190.909166667,166.287791667,353.030166667,106.818333333,242.676819444
220.85,166.414083333,110.732291667,97.9798333333,100.000166667,120.959416667,91.4140833333,106.565541667,152.777833333,74.4949166665,123.147972222
221.23,111.8055,68.4897083333,60.0694166667,70.6598333333,80.7290833333,55.3819166667,76.9964166668,99.4791666667,44.2709166668,74.0452777778
221.61,92.9489166667,57.8206249999,51.9230833334,68.0769166667,71.6666666668,56.79475,72.2435833333,83.077,39.8718333333,66.7092916667
221.98,102.248833333,68.4524166667,56.6138333334,73.1481666667,77.3808333334,68.5186666666,82.3412083333,93.2539166667,51.7195833334,74.3826666667
222.36,152.619083333,95.4763333333,58.5715000001,88.8093333333,103.8095,91.6664999999,124.166666667,136.666583333,45.476,86.7460000001
222.74,160.294083333,98.2843749999,59.3135833334,88.7254166666,105.146916667,91.1764166666,130.392166667,142.401916667,53.18625,85.580125
223.11,166.666666667,99.5833333334,44.16675,98.6110833333,102.222166666,95.2778333332,136.249916667,156.944416667,48.3333333334,79.1202777779
223.49,165.384666666,107.69225,36.859,93.9103333332,107.69225,77.8846666668,125.640958333,144.23075,13.4615833334,65.2776388888
223.87,139.646333333,113.13125,51.01,83.8383333334,90.9091666667,71.9698333333,115.782916667,130.808,29.0404166668,65.3199444445
224.24,148.7655,106.327125,50.0000833333,85.8024166667,87.3455000002,74.6912499999,112.345708333,149.073916666,12.96275,55.6069999999
224.62,90.3226666667,68.1451666668,22.8495,53.7635833334,34.1396666668,45.4300833333,51.6129166668,94.6236666666,-24.4623333334,20.1164444445
225.00,62.0370833333,-15.7406666666,-80.5555,-86.1110833332,-134.259416667,-49.0740833333,-104.16675,56.4814166668,-327.777833333,-172.376638889
225.38,152.083333334,276.041666667,360.416666667,643.749999999,687.5,362.500000001,583.333333333,225.0,1020.83333333,596.875000001
225.75,197.618916667,249.999958333,249.999916667,498.8095,513.09525,377.380833333,463.095208333,277.380916667,648.809666667,427.380930556
226.13,338.889,398.610916667,352.77775,649.999916667,638.888916667,555.555583332,572.916708333,409.722333333,794.444416668,594.21313889
226.51,-54.1666666667,-96.1308333332,-67.8570833333,-180.357166667,-193.452416667,-137.500166667,-164.285625,-98.8095,-247.023666667,-156.051708333
226.88,14.2855833334,-14.8809999999,8.63099999998,-58.3334166668,-62.2025,-22.9165,-44.3452083335,-18.4524166667,-109.52375,-52.3312083334
227.26,-0.198416666667,-25.0992500001,10.7141666667,-44.246,-49.008,-14.4840833332,-35.218375,-24.4048333333,-80.1588333333,-39.08725
227.64,-13.6666666667,-40.0833333332,3.99999999998,-38.0,-49.5,-18.3333333334,-31.3333333333,-28.1666666667,-70.5000000001,-35.1388888889
228.01,-36.4583333333,-65.1910416667,-23.9583333333,-60.9373333333,-67.882,-32.9861666666,-53.47225,-49.4791666666,-99.8265000001,-57.3784444443
228.39,-32.7044166667,-56.6824166668,-30.9748333333,-51.2579166667,-63.2075833333,-24.2138333333,-43.1605416666,-46.5408333333,-87.2642499999,-50.7337638888
228.76,-31.96975,-60.0000416666,-35.3030833333,-53.48475,-59.8485,-28.4848333333,-44.5454166667,-47.7273333333,-87.1211666667,-48.8383472222
229.14,1.14583333333,-22.9166666667,-9.375,-16.25,-24.2708333334,-4.37500000001,-14.8958333333,-10.2083333333,-43.8541666667,-11.8055555556
229.52,8.76741666668,-14.453,-1.82299999999,-2.69083333335,-10.3296666667,4.42725,-2.69066666665,1.04166666667,-25.0,0.043541666675
229.89,10.2059166667,-15.074875,-3.1835,-2.24733333332,-10.67425,9.45691666667,-3.93241666667,2.809,-25.8426666667,4.32284722221
230.27,-1.54325,-28.2921666667,-18.2099166667,-16.5639166667,-24.5884166667,-2.57199999998,-22.0679583333,-7.09858333332,-38.889,-0.737319444433
230.65,-16.6666666667,-43.5,-29.7775833333,-33.1110833333,-38.0,-21.9998333333,-37.22225,-20.44425,-53.77775,-13.5741666667
231.02,-65.43225,-93.1327500001,-83.7963333333,-79.16675,-87.3456666667,-65.4320833333,-91.5124999999,-57.0986666667,-107.253,-46.373375
231.40,-146.1905,-175.238208333,-172.380833333,-164.047666667,-180.9525,-150.952416667,-190.714541666,-129.523833333,-196.666583334,-118.174791667
231.78,-180.208333333,-203.776041666,-215.104166667,-208.333333333,-222.916666666,-175.520833334,-232.942708333,-165.364583333,-219.010416667,-154.600694444
232.15,-153.50875,-172.258875,-177.192833333,-178.728083333,-183.772,-157.236833334,-201.973625,-148.464833333,-174.12275,-136.512888889
232.53,-169.444416667,-178.356458334,-183.56475,-201.620416667,-191.898166667,-167.824,-232.75475,-164.814583333,-184.490583333,-153.819472222
232.90,-310.087666667,-306.579083333,-337.280583333,-388.596583334,-337.280666666,-297.807,-420.614291667,-280.263083333,-334.649166667,-286.842069444
233.28,-357.407333333,-336.574125,-378.24075,-425.463,-350.926,-324.536916667,-457.638958333,-324.537,-384.72225,-322.916527777
233.66,-460.119166667,-399.702291667,-428.57125,-525.0,-405.952333333,-394.0475,-578.5715,-416.0715,-482.738166667,-382.539763889
234.03,-1785.41666667,-1564.58333333,-1681.25,-1922.91666667,-1541.66666667,-1641.66666667,-2132.29166667,-1612.5,-1887.5,-1590.97222222
234.41,-228.472333333,-177.60425,-185.76375,-237.15275,-190.625,-200.347333333,-274.479333333,-196.875,-260.41675,-208.680625
234.78,-130.482416667,-99.0130833334,-108.991333333,-131.140333333,-117.324583334,-109.210333333,-165.57,-117.982333334,-163.157916667,-126.827458333
235.16,-75.6410833334,-57.5319583334,-66.66675,-84.9359999999,-85.09625,-72.5961666667,-105.048125,-86.05775,-104.326916666,-87.3131250001
235.54,-17.5555,-10.3889583333,-13.6666666667,-25.5556666667,-24.7776666667,-18.111,-32.8889166667,-24.5554166667,-41.77775,-28.0925972222
235.91,6.59350000003,10.0272916667,9.15749999999,-1.099,-0.45791666665,0.915749999985,-6.41029166666,0.183250000007,-18.1319166667,-4.68568055556
236.29,18.812,19.141875,15.6766666667,7.75583333333,7.92066666667,15.2640833333,6.72433333333,10.8910833333,-6.60050000002,6.8619861111
236.66,24.51925,20.192375,17.548,10.9775,12.2595833333,16.3461666667,14.30275,17.30775,-1.68275,12.8205277778
237.04,25.52075,19.3825,18.52675,15.625,15.3273333333,19.64275,19.084875,18.75,5.20833333334,20.2505277778
237.41,21.58125,12.7849166667,13.4615,10.8260833333,8.47574999998,19.1596666667,16.453,13.7464166667,2.06549999998,16.666625
237.79,18.8801666667,7.55208333335,5.79433333333,6.51058333333,4.16675,16.2760833333,15.39725,11.0025833333,-0.846333333342,10.3516388889
238.17,17.5,5.41666666667,4.70241666665,2.44058333332,0.535666666658,15.2381666667,11.84525,11.0118333333,-0.892750000001,9.40472222223
238.54,16.73125,1.80879166666,-1.42108333333,-3.42374999999,-3.29466666667,14.0826666667,9.10858333333,9.56066666665,-3.29441666667,6.5355138889
238.92,15.1995833333,0.352124999982,0.293333333315,-2.93433333333,-0.528166666658,14.0845,12.6174583333,11.97175,1.70183333335,9.40936111111
239.29,15.6050833334,2.707,3.7685,-0.212250000015,7.37791666666,16.8258333334,14.145375,20.4885,3.34391666666,14.1010555556
239.67,9.14641666668,-3.65870833334,-5.58941666666,-7.67275,1.01625,10.874,5.08137499999,13.059,-4.16666666666,8.8416111111
240.04,4.89025000001,-6.51195833333,-11.6765833333,-12.62475,-4.09174999999,7.23550000003,-0.57387499999,8.38325,-8.23350000002,6.81966666667
240.42,2.509,-5.66758333333,-11.1110833333,-13.0375833334,-5.60033333334,3.94258333336,-2.53125000001,6.58616666668,-9.40866666666,5.20454166666
240.79,2.40725,-3.03704166667,-7.59249999999,-10.1481666667,-4.37025000001,5.926,-1.51854166667,7.03699999999,-8.66658333333,5.22230555556
241.17,4.22666666667,-0.0599999999975,-3.92691666667,-6.59466666666,-2.06841666667,6.83458333332,-0.180083333333,6.92441666666,-7.19433333334,6.52473611111
241.54,6.43691666666,1.96308333333,-1.92316666667,-4.40716666667,0.240416666668,6.33008333331,1.20191666667,8.78733333332,-4.16666666667,7.67461111112
241.92,8.52216666667,4.92204166666,1.81775,-0.967916666665,2.05375,8.21533333334,2.16,10.9300833333,-1.48725,10.11175
242.29,5.57716666667,3.87375,-0.0650833333325,-2.49558333333,0.802749999997,7.4435,0.0868333333333,8.13799999999,-2.38716666667,8.71305555556
242.67,4.7075,2.12320833333,-1.52233333333,-2.90474999999,0.0200833333332,5.64891666666,-0.731250000002,5.9295,-3.18516666667,6.61058333333
243.05,6.26916666667,3.73670833333,-0.248499999997,-1.47175,1.50991666667,7.14833333334,0.984291666666,6.80441666666,-1.83475,7.27891666668
243.42,7.19616666666,4.530125,0.149250000001,0.149083333333,2.01333333333,8.53858333334,2.7125,6.39458333333,-0.89475,7.06263888891
243.80,8.53225,5.79358333333,2.42233333334,2.67525,4.35658333334,9.96008333333,4.74508333332,8.27916666667,1.15691666667,8.43272222222
244.17,10.3835833333,8.85420833333,5.67133333333,5.45641666667,7.4735,12.10325,7.55624999999,10.25125,3.43916666667,10.4636805555
244.55,8.83099999999,7.53854166667,5.84466666667,5.34683333334,6.92025000001,11.9140833333,6.84791666666,9.48925,2.569,8.89777777779
244.92,8.82166666667,7.46341666667,5.76925,5.70816666667,6.95966666667,11.508,6.62379166667,9.23383333333,3.25091666667,8.35375
245.30,8.14383333332,7.095,6.13350000001,5.34675,6.49758333334,11.0576666667,6.73800000001,9.42616666667,3.54033333333,8.53483333333
245.67,6.99825,7.15995833333,5.71741666666,4.733,6.17591666666,10.7335,6.78933333333,8.48158333334,2.73725,8.60747222222
246.05,5.51858333333,6.40754166667,5.111,3.9875,5.77791666667,9.83958333334,6.35195833332,7.71591666666,2.41975,7.95473611112
246.42,8.79141666667,9.12970833333,8.19150000001,7.2535,8.47508333332,12.2491666667,9.49495833334,9.78408333334,5.24658333333,10.5474722222
246.79,9.00266666667,9.70729166666,8.56308333334,7.29408333334,8.36333333333,12.9895,9.41762499999,10.172,5.77533333333,11.5689305556
247.17,8.12758333334,8.997375,7.54750000001,6.28516666667,7.27641666667,11.9154166666,7.82841666666,9.35291666668,4.74183333333,11.12975
247.54,7.84283333333,8.9535,7.69991666667,5.98691666667,7.08416666667,11.3759166667,7.57945833333,9.2075,5.01425,11.337125
247.92,7.426,8.595,7.57416666667,5.0785,6.46583333334,11.1430833333,6.93291666667,8.72591666668,4.7295,11.306
248.29,6.93733333333,7.433375,6.946,4.25008333333,5.56708333333,10.7481666667,6.25225,8.41233333333,4.0745,10.7860138889
248.67,8.78658333334,8.84333333334,8.25491666667,5.39583333334,7.11308333333,12.2470833333,8.25054166666,10.007,6.09325,12.4535277778
249.04,8.80333333333,8.75808333333,8.41458333332,5.18808333333,7.37533333333,12.6355,8.66795833333,10.2675,5.96533333333,13.0270555556
249.42,8.06791666667,7.546375,7.21466666667,4.49383333334,6.33283333334,11.8221666667,7.68875000001,9.24333333333,4.7685,12.04325
249.79,8.48325,7.15779166667,7.58283333333,4.56175,6.18249999999,11.9049166667,7.88304166666,9.41391666665,5.06208333333,11.8948055556
250.17,9.55583333334,7.55054166667,7.48625,4.74041666667,6.73533333333,12.59125,8.49404166667,10.1996666667,5.61991666666,12.275
250.54,9.28074999999,6.975,6.33566666667,3.90416666667,6.43841666666,12.0205833334,8.30491666668,10.0685,4.74891666667,11.8226111111
