wavelength,Back_HemMelf,Belly_HemMelf,Breast_HemMelf,Crissum_HemMelf,Crown_HemMelf,DorTail_HemMelf,Patch10_HemMelf,Patch11_HemMelf,Rump_HemMelf,Throat_HemMelf,WingTip_HemMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,28.4721666667,32.63875,20.1388333333,42.361,35.4168333333,12.5000833333,46.5278333333,-19.4444166667,45.1388333333,55.5555833334,48.6110833333
179.16,-26.5153333333,9.84841666667,-14.394,10.6060833333,-6.06066666667,-12.1211666667,-17.4243333333,-57.57575,-5.30291666665,-14.3939166666,3.03016666667
179.54,-70.8333333335,187.5,24.9999999999,200.0,-12.5,-12.5000000001,-8.33333333325,-141.666666667,12.5,-16.6666666667,208.333333333
179.93,20.3703333333,25.9258333333,17.5925833333,74.0741666668,24.0741666667,-0.92591666665,6.48150000001,-15.7405833333,27.7778333333,22.22225,78.7038333333
180.31,-11.94025,18.6568333333,-8.70641666668,26.74125,-7.46266666667,-24.7513333333,-16.54225,-63.3085833333,-8.70633333335,9.70141666668,16.9154166667
180.69,-37.0055833333,5.36725,-26.27125,13.55925,-28.6721666667,-51.5536666667,-38.2768333333,-95.19775,-31.6383333333,-6.63841666667,-3.81358333333
181.07,-106.127416667,-25.49025,-75.2451666667,-6.61766666665,-85.0490000001,-120.097916667,-113.725583333,-184.068666667,-104.902,-48.0390833333,-53.4313333334
181.45,-127.011416667,-28.4483333334,-78.161,-11.78175,-99.4254166666,-143.103416667,-127.8735,-211.7815,-124.71275,-42.2414166666,-66.3793333333
181.83,-250.0,-94.4443333333,-157.870333333,-71.2964166666,-191.203666667,-280.092666667,-231.4815,-399.074083333,-228.24075,-104.166666667,-166.203833333
182.21,-667.708333333,-304.166666667,-430.208333333,-297.916666667,-518.750000001,-752.083333332,-602.083333333,-1033.33333333,-572.916666667,-295.833333333,-558.333333334
182.59,-1647.22225,-511.111,-783.333249999,-608.33325,-1125.00016667,-1894.44441667,-1336.11108333,-2672.22225,-1247.22216667,-575.000166667,-1355.55541667
182.97,-1422.91666667,-481.25,-581.25,-500.0,-885.416666667,-1504.16666667,-1043.75,-2202.08333333,-1025.0,-518.75,-1116.66666667
183.35,-852.777833333,-184.722333333,-194.444583333,-208.33325,-477.777583333,-806.944416666,-609.722166668,-1333.3335,-524.999916666,-247.222083333,-637.5
183.73,867.856999998,265.476083334,222.619083333,197.619083333,483.333083334,785.71425,580.952333334,1213.09525,535.714166666,350.0,620.238083333
184.11,328.17475,109.523916667,92.4604166666,83.3334166666,175.0,293.253916667,216.666583334,433.73025,207.9365,140.47625,231.745916666
184.49,248.177083333,88.0208333334,78.90625,76.0416666667,143.229166667,210.416666667,157.552083333,303.90625,156.25,110.416666667,169.010416667
184.87,311.45825,98.2638333332,90.6249999999,83.6805833334,173.958416667,251.389,195.13875,392.013833333,186.111083334,115.27775,196.180583333
185.25,450.0,122.05875,133.333583333,125.49025,254.902,342.647,266.176416667,563.725416667,246.568583333,185.294083333,262.745083333
185.63,621.212083334,93.9394166667,140.151583333,71.96975,331.818083333,392.424166667,323.48475,722.72725,278.030333333,225.0,318.9395
186.01,728.125,-67.7083333334,49.9999999999,-97.9166666666,366.666666667,336.458333333,252.083333333,765.625000001,252.083333333,94.7916666665,273.958333333
186.39,380.0,-118.333333333,-29.4442499999,-147.77775,185.5555,73.3334166668,29.9999999999,304.999916666,91.6665833334,-22.2222500002,59.4444166668
186.77,240.1235,-52.4691666668,-7.71600000003,-89.50625,138.889,29.0124166668,0.92599999975,156.790083333,56.1729166667,-10.1851666666,32.0988333332
187.15,167.460333333,-35.5156666668,0.198416666675,-56.1506666666,112.896833333,20.8334166667,-1.78575,85.7142500001,38.0953333334,-5.55541666682,23.6110833333
187.53,133.055416667,-19.1666666667,9.4445,-34.4445,97.6389166666,25.27775,3.74999999993,65.139,41.1110833333,-1.38900000007,24.58325
187.91,133.333333333,-42.1130833333,-1.63700000001,-47.3214999999,100.59525,5.80358333335,-11.6072500001,54.3155,34.8213333332,-18.4524166665,10.5653333333
188.29,109.848416667,-49.7474999998,-13.5100833333,-55.9343333334,82.1970000001,-14.6464166667,-26.2625833332,31.0606666667,18.5607499999,-29.4191666667,-7.44949999998
188.67,83.6345833334,-42.2690833333,-16.5663333334,-55.0200833332,66.2648333334,-22.5905,-30.4215000001,17.9719166667,11.747,-29.7188333333,-12.6506666667
189.05,70.0170833333,-42.2680833333,-24.5704166667,-56.0138333333,58.6769999999,-24.6565,-36.1684166665,3.60833333332,6.61516666666,-29.811,-18.55675
189.43,60.3605,-42.6425833334,-27.7025833333,-57.0570833334,51.4263333333,-25.976,-40.9158333332,-7.80783333333,4.57966666668,-35.1350833332,-23.4234166667
189.81,60.3174166666,-32.209,-21.56075,-44.6429166667,53.6375833333,-12.4339166667,-31.2169166666,-1.78575,12.5660833333,-27.381,-16.5345
190.19,68.8131666667,-17.73975,-13.0681666667,-33.5226666667,65.6565833332,-2.6514166667,-17.4875000001,6.18691666667,25.3786666667,-15.2778333333,-6.43933333335
190.57,71.6895833334,-4.45216666668,-2.62558333332,-18.94975,70.2624999999,9.36074999999,-1.36983333333,14.6690833333,35.8448333333,-3.02533333335,3.31033333335
190.95,73.11325,0.0522500000175,3.87858333333,-12.7359166666,69.9686666667,11.5828333333,5.87008333335,18.2916666667,38.9936666667,1.72966666668,8.59533333332
191.33,70.4318333333,0.200750000017,2.35941666665,-14.8595,66.61625,9.28691666665,5.62258333333,16.6165,38.7549166667,0.502,6.17475
191.71,66.8663333333,-3.2435,-0.44908333335,-18.0639166667,63.9221666667,5.988,1.59675000008,13.02375,37.1258333333,-0.997916666675,1.09766666665
192.09,65.1675833333,4.23283333334,5.55558333335,-9.30325000002,64.3298333333,11.9046666667,7.49550000002,16.2699166667,39.6825833333,4.62958333332,7.18691666669
192.47,65.8120833333,7.82058333332,7.26500000002,-5.38458333332,66.3675,14.4444166667,9.87166666673,16.5385,40.4274166667,6.49583333332,9.57275000002
192.85,67.5438333333,7.193,6.71058333333,-7.41225,67.3683333333,14.29825,10.7454999999,13.6841666667,40.1315,6.0965,7.85083333333
193.23,64.878,3.88316666665,4.58116666664,-12.0855833333,63.8743333333,9.46775000001,8.15883333335,9.33691666665,34.7730833333,2.57408333332,3.75216666664
193.61,65.7754166667,3.92158333333,2.45099999999,-13.28,65.2851666666,9.44733333335,9.18,9.35833333332,34.2691666667,2.85233333334,4.09966666667
193.99,65.3715,4.01558333335,2.54758333333,-12.43525,64.24875,7.42658333334,7.90158333333,10.1035833333,33.2038333333,3.88608333333,4.92233333333
