wavelength,Back_HemMelm,Belly_HemMelm,Breast_HemMelm,Crissum_HemMelm,Crown_HemMelm,DorTail_HemMelm,Patch10_HemMelm,Patch11_HemMelm,Rump_HemMelm,Throat_HemMelm,WingTip_HemMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,29.0740666667,5.55566666667,-1.66666666665,18.3332666667,1.11106666666,8.83841,17.7778,27.2222,6.66660000002,25.0000666667,9.44446666669
179.16,-19.3938370371,-26.0606,-21.8181333333,-15.7575333334,-18.1817333333,-32.5454130303,-34.5454666667,-22.4242666667,-40.0000666667,-9.69699999999,-13.3333333333
179.54,-25.5555555557,106.666666667,120.0,-23.3333333333,96.6666666667,-126.787878788,-46.6666666667,6.66666666666,-110.0,43.3333333334,49.9999999999
179.93,6.41972592593,-2.22233333335,22.9631333333,-7.40740000004,25.926,-3.46470333333,25.1852666667,28.889,1.48140000001,-1.48159999998,7.4074
180.31,-21.6473259259,-22.5869333333,-23.5820000001,-28.6568666667,-18.9055333333,-42.7182236364,-29.5523333333,-11.0448,-43.4826,-29.9500666667,-29.8507333333
180.69,-39.975,-42.8248666667,-48.4745999999,-51.6384666667,-42.9377999999,-69.5254778789,-53.5593333333,-33.6723333333,-73.1073999999,-56.2712,-56.6102
181.07,-103.35502963,-96.6665333332,-110.392066667,-128.431466667,-103.3334,-160.226415758,-130.588333333,-96.2746666667,-161.764733333,-135.882333333,-130.392266667
181.45,-123.908,-114.4828,-135.172466667,-148.5058,-122.298866667,-183.219381515,-145.747,-112.8736,-185.977,-168.046,-152.413666667
181.83,-247.078222222,-240.7408,-273.3332,-278.1482,-243.703733333,-323.888833333,-271.851866667,-231.111133333,-341.481466667,-319.259333333,-304.814733333
182.21,-666.574074075,-627.499999999,-727.5,-723.333333335,-660.000000001,-826.06060606,-745.833333333,-630.000000001,-870.833333333,-830.833333333,-797.5
182.59,-1409.62963704,-1553.33333333,-1751.11106667,-1748.88886667,-1573.33333333,-1890.8991006,-1746.66673333,-1528.88893333,-2051.11106667,-1951.11106667,-1911.11113333
182.97,-1118.14814815,-1283.33333333,-1351.66666667,-1401.66666667,-1253.33333333,-1412.34848485,-1331.66666667,-1301.66666667,-1540.0,-1470.0,-1531.66666666
183.35,-611.111162963,-759.999866666,-777.777866667,-777.777800001,-696.666666667,-788.68184212,-818.888933333,-790.000066667,-898.888866667,-816.666599999,-846.666666667
183.73,629.523703703,645.714333333,760.952466666,715.238066667,695.238066667,737.649300001,783.809666667,759.999933333,858.0952,783.809533335,785.714333333
184.11,234.35637037,237.777733333,279.365133333,264.4444,253.015933333,271.600227879,288.888933333,291.746066667,300.9524,287.618933333,304.444333333
184.49,182.037037037,168.541666667,195.625,198.333333333,182.916666667,196.574810606,207.291666667,209.583333334,208.541666667,206.666666667,209.375
184.87,248.549407407,216.9444,236.6666,259.166666667,225.833333333,245.655413939,273.055666667,260.833266667,249.166666667,269.444466667,260.555533333
185.25,360.348555555,324.705733333,339.215733333,357.254933333,316.862733334,325.709464848,406.2744,380.392133333,336.0784,389.0196,351.7646
185.63,458.720451851,407.2726,404.8484,466.6666,405.4546,425.592313636,578.181666667,512.7272,432.727266667,510.303066667,433.3334
186.01,499.537037036,427.5,434.166666667,511.666666667,484.166666667,463.666666667,715.0,579.999999999,454.166666667,596.666666667,453.333333333
186.39,219.753125926,156.8888,208.889,206.666733333,239.555533333,202.121251515,334.6666,274.222266667,206.222266667,273.777733333,187.5556
186.77,159.149518519,100.000133333,143.9506,133.333266667,168.642,139.85073697,210.864133334,183.209933333,145.432,178.271533333,123.456733333
187.15,122.1164,73.9683333333,112.381133333,104.444333333,129.682533333,114.129119394,156.984133333,133.333266667,112.381,131.111066667,91.1110666666
187.53,107.592577778,65.8889333333,94.2221999999,87.8888666667,111.5554,96.4419033333,120.7778,106.6668,98.2222,114.000066667,79.4445333333
187.91,112.407466667,72.6190666668,100.833333333,91.7858666667,118.690466667,104.85447697,125.833333333,114.0476,98.3333999999,117.380933333,75.8332000001
188.29,93.6476296295,57.4747333333,82.7271333333,69.2930666666,97.8787999999,80.0606230303,100.606133333,88.9899333332,77.0706666668,94.3434666665,51.5152666667
188.67,75.4574592592,43.6946666667,66.2651333333,49.6385333333,79.5984666667,61.5950845456,79.5983999999,70.4418666666,57.1084,73.0923999999,38.6345333333
189.05,62.2220740741,34.2269333334,54.5017333334,39.9999333333,69.3471333333,49.3110660605,63.7801333333,58.3505333333,47.2852,60.6873999999,28.3847333333
189.43,55.6088592592,26.1860666666,48.0480666667,33.5735333333,61.3214000001,40.7428618182,49.7296,48.7686666667,40.3002666667,50.2102,25.2852666666
189.81,61.3403703705,31.6931999999,54.0212000001,41.8518666667,64.3386666667,44.3425084848,52.3280666667,52.8571333333,45.2909333334,53.5979333335,33.0159333333
190.19,70.5163333334,41.0605333334,65.3535333333,51.6163333334,72.1718,52.9633809091,59.7475333334,62.3232666668,55.7575333334,62.7777333333,43.0302666667
190.57,76.1847185185,53.1961999999,69.5889333333,59.2237333334,78.2191333333,59.5039342424,65.6163999999,68.3561333332,60.7305333333,68.1735333333,50.3196
190.95,75.2295037037,55.8072,69.5177999999,61.2998666667,77.2328,60.4995424242,66.457,68.8470000001,59.5387333334,66.9599333333,53.6688666667
191.33,72.0703777778,54.2973333333,66.3854666666,59.3172666667,73.4538666667,59.1714042424,64.2167333334,65.0200666667,55.6626666667,65.2610000001,52.4097333333
191.71,69.3013259259,51.5367333333,65.5887999999,56.6068,69.6208,55.85681,61.7166666666,63.3932666667,52.9739333334,63.9521333333,50.4193333334
192.09,68.2383851851,50.8643333333,62.9278,55.9435333333,67.2663333333,54.686560606,60.9522666667,62.575,52.9101333333,63.7036666667,51.8871333333
192.47,68.5280814815,52.0342,64.6496666666,59.0768666667,68.5812666667,56.8224930303,62.6667333333,64.0344,55.7608,65.6409333333,54.9743333333
192.85,70.2066962962,52.7720666667,66.9122000001,60.7369333333,70.7368666667,59.0473345454,64.2807333333,66.3508,57.4036,67.3333333333,56.9122
193.23,67.306511111,49.7032,65.1658000001,56.6492666667,66.2826666667,55.443469394,61.117,63.0716,54.7643333333,62.7574666667,52.9493333333
193.61,67.6489555555,51.5509333333,65.8823333333,57.9678666667,68.9482666667,57.0788069697,62.9589999999,63.6364000001,57.1124,64.9554,53.0481333333
193.99,63.9032444445,50.3970666667,63.9032666667,54.0587333333,67.1501333333,55.3108333333,60.829,60.449,54.7150666667,64.145,51.2955333333
194.37,57.6930592592,45.6715333333,54.6268666667,47.8276666667,60.4974666667,51.1733812121,56.0862,53.4992,48.6567333333,57.3798666667,44.544
194.75,47.5356444444,32.7748,44.0224,37.2439333333,48.3426,38.7675851515,46.3316,45.0279333333,37.4674,46.5176,31.8064
195.13,42.8364592593,26.3414666667,38.3332666667,31.6666666667,45.4878,32.991350303,40.325,38.6584666666,32.2358,42.8049333333,23.9835333333
195.51,38.6640444444,22.6175333334,33.6197333333,27.4028666667,42.863,27.0204936363,34.9694,33.1695333333,29.7342,38.1594,18.4459333333
