wavelength,Back_HemParf,Belly_HemParf,Breast_HemParf,Crissum_HemParf,Crown_HemParf,DorTail_HemParf,Patch10_HemParf,Rump_HemParf,Throat_HemParf,WingTip_HemParf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,208.333333333,295.833333334,266.666666667,283.333333334,262.5,191.666666667,233.333333333,125.0,275.0,362.5
179.54,-33.3333333333,144.444333333,111.111166666,-5.5555,144.444333333,161.111166666,133.333333334,177.778,166.666833333,77.7776666666
179.93,55.5555,2.7776666667,111.111,113.889,102.777666667,130.555333333,97.2221666665,24.9998333333,58.3335,-72.2223333334
180.31,-8.74316666665,-24.5901666667,46.9944999998,6.28416666665,39.6173333334,66.3935,44.5355,22.4043333333,16.3933333333,-26.7758333334
180.69,-12.2221666666,-33.0555,48.6111666666,0.55566666665,36.9445,62.7778333334,50.8333333335,22.5,9.44433333335,-33.611
181.07,7.627,-27.1185,55.9321666665,13.2768333333,47.7401666667,66.6668333333,63.8416666665,37.2881666666,14.9718333334,-22.5986666667
181.45,21.7948333333,-13.8463333333,66.4103333335,31.0256666667,61.7948333333,75.3846666665,80.0000000001,40.2563333333,28.7181666666,1.28183333334
181.83,17.1173333333,-15.9908333334,60.135,26.3513333333,50.4505,64.1891666666,73.8739999998,33.5585,22.2975,4.054
182.21,12.8571666667,-19.0478333333,58.8096666667,10.2381666666,43.3335,53.3331666667,75.9523333333,30.9523333333,20.4763333333,10.238
182.59,1.09283333335,-32.7866666667,50.2731666666,-8.46983333335,26.2296666667,42.6226666666,71.0381666665,19.9453333333,15.847,9.01633333331
182.97,-56.8376666668,-107.6925,36.3248333333,-70.0854999999,-2.564,13.2476666667,54.2735,-16.6666666667,-20.5128333333,-23.932
183.35,-44.9074999998,-81.4813333332,62.0368333333,-50.9258333334,36.111,33.7963333335,82.8704999999,22.2221666665,12.5,-1.38883333334
183.73,-20.6666666665,-45.3333333333,49.3333333333,-24.0,38.3333333333,42.3333333333,67.6666666667,41.6666666667,25.6666666667,9.33333333335
184.11,-80.9521666668,-129.1665,38.0951666667,-81.5476666665,29.7620000001,51.7856666668,102.976166667,42.8571666668,15.4761666666,-13.6903333334
184.49,-91.6668333335,-174.2425,37.1211666666,-128.030333333,26.515,64.3938333331,123.484833333,21.9696666665,21.2121666666,-15.1515
184.87,-68.4523333332,-113.690333333,48.8095,-81.5473333335,54.1666666665,83.9285000002,110.119,31.5476666667,42.8571666667,22.0238333334
185.25,-34.6491666669,-53.0701666667,73.6841666667,-23.6841666667,80.2633333332,93.4209999999,109.210666666,57.0176666665,63.1578333333,53.5088333333
185.63,-42.9823333335,-38.158,71.0528333333,-26.3158333333,81.579,105.701666666,103.070166667,66.6666666667,71.0526666666,49.5615
186.01,-95.098,-97.0588333332,142.157,-51.9604999999,191.176333333,211.764666667,201.960833333,128.4315,158.8235,96.0783333335
186.39,-1800.0,-1666.66666667,2033.33333333,-900.0,3366.66666666,3516.66666667,2833.33333333,2316.66666666,2466.66666667,1583.33333333
