wavelength,Back_HemPiuf,Belly_HemPiuf,Breast_HemPiuf,Crissum_HemPiuf,Crown_HemPiuf,DorTail_HemPiuf,Patch10_HemPiuf,Rump_HemPiuf,Throat_HemPiuf,WingTip_HemPiuf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-18.75,18.0555833333,-26.3888333333,3.12499999999,4.86116666667,10.7638333333,-4.16675,15.6250416667,-17.36125,-23.6111666667
179.16,-20.8333333333,-47.9166666667,-52.5000000001,-32.0833333333,-35.0,-29.5833333334,-17.5,-50.0,-45.0,-100.0
179.54,-164.583333333,-233.333333333,-304.166666667,-143.75,-206.25,-172.916666667,-147.916666667,-208.333333333,-216.666666667,-308.333333333
179.93,-110.71425,-92.8572916666,-97.6191666667,-89.2857500001,-41.66675,-59.5237916667,-58.3333333333,-51.1905,-73.8095000001,-139.28575
180.31,-52.662,-59.4327916667,-73.9583333332,-42.6506666666,-28.3563333333,-28.8772083333,-41.20375,-46.9329583333,-71.6435,-97.22225
180.69,-58.1111666667,-60.1110416667,-78.4445000001,-47.7222916666,-27.7778333333,-36.4443333333,-44.2223333333,-49.7221666667,-78.1112500001,-105.333416667
181.07,-63.6149999999,-69.4837083334,-88.2628333333,-54.8122083333,-30.2815833333,-45.4813333332,-47.6525833333,-58.5092916667,-86.1502500001,-115.023416667
181.45,-81.6666666666,-82.0455833332,-105.1515,-70.2274166668,-26.3638333333,-54.9242499999,-56.6666666666,-67.1968750001,-104.393833333,-133.484916667
181.83,-81.21225,-73.712,-92.7273333334,-66.89375,-8.78783333334,-53.7121666668,-51.3636666667,-59.6211666667,-93.48475,-117.272666667
182.21,-56.4655833334,-53.0892083333,-72.4136666667,-42.7443750001,10.0575,-30.5315416667,-28.44825,-35.7039583334,-71.8389999999,-82.3275833333
182.59,-50.4385833333,-38.8889166666,-67.1052499998,-32.1637083334,17.3975833334,-21.5643333334,-21.0525833333,-32.0175416667,-63.0118333334,-77.6315833332
182.97,-84.127,-63.1945416667,-105.5555,-56.0514583334,2.77783333343,-39.0872499999,-47.0237499999,-58.2341250001,-104.5635,-114.48425
183.35,-220.454583334,-164.962041667,-262.12125,-165.909041667,-37.8787500001,-140.341083333,-134.848416666,-153.219541667,-249.242416667,-277.272583333
183.73,-133.046,-91.9542500001,-154.885083334,-99.9999166667,3.73558333325,-79.1666666667,-69.2529166667,-68.8216666668,-135.919583333,-156.322
184.11,-298.888916667,-208.888833333,-338.888916666,-244.444333333,-11.6666666668,-208.333291667,-163.888833333,-155.833333333,-283.889,-346.666666667
184.49,-311.3095,-200.595208334,-338.690416667,-219.940625,-5.35716666683,-196.428708333,-144.64275,-127.976166667,-261.904833333,-346.428583333
184.87,-241.666666667,-160.9375,-263.541666667,-154.947916667,18.2291666666,-127.604166667,-110.416666667,-92.96875,-190.625,-258.333333333
185.25,613.541666666,431.770833333,627.083333334,463.020833333,90.6249999998,389.583333333,384.375,330.729166667,500.000000001,616.666666667
185.63,4800.00000001,3654.16666667,5024.99999999,3633.33333332,924.999999999,3225.0,3375.0,2645.83333334,4150.0,4800.0
186.01,-1544.4445,-1195.83333333,-1594.4445,-1151.38891667,-338.888916667,-998.611208335,-1047.22216667,-740.277791666,-1516.66666667,-1652.77775
186.39,274.691416667,210.802541667,264.197583333,230.401125,137.962833333,226.697583333,217.901333333,183.950666667,271.9135,290.43225
186.77,351.449333333,269.20275,331.159416667,309.782708333,173.188416667,280.615916667,261.9565,242.572375,353.985333334,346.376666667
187.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.53,-657.5,-457.083333333,-565.833333333,-595.416666667,-200.0,-510.833333333,-399.166666667,-423.333333333,-625.000000001,-533.333333333
187.91,3612.5,2931.25,3012.5,3260.41666667,1470.83333333,3147.91666667,2354.16666666,2731.25,3683.33333333,3004.16666666
188.29,658.333166667,564.58325,567.361166667,611.458208333,317.361083333,614.930500001,464.58325,517.013916667,674.3055,493.0555
188.67,-8358.33333334,-7095.83333334,-6841.66666667,-7891.66666666,-4166.66666667,-7854.16666666,-5858.33333333,-6591.66666666,-8541.66666668,-6158.33333333
189.05,1131.25,925.520833333,940.625000002,1091.14583333,656.250000001,1053.64583333,795.833333333,897.395833335,1183.33333333,827.083333334
189.43,-516.666666667,-350.520833333,-400.520833333,-456.510416667,-281.25,-419.270833333,-313.541666667,-379.947916667,-518.229166666,-336.979166666
189.81,-304.666666667,-160.0,-221.333333333,-261.666666667,-163.666666667,-229.0,-165.333333333,-210.166666667,-300.333333333,-181.0
190.19,-535.714333333,-230.952583333,-406.547583333,-436.309708333,-294.642833333,-385.119,-304.166833333,-382.142958333,-489.881,-304.16675
190.57,-263.580166667,-99.5369166667,-209.25925,-211.574041667,-137.345666667,-181.790208333,-156.172833333,-184.876625,-232.098666667,-135.493833333
190.95,-216.953916667,-65.6609583334,-180.172333333,-161.06325,-116.379166667,-153.735791667,-140.804416667,-150.718333333,-190.22975,-103.160916667
191.33,-208.620583333,-48.1320416666,-158.908083333,-138.074833333,-125.28725,-144.396625,-130.172416667,-137.787291666,-170.40225,-93.1034166666
191.71,-288.541666667,-69.0972083333,-222.91675,-167.881958333,-187.152666667,-210.242958333,-192.361083333,-191.145708333,-238.194583333,-143.055583333
192.09,-240.432,-4.01229166667,-182.098916667,-125.000125,-120.06175,-159.876375,-138.271583333,-133.796333333,-175.000083333,-113.888833334
192.47,-99.8188333333,47.0107916667,-55.0724166667,-32.6990833334,-25.1810833332,-45.1087083333,-26.26825,-32.8802916666,-60.8695833334,-37.5
192.85,-251.754416667,135.526375,-160.08775,-90.3510416665,-76.3157499999,-110.745583333,-57.4561666667,-70.39475,-152.193083333,-83.772
193.23,-399.305666667,184.722208333,-267.361166667,-163.888958333,-117.361166667,-215.277833333,-95.8333333334,-109.722333333,-201.388916667,-117.361166667
193.61,-4991.66666667,900.000000001,-3433.33333333,-2475.0,-1241.66666667,-3979.16666666,-1366.66666667,-1454.16666666,-2783.33333333,-1866.66666667
193.99,-1841.66666667,-106.9445,-1388.889,-948.611166668,-522.222250001,-1613.88904166,-602.77775,-716.666625,-1152.77775,-880.555666666
194.37,-340.000166667,14.1667083333,-203.333333333,-186.11125,-73.8889166666,-288.333208333,-74.4445,-106.666708333,-199.444583333,-131.666833333
