wavelength,Back_HemReym,Belly_HemReym,Breast_HemReym,Crissum_HemReym,Crown_HemReym,DorTail_HemReym,Rump_HemReym,Throat_HemReym,WingTip_HemReym
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-283.333333333,-183.333333333,-75.0,-200.0,-183.333333333,-175.0,-33.3333333333,-450.0,-250.0
179.16,130.952666667,92.8573333333,104.762,102.381,83.3333333333,76.1906666667,66.667,161.905,50.0
179.54,186.666666667,156.666666667,80.0,110.0,126.666666667,106.666666667,120.0,206.666666667,100.0
179.93,-53.3333333333,-60.0,-100.0,6.66666666667,-20.0,0.0,-113.333333333,-293.333333333,140.0
180.31,390.322333333,202.150333333,146.236666667,189.247333333,254.838666667,262.365333333,208.602,525.806666667,225.806
180.69,646.296,337.037,248.148,309.259333333,405.555666667,418.518333333,331.481333333,864.814666667,372.222
181.07,446.666666667,236.0,201.333333333,228.0,264.0,296.0,269.333333333,613.333333333,256.0
181.45,1096.66666667,576.666666667,490.0,556.666666667,690.0,806.666666667,723.333333333,1586.66666667,750.0
181.83,-2316.66666667,-1316.66666667,-1158.33333333,-1216.66666667,-1491.66666667,-1983.33333333,-1733.33333333,-3725.0,-1625.0
182.21,973.333333333,516.666666667,470.0,550.0,663.333333333,853.333333333,710.0,1496.66666667,810.0
182.59,792.307666667,464.103,484.615333333,512.820666667,551.282333333,615.385,582.051333333,1197.436,638.462
182.97,516.666666667,335.0,366.666666667,358.333333333,376.666666667,396.666666667,386.666666667,803.333333333,405.0
183.35,299.099333333,209.009333333,233.333666667,226.126333333,250.450666667,229.73,255.855666667,447.748,240.541
183.73,208.620333333,162.069,164.368,166.666666667,185.632333333,173.563333333,196.552,287.931,165.517
184.11,196.428333333,170.238,156.547666667,168.452333333,192.262,166.666666667,186.904333333,275.595333333,162.5
184.49,178.142,161.202333333,148.633666667,159.562666667,200.546333333,162.295,181.967333333,254.644666667,172.131
184.87,151.25,129.583333333,113.333333333,130.833333333,172.916666667,141.25,157.083333333,207.916666667,147.5
185.25,154.471666667,130.894,104.471666667,118.292666667,180.487666667,143.496,151.626,198.780333333,137.805
185.63,140.351,115.789333333,101.403666667,112.982333333,167.719333333,134.386,137.193,167.368,126.316
186.01,128.613333333,96.7553333333,93.2153333333,100.294666667,153.687333333,119.763666667,124.483666667,148.082666667,113.274
186.39,140.251666667,120.754666667,102.83,108.176,169.182333333,133.648,139.622666667,161.949333333,116.038
186.77,140.067333333,134.68,106.397666667,113.804333333,179.461,147.474666667,145.791,167.34,114.141
187.15,146.591,136.742333333,111.364,123.485,193.939333333,153.409333333,160.984666667,181.061,125.0
187.53,138.431333333,138.823333333,113.333,124.706,185.882333333,156.470666667,160.784666667,177.255,118.824
187.91,153.921666667,153.431333333,134.804,137.255,204.411666667,169.117666667,183.333333333,210.784333333,122.059
188.29,172.396,169.791666667,149.999666667,156.25,212.5,177.083333333,210.416666667,231.771,129.688
188.67,205.357,210.714333333,185.119,192.261666667,238.690333333,211.904666667,263.690333333,272.619,150.0
189.05,212.245,236.054333333,217.007,210.884333333,264.626,233.333333333,284.353666667,294.557666667,146.939
189.43,145.238,176.666666667,166.666666667,166.666666667,190.476,173.809666667,217.619,217.143,117.143
189.81,123.809333333,177.142666667,142.380666667,149.047333333,169.047666667,155.714,215.714333333,201.905,92.857
190.19,124.889,186.666666667,143.111,151.111333333,168.444666667,157.778,209.778,187.555666667,106.667
190.57,114.458,159.437666667,135.341333333,147.389666667,153.815333333,145.783333333,187.952,156.225333333,109.639
190.95,111.688666667,150.649333333,130.736,147.619,155.844333333,155.411333333,190.909333333,142.424333333,127.273
191.33,113.253,154.217,135.341333333,139.357333333,146.988,165.863666667,189.558,136.948,134.94
191.71,109.629666667,141.852,128.148333333,132.963,143.703666667,160.370333333,182.592333333,121.481333333,133.333
192.09,107.246333333,144.202666667,132.246666667,134.782666667,155.435,171.376666667,185.145,107.608666667,146.739
192.47,109.689666667,147.286666667,135.271333333,135.271333333,167.442,186.434,186.434333333,109.690333333,159.302
192.85,110.0,154.166666667,141.25,136.666666667,174.166666667,196.25,186.25,97.9166666667,167.5
193.23,120.085333333,162.820333333,154.273333333,142.735,181.196333333,207.265,195.726666667,110.256333333,175.641
193.61,147.475,196.464333333,183.838666667,167.676666667,223.737666667,243.939333333,232.323333333,130.808333333,206.061
193.99,184.0,235.333333333,236.666666667,190.666666667,283.333333333,297.333333333,278.666666667,179.333333333,258.0
194.37,204.504666667,297.297333333,299.099333333,253.153333333,339.64,367.567666667,330.630333333,215.315333333,313.514
194.75,201.905,332.381,308.571333333,260.952666667,347.619333333,383.809666667,355.238333333,227.619,311.429
195.13,177.272666667,315.151666667,276.515333333,242.424333333,300.0,330.303,314.394,228.030333333,256.818
195.51,174.829666667,317.007,272.108666667,255.101666667,293.877666667,319.727666667,297.279,234.013666667,240.816
195.89,254.955,454.955,398.198,353.153333333,392.793,429.729666667,404.504666667,335.135333333,321.622
196.27,292.380666667,502.857,443.809333333,403.809333333,428.571,464.762,455.238,409.523666667,348.571
196.65,189.697,342.424333333,300.606,273.333666667,283.030333333,312.121333333,311.515,259.393666667,236.364
197.03,186.781333333,322.988333333,290.804666667,274.137666667,277.586333333,299.425333333,309.195333333,255.747333333,239.655
197.40,216.666666667,357.142666667,313.690666667,310.714333333,305.357,336.309666667,346.428666667,276.785666667,282.143
197.78,296.666666667,474.166666667,421.666666667,429.166666667,406.666666667,461.666666667,470.833333333,365.833333333,402.5
198.16,277.037,453.333666667,404.444666667,424.444333333,387.407333333,439.259333333,442.222333333,311.111333333,391.111
198.54,294.444333333,443.75,396.527666667,401.389,390.972,429.861,436.805666667,305.555333333,383.333
198.92,322.464,444.927333333,421.014333333,421.014333333,407.246333333,450.0,449.275666667,297.826,423.913
199.30,358.139666667,476.744333333,461.24,446.511666667,441.860333333,478.294666667,480.620333333,289.147,462.791
199.68,290.566,383.647666667,376.729666667,354.717,359.119333333,383.018666667,383.648,220.125666667,373.585
200.06,331.915,431.206,422.695,396.454,404.255333333,440.425333333,424.113666667,229.078,442.553
200.44,298.148,392.592666667,367.901333333,344.444333333,347.530666667,391.358,370.370333333,183.333333333,385.185
200.82,341.333333333,424.0,404.0,374.0,381.333333333,427.333333333,404.0,203.333333333,436.0
201.19,337.908333333,420.261666667,393.463666667,370.588,373.856333333,422.875666667,384.314,179.738666667,435.294
201.57,301.212,389.090666667,353.939333333,339.394333333,330.909333333,370.303333333,344.848666667,169.091,387.273
201.95,279.661333333,367.231333333,349.717666667,317.514333333,303.954666667,345.198,328.813333333,138.983,369.492
202.33,298.305,366.101666667,360.452,324.858666667,305.649666667,354.802,341.808,144.633,376.271
202.71,308.333333333,369.642666667,376.785666667,347.024,319.642666667,379.762,355.357333333,139.285666667,407.143
203.09,307.143,376.190333333,377.976,343.452666667,327.976333333,381.547666667,360.119,152.976333333,408.929
203.47,293.103333333,355.747,377.586,335.632,322.988333333,374.137666667,358.046,156.321666667,401.724
203.85,336.538333333,398.717666667,416.666666667,380.769333333,361.538333333,416.666666667,407.051333333,151.923,455.769
204.22,345.652,426.087,447.826333333,418.840333333,389.130333333,439.855,424.638,150.724666667,491.304
204.60,536.781666667,624.138,686.207,667.816,603.448333333,683.908,657.471333333,226.436666667,803.448
204.98,1088.09533333,1266.66633333,1421.42833333,1366.667,1216.66666667,1402.381,1395.23833333,476.190333333,1607.143
