wavelength,Back_HemRusm,Belly_HemRusm,Breast_HemRusm,Crissum_HemRusm,Crown_HemRusm,DorTail_HemRusm,Patch10_HemRusm,Rump_HemRusm,Throat_HemRusm,WingTip_HemRusm
178.4,0,0,0,0,0,0,0,0,0,0
178.78,134.6666667,162.6666667,188,164,173.3333333,186.6666667,154.6666667,140,182.6666667,193.3333333
179.16,90.66653333,86.66666667,73.77766667,76.4446,91.11113333,84.00006667,84,87.1112,91.7777,92.4444
179.54,107.3684,106.6667333,112.9823333,111.5789333,112.9824,116.4912667,97.19306667,100.351,120.1755,114.0351333
179.93,244.7618,199.0476667,207.6190667,242.8571333,228.5714,223.8095333,216.1906,219.0477333,247.1429667,245.7143333
180.31,139.4264667,122.8674,133.5484,136.2724,138.4228,140,134.4802667,132.5448667,150.7168667,141.5054
180.69,138.2177333,121.4522,135.4456,139.0099333,138.6800667,140.5941333,133.8614,132.5414,149.5379,143.1684
181.07,138.8786667,120.2492,134.4548,138.3799333,138.2554667,138.0061333,136.3862667,133.3333333,149.3768667,141.4331333
181.45,132.2713333,116.8732667,133.8053333,133.2153333,133.7462667,132.7434667,133.1563333,128.4956,145.1621333,134.9262
181.83,125.2174,109.3913333,125.2753333,123.1883333,125.8549333,123.7681333,127.2464,122.6086667,135.7391667,124.9274667
182.21,117.2413333,102.7586667,118.7931333,115.1723333,117.5288,118.1033333,121.4367333,115.2299333,126.4941,117.7010667
182.59,112.0872,96.69773333,114.6418,111.838,112.0871333,114.5794,116.324,109.5327333,118.2866,112.0248667
182.97,93.70973333,84.24726667,97.84953333,95.16126667,93.9248,97.52686667,95.914,90,97.15056667,93.65586667
183.35,89.1228,82.3558,95.73946667,94.13533333,89.27326667,92.7318,90.72673333,86.01506667,90.27566667,88.42113333
183.73,88.5446,83.84973333,94.8356,95.2112,88.30986667,90.7982,90.09386667,85.7746,87.18316667,87.7934
184.11,87.34806667,86.22886667,95.815,95.1824,87.39666667,90.41373333,91.14346667,87.54266667,86.5451,87.49393333
184.49,84.3916,84.4444,91.79886667,93.3334,83.1746,89.1004,90.05293333,87.14266667,84.28586667,81.9576
184.87,81.09293333,82.84146667,86.06553333,88.0328,76.55746667,85.90166667,85.90153333,84.4808,81.42066667,77.48626667
185.25,76.1154,80.105,80.63,83.98946667,70.34126667,82.36226667,77.32286667,78.16273333,75.90556667,72.4408
185.63,75.0964,77.41046667,75.59226667,85.39946667,68.81546667,83.74653333,73.71913333,76.0882,73.0026,71.9008
186.01,81.147,83.65586667,82.07893333,100.7886667,75.34053333,92.83146667,81.72046667,84.65953333,78.4589,79.71326667
186.39,75.73046667,74.53186667,76.47933333,97.60293333,71.23606667,85.0936,73.40826667,79.10106667,72.95873333,72.65913333
186.77,72.56946667,71.875,74.51386667,91.94446667,70.06933333,79.65273333,72.1528,76.5278,70.8681,71.24993333
187.15,75.76466667,71.76473333,78.11773333,96.3138,75.84306667,81.56866667,75.45086667,80.54913333,74.11773333,75.2158
187.53,79.36513333,68.25406667,79.84126667,97.61886667,78.0952,82.4602,76.03166667,82.5396,74.8016,79.68246667
187.91,72.4706,63.2158,77.8038,94.35293333,77.09793333,79.52946667,70.6666,77.41173333,72.5883,73.88226667
188.29,69.79433333,61.72833333,76.13166667,94.48566667,78.76546667,77.94233333,67.98353333,72.9218,69.50616667,75.0618
188.67,67.36846667,62.24553333,74.03526667,90.94733333,79.78946667,74.807,67.29826667,70.03506667,65.50876667,76.77193333
189.05,66.5184,61.62953333,78.44453333,94.1482,88.5186,75.2592,70.07413333,71.1852,64.6297,75.18513333
189.43,66.91993333,60.50633333,78.64986667,98.90286667,94.5992,77.21533333,71.98313333,72.152,61.89883333,76.7088
189.81,66.41033333,58.88893333,82.8204,97.69233333,98.11966667,73.50433333,73.41886667,72.39313333,57.8632,74.359
190.19,63.617,55.39,77.73046667,86.66666667,89.2198,70.78013333,63.90073333,64.89353333,54.8581,68.7234
190.57,67.08333333,65.69433333,85.06953333,92.91666667,95.62493333,77.56946667,71.04166667,69.44446667,61.00706667,74.37506667
190.95,67.6702,69.104,88.02853333,96.05746667,96.48746667,80.28666667,70.82453333,70.2508,61.00366667,74.91046667
191.33,65.42646667,72.40306667,90.69766667,96.82166667,98.75966667,82.0154,70.46506667,69.6898,59.72863333,75.19373333
191.71,60.397,75.95233333,86.82526667,94.60326667,100.7936,81.03173333,69.36493333,67.9364,58.6112,71.82533333
192.09,55.66273333,72.36953333,82.3294,88.35346667,96.62653333,77.269,64.98,64.57833333,54.0563,68.51406667
192.47,47.67126667,65.66213333,78.5388,84.10953333,95.2512,74.064,56.8036,57.26026667,45.70776667,63.01366667
192.85,46.6666,69.39886667,87.65026667,88.306,107.541,77.5956,59.45366667,58.46993333,47.86886667,62.18586667
193.23,52.06893333,80.8046,92.52873333,90.57453333,112.8735333,83.44833333,63.44833333,61.1494,54.25283333,69.19546667
193.61,55.73773333,85.90173333,101.2021333,94.6448,116.6119333,89.61746667,70.60106667,70.49173333,55.3007,74.20766667
