wavelength,Back_HemVerf,Belly_HemVerf,Breast_HemVerf,Crissum_HemVerf,Crown_HemVerf,DorTail_HemVerf,Rump_HemVerf,Throat_HemVerf,WingTip_HemVerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-21.4285,8.33333333333,-21.4285833333,30.9524166667,17.8571666667,-14.2856666668,19.8811333333,22.6190833333,-1.19041666668
179.16,-9.72216666668,-16.6666666667,-20.8334166667,29.1666666666,-1.38891666667,-5.55558333333,-10.2777333333,-12.5,1.38899999998
179.54,120.83325,113.889,37.5000000001,90.2777500002,94.4443333334,108.3335,100.277841667,58.3334166667,58.3333333334
179.93,46.6666666667,61.1111666667,48.8888333333,70.5555,72.22225,69.9999166666,61.50005,57.77775,58.8889999999
180.31,24.4369166667,30.8558333333,-20.383,37.7250833333,37.2749166667,21.2836666667,24.5608583333,15.3153333333,23.3108333333
180.69,21.2851666667,25.30125,-21.58625,36.9478333333,34.2369166667,18.6745833333,21.6867083333,9.43775000003,22.8915833333
181.07,32.315,31.5741666667,-10.6481666666,40.5555833333,38.7038333333,25.6481666667,28.7406416667,16.75925,32.8705
181.45,40.6625833333,34.6384166667,-7.22874999998,44.0763333334,45.7830833333,32.1285833334,36.1547416667,20.0804166667,41.0641666667
181.83,41.2744166667,34.1175833333,-2.84308333335,42.9410833334,46.4705833333,31.8628333332,35.5197083334,22.647,50.2940833333
182.21,42.3076666667,27.4358333333,-16.7948333333,39.4871666666,44.359,23.4614166666,27.9102416667,14.87175,50.1281666667
182.59,40.3333333334,13.0,-30.3333333334,32.0,38.0,10.6666666667,17.6166666667,7.33333333331,47.6666666667
182.97,31.3008333333,-18.2925833333,-54.6746666667,8.53658333343,28.4553333334,-16.8699999999,1.80895833335,-16.8699999999,25.0000833334
183.35,65.4166666666,-1.45833333333,-29.3749999999,31.4583333332,48.75,6.04166666657,29.3125,9.79166666665,48.9583333333
183.73,78.7355833333,-14.3678333333,-42.2414166667,37.3564166667,58.3334166667,2.87366666675,30.6322000001,4.88508333325,59.1954166666
