wavelength,Back_HemVerm,Belly_HemVerm,Breast_HemVerm,Crissum_HemVerm,Crown_HemVerm,DorTail_HemVerm,Rump_HemVerm,Throat_HemVerm,WingTip_HemVerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,30.9521666666,5.95233333333,22.6189166667,7.14283333334,-17.8570833333,34.5237500001,38.0951666667,19.0476666667,46.42875
179.16,-4.16675,-2.77791666658,4.16675000002,-27.7776666667,-22.2221666667,-15.2778333333,19.4443333333,43.0555833332,18.0555
179.54,116.666666667,62.4999166668,36.1110833333,98.61125,81.9444999999,74.9999166667,98.6110833333,127.777833333,98.6111666666
179.93,63.3335000001,57.77775,59.4444166666,67.2221666667,50.55575,67.22225,72.2223333334,64.4445,71.66675
180.31,31.6441666667,16.554,13.73875,28.491,9.68483333335,25.0001666667,33.67125,56.8694166666,43.2433333333
180.69,29.0160833334,17.7710833333,10.54225,25.9036666667,8.53425,22.5901666667,28.9156666667,52.20875,38.5541666667
181.07,36.4814166667,22.5000833333,16.38875,35.5555,15.0,30.3704166667,33.4258333333,55.9260833334,37.5925
181.45,42.7711666667,26.6063333333,19.0763333333,44.779,19.57825,36.8473333333,34.7388333333,58.735,42.9718333333
181.83,44.7058333333,29.50975,23.3335,50.7843333333,18.8233333333,38.5294166667,35.58825,58.8235833333,44.5098333334
182.21,45.8974166667,21.6665833333,16.15375,49.359,11.0256666667,35.76925,31.282,58.8460833334,41.5384166667
182.59,43.3333333334,11.8333333333,4.0,51.8333333333,-0.5,38.1666666667,20.6666666667,57.1666666667,34.3333333333
182.97,29.26825,-11.1789166667,-18.2925833333,39.2278333334,-16.6667499999,26.82925,-5.28458333333,33.5365833333,15.44725
183.35,57.0833333333,11.4583333333,6.45833333333,70.2083333334,-1.04166666672,46.875,12.0833333333,55.0,37.7083333333
183.73,75.57475,3.44833333333,-2.01158333342,89.0805833334,-7.47141666673,51.1493333332,2.87366666667,63.7932500001,39.3678333334
184.11,75.2975000001,6.25,5.05941666666,92.857,-2.67849999993,61.3096666668,9.22616666666,60.4167499999,33.0356666666
184.49,87.2222499999,11.1110833333,24.4443333333,104.722333333,10.5554166667,73.6110833335,23.889,51.3889166666,36.1110833334
184.87,89.2858333334,-83.9285833333,-30.3571666667,150.59525,-60.7142500001,79.1666666667,-23.2144166667,4.1666666666,3.57158333332
185.25,-158.333333334,-2008.33333333,-1675.0,625.000000001,-1925.0,-8.33333333425,-1766.66666667,-1341.66666667,-491.666666668
185.63,-93.5185000001,-280.555583334,-260.18525,29.6295833335,-293.5185,-45.3703333333,-227.777833333,-180.555416667,-95.3704166669
186.01,-2441.66666667,-3991.66666666,-3716.66666667,-1375.0,-3791.66666667,-1775.0,-3608.33333333,-3116.66666666,-2525.0
186.39,-174.404833333,-288.6905,-248.809583334,-65.4762499999,-287.499916667,-137.5,-280.357166667,-210.714333333,-199.40475
186.77,-170.833333334,-292.708333333,-244.270833333,-86.4583333333,-307.8125,-144.270833334,-273.4375,-204.166666667,-207.291666667
187.15,-665.0,-1050.0,-918.333333333,-376.666666667,-1185.0,-490.0,-948.333333335,-718.333333332,-768.333333333
187.53,736.111083334,988.888833333,912.499916666,437.500083333,1079.16666667,547.22225,938.888833333,727.778000001,744.444416667
