wavelength,Back_HemXanm,Belly_HemXanm,Breast_HemXanm,Crissum_HemXanm,Crown_HemXanm,DorTail_HemXanm,Rump_HemXanm,Throat_HemXanm,WingTip_HemXanm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,840.0,660.000000001,953.333333334,926.666666667,833.333333333,626.666666666,966.666666666,893.333333333,713.333333333
179.16,24.0,26.6666666667,85.3333333333,17.3333333333,-7.99999999999,-13.3333333333,56.0,50.6666666666,-22.6666666667
179.54,74.2856666667,105.714266667,124.761933333,103.809466667,70.4760666667,69.5238,145.714133333,75.2381333333,82.8570666667
179.93,117.948666667,74.8718666666,145.128333333,103.589933333,103.076866667,88.7179333333,103.589666667,106.153866667,104.615533333
180.31,-122.758666667,-50.5748000001,-171.264333333,-124.827666667,-107.586333333,-43.2183333333,-140.459666667,-63.9081333333,-65.0574666668
180.69,-92.4561333333,-29.4737333333,-129.298133333,-96.8421333331,-83.6842666666,-31.5790666666,-114.5614,-51.5790666666,-50.5263333334
181.07,-44.6914666667,1.97533333333,-67.5309333333,-42.2221333333,-39.7530666667,-2.34559999994,-62.7160666666,-14.321,-18.0246
181.45,-32.6041333333,9.375,-48.9582,-27.3957333333,-29.479,3.12506666668,-51.1456,-3.85426666666,-13.9581999999
181.83,-22.1666666667,17.4166666667,-33.9166666667,-15.3333333333,-19.6666666667,7.66666666667,-34.5833333333,2.41666666667,-4.0
182.21,-12.6104666667,20.8032666667,-23.4536666667,-10.3614,-14.3776,10.7629333333,-28.8354,9.15646666666,0.96373333332
182.59,-1.64700000001,24.7058666667,-17.7254666667,-5.4904,-10.5883333333,16.1568,-23.7646,16.5490666667,3.37246666666
182.97,-5.15566666667,22.4888666666,-25.8666666667,-11.5556,-15.8222666667,13.8666666667,-30.7556666666,16.0888,-0.80000000002
183.35,-11.1793333333,17.436,-38.9742666667,-15.9999333333,-22.5641333333,6.2564,-44.5127333333,10.0512666667,-6.46166666666
183.73,-15.3458666666,22.1382666667,-45.2830666666,-7.67306666668,-21.8868,10.0629333333,-53.5848,12.956,-4.0251333332
184.11,-31.0637999999,17.3050666667,-62.6950666667,-12.4824,-33.7589333333,2.97873333327,-76.0283999999,5.95740000001,-4.82279999994
184.49,-66.4913333333,-10.8772,-103.684266667,-35.9648666667,-73.8595999999,-24.3859333333,-117.7194,-27.0173999999,-32.6313999999
184.87,-170.333333333,-73.9999999999,-250.666666667,-103.0,-185.333333333,-82.6666666668,-262.333333333,-73.0000000001,-96.3333333333
185.25,-159.0,-75.6666666667,-254.333333333,-95.9999999999,-187.666666667,-73.3333333335,-258.333333333,-50.6666666667,-85.3333333333
185.63,-91.0344,-46.4367333333,-154.712666667,-52.6438,-122.9886,-32.8735333334,-159.080466667,-20.6896,-31.7240666667
186.01,-98.7179333333,-57.6923333334,-159.999866667,-43.5898,-137.692133333,-22.0512666667,-162.820533333,-30.5127333333,-31.0256666668
186.39,-97.1428666666,-61.6667333333,-138.333333333,-36.1904666667,-134.0476,-22.1427999999,-157.142933333,-25.0000666667,-26.6666666667
186.77,-313.333333333,-217.575666667,-423.0302,-136.363666667,-409.091,-109.696866667,-479.393933333,-130.9092,-121.818066667
187.15,-652.380866666,-486.666666667,-806.666800001,-320.952466667,-780.000066666,-322.857266667,-924.761800001,-360.952466667,-331.428600001
187.53,-375.757666667,-258.7878,-455.7576,-158.1818,-427.878733333,-175.1516,-507.878866667,-199.394066667,-171.515266667
187.91,-161.403466667,-102.1052,-219.649266667,-49.4736666667,-191.929733333,-56.1404000001,-227.719266667,-85.2631333332,-64.5615999999
188.29,-273.333333333,-191.904666667,-361.904866667,-103.333266667,-301.428466666,-126.6666,-345.714266667,-175.238,-177.619066667
188.67,-274.222266667,-185.777933333,-332.444533333,-65.7778,-271.5556,-114.666733333,-323.999933333,-150.2222,-170.222266667
189.05,-307.5556,-221.7778,-362.2222,-96.4442666667,-303.555666667,-150.666666667,-348.0,-198.666733333,-215.999933333
189.43,-1142.66666667,-862.666666666,-1257.33333333,-518.666666667,-1082.66666667,-684.000000001,-1222.66666667,-872.0,-873.333333333
189.81,1428.0,1061.33333334,1498.66666667,754.666666667,1326.66666666,962.666666666,1476.0,1104.0,1150.66666667
190.19,3710.0,2860.0,3890.0,2200.0,3520.0,2880.0,4093.33333333,2833.33333333,3133.33333333
190.57,-360.784333333,-258.431333333,-374.1176,-178.4314,-320.3922,-244.706,-395.686266667,-252.156866667,-283.1372
190.95,-206.4198,-148.8888,-199.506066667,-92.3457333333,-167.407466667,-140.247,-214.321,-135.308733333,-161.234533333
191.33,-102.735133333,-71.6240666667,-104.957266667,-29.5726,-87.3504000001,-67.0085333333,-113.162333333,-63.5897333334,-88.7180666665
191.71,-128.7036,-106.666666667,-128.703733333,-55.9260666667,-128.888866667,-83.1481333333,-147.777733333,-81.6665333334,-119.444466667
192.09,-179.540133333,-159.5402,-166.6666,-96.5517333334,-187.586333333,-131.953933333,-219.770066667,-111.264333333,-163.4482
192.47,-141.666533333,-135.925933333,-120.555533333,-85.9260000001,-153.148133333,-115.185266667,-184.814733333,-91.1109999999,-127.4074
192.85,-142.2808,-135.0876,-126.491333334,-106.491333333,-164.386,-123.3334,-196.140333333,-109.649133334,-140.701666667
193.23,-85.5556,-81.4812666667,-75.1852,-61.3580666667,-104.074133333,-74.8148666666,-125.5556,-60.8640666667,-78.1482666667
193.61,-59.4351333333,-57.5142,-49.4915333333,-38.418,-75.9322000001,-45.3108,-99.3220666667,-34.5763333334,-54.0112666667
193.99,-54.1380666667,-57.1264666666,-46.8966,-36.7815333333,-72.1840000001,-41.1495333333,-96.6666666665,-31.2644,-56.2070666667
194.37,-57.647,-60.5228,-43.2679333333,-32.8105333333,-77.9085333333,-38.4313333333,-101.307133333,-26.4052666667,-56.0785999999
194.75,-43.2259333333,-50.7526666667,-36.5592,-24.9462666667,-64.0859333333,-32.043,-81.1828,-19.8924666667,-47.7419333333
195.13,-41.8279333333,-50.9678666667,-33.6558666667,-22.4732,-65.0536666667,-24.5160666667,-78.6021333333,-23.3333333333,-43.1182666667
195.51,-52.0239333333,-53.3332666666,-35.3572,-32.1428666667,-66.4286000001,-26.4284666667,-86.5476666665,-33.2144,-46.7857333333
