wavelength,Back_HetRubf,Belly_HetRubf,Breast_HetRubf,Crissum_HetRubf,Crown_HetRubf,DorTail_HetRubf,Patch10_HetRubf,Rump_HetRubf,Throat_HetRubf,WingTip_HetRubf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,283.333333333,-8.33333333333,150.0,66.6666666667,125.0,208.333333333,16.6666666667,66.6666666667,-8.33333333333,150.0
179.16,283.333333333,33.3333333333,166.666666667,16.6666666667,175.0,308.333333333,158.333333333,66.6666666667,100.0,316.666666667
179.54,49.0196666667,19.608,47.0586666667,-9.804,33.333,45.098,27.4506666667,15.6863333333,5.88266666667,82.3533333333
179.93,133.333333333,100.0,146.154,56.4103333333,76.923,115.384666667,130.769333333,33.3336666667,69.2306666667,107.692333333
180.31,110.278,54.1666666667,99.4446666667,39.7223333333,72.7776666667,115.833333333,78.0553333333,61.389,56.9443333333,107.5
180.69,114.905333333,57.4526666667,106.775,41.1923333333,72.6286666667,116.260333333,78.5906666667,61.789,60.4336666667,108.672
181.07,118.182,60.3306666667,111.570333333,41.5976666667,73.278,116.804333333,84.573,69.697,70.799,114.049333333
181.45,114.141333333,62.879,107.575666667,45.9596666667,72.7276666667,108.586,79.7983333333,72.727,72.9796666667,104.798
181.83,133.050666667,70.9036666667,122.881333333,55.6493333333,85.8756666667,123.729,92.6553333333,85.5933333333,85.0283333333,114.407
182.21,136.781333333,67.5286666667,121.551666667,51.4366666667,89.368,121.839,87.0686666667,96.2643333333,87.931,115.517333333
182.59,137.837666667,61.5616666667,116.816666667,52.853,91.8916666667,127.027,82.8826666667,98.4983333333,90.09,114.715
182.97,158.252333333,68.2846666667,123.624666667,60.5176666667,102.589,138.835,94.4983333333,111.326666667,107.119666667,113.268666667
183.35,167.041,60.2996666667,130.336666667,57.3033333333,94.382,135.206,97.7526666667,113.108666667,108.614333333,109.363333333
183.73,179.545333333,64.394,144.318,60.2273333333,94.697,137.5,107.954666667,110.984666667,120.833,117.802666667
184.11,169.444666667,59.028,138.541666667,60.4166666667,90.2776666667,115.972,99.3053333333,97.2223333333,114.930333333,106.597333333
184.49,150.584666667,48.5383333333,122.514666667,52.0466666667,82.456,95.3216666667,93.275,82.164,105.555666667,87.1343333333
184.87,144.882,44.0943333333,115.223,54.331,82.677,96.063,93.9633333333,83.202,105.511666667,84.777
185.25,129.195666667,41.1496666667,105.747333333,54.4826666667,79.0803333333,88.276,84.3676666667,72.4136666667,94.9423333333,72.8733333333
185.63,125.287333333,40.0,111.034333333,52.644,79.5403333333,84.3676666667,83.448,72.184,90.5746666667,72.184
186.01,116.455666667,37.7636666667,106.750666667,49.578,72.785,78.4813333333,79.114,70.042,86.076,68.9873333333
186.39,119.249,31.2206666667,110.093666667,54.9293333333,71.8313333333,83.8026666667,83.8026666667,68.31,90.3756666667,69.2486666667
186.77,113.958333333,37.7083333333,106.458333333,61.0416666667,70.625,80.2083333333,85.4166666667,67.7083333333,83.9583333333,69.7916666667
187.15,101.481666667,37.963,99.4443333333,58.7033333333,62.963,74.6293333333,81.2963333333,66.111,79.0743333333,74.4443333333
187.53,102.946666667,40.3316666667,99.079,63.536,65.7456666667,78.8213333333,81.952,67.9556666667,83.057,77.164
187.91,100.192666667,44.3163333333,101.156,70.3276666667,70.9056666667,77.0713333333,86.3196666667,74.3736666667,86.5126666667,79.3836666667
188.29,101.677333333,46.1213333333,105.660333333,75.472,74.4236666667,84.906,96.2266666667,80.7126666667,91.6143333333,83.438
188.67,118.181666667,52.617,120.661,93.9393333333,81.818,100.275333333,111.294666667,95.5923333333,104.958666667,96.9696666667
189.05,120.792,57.7556666667,133.663333333,103.3,85.1486666667,101.65,120.132,103.300333333,111.221333333,98.35
189.43,129.545333333,65.1516666667,145.833,106.818,90.909,109.469666667,132.197333333,119.697,118.939333333,106.439333333
189.81,147.257333333,75.1056666667,156.118,129.114,96.2023333333,124.894666667,153.164666667,131.223333333,144.725666667,113.502
190.19,179.885,98.276,188.506,173.563,118.965666667,159.195,188.505666667,156.321666667,192.529,129.885333333
190.57,175.661333333,106.878333333,177.777666667,169.841,124.867666667,144.444333333,174.603,157.672,186.243,125.926
190.95,257.658,151.351333333,245.946333333,245.045,190.991,192.792666667,261.261333333,245.945666667,298.198,183.783666667
191.33,1123.80933333,495.238,947.619,985.714333333,823.809333333,647.619,1042.85733333,1038.095,1238.095,500.0
191.71,7766.66666667,4000.0,5833.33333333,6366.66666667,6533.33333333,4466.66666667,7100.0,7366.66666667,8333.33333333,3166.66666667
192.09,-610.256333333,-215.384666667,-374.359,-446.154,-433.333333333,-269.231,-474.359,-510.256666667,-605.128,-156.410333333
192.47,-1686.66666667,-606.666666667,-1066.66666667,-1233.33333333,-1093.33333333,-586.666666667,-1166.66666667,-1373.33333333,-1686.66666667,-546.666666667
192.85,843.333333333,313.333333333,570.0,663.333333333,633.333333333,330.0,620.0,763.333333333,926.666666667,336.666666667
193.23,321.505333333,132.258333333,192.473333333,248.387,238.709666667,146.236666667,249.462,291.398,320.43,162.365666667
193.61,330.864,113.580333333,197.531,276.543333333,261.728333333,120.987333333,270.37,303.703666667,345.679333333,153.086333333
193.99,663.888666667,155.555333333,308.333333333,586.111,508.333333333,166.666333333,555.555666667,663.889,666.667,286.111333333
194.37,566.666666667,114.285666667,264.285666667,516.666666667,395.238,138.095333333,507.143,571.428666667,604.762,264.286
194.75,427.777666667,118.518333333,250.0,388.888666667,307.407333333,114.815,427.778,477.778,500.000333333,207.407333333
195.13,344.444666667,92.0636666667,253.968333333,322.222333333,261.905,96.8253333333,380.952666667,411.111,441.27,142.857333333
195.51,319.298,80.702,289.473666667,361.403333333,257.894666667,96.4913333333,408.772,407.017333333,466.666666667,140.351
195.89,288.888666667,35.185,320.370333333,392.592666667,218.518666667,29.6296666667,396.296333333,409.259333333,462.963333333,96.2966666667
196.27,164.285666667,28.5713333333,191.666666667,228.571666667,133.333666667,23.8093333333,242.857333333,258.333666667,276.190666667,69.0473333333
196.65,160.256333333,33.3333333333,180.769333333,203.846333333,132.051333333,26.923,250.0,269.231,255.128333333,50.0
197.03,370.833333333,-20.8333333333,433.333333333,441.666666667,129.166666667,-120.833333333,587.5,595.833333333,583.333333333,-16.6666666667
197.40,-66.6666666667,84.6156666667,-197.435666667,-176.923,23.077,230.769,-228.205333333,-225.641,-300.0,89.7436666667
197.78,-3.22566666667,52.6883333333,-49.4623333333,-69.8923333333,25.8063333333,118.279666667,-81.7206666667,-52.688,-111.828,36.559
198.16,20.8333333333,79.1666666667,-47.2223333333,-47.222,47.2223333333,161.111333333,-94.4443333333,-40.278,-141.666666667,58.3336666667
198.54,57.1426666667,123.809666667,12.6986666667,-17.4603333333,71.4286666667,228.571666667,-85.7143333333,-17.4603333333,-88.8886666667,123.809333333
198.92,81.761,110.063,67.2956666667,44.0253333333,86.7923333333,150.943,20.7546666667,67.9246666667,35.849,105.660666667
199.30,78.6456666667,101.041333333,70.3126666667,36.9793333333,88.021,135.937333333,31.25,72.9166666667,35.9376666667,94.7916666667
199.68,58.9043333333,81.7353333333,64.3836666667,29.224,82.1916666667,115.982,25.114,62.557,23.7443333333,80.3653333333
200.06,57.831,77.1083333333,79.1163333333,38.9556666667,80.3213333333,106.024,27.711,65.8636666667,26.9076666667,83.5343333333
200.44,67.314,80.9063333333,83.4953333333,46.9256666667,82.5243333333,104.530666667,43.3656666667,75.728,44.0126666667,89.644
200.82,70.9596666667,75.7576666667,81.0606666667,48.9896666667,75.505,95.9596666667,50.2526666667,79.293,48.737,89.1413333333
201.19,73.7226666667,68.3696666667,80.7786666667,41.1193333333,68.3696666667,87.8346666667,44.7686666667,75.669,42.8226666667,90.2673333333
201.57,72.6496666667,69.231,83.9743333333,44.8716666667,73.077,85.2563333333,49.5723333333,73.9316666667,50.8543333333,93.1623333333
201.95,78.5233333333,68.0086666667,97.763,49.6643333333,83.4453333333,91.275,52.349,75.168,57.9416666667,100.0
