wavelength,Back_HetRubm,Belly_HetRubm,Breast_HetRubm,Crissum_HetRubm,Crown_HetRubm,DorTail_HetRubm,Patch10_HetRubm,Rump_HetRubm,Throat_HetRubm,WingTip_HetRubm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,216.666666667,50.0,158.333333333,250.0,141.666666667,0.0,225.0,-108.333333333,75.0,-25.0
179.16,300.0,141.666666667,216.666666667,216.666666667,383.333333333,83.3333333333,200.0,83.3333333333,191.666666667,208.333333333
179.54,62.745,1.96066666667,27.451,41.1763333333,56.8626666667,5.88233333333,17.647,17.647,43.137,41.1763333333
179.93,120.512666667,97.436,94.8716666667,84.6153333333,105.128333333,84.6156666667,41.026,82.0513333333,89.7436666667,117.948666667
180.31,115.833333333,64.4443333333,85.8333333333,86.3886666667,90.8333333333,58.611,68.611,43.889,71.6666666667,84.4446666667
180.69,121.951,69.6476666667,87.263,89.431,93.496,62.3306666667,66.6666666667,46.8836666667,72.0863333333,88.889
181.07,125.069,74.1046666667,90.6333333333,88.1543333333,94.49,72.1763333333,61.4326666667,51.24,77.135,103.306
181.45,114.899,66.6663333333,88.6366666667,84.091,83.3333333333,72.4746666667,52.5253333333,48.99,72.2223333333,97.9796666667
181.83,128.531,83.333,98.87,93.2203333333,90.3953333333,95.48,59.6046666667,52.5423333333,74.5763333333,113.841666667
182.21,131.609333333,84.4826666667,97.414,90.5173333333,86.7816666667,100.574666667,62.0686666667,47.701,72.701,116.379333333
182.59,135.435333333,84.985,94.5946666667,95.7956666667,82.5823333333,96.997,56.7563333333,42.3423333333,60.06,118.018333333
182.97,149.191,91.586,104.207333333,109.385,88.9966666667,115.534,62.1356666667,44.013,63.7536666667,128.802666667
183.35,154.307333333,90.6366666667,101.123333333,108.614666667,88.764,125.093666667,55.0563333333,34.457,56.554,134.457
183.73,163.257666667,95.076,99.6213333333,116.666666667,97.7273333333,132.197,52.273,44.318,51.894,139.394
184.11,148.958333333,92.7083333333,79.1666666667,105.902666667,88.1943333333,126.736,40.6253333333,47.5693333333,46.8746666667,124.653
184.49,122.807,91.8126666667,68.421,97.661,79.2396666667,115.497333333,39.1813333333,44.7366666667,42.9826666667,114.035333333
184.87,114.173333333,90.2886666667,67.7163333333,96.5876666667,79.0026666667,111.811,43.8316666667,51.9683333333,44.882,115.223
