wavelength,Back_IdiBram,Belly_IdiBram,Breast_IdiBram,Crissum_IdiBram,Crown_IdiBram,DorTail_IdiBram,Rump_IdiBram,Throat_IdiBram,WingTip_IdiBram
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,103.174555556,68.2541111111,125.396777778,84.1272222222,120.634777778,103.174777778,79.3651111111,111.111222222,66.6666666668
179.16,-65.4322222222,-28.3952222222,-19.753,-33.3333333333,-6.17288888889,-22.2222222222,-41.9752222222,-27.1604444444,-17.284
179.54,144.444444444,100.0,66.6666666665,83.3333333335,72.2222222222,66.6666666666,66.6666666669,-16.6666666668,77.7777777777
179.93,98.1482222223,116.666777778,68.5185555557,68.5185555556,107.407444444,122.222222222,90.7408888889,62.9628888888,59.2593333333
180.31,179.861111111,179.166666667,159.027777778,182.638888889,256.944444445,193.75,248.611111111,160.416666667,174.305555556
180.69,126.819777778,120.689666667,120.306555556,130.268222222,167.049777778,145.593888889,169.731777778,118.390888889,118.007666667
181.07,108.571333333,91.4284444443,110.158666667,111.428444444,152.063444444,130.793777778,145.079222222,101.269888889,94.6031111112
181.45,59.2593333333,45.0981111112,73.6383333333,66.2309999999,106.971666667,80.3923333333,88.4531111111,68.1915555556,56.209111111
181.83,39.8692222222,20.9151111112,77.7777777779,60.130888889,133.66,82.0262222222,100.980444445,70.2614444443,42.8104444446
182.21,25.2524444445,-4.71366666667,70.7071111112,34.0068888888,124.579,59.596,80.4714444445,64.9832222221,29.6295555556
182.59,-17.7777777778,-42.2221111111,49.2592222223,1.1111111111,94.0741111112,41.1112222222,49.6295555556,41.4814444445,10.0001111109
182.97,31.7073333333,14.0921111111,75.0676666668,39.0244444444,108.672,71.5447777778,76.9646666667,74.5257777778,56.3686666667
183.35,67.1111111111,50.2222222222,95.3333333332,65.5555555554,117.777777778,94.6666666667,93.5555555556,101.111111111,78.0
183.73,57.8431111111,42.1568888889,72.2222222222,52.6144444445,86.1112222221,72.3856666667,71.2417777778,84.1502222223,60.2941111111
184.11,62.037,42.1296666667,66.5123333333,51.6975555555,78.5494444445,71.6048888889,68.6728888889,79.6295555554,63.2714444445
184.49,65.8498888889,33.0065555556,66.9935555555,51.7972222222,72.2221111111,66.6666666667,66.3398888889,79.4117777779,60.1306666668
184.87,51.7821111111,9.22422222221,47.7988888889,33.1236666667,65.8281111111,50.3144444445,50.3145555555,64.9895555557,52.6205555554
185.25,65.5091111112,16.2037777778,58.1017777778,40.0462222222,81.713,59.4906666667,53.7036666667,75.4628888888,61.5741111111
185.63,75.6705555556,35.4405555556,54.2145555557,56.1302222222,78.7355555556,74.521,63.793,73.5632222223,80.0767777777
186.01,81.7073333333,48.7805555556,61.2465555556,62.0596666667,71.8155555555,78.5907777778,65.0405555556,75.3387777777,85.9079999998
186.39,96.1537777779,60.114,73.9316666668,84.188,82.3363333333,96.866111111,81.3391111111,90.3134444446,106.837666667
186.77,116.967111111,76.1261111111,91.4414444443,101.952222222,100.600555555,115.315333333,97.2972222223,102.102111111,127.177111111
187.15,113.101222222,58.3748888889,76.451111111,92.0398888889,94.3615555554,106.799222222,88.7232222223,93.0346666668,118.905333333
187.53,121.031888889,45.0395555556,71.2299999999,93.2539999999,97.0237777778,104.365,86.5079999999,86.3093333332,120.436555556
187.91,155.833333333,57.5,90.5555555558,124.444444444,124.722222222,136.111111111,108.888888889,97.4999999999,156.944444444
188.29,165.608666667,66.9311111111,104.761888889,148.148222222,136.507888889,150.264666667,123.545,117.460222222,164.021
188.67,208.831777778,97.7206666667,144.159555556,193.162444445,175.498666667,204.273444444,161.253666667,152.421777778,217.663777778
189.05,228.985555556,128.019222222,170.531444444,209.903555555,183.816555555,217.633,179.71,180.676333334,225.603888889
189.43,193.518444444,107.963,145.370444444,176.666777778,146.296333333,181.481444444,158.148222222,156.666777778,191.852
189.81,274.525888889,152.032444445,213.008,242.005444445,205.420222222,242.547555556,234.146444444,219.241111111,262.330555555
190.19,378.174444445,189.285666666,281.349333333,332.142888889,275.793777778,319.841222222,321.428666667,286.904555555,339.285777778
190.57,521.111111111,237.777777778,370.0,442.222222222,366.111111111,416.666666667,432.222222222,366.111111111,433.888888889
190.95,478.888888889,181.111111111,317.777777778,399.444444444,312.777777778,359.444444444,383.333333333,316.666666667,374.444444444
191.33,348.387111111,154.838777778,251.971444444,290.322444444,229.390888889,274.910444444,275.627111111,242.652333333,270.609222222
191.71,252.345777778,132.345444444,199.012333333,221.975222222,177.283777778,215.061888889,203.703666667,195.555777778,207.160555556
192.09,251.690777778,124.637777778,199.758222222,212.319,171.497666667,212.077222222,200.966222222,207.004888889,212.077333333
192.47,221.555555555,100.888888889,167.555555556,175.111111111,142.0,186.222222222,169.333333333,176.0,185.555555556
192.85,190.740555556,90.0,145.0,146.296222222,127.777666666,155.370444444,140.740888889,150.0,159.629666667
193.23,178.154444444,76.8361111109,130.696777778,128.813666667,122.598777778,144.444444445,124.858666667,130.131888889,152.165777778
193.61,177.586111111,85.8236666667,134.099666667,126.245222222,130.651222222,147.892666667,120.114777778,127.777777778,154.597666667
193.99,181.349222222,84.3253333332,133.333222222,126.388888889,126.587444444,165.476222222,110.317333334,133.928555556,162.5
194.37,179.960333333,95.2379999998,137.499888889,129.563555556,135.912777778,172.222333333,106.349333333,141.468333333,184.523777778
194.75,151.797333333,89.2155555554,119.934555555,112.091333333,119.934666667,151.143666667,91.8302222222,125.163444445,162.908666667
195.13,171.949111111,106.193111111,141.347888889,122.950888889,132.786888889,165.209666666,100.182,141.165888889,188.160333333
195.51,245.714222222,132.380888889,206.984222222,165.396888889,181.587333333,228.571444444,128.254,188.253888889,286.666777778
195.89,512.820444445,195.726444444,370.940111111,264.102555556,300.854777778,439.316333334,195.726444444,342.735,626.495888889
196.27,3027.77777778,927.77777778,1961.11111111,1344.44444444,1544.44444444,2522.22222222,677.777777779,1761.11111111,3638.88888889
196.65,-380.740777778,-105.185111111,-248.148,-164.444444444,-188.888888889,-297.037,-52.5926666666,-232.592666667,-470.370333333
197.03,-165.333333333,1.3333333331,-76.8888888888,-40.4444444445,-34.2222222222,-116.444444444,18.6666666667,-81.777777778,-231.111111111
197.40,-105.397,12.0636666669,-39.3651111111,-20.9523333335,2.53966666667,-67.619111111,27.9363333333,-48.5714444444,-142.857111111
197.78,-68.9343333333,17.2335555557,-14.7393333334,-7.25622222222,16.5533333333,-38.7754444445,23.3561111111,-26.3038888889,-94.558
198.16,-66.6665555557,18.7500000001,-18.5185555555,-5.32411111113,13.8888888889,-37.2684444443,20.8332222222,-14.1204444444,-95.3702222223
198.54,-77.7778888888,19.2128888888,-18.9813333333,-2.54644444447,12.7315555556,-36.5740000001,12.2684444445,-8.56466666667,-81.4814444444
198.92,-53.995888889,33.918111111,-4.67833333332,17.154,23.197,-16.5691111111,24.9511111111,13.2553333333,-51.0721111111
199.30,-61.1111111112,41.111111111,-2.66666666669,20.8888888889,20.0,-29.1111111111,20.2222222222,11.1111111111,-59.1111111111
199.68,-84.9383333333,33.3332222221,-9.13577777778,10.8643333333,-0.74077777779,-47.6544444444,3.95055555556,1.48144444447,-75.5556666667
200.06,-96.1449999999,11.1110000001,-33.3332222222,-6.3491111111,-34.0134444445,-66.44,-12.4716666667,-11.7915555556,-80.9523333333
