wavelength,Back_IncLaem,Belly_IncLaem,Breast_IncLaem,Crissum_IncLaem,Crown_IncLaem,DorTail_IncLaem,Patch10_IncLaem,Patch11_IncLaem,Rump_IncLaem,Throat_IncLaem,WingTip_IncLaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,54.7618333333,71.4284999999,70.2380000001,88.09525,59.52375,72.6189999999,97.6190833333,77.3809999999,74.9999166667,41.6666666667,50.0000833333
179.16,206.9445,164.166666667,212.22225,68.8888333333,129.166666667,144.444416667,183.333333333,265.833416667,107.22225,117.5,143.33325
179.54,338.888833333,266.666666667,330.555583333,236.111166667,258.333333334,343.055583333,300.0,266.66675,450.0,280.555583333,191.666666666
179.93,341.666666667,329.166666667,275.0,308.333333333,366.666666666,441.666666667,370.833333333,216.666666667,304.166666667,220.833333333,187.5
180.31,158.68325,133.3505,145.742833333,108.1365,111.668833333,170.128833334,150.1765,145.89275,155.45575,120.335166667,89.5543333334
180.69,177.718666666,149.55675,164.704416667,122.76425,131.07625,189.5685,171.84725,162.821666667,176.7605,137.593833333,91.5870833333
181.07,186.55575,155.139333333,166.999916667,123.9875,137.02,194.880583333,170.6125,163.760333333,178.994416667,140.678333333,92.2333333333
181.45,172.989166667,142.532333333,153.228,115.91,131.392083333,177.073666667,154.873166667,145.037166667,169.995583333,129.419666666,89.8253333334
181.83,172.60975,142.911333333,153.345416667,110.104,126.005916667,176.625416667,153.476833333,142.863,166.820083333,129.810333333,91.6851666666
182.21,172.997083333,146.445583333,155.246833333,108.965,119.946916667,181.359166667,155.049833334,147.194083333,175.107083333,134.95425,92.38075
182.59,160.271083333,137.40025,145.251083333,109.091583333,116.7585,170.626416667,143.40525,140.058083334,168.259583333,128.821916667,86.5194166666
182.97,150.377416667,132.5315,136.44225,104.395916666,110.375666667,161.580416667,140.29425,129.331083333,160.403166667,119.665,84.6683333334
183.35,169.531666667,152.123416667,157.44325,114.415416667,122.547666667,191.959,162.73625,148.014,184.418333333,138.554416667,90.2518333333
183.73,164.772833333,149.287083333,157.601916667,112.544666667,125.566333333,185.92525,159.436166667,143.1795,182.617916667,138.026666667,93.1233333333
184.11,152.657583334,132.911166666,139.454916667,110.799166667,116.34625,168.397083333,143.094416667,127.4835,170.879166666,125.079833333,82.6232500001
184.49,130.171083333,110.639916667,114.22375,97.6935000001,95.3620833334,148.883916667,120.051916667,109.02775,153.050583333,100.56425,69.65525
184.87,112.556833333,96.3099166666,93.7516666668,84.9623333334,78.0525,134.946333334,106.03075,97.6877500001,138.503833333,84.5911666666,60.0946666666
185.25,106.560083334,91.7211666664,84.1399166667,80.0969999999,72.6872499998,127.611,98.9032500002,94.2288333333,137.98225,79.1034166667,51.9306666667
185.63,66.87325,37.3138333335,16.30625,72.21825,24.9173333332,125.998,86.9950833332,73.91325,153.868416667,22.1296666665,-21.3147499999
186.01,1.9445,-40.71175,-79.20125,47.4825833332,-19.6354166668,94.4791666668,61.3541666666,49.4271666666,153.92375,-45.816,-108.211666667
186.39,-152.973083332,-180.960916668,-248.738833334,-13.063,-103.5585,46.066,16.0960833334,-53.0629999999,182.612666666,-170.390333334,-257.387416668
186.77,282.42075,274.84125,300.793666667,161.388833334,198.968166666,182.0635,139.206166667,194.008,103.928666667,237.619,243.333416667
187.15,227.340833334,202.556583333,203.45625,154.710333333,168.612583333,173.530333333,128.370666667,159.342833333,142.008666667,191.64625,177.951333333
187.53,184.878166666,170.31825,168.915166666,142.57875,144.378916667,152.012583334,120.318333333,144.842833333,137.409583333,159.95675,148.019
187.91,190.106,171.909166667,170.27275,151.462166666,149.92425,159.12125,132.431833333,148.037833333,148.62875,160.17425,149.128833333
188.29,191.891333333,170.158166667,166.418083333,149.788666667,148.8105,166.395416667,133.871666667,146.862,152.55975,158.278833333,147.016083334
188.67,221.367333333,199.252,188.781916666,177.136916667,173.504333333,197.756333333,160.897416667,167.842,182.264916667,188.67525,165.384583333
189.05,262.594,241.76375,227.70125,212.17925,213.802083333,236.970333333,194.488833333,201.226416667,232.23425,229.369583334,197.838083333
189.43,336.931916667,312.705083333,293.35525,271.875,285.622,302.82525,252.998666667,251.041666667,307.922916667,297.86925,246.354166667
189.81,472.52925,450.527166667,406.053083333,373.774083334,413.211416667,424.707833333,355.386166667,344.25175,442.829,429.59225,345.42675
190.19,1041.0625,1038.01208333,897.885416666,811.825833332,941.158333332,963.292083335,821.205333335,722.575916667,1042.69091667,981.690333333,752.844166667
190.57,3130.0595,3150.29766667,2639.73208333,2375.14891667,2844.41958333,2895.61016667,2440.17858333,2095.31241667,3252.381,2991.07133333,2164.95533333
190.95,6170.97458334,6270.19774999,5140.60733333,4567.23166666,5629.37858333,5785.59316666,4741.31358333,4056.70908333,6366.03108332,6014.05366666,4350.28241667
191.33,2601.71675,2597.05516667,2162.80708333,1869.66158333,2302.11775,2420.35091667,1905.614,1733.89725,2611.3785,2503.14541667,1736.05266667
191.71,-904.961916666,-933.622,-754.394166667,-643.442999998,-824.540083332,-848.649499999,-653.166083334,-571.603999999,-943.990833333,-902.299916667,-584.708250001
192.09,-953.598999999,-967.209083333,-767.852750002,-657.902500002,-855.053833334,-854.982916667,-631.721416667,-586.00975,-1010.82208333,-936.815750001,-583.434666667
192.47,-496.694083333,-527.406750001,-403.074666667,-344.8585,-454.956,-447.60475,-323.264166667,-302.03275,-540.270666667,-518.773583333,-301.556
192.85,-755.969166666,-762.658333333,-592.932083332,-498.001916667,-689.964083334,-651.831416665,-458.017,-432.063833334,-827.539166667,-789.152416666,-458.62475
193.23,-931.812749998,-958.847333334,-724.745666667,-638.907000002,-844.458833332,-821.526083333,-566.444833334,-536.201250001,-1048.73391667,-1001.74783333,-575.346333332
193.61,1398.80958333,1384.10716667,1062.64883333,983.482166667,1234.76191667,1180.29758333,863.690416668,820.952416667,1484.31541667,1408.03566667,909.107166667
193.99,485.22975,454.175916666,366.600416667,331.929666667,412.436833333,392.672916667,296.323,280.890333333,498.0145,460.710166667,318.5155
194.37,419.565666667,396.950333333,324.43425,290.818,363.400333333,333.3225,247.633666667,249.584833333,434.340166667,405.401083333,275.55475
194.75,930.160000002,964.403416667,734.834249999,651.400916668,825.566999999,746.05025,541.985916667,550.590833334,995.154333333,971.254916666,620.359166667
195.13,2320.00975,2392.58725,1790.21316667,1582.80041667,1996.31783333,1824.85466667,1285.46516667,1354.69966667,2544.62208333,2400.82366667,1535.41666667
195.51,-5.52821119032e+15,-5.76810463638e+15,-4.21679368519e+15,-3.76366162041e+15,-4.87250243776e+15,-4.31275106361e+15,-2.98000969661e+15,-3.07596707504e+15,-6.26921539035e+15,-5.68814015436e+15,-3.75833065494e+15
195.89,1135.39216667,1182.97791667,887.953416665,779.203333333,990.710749999,921.838250001,636.372583334,680.575916668,1273.97058333,1153.16183333,834.277
196.27,-8546.17116667,-9370.36033332,-6621.30633333,-5844.63958333,-7470.54058335,-7211.03608333,-4890.18016668,-5342.43249998,-9596.84683333,-8901.93699999,-6513.91899998
196.65,-1135.80683333,-1212.47866667,-816.99975,-725.641333334,-958.018750001,-941.746916666,-641.389,-657.3155,-1283.68491667,-1163.91558333,-886.435833333
197.03,-271.3405,-297.744666667,-183.721583333,-173.125916667,-231.546083333,-225.906,-132.6295,-152.138333333,-301.226916667,-275.886583333,-215.164916667
197.40,-239.8385,-250.078,-143.062416667,-140.389666667,-210.113833333,-192.801166667,-89.5739166668,-109.478083333,-249.224833333,-228.513916667,-178.868
197.78,-133.234833333,-147.628,-63.9556666667,-66.7531666665,-122.283,-113.244416667,-27.206,-41.25275,-142.380333333,-135.8145,-92.4548333333
198.16,-61.9898333333,-82.0271666668,-18.8393333333,-25.9629166668,-65.1498333333,-55.5651666668,1.6170000001,-8.053,-72.2832500002,-68.6129166667,-44.1467500002
198.54,-51.1935833333,-70.8074166667,-12.2769166668,-26.0165000001,-57.1420000001,-45.8332499999,-0.528166666575,-5.08024999998,-60.1684166666,-56.0974999999,-39.25525
198.92,-59.2150833334,-75.7658333333,-10.8966666667,-32.5907499999,-65.5782500002,-51.2035000001,-2.84675000017,-1.59875,-59.3272499999,-58.0080000001,-48.0436666667
199.30,-37.7790833333,-57.9615833334,-0.832750000175,-17.8823333334,-52.4851666665,-33.1535833333,3.00225000007,11.4304166667,-36.6425833335,-41.3935833334,-33.7313333333
