wavelength,Back_IncPerf,Belly_IncPerf,Breast_IncPerf,Crissum_IncPerf,Crown_IncPerf,DorTail_IncPerf,Patch10_IncPerf,Patch11_IncPerf,Rump_IncPerf,Throat_IncPerf,WingTip_IncPerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,5.55533333333,-66.6666666667,44.4446666667,-72.2223333333,-5.55566666667,50.0,-50.0,16.6665,33.3333333333,61.111,-5.55533333333
179.16,-66.6666666667,-216.666666667,150.0,-233.333333333,150.0,83.3333333333,-333.333333333,-150.0,-83.3333333333,33.3333333333,216.666666667
179.54,-94.4443333333,-77.7776666667,-27.7776666667,-144.444333333,-16.6666666667,-5.55566666667,-111.111333333,-158.333,-61.111,-94.4443333333,-50.0
179.93,-275.0,-333.333333333,-225.0,-258.333333333,-91.6666666667,-108.333333333,-258.333333333,-300.0,-258.333333333,-158.333333333,-141.666666667
180.31,-454.762,-542.857,-114.285666667,-521.428666667,-88.0953333333,-314.285666667,-323.809666667,-396.4285,-126.190333333,-119.047666667,-92.857
180.69,-372.549,-445.098333333,-84.3136666667,-460.784666667,-41.1763333333,-256.862666667,-225.490333333,-326.471,-62.745,-66.6666666667,-58.8233333333
181.07,-563.333333333,-666.666666667,-136.666666667,-753.333333333,13.3333333333,-390.0,-296.666666667,-495.0,-90.0,-66.6666666667,-60.0
181.45,-651.851666667,-759.259,-218.518666667,-914.815,-33.3333333333,-470.370333333,-277.777666667,-588.889,-103.703666667,-118.518666667,-88.889
181.83,-313.725666667,-380.392,-82.3526666667,-482.353,5.882,-239.215666667,-111.764666667,-214.706,-7.843,-1.96066666667,17.647
182.21,-587.5,-729.166666667,-187.5,-1075.0,-20.8333333333,-641.666666667,-250.0,-331.25,33.3333333333,20.8333333333,75.0
182.59,-1211.111,-1733.33333333,-300.0,-2855.55533333,66.6666666667,-1488.88866667,-500.0,-666.667,166.666666667,200.0,388.889
182.97,294.444333333,463.889,116.666666667,702.778,13.889,363.889,155.555666667,108.333,11.111,-11.1113333333,-77.7776666667
183.35,152.174,255.072666667,105.797333333,363.768333333,60.8696666667,204.347666667,98.5506666667,41.3045,57.9706666667,11.5943333333,-14.4926666667
183.73,153.968333333,273.015666667,134.920666667,374.603333333,66.6666666667,207.936666667,90.4763333333,9.524,50.7933333333,-12.6983333333,-4.76166666667
184.11,212.121333333,430.303,215.151666667,654.545333333,78.7876666667,330.303,181.818333333,-95.4545,106.060666667,-103.030333333,-66.6666666667
184.49,355.555333333,722.222333333,450.0,1344.44466667,138.889,700.000333333,461.111,-166.667,333.333666667,-122.222,-144.444333333
184.87,230.0,483.333333333,300.0,803.333333333,166.666666667,430.0,333.333333333,-140.0,330.0,-36.6666666667,-40.0
185.25,406.666666667,626.666666667,423.333333333,890.0,323.333333333,590.0,456.666666667,-50.0,466.666666667,96.6666666667,23.3333333333
185.63,373.333333333,636.666666667,393.333333333,810.0,300.0,560.0,436.666666667,-165.0,456.666666667,46.6666666667,0.0
186.01,136.781666667,224.138,154.023333333,259.770333333,122.988666667,224.138,154.023,-24.138,174.712666667,22.9883333333,14.9423333333
186.39,190.740666667,335.185333333,209.259333333,351.852,161.111333333,288.889,162.963,-86.1115,251.851666667,-12.963,-7.40733333333
186.77,270.833333333,402.083333333,279.166666667,375.0,193.75,341.666666667,204.166666667,-106.25,312.5,14.5833333333,45.8333333333
187.15,-977.777666667,-1666.66666667,-1033.33333333,-1677.77766667,-611.111333333,-1455.55566667,-511.111,916.667,-1244.44433333,277.778,144.444333333
187.53,-230.555666667,-366.666666667,-238.889,-369.444333333,-122.222,-294.444333333,-55.5556666667,283.3335,-308.333333333,66.6666666667,75.0
187.91,-330.0,-413.333333333,-386.666666667,-520.0,-156.666666667,-370.0,-53.3333333333,345.0,-433.333333333,23.3333333333,103.333333333
188.29,991.666666667,1158.33333333,1175.0,1408.33333333,616.666666667,1100.0,208.333333333,-700.0,1191.66666667,183.333333333,-241.666666667
188.67,211.764666667,298.039333333,296.078333333,256.862666667,133.333333333,227.451,-9.804,-191.1765,288.235333333,29.412,-66.6666666667
189.05,192.592666667,262.963,296.296333333,212.963,87.0373333333,200.0,-53.7036666667,-194.4445,229.629666667,18.5183333333,-90.7406666667
189.43,131.111333333,262.222333333,268.889,175.555333333,-2.22233333333,171.111,-148.889,-280.0,217.777666667,-40.0,-186.666666667
189.81,150.0,242.857,297.619,145.238,-2.381,178.571333333,-159.524,-285.7145,283.333333333,-23.8093333333,-204.762
190.19,129.629666667,190.740666667,227.777666667,98.148,-51.852,79.6296666667,-146.296333333,-300.0,231.481333333,-33.3333333333,-205.555666667
190.57,139.394,178.788,186.363666667,109.090666667,-15.1516666667,71.212,-115.151666667,-227.2725,239.394,3.03033333333,-166.666666667
190.95,128.205333333,156.410333333,138.461666667,96.1536666667,-6.41033333333,65.3846666667,-126.923,-196.154,233.333,-7.692,-128.205333333
191.33,133.333333333,130.208333333,120.833333333,70.8333333333,12.5,52.0833333333,-101.041666667,-145.3125,192.708333333,-7.29166666667,-94.7916666667
191.71,108.823333333,103.921666667,103.921666667,62.7453333333,-3.92166666667,44.1176666667,-114.706,-148.5295,150.980333333,-37.2546666667,-101.961
192.09,72.619,85.7143333333,72.619,9.52366666667,-36.9046666667,22.619,-205.952666667,-223.214,122.619,-114.285666667,-166.666333333
192.47,72.4636666667,79.7103333333,72.464,-30.4346666667,-73.9133333333,5.79733333333,-295.652333333,-323.913,100.000333333,-214.493,-204.347666667
192.85,209.523666667,238.095666667,280.952333333,-166.666666667,-261.905,61.9046666667,-919.047666667,-1135.7145,338.095333333,-809.523666667,-585.714333333
193.23,257.143,233.333333333,266.666666667,-176.190666667,-185.714333333,176.190333333,-790.476333333,-1100.0,438.095333333,-780.952333333,-461.904666667
193.61,240.0,120.0,240.0,-123.333333333,-43.3333333333,200.0,-556.666666667,-805.0,380.0,-520.0,-230.0
193.99,180.0,81.6666666667,171.666666667,-21.6666666667,41.6666666667,158.333333333,-263.333333333,-392.5,201.666666667,-241.666666667,-50.0
194.37,292.307666667,151.281666667,312.820333333,-12.8203333333,146.154,305.128,-417.948333333,-546.154,320.512666667,-315.384666667,76.923
194.75,173.015666667,52.381,220.635,-28.5716666667,80.9523333333,209.524,-249.206333333,-340.476,169.841333333,-177.777666667,79.365
195.13,110.0,17.5,140.0,12.5,70.8333333333,122.5,-90.0,-152.5,95.8333333333,-54.1666666667,55.0
195.51,97.143,-17.1426666667,134.286,0.952666666667,56.1906666667,107.619,-119.047666667,-205.7145,98.0953333333,-68.5713333333,31.4286666667
195.89,121.212333333,-29.293,147.474666667,-3.03033333333,56.5656666667,111.111333333,-119.192,-227.273,114.141666667,-51.515,28.2826666667
196.27,136.734666667,14.2856666667,147.619333333,31.9726666667,80.272,114.966,-17.007,-106.1225,121.768666667,7.483,60.5443333333
196.65,143.169333333,28.4153333333,133.333333333,48.0873333333,85.246,114.754,15.8473333333,-62.295,130.601,42.623,70.492
197.03,116.666666667,18.3333333333,96.25,42.5,65.0,82.0833333333,8.33333333333,-52.5,95.8333333333,37.0833333333,44.5833333333
197.40,124.413,7.51166666667,108.450666667,38.028,62.4413333333,83.0986666667,2.817,-74.648,99.5303333333,36.15,35.211
197.78,128.828666667,16.2163333333,114.414666667,38.739,60.8106666667,76.577,9.45933333333,-73.6485,90.5403333333,35.135,33.784
198.16,124.888666667,14.222,116.444333333,32.889,53.7776666667,64.0,12.0,-62.6665,80.4443333333,44.889,27.111
198.54,122.705333333,-0.483333333333,114.01,21.7393333333,49.7583333333,52.174,5.314,-70.29,83.575,44.9273333333,7.24666666667
198.92,124.615666667,2.36847578587e-15,118.974333333,14.872,50.7693333333,43.5896666667,-2.56433333333,-79.2305,93.846,51.795,5.92118946467e-16
199.30,153.846333333,-44.4446666667,173.504333333,-36.752,47.0086666667,25.641,-55.5556666667,-179.4875,127.350666667,45.299,-47.0086666667
199.68,128.030333333,-41.6663333333,158.333,-43.9393333333,29.5453333333,5.303,-43.9396666667,-185.227,103.788,37.8786666667,-46.9696666667
200.06,86.6666666667,-36.1113333333,109.444333333,-46.111,17.7776666667,-0.555666666667,-32.2223333333,-143.333,66.1113333333,12.2223333333,-40.0003333333
200.44,80.9523333333,-38.6903333333,97.0236666667,-50.595,0.000333333333335,-11.3096666667,-48.2143333333,-172.3215,64.881,5.357,-50.5953333333
200.82,70.0,-45.5553333333,88.3333333333,-51.111,-4.44433333333,-17.7776666667,-55.5553333333,-160.0,52.7776666667,4.44433333333,-49.4443333333
201.19,68.027,-70.068,99.3196666667,-74.1496666667,-8.84366666667,-36.7346666667,-75.5103333333,-191.8365,55.102,6.12233333333,-66.6666666667
201.57,56.111,-63.889,75.5553333333,-61.6666666667,-3.889,-39.4443333333,-68.889,-156.6665,48.333,3.33366666667,-62.2223333333
201.95,58.4906666667,-85.5343333333,76.1006666667,-76.7296666667,-4.40266666667,-65.4086666667,-83.6476666667,-183.019,55.9746666667,2.51566666667,-73.585
202.33,34.8486666667,-140.909,51.515,-121.97,-34.8486666667,-94.697,-134.848333333,-268.1815,51.515,-40.1513333333,-105.303333333
202.71,46.3543333333,-88.0213333333,55.7293333333,-65.6253333333,-10.9376666667,-44.271,-79.1666666667,-178.1255,47.3956666667,-18.2293333333,-47.396
