wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-41.6666666667,-105.0,-41.6666666667,-135.0,-83.3333333333,-60.0000000001,-136.666666667,-60.0,-111.666666666,-103.333333333
179.16,101.666533333,96.1110000001,95.5555333333,84.9999333335,100.5556,106.666666667,88.8887999999,105.000066667,88.3334,101.666733333
179.54,-30.8333333334,-45.8333333333,-40.0,-20.8333333334,-35.8333333333,-40.0,-49.1666666667,-43.3333333333,-24.1666666667,-22.5
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,59.0351333333,49.649,64.9999999999,39.4737333333,73.8596666667,91.2281333333,64.1227333333,57.5438000001,37.1052,56.4033999999
180.69,57.7778,52.4731333333,62.5089333334,43.5843333333,74.1935333333,87.0967333333,66.7383333333,58.8530000001,39.5699333333,55.9140000001
181.07,66.5909333333,59.3940666667,71.0606,51.9696666667,84.2423333333,100.075666667,78.4848,64.7727999999,46.8939333333,61.8182666666
181.45,73.6035999999,60.0900666667,74.4144000001,52.973,91.4413999999,111.351466667,88.5585999999,67.2974000001,49.0991333333,59.0089333333
181.83,64.2222666667,51.3333333333,63.2592,50.8148,82.3702666667,100.740733333,80.2223999999,59.2593999999,45.4073333333,51.4814666667
182.21,67.8,56.0666666667,66.5999999999,56.6666666667,83.2666666666,97.6666666667,83.1333333333,63.9333333333,53.5333333333,52.3333333333
182.59,70.6349333332,56.8254000001,67.6985999999,52.4602666667,87.2221333333,103.650866667,87.2223333334,65.0792666667,53.9682,48.5713333334
182.97,75.6349333334,65.5556000001,74.4445333334,53.3332666667,92.2222666667,108.5714,95.5555333334,67.7777333333,59.4443999999,51.5872666667
183.35,70.7042666666,54.7417333333,67.6058000001,47.3240666667,87.7933333333,109.389666667,95.1174666667,56.4318666667,49.2019333333,41.1267333333
183.73,84.6154000001,62.6923333333,80.3846666666,57.6923333334,109.230866667,133.461666667,118.077,75.2563333334,54.359,42.1794000001
184.11,83.1515333333,57.0908666667,83.2728,61.4547333333,109.333266667,129.4544,119.1514,76.3636666667,56.1212666667,46.0606000001
184.49,88.4685333332,55.4954666667,92.7928666667,54.2344000001,123.964,156.3964,143.603466667,75.4956000001,44.6848,44.6846666666
184.87,78.4946000001,32.9032666667,92.903,29.2473333333,113.1182,163.655866667,150.537666667,59.3548666667,27.9569333334,30.3226
185.25,64.3138666667,32.3529333333,83.3332666666,17.0588666667,98.4315333333,143.921533333,138.8234,51.3726666666,18.2353333334,25.0981333335
185.63,24.7058666666,15.1632666667,51.3726666667,-1.56859999999,53.7256,86.4052,85.0981333333,19.3463333333,-7.32026666668,6.9281333334
186.01,23.9216,14.902,53.5948,-15.0326666667,44.4443999999,79.8691333333,76.8628000001,15.8168666667,-17.2549333333,1.69939999994
