wavelength,Back_IriAnam,Belly_IriAnam,Breast_IriAnam,Crissum_IriAnam,Crown_IriAnam,DorTail_IriAnam,Patch10_IriAnam,Rump_IriAnam,Throat_IriAnam,WingTip_IriAnam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-153.333333333,-68.3333333334,-105.0,-51.6666666666,-125.0,-133.333333333,-40.0,-25.0000000001,-91.6666666665,-135.0
179.16,78.8888666667,102.7778,103.333266667,93.8887999999,86.6666666667,81.1111333333,100.0,105.0,82.2222,88.3333999999
179.54,-15.8333333333,-27.5,-32.5,-50.8333333333,-55.0000000001,-9.16666666669,-44.9999999999,-41.6666666667,-11.6666666667,-46.6666666666
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,52.1053333333,56.2280666666,69.7368000001,78.3333333333,67.8070666667,43.2457333334,77.8069333333,77.6315333333,40.3509333333,58.2456
180.69,51.3262666667,54.4086666666,67.9568666667,74.0500666667,63.9426666667,45.0179333334,75.7705999999,74.0502666667,41.5769333333,56.5591333333
181.07,61.2122000001,62.6515999999,78.8637333333,82.1212,71.7423333333,54.9242666668,87.5759333333,79.6969333333,47.9546666667,67.8029999999
181.45,66.1261333333,62.7025333333,86.7568666667,88.6486,79.9098666666,54.5044000001,99.8199333333,84.0539999999,46.5765333334,74.4144666666
181.83,58.1482,57.5555999999,76.0739333333,78.3702666667,71.5555999999,53.5554666666,87.3333333334,72.6666666666,44.5185333333,65.4074000001
182.21,59.1333333333,58.4000000001,76.1333333333,79.1999999999,73.3333333333,57.9333333333,87.2000000001,71.2666666667,48.2,72.5333333334
182.59,52.9366,61.9048666667,76.3491999999,82.7778666667,72.0634666666,60.3967333334,93.4920666667,71.4285333334,48.7301333333,76.0318666667
182.97,54.5236666667,67.9364666669,82.8571333334,81.1904666666,77.9365333333,63.4126666666,98.7300000001,72.6983333333,54.9206,83.8890666667
183.35,43.0047333333,63.9436,77.9343333335,77.0891333333,74.3662,52.0187333334,93.6149999999,68.8262666667,49.5774,83.9437333333
183.73,48.7178666666,72.0513333334,99.8718,93.8462,90.8975333333,60.7691999999,117.435866667,77.1794666667,60.2564,102.564133333
184.11,49.3333333334,69.6969333332,96.7272,91.8788000001,92.7274,67.1516666667,118.545333333,72.1212666667,63.9999333334,103.757466667
184.49,27.7478000001,68.2882000001,103.4234,98.7387999999,106.306266667,59.4594666665,141.621666667,63.7838666667,66.3063333333,116.937
184.87,19.1397333333,64.3011999999,102.795666667,100.430133333,116.989333333,47.5268666665,145.3764,44.3010666667,51.1828666667,123.225933333
185.25,23.7255333333,56.6668000001,93.9214666668,85.2941333335,122.549,39.2155999999,128.627466667,39.804,44.1176666667,107.058733333
185.63,7.05899999999,31.6339999999,50.8496666667,46.0130666666,69.8038,23.1373999999,71.1112,15.5555333333,22.7451333333,58.6927999999
186.01,5.35946666668,30.7190666666,42.4836666667,40.7843333333,59.9998666666,18.0392000001,67.1895333335,16.0783333333,24.9672666667,56.4706666667
186.39,8.57146666665,36.9048,37.1427999999,33.0952666667,51.7857333334,15.9523999999,59.0477333332,17.3809333333,29.4048,48.8095333333
186.77,15.5274666667,35.2742666667,33.1644666667,30.633,44.1351333334,15.865,50.2953333334,19.0718,28.6076666667,40.0
187.15,13.0336666667,30.2622666667,26.0675333333,24.1198666667,38.3520666667,13.4832666667,43.8202,15.1311333333,22.9964,34.5318666667
187.53,24.7446,39.9398,34.4745333333,32.012,44.8649333334,26.0661333333,50.5704666667,25.6455333333,32.1322,41.5014666667
187.91,20.3793333333,36.9648,27.2087333333,26.3414,37.9402666667,20.9756,43.7398,21.2465333333,28.6178666667,37.1274
188.29,12.0873333333,31.4640666667,19.0033333333,15.2026,27.6012666667,12.8970666667,35.2025333333,13.4579333333,20.0624,31.2773333333
188.67,13.2248666667,28.7263333333,16.6396,15.5012666667,24.607,13.1166,28.9972666667,13.4958666667,15.9349333333,27.8048666667
189.05,8.10666666667,24.48,10.3466666667,12.0,17.4933333333,8.53333333333,22.08,11.9466666667,14.3466666667,24.4266666667
189.43,5.21959999999,22.2222666667,5.06453333332,10.1808,12.6097333333,5.4778666667,15.1421333333,10.3359333333,11.4212666667,22.0672
189.81,3.94666666666,20.3733333333,4.37333333334,8.80000000002,10.9866666667,3.19999999998,13.0666666667,10.4,12.0,22.4
190.19,3.10066666667,15.6588,5.37480000001,6.0982,6.30499999999,-1.8604,8.78546666668,5.16793333333,8.52713333332,19.8448666667
190.57,-15.3650666667,-1.33346666667,-12.6983333334,-12.4443333333,-16.127,-21.9048,-9.39673333333,-12.5078666667,-6.98399999998,2.28573333336
190.95,-29.0197333333,-17.9608,-26.5881333333,-28.0784,-32.3921333333,-39.9216,-28.7058666667,-26.7451333333,-17.4902666667,-9.25499999997
191.33,-49.2957333333,-38.1221333333,-43.6619333334,-43.3803333333,-55.9622666667,-64.7888,-56.9013333334,-40.5632666667,-32.676,-28.2629333333
191.71,-101.388933333,-88.1943333332,-78.8888,-90.5554666667,-106.5278,-124.583466667,-113.888866667,-86.6666666665,-67.0832666667,-71.6665999999
192.09,-142.333333333,-128.666666667,-109.0,-120.5,-143.333333333,-166.333333333,-161.666666667,-115.666666666,-93.6666666667,-106.833333333
192.47,-221.4286,-195.4762,-169.761866666,-177.142666667,-220.237933333,-259.047533333,-238.5714,-183.333266667,-144.761933333,-174.761866667
192.85,-1043.80953333,-916.190400001,-790.476133335,-899.047666666,-1065.7144,-1189.52373333,-1106.66673333,-880.952333335,-699.047666667,-823.809533333
