wavelength,Back_IriPorf,Belly_IriPorf,Breast_IriPorf,Crissum_IriPorf,Crown_IriPorf,DorTail_IriPorf,Patch10_IriPorf,Patch11_IriPorf,Rump_IriPorf,Throat_IriPorf,WingTip_IriPorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-311.111111111,-300.0,-711.111111111,-556.209150327,-11.111111111,-488.888888889,3.333298082e-10,-333.333333333,-144.444444444,-455.555555557,-188.888888889
179.16,23.9316666667,17.9487777778,-0.000111111123333,28.6073856209,50.4273333333,24.7865555556,35.8973333333,40.1708888889,5.98311111113,39.3162222222,21.3675555556
179.54,50.0,-83.3333333333,-11.1111111111,-135.294117647,33.3333333332,-27.7777777778,-5.55555555567,-16.6666666667,-311.111111111,27.777777778,-24.9999999999
179.93,47.5307777778,32.7158888889,52.4693333333,56.8264640523,40.7406666667,41.9753333333,60.4937777778,57.4075555555,65.432,35.8025555555,66.6666666667
180.31,28.5893333333,-11.4856666667,6.11722222223,13.4683267974,15.7302222222,1.49822222223,36.0797777778,28.4644444444,14.2322222222,4.61922222223,26.7164444444
180.69,23.9316666667,-22.4663333333,-1.09888888888,7.87181045753,9.64611111109,-4.27355555554,35.409,25.641,7.32611111113,0.488444444433,24.0537777778
181.07,26.4956666667,-22.7105555556,4.39566666669,13.6679411765,7.32611111113,-0.85466666669,32.1123333333,27.9612222222,4.884,2.68622222223,27.7167777778
181.45,24.8096666667,-44.2922222222,-1.82666666664,5.74801960784,-11.2632222222,-19.3302222222,21.7654444444,19.3303333334,-3.95755555554,-9.589111111,19.4824444444
181.83,22.0677777778,-58.7964444444,-6.79033333332,-1.70669281046,-22.5308888889,-33.6421111111,11.7284444444,10.4938888889,-9.72233333333,-21.2963333333,14.7377777778
182.21,11.7172222222,-97.7776666667,-32.1211111111,-28.5204052288,-51.7172222222,-72.3233333334,-7.87866666667,-10.1008888889,-47.8786666667,-50.5047777779,-10.7071666667
182.59,11.9657777778,-98.5043333333,-37.8205555556,-40.8371764707,-55.7693333333,-72.0086666666,-21.581111111,-11.5384444444,-51.0685555556,-58.3334444446,-12.9273888889
182.97,-9.87644444443,-133.333333334,-63.4568888889,-72.8686339869,-84.6914444444,-96.0494444445,-51.604888889,-30.3703333334,-79.5061111112,-88.1482222223,-48.6420555556
183.35,-18.6111111111,-152.5,-70.5555555556,-94.0196078431,-102.777777778,-108.055555556,-70.8333333335,-53.6111111111,-100.277777778,-103.333333333,-60.4166666668
183.73,-27.5984444446,-207.526888889,-106.093222222,-118.511509804,-127.240222222,-151.612888889,-98.9247777778,-80.6453333332,-128.674,-144.085888889,-84.0500555557
184.11,-70.7068888888,-320.201888889,-169.192,-204.456366013,-223.232222222,-274.242444445,-174.242444444,-146.464666667,-221.717222222,-224.747444444,-154.0405
184.49,-97.0370000001,-436.296222222,-220.740777778,-259.302718954,-326.666777778,-408.148111111,-258.518555556,-194.814777778,-304.444555556,-278.518444444,-190.740666667
184.87,-1.15148854109e+15,-4.2647723744e+15,-2.35984071384e+15,-2.84694461739e+15,-3.58951674846e+15,-4.40693145355e+15,-3.1985792808e+15,-2.48067593111e+15,-3.04220429374e+15,-2.95690884625e+15,-2.30653105916e+15
185.25,949.999999998,3477.77777778,2016.66666667,2619.93464052,3238.88888889,3844.44444444,2605.55555555,2066.66666667,2444.44444444,2416.66666667,2083.33333333
185.63,-131.746111111,-782.539666667,-414.285888889,-627.357535949,-738.09511111,-922.222111111,-515.872777779,-415.872888889,-509.523666667,-490.476111111,-302.381055555
186.01,329.629666667,1533.33333333,862.96288889,1194.55349673,1574.07411111,2074.07411111,1062.96311111,833.333222221,944.444333333,874.074111111,512.963055556
186.39,44.4443333334,-525.925888889,-162.963111111,-428.431267974,-575.926111111,-775.925999999,-433.333333332,-170.370444445,-220.370444445,-159.259333333,4.6295
186.77,1122.22222222,-2255.55555555,300.0,-1479.08496732,-2933.33333333,-3600.0,-2133.33333334,-377.777777778,-333.333333333,388.88888889,1300.0
187.15,-157.142777778,265.079333333,-74.6032222223,185.900928105,444.444444445,506.349111111,360.317444444,49.2063333333,6.34933333333,-150.793555555,-231.745888889
187.53,10.2563333334,104.700666667,26.9231111111,89.844248366,171.794777778,181.623777778,155.128222222,50.8546666667,60.6837777777,-1.33333344365e-10,-23.5042777778
187.91,43.0555555555,88.6111111111,41.3888888889,95.7679738562,138.611111111,144.444444444,131.944444445,64.1666666667,77.2222222223,20.8333333333,-0.138888888867
188.29,27.7777777778,75.6944444444,23.9583333333,71.7320261438,144.097222222,131.944444444,140.277777778,55.2083333333,62.1527777779,-7.2916666668,-37.8472222222
188.67,-4.93811111113,87.6541111112,-23.4566666668,100.508431372,200.617333333,187.037111111,210.493888889,64.1973333332,55.5556666663,-64.8146666667,-99.0742222222
189.05,-88.8888888887,125.926,-138.888888889,214.705960784,520.370444445,442.592666667,642.592555557,70.3705555554,138.889,-257.407444444,-395.370555555
189.43,-28.1482222223,62.963,-56.2962222222,72.6798823531,185.926111111,168.148111111,303.703777778,56.296111111,65.185,-106.666666667,-146.666777778
189.81,28.8194444444,76.7361111111,19.7916666667,63.7663398694,137.847222222,115.277777778,207.986111111,84.0277777779,81.25,2.43055555557,1.90972222223
190.19,16.1615555557,90.9090000001,8.08088888887,76.7379346405,178.282666667,130.303111111,293.434444444,103.030333333,89.899111111,-22.7273333333,17.4242777778
190.57,51.9275555556,84.127,48.5262222222,72.4156535948,126.077222222,104.308333333,172.108888889,102.721222222,78.6848888889,29.7053333333,58.9568888889
190.95,66.419888889,99.7530000001,68.3952222222,96.9206928103,146.913777778,132.345666667,199.259222222,129.382666666,97.5308888887,49.1358888889,81.9752222222
191.33,64.539,104.491777778,71.8675555556,96.2871176471,146.808444444,128.132444444,195.508222222,138.297777778,98.3452222221,49.1725555556,77.7778888889
191.71,56.2801111111,97.1014444443,56.5216666667,91.8584509804,135.024111111,124.154444445,193.236777778,134.058,88.4057777779,34.2994444444,69.6861666667
192.09,41.4141111111,93.1815555556,46.4646666666,84.402751634,141.161666667,119.444444445,194.949444444,129.798111111,76.2626666669,26.2626666667,74.8739444444
192.47,50.9698888889,100.352666667,50.2643333333,93.8478758169,120.634777778,107.936333333,159.259444444,113.404,74.4267777779,40.0353333333,84.6560555556
