wavelength,Back_IriPorm,Belly_IriPorm,Breast_IriPorm,Crissum_IriPorm,Crown_IriPorm,DorTail_IriPorm,Patch10_IriPorm,Patch11_IriPorm,Rump_IriPorm,Throat_IriPorm,WingTip_IriPorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-522.222222222,-411.111111111,-655.555555554,-511.111111111,-600.0,-277.777777778,-177.777777778,-100.0,-444.444444444,-366.666666667,-422.222222223
179.16,-3.4187777778,17.0941111111,-7.6921111111,34.1881111111,27.3506666667,7.69244444444,21.3675555556,33.3333333333,4.27344444446,-0.854777777777,2.56399999999
179.54,-233.333333333,-200.0,-333.333333333,100.0,-44.4444444444,-116.666666667,-155.555555556,-205.555555555,-61.111111111,-27.7777777779,-316.666666667
179.93,20.3703333333,50.6174444444,25.3085555556,37.0368888889,57.4074444445,40.1234444445,38.8888888889,40.1234444445,42.5926666667,52.4693333333,39.5061111111
180.31,-14.1074444445,15.6055555556,-9.36333333333,12.1097777778,7.4907777778,11.3608888889,16.2296666667,23.97,9.98744444443,27.4656666667,-4.49455555557
180.69,-22.5885555556,12.088,-15.1404444444,9.27955555557,0.610666666667,6.71577777779,10.8668888889,22.3443333333,4.884,23.199,-7.4481111111
181.07,-22.5884444445,12.8205555556,-9.6458888889,10.6226666667,7.3261111111,6.105,10.1344444444,24.42,6.22711111111,27.3503333333,-7.93655555554
181.45,-38.9648888889,-0.304444444457,-19.7867777778,-5.02277777777,-7.45811111111,-2.73955555556,1.2177777778,22.0701111111,-0.608777777779,26.3317777778,-19.7871111111
181.83,-41.6666666667,-7.716,-17.2838888889,-15.8952222222,-14.8146666667,-12.9628888889,-2.31477777779,19.9072222222,-8.64166666668,22.0678888889,-20.6791111111
182.21,-65.2526666667,-34.1414444445,-36.9697777778,-34.5454444444,-53.9394444446,-38.5858888889,-30.9091111111,4.64633333333,-29.293,2.82844444443,-46.4644444445
182.59,-73.2904444444,-40.3845555555,-35.8973333333,-35.47,-64.7436666668,-41.8801111111,-36.3248888889,1.28211111113,-29.701,7.69222222223,-53.6323333332
182.97,-118.765555555,-74.8147777779,-72.5924444445,-59.2592222223,-104.691444444,-79.0122222221,-62.9627777778,-24.4444444444,-63.9506666667,-19.0123333334,-79.9999999999
183.35,-138.611111111,-103.055555555,-89.1666666667,-64.1666666665,-123.888888889,-91.6666666668,-85.5555555556,-35.0,-87.5,-33.8888888889,-93.8888888889
183.73,-192.831555556,-141.935444445,-132.616555556,-105.734888889,-153.405,-130.465888889,-130.824333333,-58.0646666667,-113.978555555,-49.1038888888,-133.333222222
