wavelength,Back_LanAurf,Belly_LanAurf,Breast_LanAurf,Crissum_LanAurf,Crown_LanAurf,DorTail_LanAurf,Patch10_LanAurf,Patch11_LanAurf,Rump_LanAurf,Throat_LanAurf,WingTip_LanAurf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,280.0,233.333333333,244.166666667,246.666666667,273.333333333,250.0,258.333333333,235.0,236.666666667,275.0,240.0
179.16,686.666666667,433.333333333,700.0,553.333333333,626.666666667,513.333333334,613.333333333,680.0,586.666666667,619.999999999,420.0
179.54,278.666666667,240.0,237.333333333,238.666666667,282.666666667,282.666666667,285.333333334,276.0,273.333333333,228.0,237.333333333
179.93,234.8148,201.481533333,180.740666667,185.1852,206.666533333,235.555533333,208.148,217.777733333,179.259266667,214.8148,207.4074
180.31,2445.33333333,2077.33333333,2208.0,2312.0,2330.66666667,2430.66666667,2240.0,2366.66666667,2196.0,2076.0,2226.66666667
180.69,673.968266667,583.809533333,608.095233333,645.0792,650.158733333,665.714266667,618.095266667,661.904733333,612.063533334,584.126933333,625.079333333
181.07,585.0,511.6668,533.194466667,560.833333333,556.389,580.833333334,544.444333333,580.555466667,527.7778,495.833266667,546.666666667
181.45,472.258266667,417.204466667,426.989233334,455.914,450.967733333,471.612866667,441.075133333,460.430133333,424.301133333,401.075266667,447.957133333
181.83,419.215666667,371.176466667,383.4314,416.078533333,405.8824,420.784266667,392.745133333,406.666533333,370.588266667,363.529333333,407.254866667
182.21,508.0556,458.333333334,477.777666667,525.5556,499.444466667,523.889,477.2222,497.222133333,459.1668,432.222266667,506.111133333
182.59,623.703866667,555.185,591.851833333,641.851866667,611.8518,621.851866667,576.6668,616.296133333,555.185266667,513.703733333,624.814866667
182.97,378.571266667,343.095266667,366.309533333,387.142866667,377.380933333,383.809466667,347.143,360.000066667,326.904866667,319.5238,398.0952
183.35,319.798066667,302.020133333,317.0709,333.131266667,334.7474,332.525266667,298.585866667,313.131333333,286.464733333,285.4546,348.484933333
183.73,308.235266667,292.156866667,304.9021,316.6666,327.058733333,306.4706,289.607733333,299.215533333,269.607933333,279.215733333,331.764733333
184.11,270.0952,253.714333333,258.857133333,269.9048,279.619,257.523866667,252.571533333,257.904733333,218.285666667,247.4286,280.952466667
184.49,291.733333333,277.866666667,286.666666667,294.133333333,301.6,276.0,273.6,275.466666667,220.8,266.666666667,295.733333333
184.87,-2663.33333333,-2563.33333333,-2718.33333333,-2596.66666667,-2636.66666667,-2463.33333333,-2560.0,-2306.66666667,-1763.33333333,-2356.66666667,-2826.66666667
185.25,-466.0606,-475.151533333,-475.4546,-461.818133333,-504.242333333,-439.999866667,-450.303,-404.242466667,-324.8486,-454.545533334,-543.0302
185.63,-272.592666667,-302.962933333,-292.037066667,-289.629533333,-297.4074,-277.777666666,-286.666666667,-254.074133333,-199.259266667,-294.8148,-345.185266667
186.01,-124.705733333,-146.8628,-137.0588,-129.411866666,-126.666666667,-124.901933333,-136.274466667,-114.705933333,-87.0586666667,-143.333466667,-158.039266667
186.39,-124.504333333,-150.450533333,-140.630433333,-129.009,-129.910066667,-117.477466667,-135.8558,-116.036,-86.1261333332,-150.270333333,-153.873866666
186.77,-114.761933333,-151.428466667,-140.7143,-120.317333333,-126.1906,-114.127,-134.920666667,-117.936466667,-88.0952666667,-149.841333333,-148.571466667
187.15,-80.5229333334,-113.0718,-109.803933333,-91.3725333335,-88.6273333334,-88.8888666666,-104.313666667,-95.2940666666,-73.7254666666,-117.908533333,-107.973733333
187.53,-62.0237999999,-92.2618666665,-91.3689333334,-71.7856666666,-70.4761333333,-72.8571333333,-87.3809333333,-77.8571333333,-56.7857333333,-99.8810000001,-93.3332666667
187.91,-49.0322,-72.5806,-78.8709666667,-56.7740666668,-56.7742,-66.3440666665,-75.8065333334,-66.9894666667,-45.1612666666,-87.2043333332,-86.8816666667
188.29,-32.9004666667,-53.9392,-64.8918333333,-50.5629333334,-43.1168666666,-57.0561999999,-57.0562666667,-55.6708666667,-35.5844,-69.4372666667,-72.7272
188.67,-20.2061333333,-40.6872666667,-46.9071333333,-36.1512666667,-31.0652,-43.0241333333,-43.2303333333,-43.1615333333,-25.0172,-52.2336666667,-54.5704
189.05,-9.54019999999,-25.7472,-29.8562333333,-21.4368,-18.2758,-28.6206666667,-26.0344666667,-30.7472,-13.3906,-37.3562666667,-37.0116
189.43,0.681266666666,-9.87826666667,-18.0536333333,-11.0948,-4.81759999999,-15.2311333333,-10.9003333333,-17.2748666667,-2.87106666667,-21.2164666667,-20.1458666667
189.81,2.39986666667,-5.95566666667,-14.3554666667,-7.33340000002,-3.06653333334,-10.0888666667,-5.06666666668,-12.6222666667,-0.53346666666,-15.4666,-15.3777333333
190.19,1.50533333333,-7.35493333335,-14.9677333333,-9.33326666665,-4.81706666667,-11.1397333333,-3.1828,-14.4516,-4.00006666669,-16.473,-16.6882
190.57,1.50000000001,-4.54166666666,-13.4375,-9.875,-2.20833333333,-9.83333333334,-1.70833333334,-13.8333333333,-5.41666666667,-16.9166666667,-15.2083333333
190.95,5.23806666667,-0.129933333328,-10.6709666667,-7.35933333335,1.21220000001,-8.05199999999,3.80946666667,-10.0432666667,-1.12553333333,-14.2858,-12.4242666667
191.33,2.03473333334,-2.29433333333,-12.2077666667,-8.52813333334,0.0865333333408,-6.36366666667,3.98273333333,-10.6926666667,-0.865866666686,-13.2033333333,-13.29
191.71,-7.48780000001,-11.2077333333,-21.2559,-18.2124666667,-6.1352,-15.7488,-1.83573333332,-20.1449333333,-8.11586666667,-21.7874666667,-21.8357333333
192.09,-12.9230666667,-17.9999333333,-26.9487333333,-27.1281333333,-12.3588666667,-22.0513333333,-1.17946666666,-24.8205333333,-13.8462666667,-29.1794666667,-26.7692
192.47,-18.1818,-22.3139333333,-29.4215,-29.0909333333,-17.3002,-24.5178,-3.25066666667,-26.0606,-19.0633333334,-33.7189333333,-31.4049333333
192.85,-23.0769333333,-21.6525333333,-30.9401333333,-31.567,-19.8859333333,-26.6097333333,-2.79206666667,-26.9514666667,-21.8802,-36.3533333333,-35.4986666667
193.23,-24.6607333333,-25.6047333333,-35.8407333333,-35.9882666667,-25.8997333333,-29.8526,-5.89993333333,-30.3246666667,-24.8967333333,-39.9999333333,-38.3481333333
193.61,-49.5238,-52.0634666667,-62.5795,-60.5554666666,-49.6032666667,-54.6825333334,-28.4922,-57.5398,-46.8254666666,-70.7936666667,-69.2857333332
193.99,-53.1372,-56.1764666667,-71.8137666666,-64.3136666666,-53.7255333333,-56.8628000001,-28.3334,-66.9607333334,-49.804,-83.2352666667,-79.9999999999
194.37,-41.6424666667,-39.227,-60.0483333333,-47.1496666667,-44.0578666667,-41.8356666666,-19.9032666667,-53.3332666667,-33.6232666667,-67.4396666666,-68.8888666667
194.75,-41.4926,-41.2935333333,-63.9304666667,-43.582,-48.5572,-44.0796666666,-25.2737333333,-55.0248666667,-31.4427333333,-68.9551999999,-78.806
195.13,-37.1015333333,-41.1594,-61.7392,-45.3140666667,-47.343,-43.1884666667,-30.8214,-55.8454666667,-34.0095333333,-69.3721333333,-83.6715333334
195.51,-30.9178,-39.4204,-60.1448666667,-42.1256666667,-46.8599999999,-37.8744,-31.2076,-51.5941333333,-31.9807333333,-70.4348000001,-86.9565333333
195.89,-28.0366666667,-34.7032,-51.37,-35.8906,-41.5525333334,-31.0501333333,-31.8722666667,-43.3789333333,-29.6804,-65.0228,-81.2784666667
196.27,-24.2982,-33.0700666667,-48.1578666667,-31.0526,-33.1578666667,-20.7017333333,-39.4737333333,-40.5263333333,-27.3684,-59.9122666667,-76.7544000001
196.65,-17.9048,-36.3809333333,-52.2857333333,-28.4761333333,-29.9047999999,-15.7142666667,-42.4762666667,-41.2381333334,-21.5237999999,-62.1904666667,-77.2381333335
197.03,-16.8204666667,-47.5896666667,-61.2820666666,-32.5128666667,-36.3076666666,-17.641,-49.3333333333,-44.8205999999,-28.3076666667,-70.2564666666,-85.1281999999
197.40,-74.0952,-131.047666667,-148.952466667,-105.523866667,-104.571333333,-72.3808666668,-135.238133333,-120.190466667,-87.4285333334,-169.5238,-200.1906
197.78,-33.7333333333,-77.0666666666,-82.9333333334,-55.7333333333,-59.9999999999,-28.9333333334,-76.1333333333,-67.3333333333,-46.4,-100.666666667,-120.666666667
198.16,-31.7242666667,-78.9653999999,-77.1263,-55.1725333333,-57.3562666667,-32.8734666667,-74.5976666668,-62.4137333333,-47.2413333334,-90.8045333334,-108.045933333
198.54,-77.3611333333,-140.694466667,-132.708466667,-107.222266667,-110.139,-78.8888666667,-131.5278,-124.444466667,-106.25,-153.6112,-177.222266667
198.92,-85.2714,-170.387666667,-150.232566667,-133.488266667,-128.992333333,-90.2325333334,-151.938,-147.596933333,-126.5116,-172.868133333,-198.9146
199.30,-58.6666666667,-118.3334,-95.6666666665,-84.4444666668,-85.6667333333,-53.6665333333,-100.111066667,-98.7778,-87.2222,-118.666666667,-128.777733333
199.68,-67.8888666668,-130.222266667,-101.2778,-96.4443999999,-97.8889333333,-68.1112666667,-111.555666666,-109.222133333,-100.333266667,-128.5556,-135.666733333
200.06,-60.3507333332,-135.4386,-103.450133333,-98.4794666667,-101.052533333,-63.6256,-107.2516,-116.491266667,-102.4562,-130.994066667,-141.052666667
200.44,-50.2084666667,-119.7918,-87.3960666665,-82.8125999999,-84.1670000001,-56.3543333333,-85.0000666667,-103.333533334,-86.6669333333,-109.479466667,-119.062733333
200.82,-37.9554666667,-93.6000666666,-69.5554666666,-66.8444,-67.6443333333,-40.4443999999,-64.2667333333,-84.3554666667,-71.4666,-88.2666000001,-97.5109333333
201.19,-38.1891999999,-82.3868666666,-69.4239000001,-64.2798,-63.2098666668,-37.2840000001,-59.8353333334,-82.9629333333,-66.5019999999,-84.6092666667,-90.6174
201.57,-23.5506666667,-61.7390666667,-54.8189333333,-47.7534666667,-47.9710000001,-24.2029333333,-41.0869333333,-65.8696,-50.2898666666,-67.3912,-71.1594666667
201.95,-18.889,-56.8056,-50.4514333333,-43.8194,-43.1250666666,-20.5555333333,-33.1251333333,-60.139,-43.2638666667,-61.1111333333,-62.6388666667
202.33,-1.54766666666,-30.7142666667,-27.9464333333,-20.7738666667,-22.4406,-4.10706666667,-11.0715333333,-39.0476,-19.7619333333,-37.5594666667,-37.2024
202.71,14.1598666667,-13.6087333333,-11.8732333333,-6.00553333334,-5.39940000001,10.9642666667,5.17913333333,-19.4489333333,0.0552,-20.2202666667,-14.6006
203.09,16.5375333333,-6.25333333333,-5.21943333332,0.826866666654,-0.206666666654,17.2609333333,10.0775333333,-12.4032,4.39273333331,-14.2636666667,-7.08013333334
203.47,14.9288,-9.51573333333,-10.114,-3.24786666667,-5.75493333333,15.0428,8.49,-15.0427333333,3.36206666666,-21.3106,-11.7948666667
203.85,15.3800666666,-10.6432666667,-10.2631333333,-0.058466666668,-0.81866666666,14.8538,9.00586666668,-13.4502666667,9.1228,-22.3977333333,-8.30400000001
204.22,19.4912,-3.96940000001,-3.91839999999,8.29513333334,5.03813333334,17.6590666667,12.2136666667,-3.3588,14.4528666667,-13.079,1.01779999999
204.60,22.0513333333,-4.35913333333,-3.15406666668,9.17939999999,3.33340000001,19.0256666667,12.3589333334,0.871733333327,16.0,-14.9744,0.564066666673
204.98,13.1816666666,-13.9898,-9.31816666667,1.91933333333,-4.99999999999,10.4546666667,3.23233333335,-5.85860000001,7.47473333334,-24.6969333333,-8.08086666668
205.36,13.2825333333,-17.3536666667,-7.07386666667,3.20613333333,-4.93640000001,7.88813333332,-0.559800000014,-5.19079999999,6.56493333334,-24.2238666667,-9.10946666666
205.74,10.7988,-25.2891333333,-13.0854333333,-1.26719999999,-11.0192,4.51780000001,-9.31146666667,-13.0027333333,-1.10186666667,-31.1294,-16.3638
206.12,3.11926666666,-38.8378,-28.1651333333,-13.3945333333,-23.7922,-5.81033333333,-22.3241333333,-25.5045333333,-13.0273333333,-46.2995999999,-32.0488666667
206.50,-23.8315333333,-77.7011333333,-62.0306999999,-46.2835333333,-55.6322666666,-31.6473333333,-59.7701333333,-56.2452666667,-43.9079333333,-87.2797333333,-67.3563999999
