wavelength,Back_LanAurm,Belly_LanAurm,Breast_LanAurm,Crissum_LanAurm,Crown_LanAurm,DorTail_LanAurm,Patch10_LanAurm,Patch11_LanAurm,Rump_LanAurm,Throat_LanAurm,WingTip_LanAurm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,143.333333333,116.666666667,151.666666667,78.3333333334,175.0,73.3333333333,108.333333333,135.0,131.666666667,95.0000000001,96.6666666668
179.16,-79.9999999999,86.6666666667,40.0,-346.666666667,460.0,-39.9999999999,-203.333333333,173.333333333,2.00009253604e-10,-140.0,-73.3333333333
179.54,157.333333333,169.333333333,168.0,98.6666666668,202.666666667,153.333333333,110.0,200.0,161.333333333,112.0,156.0
179.93,132.592466666,147.407266666,177.037,116.296266667,168.1482,148.8888,120.000266667,155.555466667,159.999933333,142.963,132.5926
180.31,1054.66666667,1221.33333333,1602.66666667,866.666666668,1640.0,952.000000001,1060.0,1518.66666667,1234.66666667,966.666666667,1181.33333333
180.69,315.873,351.4286,461.587333333,282.222333333,453.015933333,275.238133333,316.825233333,432.063666667,358.4128,292.063466667,348.254
181.07,272.499933333,314.444466667,407.499866667,255.277666667,386.666733333,244.444466667,268.4724,375.8334,308.333333333,254.722266667,310.2778
181.45,241.290333333,268.817133333,350.752466667,227.741866666,315.053666667,209.892333333,230.322633333,314.8388,266.4516,229.2474,267.096866667
181.83,218.8234,240.980466667,316.2746,205.294266667,280.9804,179.4118,209.313633333,276.862666667,238.823533334,213.333466667,238.0392
182.21,242.222266667,276.9444,366.111066667,232.500066667,324.722266667,180.277733333,234.8612,323.611133333,261.1112,239.166666667,271.388933333
182.59,284.074,305.185066667,422.2222,261.481533333,375.925866667,171.851866667,263.888833333,377.037,291.481533333,268.8888,297.037
182.97,169.285666667,187.381,255.952266667,146.6666,218.3334,96.9047333334,148.4524,215.238066667,170.9524,155.952266667,171.428666667
183.35,161.818066667,175.353533333,234.343333334,133.131333333,194.343333333,92.7272666666,126.363633333,187.272533333,168.6868,158.5858,159.1918
183.73,148.8234,169.804,227.058733333,128.627533333,190.392133333,90.5882666666,122.548966667,170.588266667,160.000133333,142.9412,147.254933333
184.11,111.999933333,141.714266667,183.619,93.3332666667,146.2858,57.9048,83.6190666666,128.762066667,112.190533333,94.4761333333,109.333333333
184.49,71.2000000001,120.533333333,162.933333333,34.4000000001,119.2,8.8,40.7999999999,94.6666666667,77.3333333333,46.1333333334,68.2666666666
184.87,19.9999999986,-693.333333333,-1023.33333333,633.333333332,-669.999999999,706.666666667,288.333333333,-296.666666667,-163.333333335,373.333333333,23.3333333347
185.25,13.9393333334,-119.999933333,-173.333333333,116.363733333,-140.606066667,133.333266667,54.2424,-58.1818666665,-43.0303333334,83.0304666668,18.1817999999
185.63,10.3703333335,-74.8147333333,-91.1111333333,56.2961999999,-84.0740666667,75.5555333333,19.9999333333,-27.7778,-23.3332666665,61.8519333333,25.1852
186.01,34.1176,-14.5098666667,-26.4706000001,51.9606,-18.6274666667,60.1962,33.7256333333,11.3724666667,10.0000000001,55.6862666667,38.2351333333
186.39,21.6216,-24.1440666667,-36.9369333333,38.7387333334,-24.1442,44.3242666667,15.6756333333,3.7838,1.62159999998,44.3242666667,26.8468666666
186.77,8.0952,-37.3016666667,-44.9206000001,18.2540666667,-27.1428666667,25.0793333333,-7.22230000008,-6.6667333334,-4.762,23.1745333334,7.46026666667
187.15,13.5946666667,-18.1698666667,-25.098,19.2156,-9.67333333336,29.8038666667,-3.07189999999,1.4378,6.79733333332,24.8366000001,7.45093333335
187.53,13.9284666667,1.30953333331,-11.6666,21.0714,5.35713333332,36.0713999999,6.24993333334,7.85713333334,17.8571333333,33.3332666666,16.9047333333
187.91,10.4300666667,4.51593333332,-4.40866666675,19.2472666666,9.67740000002,35.6988666667,14.8386,4.51619999999,20.6452,31.2902,14.1935333333
188.29,9.78353333333,7.53246666665,-6.92633333333,16.6234,10.3030666667,29.9567333333,12.4242,-2.77059999999,15.8441333333,21.5584,10.736
188.67,13.2645333333,12.7147333333,-5.01726666666,13.8831333333,11.9588,27.8351333334,13.3676333333,1.44319999999,16.8385333333,20.756,12.0962
189.05,20.6322666667,19.4827333333,2.35619999999,20.115,19.1953333333,29.8276666667,21.2068666667,11.2069333333,24.3104,25.6322,18.2184
189.43,25.4987333333,25.9366666667,10.7542666667,28.4184666667,27.9319333333,34.1119333333,27.4453333333,19.1728666667,31.3868666667,30.1702,23.3089333334
189.81,25.1555333333,27.0222,12.4888666667,28.1333333333,30.1778,33.3333333333,26.7778666667,19.1557333333,31.8665333333,30.2666666667,19.6000666667
190.19,19.6558666667,25.9356,8.47319999999,22.2366,27.6559333333,28.6452666667,22.1504333333,13.8926,29.6772666667,27.3978,17.1612666667
190.57,19.875,28.0416666667,8.37499999999,22.6666666666,27.6666666667,28.5,23.0,12.5833333333,28.7083333333,29.125,16.625
190.95,25.8010666667,33.8960666667,14.0692666667,28.8310666667,31.169,32.9003333333,28.7878,15.4978,30.6060666667,33.6795333333,19.7835333333
191.33,25.2380666667,32.5975333333,13.9827333333,26.6234666666,29.5672,31.8614,28.7879,14.4588666667,29.6536666667,32.3377333333,20.6493333333
191.71,23.2367333333,25.2174,9.56526666667,21.2561333333,23.43,26.9566,23.0919,7.24633333334,26.9564666667,27.971,13.3816
192.09,22.0,22.3077333333,5.89733333333,17.6409333333,19.846,22.1539333333,18.2051666667,3.74366666667,24.5128,23.2820666667,10.6153333333
192.47,19.0632666667,20.8264666667,6.06059999999,16.7493333333,18.347,19.3938,15.1239333333,2.75473333334,21.763,23.3607333333,10.2478666667
192.85,15.2705333333,19.9431333333,9.68660000001,18.1766666667,19.0883333333,18.2907333333,13.1910333333,3.47573333333,22.3361333334,23.6466666667,8.94586666666
193.23,12.3303333333,19.1150666667,10.1474666667,17.2272,16.4011333333,15.4572666667,11.5338666667,-0.17706666666,18.4661333333,19.823,5.01466666667
193.61,1.34926666668,11.0318,-2.53973333333,3.17466666667,4.04760000001,6.42853333333,-2.26193333333,-18.7302666667,8.41280000002,10.7936,-10.5556666667
193.99,10.5882,22.1568666667,4.99999999999,11.5687333333,10.9804666667,13.7255333333,8.82353333334,-15.4902,22.0587999999,19.5098,-4.31366666666
