wavelength,Back_LanFulf,Belly_LanFulf,Breast_LanFulf,Crissum_LanFulf,Crown_LanFulf,DorTail_LanFulf,Patch10_LanFulf,Rump_LanFulf,Throat_LanFulf,WingTip_LanFulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,877.777777779,244.444444444,144.444444444,644.444444444,977.777777777,488.888888889,655.555555554,577.777777778,533.333333333,355.555555556
179.16,322.222222222,-22.222222222,155.555555556,655.555555556,722.222222221,544.444444444,511.111111111,111.111111111,533.333333333,222.222222222
179.54,37.0368888889,14.8147777778,22.2222222222,66.6666666667,146.296222222,44.4444444444,25.9258888889,-9.25933333333,112.963,74.0741111111
179.93,48.6111111111,22.2222222222,36.1111111111,5.55555555554,79.1666666668,40.2777777778,26.3888888889,11.1111111111,50.0,47.2222222222
180.31,154.208777778,72.3906666665,47.4747777778,124.242333333,232.66,79.1246666666,96.2963333333,85.5216666667,142.087555556,84.175111111
180.69,189.898888889,67.1715555556,20.202,147.474777778,335.858555555,75.2524444446,109.090888889,73.7373333333,178.787888889,80.807888889
181.07,211.764555555,70.5882222223,28.1044444446,168.627444444,404.575222222,81.0456666669,100.0,68.6274444443,216.993333333,72.5488888888
181.45,231.313222222,12.121222222,-75.7576666667,118.182,509.090888889,-63.6363333334,30.3029999999,22.2224444443,200.0,-0.00022222233333
181.83,183.760666667,7.6923333331,-83.7606666669,50.4273333333,372.649555555,-122.222333333,-19.658111111,2.5641111111,113.675222222,-59.829111111
182.21,131.944444445,13.1944444443,-69.4444444443,48.6111111111,313.888888889,-142.361111111,-38.1944444445,16.6666666668,92.361111111,-77.7777777778
182.59,202.222222222,-142.222222222,-380.0,-53.3333333333,804.444444444,-717.777777778,-315.555555556,-122.222222222,42.2222222223,-495.555555555
182.97,118.803333334,0.000111110899994,-83.7607777779,-3.41888888887,341.880444444,-246.153888889,-90.5983333334,0.000111110900003,51.2821111111,-170.085444444
183.35,61.111,-93.5185555557,-112.963,-75.0,264.814888889,-333.333444444,-200.925777778,-95.3705555557,-28.7038888888,-275.0
183.73,-411.111111111,-2522.22222222,-1966.66666667,-2166.66666667,1633.33333333,-5411.11111111,-3622.22222222,-2433.33333333,-1155.55555556,-4522.22222222
184.11,233.333333333,677.777777777,522.222222222,560.0,-168.888888889,1260.0,886.666666667,733.333333333,397.777777778,1042.22222222
184.49,437.03711111,1251.85155556,888.888888889,962.963111112,-166.666666667,2214.81488889,1725.926,1285.18511111,881.481444444,1855.55555556
184.87,107.407333333,988.888777779,488.888777778,677.777777777,-288.888777777,2111.11111111,1681.48144444,1029.62955555,681.481444444,1711.11111111
185.25,1011.11111111,3777.77777778,1955.55555556,3055.55555556,255.555555557,7588.88888889,5900.0,3944.44444444,2866.66666667,6011.11111111
185.63,-33.333333331,-2822.22222222,-355.555555556,-2177.77777778,422.222222223,-6088.88888889,-5422.22222222,-3055.55555555,-1766.66666666,-5300.0
186.01,11.1112222222,191.503222222,2.61433333333,140.522888889,-18.3006666664,341.176555555,318.300666667,179.738888889,111.111111111,325.490111111
186.39,3.70355555557,153.240888889,3.70377777777,105.092555555,13.4259999999,229.166777778,237.499777778,141.666666666,107.870333333,239.814777778
186.77,-7.22222222223,197.222222222,13.3333333333,145.0,32.7777777777,266.111111111,315.0,189.444444445,146.111111111,318.888888889
187.15,38.492,194.444444444,53.5713333333,146.428555556,78.1746666668,238.095333333,278.174777778,186.508,165.476111111,282.539777778
187.53,61.1111111111,262.222222222,82.7777777779,203.333333333,115.0,353.888888889,391.111111111,264.444444444,220.0,402.222222222
187.91,198.148222222,853.703666666,368.518555555,761.111111111,396.296333332,1216.66655556,1316.66644444,927.777777778,840.740777779,1379.62966667
188.29,-40.4761111112,-316.666666666,-101.587222222,-306.349111111,-125.396666667,-453.968222222,-526.984111111,-347.619222222,-298.412666667,-582.539777778
188.67,-30.6878888889,-211.640333333,-86.7724444443,-221.693333333,-84.1270000001,-303.174555555,-343.915444445,-246.032,-182.010666667,-410.052888889
189.05,-13.7566666667,-108.994777778,-49.2063333333,-113.756555556,-38.3597777778,-142.592444444,-169.576555555,-125.926,-96.0316666666,-207.142777778
189.43,-3.21022222223,-98.2717777777,-41.9753333333,-95.8024444444,-28.6422222223,-120.987666667,-153.086444445,-117.284111111,-85.6788888889,-190.617333333
189.81,-31.6238888889,-148.718,-85.4701111111,-139.886111111,-66.6666666667,-173.504111111,-208.831888889,-180.341777778,-133.618222222,-256.695222222
