wavelength,Back_LanVerm,Belly_LanVerm,Breast_LanVerm,Crissum_LanVerm,Crown_LanVerm,DorTail_LanVerm,Patch10_LanVerm,Patch11_LanVerm,Rump_LanVerm,Throat_LanVerm,WingTip_LanVerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-13.3333333334,-9.33333333334,2.66666666668,-84.0,-56.0000000001,-72.6666666666,-65.6091954021,-137.333333333,-26.6666666667,-28.0,-49.9999999999
179.16,22.4242,35.7576,51.5151333333,6.0606,-12.1212,10.3030333333,-4.80661609194,-19.9999333333,14.5454,18.1818,8.48489999999
179.54,3.70366666667,6.66673333334,11.8519333333,-34.8148666667,-24.4444,-35.9259666667,-39.6169563219,-44.4444,-6.6668,-14.074,-15.1850666667
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-3.78780000001,1.06060000002,21.5151333333,-75.0000000001,-53.7878,-62.1211666667,-60.8359448277,-99.3938000001,-34.5454,-42.7271333333,-35.2272333333
180.69,-12.4,-11.4666666667,6.13333333339,-90.0,-69.7333333333,-75.3333333334,-70.6068965518,-104.533333333,-46.9333333333,-58.2666666667,-48.5333333333
181.07,-22.5642,-24.6154666666,-6.66673333336,-133.504333333,-102.735,-110.085433333,-102.021855172,-134.358933333,-73.6752000001,-93.3332666665,-67.6068333334
181.45,-38.0645333333,-45.8062666667,-34.8385333333,-195.698933333,-140.6452,-143.978366667,-138.235096552,-173.5484,-105.1614,-135.698866667,-94.0859666667
181.83,-49.2754,-64.9274666667,-66.9566666666,-272.173933333,-200.8696,-174.6377,-190.194924138,-227.826,-150.4348,-194.2028,-126.086933333
182.21,-22.7956666667,-42.3657333333,-56.1291333334,-194.623533333,-136.559133334,-109.354966667,-120.904763219,-155.483866667,-91.1828666666,-134.193533333,-90.3224666667
182.59,3.17466666668,-13.1748666667,-24.1270000001,-130.634933333,-82.3810000001,-59.4444666667,-65.9331908046,-86.9841333333,-36.3492666667,-75.238,-40.2380666667
182.97,17.8571333333,0.833400000008,-6.78573333326,-79.8809999999,-45.7142666667,-33.6309666667,-31.6092091954,-40.4761333333,-10.7142,-39.1667333333,-17.1427666667
183.35,24.9496,10.101,-1.11119999994,-60.2020666667,-29.596,-24.5959,-20.5921747126,-21.1110666667,0.606066666666,-26.8686666667,-5.90903333333
183.73,19.4202666667,9.85506666668,-3.86453333335,-61.3526666667,-32.6571333333,-30.1933333333,-25.8238022989,-25.1207333333,-1.4492,-24.5410666666,-8.74399999999
184.11,12.4848,2.54553333335,-15.2727333334,-82.7879333334,-46.6666666667,-41.0303333333,-38.9258735632,-36.0000666667,-9.81813333331,-36.6058666666,-21.4546666667
184.49,18.254,7.30173333336,-18.5715999999,-103.174666667,-61.2698666667,-45.3969333333,-45.7800528736,-33.9681333333,-7.1428,-47.4603999999,-22.3015666667
184.87,30.4274,15.3846,-9.05973333321,-98.6324,-51.4530666667,-42.4786333333,-40.7425287356,-29.5727333334,3.7608,-31.6238666667,-8.2906
185.25,39.0643333333,29.4736666667,13.9182000001,-44.9122,-12.0468,-9.94156666666,-5.00904367817,-0.9356,22.573,-1.28653333333,12.3392333333
185.63,46.5608666667,38.9417333333,24.1270666666,-27.7248666667,1.48153333334,-2.96293333334,3.80587126437,11.7461333333,28.9948,11.0054,19.5767333333
186.01,43.5632666667,43.7931333333,29.8850666666,-33.2184666667,2.29886666668,-14.1378666667,4.09034022989,15.977,31.3793333333,17.4713333333,14.3678666667
186.39,53.8776,59.4557999999,42.313,-37.8231333333,5.98626666667,-14.3537,7.68478390805,26.1224666667,39.3197333333,27.3470000001,21.4285666667
186.77,77.5757333334,85.6060666666,71.2121333335,-24.5456,24.091,-2.04543333334,16.3165103448,46.0606666667,57.7271333334,48.9395333333,39.9999
187.15,113.333333333,133.999866667,108.889,-45.5555333334,27.3332666667,5.55563333332,15.6322091954,63.1111333333,79.1110666667,68.2222000001,62.4445333333
187.53,207.368266667,221.052666667,188.421066667,-49.8245999998,52.9824666666,37.5438666666,54.3738252873,120.7018,143.8596,115.4386,117.544033333
187.91,301.5686,337.255,278.0394,7.05879999992,140.3922,116.274566667,143.23185977,231.3726,219.607933333,206.6668,207.255033333
188.29,361.333333333,406.666466667,343.555533333,5.33333333346,191.999866667,125.333233333,169.593963218,280.4444,262.2222,252.4444,255.555433333
188.67,390.000066667,459.523733333,382.381066667,10.9523999999,215.238066666,142.142833333,170.114944828,315.238066667,287.618933333,292.857133333,277.8571
189.05,-700.0,-827.5,-696.666666667,-36.6666666668,-405.0,-335.416666667,-320.91954023,-600.0,-571.666666666,-545.0,-525.416666667
189.43,-196.9048,-234.285666667,-195.714333333,-16.9047333333,-114.047533333,-113.928566667,-89.9014712643,-175.4762,-174.047666667,-170.7142,-157.976133333
189.81,-122.2222,-141.4286,-121.428533333,0.47626666666,-62.5396666666,-61.1110666667,-51.2698229885,-112.380933333,-117.142933333,-105.237933333,-98.8095666667
190.19,-122.539733333,-141.746066667,-126.031666667,7.1428,-63.492,-66.3491000001,-57.7887517241,-109.523866667,-116.984133333,-100.476133333,-104.444433333
190.57,-114.126933333,-134.9206,-116.666666667,11.4285333333,-57.4603999999,-54.2857,-47.777832184,-102.5396,-109.5238,-91.1111333333,-99.9999666667
190.95,-49.8924,-66.4516,-47.7419333333,30.5376,-15.2688666667,-15.3762,-10.1297011494,-43.5484,-49.1396,-34.8387333333,-38.4407333333
191.33,-34.0000666667,-46.2856666667,-29.1427333334,39.143,-0.66680000002,-1.04759999999,0.04589195404,-26.5714,-33.9046,-16.3807999999,-20.0950333333
191.71,-17.5396666667,-32.2223333333,-15.2382,44.2063333333,5.71426666668,8.5715,9.46624827588,-14.4443333333,-17.4604,-7.61906666666,-5.27773333335
192.09,-20.3968,-32.3016,-17.3809333333,44.2062,5.95233333334,5.51593333334,8.13902298851,-16.8254666667,-17.2222666667,-8.33340000002,-5.8332
192.47,-28.5271333333,-40.465,-24.6512,36.5115333333,-3.4884666667,-7.48066666668,-3.87071494254,-27.7520666667,-23.8758,-18.062,-14.3023333333
192.85,-28.7500666667,-37.7084,-23.125,32.7777333334,-8.95826666666,-12.6041666667,-7.42337471262,-27.5694,-23.6806,-18.9584,-19.5833
193.23,-41.226,-51.8008666667,-35.7854,26.8966,-18.3908,-22.5287333333,-18.0340735632,-43.5248,-30.3449333333,-29.3486666666,-29.4253
193.61,-53.2445333333,-63.9998,-48.4443333333,27.2888666667,-24.4444,-31.4222333333,-27.2919862069,-59.7332666667,-38.2222666667,-37.4221999999,-40.0
193.99,-67.8432,-86.1763333333,-67.7450666667,9.70586666666,-47.2549333333,-54.2155666666,-48.4550436782,-82.4509333334,-52.0587333333,-56.4705333333,-57.0589666666
194.37,-67.0222,-75.9999333333,-61.9556666667,0.7112,-48.0,-52.4444666667,-44.0430321839,-79.9111333333,-49.9556,-55.9999999999,-50.7555
194.75,-56.3986,-59.8466666667,-50.1149333333,4.44440000002,-39.0803999999,-46.2452333333,-35.1936528736,-68.1991333333,-45.7470666667,-45.9770666666,-38.3141666667
195.13,-66.2121333333,-69.8484666667,-59.6212666666,-2.80293333334,-48.2575999999,-54.9621666667,-44.1247908046,-79.6970666667,-55.8333333333,-54.4696666667,-50.3789333333
195.51,-73.7078,-79.3258666667,-69.7378000001,-12.5842,-60.9737999999,-66.2922333334,-55.3221264368,-94.9812666667,-64.1948,-66.9662666667,-63.8577666667
195.89,-64.6666666667,-70.7408000001,-65.7038000001,-8.51853333333,-54.5925333333,-61.7406666667,-53.0649885057,-93.9259333333,-63.5554666667,-62.5184666667,-62.7036666667
196.27,-47.9726,-52.0275333333,-49.2095333333,-0.48106666668,-40.6873333333,-48.9004,-40.089983908,-79.3814666667,-51.9588,-47.4913999999,-47.6976666667
196.65,-53.0159333333,-57.2222666667,-56.7460000001,-2.77780000002,-44.5237333333,-53.2937,-41.5517494253,-91.1906,-61.5874,-53.1745333333,-54.9207
197.03,-54.7185333333,-61.9046666667,-61.8182,-8.13866666668,-46.4068666667,-54.6753,-46.9592574712,-101.904733333,-68.052,-56.9697333333,-58.7877666667
197.40,-42.4242,-51.9478666667,-50.2163333334,-3.11686666668,-38.4415999999,-45.4543666667,-41.0478896552,-91.3419333334,-63.0302,-48.7445333333,-52.2076666667
197.78,-29.2856,-37.8572666667,-41.1904,2.38093333334,-26.3491999999,-29.6032333333,-28.1828482759,-75.873,-49.7618666667,-36.4285333333,-37.6586666667
198.16,-26.9596,-32.4542666667,-36.923,4.32226666666,-21.9047333334,-22.8937,-24.5977425288,-68.4982,-46.6666666667,-30.3296,-32.9303
198.54,-24.762,-31.8093333333,-35.1746,0.82533333334,-20.4444,-22.8887,-25.7120873563,-61.5872,-47.2380666667,-25.2700666667,-33.3967666667
198.92,-34.0067333333,-44.7138,-47.4748666666,-8.28293333335,-30.1010666667,-32.8282333333,-35.5718528736,-74.3435333333,-55.2189333333,-36.4982666667,-48.5185333333
199.30,-26.7333333333,-34.1333333333,-41.9333333333,-2.86666666666,-21.1333333334,-28.5333333333,-30.5862068966,-68.0666666667,-50.0,-32.0666666667,-41.2666666667
199.68,-32.1276666667,-33.4752,-43.9716,-4.68073333332,-19.5743333334,-26.9504333333,-32.9590275862,-67.7304,-52.9078666667,-34.468,-41.8438333334
200.06,-38.1818,-34.4108,-45.5218666667,-10.8418666667,-21.4141333333,-29.5287333333,-32.2581816092,-67.4072666667,-53.266,-36.8351333334,-41.2457333333
200.44,-49.2555333333,-42.0712666667,-56.1811999999,-21.8124,-29.1261333333,-41.2621666667,-42.5979195402,-73.7216666667,-59.6763333333,-46.7314666667,-52.4270666667
200.82,-54.1356666667,-45.0616666666,-58.2098666667,-28.395,-30.2469333333,-47.9937666667,-49.4230827586,-76.7285333333,-66.3580666667,-49.5061999999,-59.753
201.19,-60.132,-46.6006666667,-64.7524666666,-34.0593333333,-33.1351333333,-56.3366333333,-56.2558666667,-83.9605333333,-74.9175333333,-55.5775999999,-64.2904
201.57,-60.2,-43.1999999999,-63.7999999999,-33.0666666667,-32.6666666667,-54.7,-53.8252873563,-85.2000000001,-74.4666666667,-54.6666666667,-62.8333333333
201.95,-58.3497333333,-42.9702,-60.4620666666,-30.6271333333,-34.6534666667,-57.6238,-52.2977586207,-81.9143333334,-73.9274666666,-52.8053333333,-62.1452333333
202.33,-52.1818666667,-36.7879333333,-52.0607333334,-25.8181333333,-28.4848,-54.5757333333,-45.4545218391,-71.5758,-63.5152666667,-46.1818666667,-55.2121
202.71,-48.3791333333,-29.9694666667,-47.7675333334,-23.4862666667,-26.2384666667,-54.0673333333,-43.3239103448,-67.4006666667,-56.8195333333,-45.8104666667,-53.9756333333
203.09,-53.0274666667,-34.1285333333,-50.5198666667,-31.2539333333,-30.3974666667,-60.3364333333,-47.0989126437,-71.9876666667,-60.9787333333,-49.8471333333,-57.4006666667
203.47,-70.7189333333,-44.6406,-63.3987333333,-46.9933999999,-45.0980666666,-76.2092333333,-63.0110482759,-88.0392666667,-76.5359333333,-64.1829333334,-74.085
203.85,-63.1231333334,-39.5194666667,-56.8768666667,-44.8049333333,-44.8048666667,-72.9129666667,-57.1254643678,-80.6606,-73.994,-60.7206666667,-70.2101666667
204.22,-67.7228666667,-42.6402,-60.9902666666,-49.5708666666,-52.5412666667,-82.1782333333,-65.6400827586,-90.5609999999,-82.8382666667,-67.9869333333,-79.9999666667
