wavelength,Back_LopGrim,Belly_LopGrim,Breast_LopGrim,Crissum_LopGrim,Crown_LopGrim,DorTail_LopGrim,Patch10_LopGrim,Rump_LopGrim,Throat_LopGrim,WingTip_LopGrim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,63.3333333333,170.0,186.666666667,66.6666666666,73.3333333334,230.0,160.0,173.333333333,-9.99999999994,143.333333333
179.54,-83.3333333334,49.9999999999,29.9999999999,26.6666666666,-106.666666667,16.6666666665,36.6666666667,56.6666666667,-180.0,36.6666666666
179.93,76.9230666667,83.5898000001,79.4872000001,73.3332666667,81.5386000001,70.2563333334,43.5898666667,58.4614666666,91.7948666668,90.2564000001
180.31,88.7618666666,101.714266667,72.1903333334,70.2857333333,102.095333333,72.1905333332,26.6666666667,40.1904666667,130.285666667,112.0
180.69,111.612866667,129.247266667,97.4192666666,84.5160666666,132.903266666,89.8924000001,32.4732,55.6989333333,166.881666667,136.559066667
181.07,124.266666667,149.066666667,123.733333333,103.2,155.733333333,119.733333333,35.7333333333,66.9333333334,213.066666667,157.066666667
181.45,222.051333333,304.6154,238.461666667,190.2564,287.179533334,234.871733334,65.1282000001,122.564133333,406.666666666,315.3846
181.83,255.555533333,394.444533333,292.222333333,224.4444,328.888933333,272.2222,91.6667333333,149.444333333,456.6666,396.666733333
182.21,-737.777666667,-1282.22233333,-902.222266668,-591.111000001,-1088.88893333,-753.333199999,-164.444466666,-360.0,-1566.66666667,-1253.3334
182.59,-150.5556,-300.000066667,-180.555533333,-94.4444,-242.2222,-156.666533333,-40.5557333334,-50.5556000001,-374.444333333,-279.444533333
182.97,-285.0,-481.666666667,-299.166666667,-163.333333333,-414.166666667,-237.5,-100.833333333,-113.333333333,-603.333333333,-437.5
183.35,-209.697,-342.4242,-227.272933333,-133.333266667,-314.545466667,-175.151466667,-96.9697333334,-78.7878000002,-431.515066666,-295.151533333
183.73,-74.4445333331,-133.888866667,-89.1666666665,-41.9444666666,-114.166666667,-43.8889333333,-15.5555333334,-6.9444,-182.222266667,-109.444533333
184.11,-61.9999999999,-112.222266667,-86.8888666667,-38.889,-97.5554666667,-32.2222666667,-24.2223333333,-5.11099999992,-164.666733333,-94.0000666667
184.49,-27.9998666667,-65.1428666668,-47.8094666667,-11.2382,-60.3809333335,-5.1429333334,-0.5714666666,24.1904666667,-122.666666667,-51.4285333333
184.87,-7.5,-54.7916666665,-31.875,9.79166666674,-48.125,11.4583333333,12.9166666668,55.4166666667,-108.333333333,-38.9583333335
185.25,-13.7931333334,-79.0803333334,-45.7472666667,18.3907999999,-59.5402666668,18.8505333334,4.59773333326,54.9425333332,-119.770133333,-46.4368
185.63,-77.3334,-209.777733333,-151.111,4.88886666653,-174.666733333,-21.7777999998,-32.4444666666,61.7777333333,-271.1112,-120.0
186.01,-1.41413333348,-54.1414666667,-36.7677333333,38.7879333333,-35.7575333333,20.606,19.7979333332,68.0807333334,-87.0706666667,-2.62633333328
186.39,-2.63566666666,-42.3255333334,-35.5039333333,30.5427333333,-24.6511333333,9.14733333348,13.0233333333,54.8838,-62.6356000001,-2.63566666674
