wavelength,Back_LopPusf,Belly_LopPusf,Breast_LopPusf,Crissum_LopPusf,Crown_LopPusf,DorTail_LopPusf,Patch10_LopPusf,Patch11_LopPusf,Rump_LopPusf,Throat_LopPusf,WingTip_LopPusf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-252.381015873,-107.7777,-94.4445000002,-140.740666667,-192.592555556,-192.592666666,-311.111,-162.962888889,-288.888833333,-155.555555556,-238.505628352
179.16,360.317460318,183.333333333,183.333333334,294.444444444,277.777777778,305.555555556,444.444444444,166.666666667,372.222222222,461.111111111,319.636015326
179.54,510.581904762,437.407444444,372.222,451.852,396.296111111,388.888888889,522.222333334,444.444222222,392.592555556,562.962777778,419.79566092
179.93,501.984126984,397.5,320.833333334,466.666666666,413.888888889,394.444444445,444.444444444,372.222222222,397.222222222,444.444444444,453.11302682
180.31,-1480.72569841,-1031.90457778,-919.047666666,-1136.50777778,-1182.53966666,-925.396888888,-1373.01588889,-955.555666668,-1021.4285,-1295.23822222,-989.135323756
180.69,-1391.07142857,-996.527777779,-870.833333333,-1095.83333333,-1123.61111111,-884.722222221,-1302.77777778,-974.999999999,-1000.69444444,-1268.05555556,-921.91091954
181.07,-1866.93122222,-1487.03712222,-1297.22233333,-1588.889,-1557.40744445,-1220.37044445,-1794.44444444,-1416.66666667,-1343.5185,-1892.59266667,-1310.79183908
181.45,-3810.58204762,-3157.4073,-2711.11133333,-3362.963,-3248.14811111,-2470.37044444,-3677.77777778,-3003.70377778,-2766.66688889,-3855.55566667,-2832.88635824
181.83,-603.174650794,-492.614422222,-441.176666666,-522.875777778,-520.261444445,-368.627555555,-588.888888889,-444.444444444,-440.522777778,-627.451111111,-444.185231801
182.21,-481.871396825,-422.163522222,-395.614333333,-427.485222222,-435.672444444,-296.491222222,-484.795444445,-352.046777778,-366.374277778,-542.105111111,-369.923385058
182.59,-336.772587302,-336.388955555,-307.639,-314.351888889,-337.037111111,-211.574111111,-351.851777778,-277.314888889,-276.157388889,-387.963111111,-278.192955939
182.97,-200.890444444,-209.512355556,-205.691166667,-188.617888889,-207.317222222,-150.677333334,-211.111,-176.151777778,-175.338888889,-228.997333333,-169.591653257
183.35,-153.670619048,-165.648166666,-155.2085,-142.361,-151.157444444,-121.064777778,-151.157444445,-143.75,-123.958166667,-182.638888889,-138.194542146
183.73,-184.16768254,-214.586866667,-194.017166666,-183.760666667,-192.307888889,-155.840444445,-189.743555556,-187.179555555,-156.695,-235.612666667,-187.361291188
184.11,-201.278666667,-233.302366667,-207.4075,-204.012444445,-209.567888889,-159.259111111,-199.691333334,-207.407333333,-167.747,-260.185222222,-199.818978927
184.49,-195.156571428,-243.646477778,-216.239166667,-195.441666667,-208.262111111,-162.963,-209.971444445,-202.849,-182.478666667,-243.874444444,-203.595701149
184.87,-187.993396825,-241.5384,-217.094166667,-189.173666667,-197.720777778,-155.270555555,-205.698111111,-181.196666666,-169.658111111,-225.925777778,-188.927942529
185.25,-150.241587302,-191.376688889,-173.188666667,-138.405777778,-156.763444444,-114.975888889,-158.695666667,-132.850444444,-125.241611111,-158.212666667,-139.942551724
185.63,-128.953603175,-160.267522222,-151.543166666,-107.201555556,-134.156444444,-99.7943333333,-130.658555555,-109.259222222,-93.6214444446,-128.189222222,-108.106287356
186.01,-117.077206349,-149.061477778,-134.195333334,-93.4866666668,-128.352333333,-95.210888889,-118.007555555,-103.448222222,-77.0114444443,-106.130222222,-92.8193620689
186.39,-100.483063492,-121.626333333,-110.628,-64.2512222222,-102.898666667,-79.3878888889,-98.5507777778,-85.6683333334,-57.0853333333,-84.7019999999,-70.1232988506
186.77,-82.3015873016,-94.9722222222,-86.6666666667,-45.9722222222,-81.8055555556,-64.1666666667,-78.1944444443,-65.0,-41.5277777778,-74.7222222222,-57.9310344828
187.15,-76.0534761904,-91.2482777777,-80.6585,-42.9355555556,-80.9328888889,-64.6091111111,-76.2688888888,-56.2415555555,-39.7805555556,-74.3482222222,-58.0365555556
187.53,-72.9612698412,-83.8441666666,-79.502,-48.2756666667,-80.3321111112,-55.4278888889,-71.5197777778,-48.5312222222,-46.1048333333,-71.52,-53.6045114942
187.91,-75.4735873016,-81.0511777778,-82.4371666667,-47.5507777778,-80.6451111112,-57.8253333333,-73.3573333334,-50.5373333332,-50.9557777778,-71.3261111111,-54.2475344828
188.29,-71.7793174603,-77.8947666667,-82.4561666667,-49.4738888889,-80.9356666666,-60.5846666667,-70.760111111,-48.8888888888,-45.4385555556,-60.3507777778,-56.4447068966
188.67,-41.0528412698,-43.6468111111,-49.2878333334,-24.9763333333,-51.8517777778,-35.0426666667,-40.266,-24.1214444444,-18.3286111111,-34.0933333333,-29.3005402299
189.05,-35.2868730159,-40.4274444444,-42.1793333333,-19.9146666667,-46.6665555556,-32.0512222222,-34.4444444444,-23.9314444444,-13.7177777778,-31.7096666667,-30.4964559387
189.43,-35.2265238095,-42.4444222222,-38.8888333334,-20.9053333333,-49.7941111111,-34.7325555555,-31.1934444444,-30.0411111111,-18.6418888889,-38.2715555556,-29.6990900383
189.81,-31.9745079365,-41.8602,-34.3435,-21.9695555555,-47.5588888889,-33.2492222222,-30.9764444444,-28.7035555556,-20.4966666667,-36.0268888889,-26.0275268199
190.19,-46.7558253968,-59.23,-52.193,-37.232,-60.5264444444,-49.6102222222,-45.0291111111,-46.1986666667,-36.7447777778,-53.8985555556,-41.9809118774
190.57,-49.8287142857,-68.4857333334,-57.6795,-46.0784444444,-68.6275555557,-52.5054444444,-50.2178888889,-59.9128888888,-43.1916111111,-58.0611111111,-47.2278467433
190.95,-77.6295079365,-103.348144444,-83.5555,-73.1852222221,-100.296222222,-85.9257777779,-78.9630000001,-92.148111111,-70.1481666665,-81.3333333333,-68.4443601533
191.33,-86.3094285713,-123.732155555,-91.9268333334,-86.6316666667,-116.666444445,-94.6176666667,-92.5344444444,-116.666444444,-79.9476666667,-91.6666666667,-82.5401398467
191.71,-88.8639999999,-132.760155556,-93.2291666667,-81.4235555554,-117.881777778,-99.6526666666,-98.2636666667,-123.784777778,-79.6004444443,-95.4857777779,-89.1851302682
192.09,-51.616,-84.4846222223,-52.4095,-48.059,-76.0374444445,-57.6974444444,-61.1781111111,-85.0066666666,-39.8928333333,-58.6344444445,-54.1683429119
192.47,-58.3484444443,-94.0787444443,-63.7131666667,-51.0548888889,-91.4204444445,-68.7765555556,-75.6681111112,-101.265777778,-52.8129444445,-78.3403333333,-59.5978601533
192.85,-117.348825397,-166.023577778,-128.069833333,-108.382111111,-161.598444445,-129.824444445,-143.665,-176.803,-116.276833333,-147.758111111,-115.335762452
