wavelength,Back_LoxAnom,Belly_LoxAnom,Breast_LoxAnom,Crissum_LoxAnom,Crown_LoxAnom,DorTail_LoxAnom,Patch10_LoxAnom,Rump_LoxAnom,Throat_LoxAnom,WingTip_LoxAnom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,91.6666666668,83.3333333333,275.0,533.333333333,75.0,341.666666667,208.333333333,341.666666667,275.0,558.333333334
179.16,61.4583333332,72.9166666667,86.4583333335,88.5416666666,78.125,96.875,59.3749999999,64.5833333333,87.4999999998,89.5833333336
179.54,87.1210833333,92.4242499999,97.7273333333,84.0908333333,96.9696666668,104.545333333,87.1213333334,81.8181666666,92.42425,68.9394166667
179.93,93.75,94.7916666667,72.9166666666,44.7916666667,76.0416666666,81.25,87.4999999999,21.875,51.0416666667,55.2083333333
180.31,-128.788,-306.060666667,-282.575833333,17.42425,-250.7575,-185.605916667,-319.696833333,-73.4848333332,-115.1515,-14.3939166667
180.69,-89.9123333333,-196.49125,-198.684166667,0.87733333335,-168.859666667,-142.105083333,-217.10525,-59.6490833334,-92.1051666668,-25.4385833334
181.07,-121.49125,-229.386083334,-247.368416667,-38.1579166666,-211.842166667,-175.877166667,-272.3685,-107.017583333,-137.71925,-78.0700833333
181.45,-1775.0,-2987.5,-3170.83333333,-1116.66666667,-2941.66666667,-2529.16666667,-3420.83333334,-1812.5,-2304.16666667,-1650.0
181.83,-559.722083333,-1008.3335,-1038.88891667,-330.555583334,-987.499999999,-804.166666669,-1141.66658333,-636.111083334,-751.388916666,-568.055583333
182.21,-222.023916667,-417.261833333,-454.16675,-153.571416667,-432.738,-361.904666667,-476.78575,-283.333416667,-346.428583333,-254.166583333
182.59,-262.179583333,-471.153833334,-527.564,-223.077,-506.41025,-442.948833333,-503.846333333,-352.564166667,-391.66675,-311.5385
182.97,-136.666666667,-237.0,-272.333333333,-115.0,-249.666666667,-225.333333333,-235.0,-171.333333333,-201.333333333,-159.333333333
183.35,-73.6842500001,-135.964833333,-155.701666667,-55.7016666666,-153.508666667,-138.596416667,-133.991083333,-98.0264166666,-125.657916667,-82.2369166668
183.73,-96.1112499999,-171.111166667,-204.72225,-76.3888333333,-203.055583333,-188.611083333,-163.888833333,-121.388833333,-174.72225,-110.27775
184.11,-280.128083333,-451.923166667,-533.33325,-225.640916667,-541.025666667,-494.23075,-403.205083333,-351.923083334,-454.48725,-333.974416667
184.49,1168.75,1668.75,1850.0,960.416666667,2054.16666666,1810.41666667,1447.91666667,1391.66666666,1664.58333333,1272.91666666
184.87,558.333333333,805.952416666,913.095333334,452.381,1090.47633333,907.14275,655.952416666,685.714416667,826.190500001,597.619083333
185.25,470.237916667,661.904833332,819.047583334,445.238083334,999.999916666,884.523666667,501.190416667,615.476166667,711.904833333,496.428583334
185.63,247.435833333,353.846166667,434.61525,262.820583333,531.41025,500.641,244.230833333,330.76925,353.846083334,261.538416666
186.01,200.694333334,315.27775,422.222333333,256.9445,520.833416667,501.388916666,202.777666667,312.500083333,334.027833333,263.194416666
186.39,171.153833333,265.384583333,362.179333333,205.769166666,439.743583333,401.282083333,164.102583333,300.0,274.359,213.4615
186.77,158.333333333,327.083333333,440.625,217.708333333,616.666666666,569.791666667,216.666666667,414.583333333,397.916666667,279.166666667
187.15,120.833333333,493.749999999,627.083333333,347.916666667,1085.41666667,1056.25,327.083333333,866.666666666,737.499999999,445.833333333
