wavelength,Back_LoxNocf,Belly_LoxNocf,Breast_LoxNocf,Crissum_LoxNocf,Crown_LoxNocf,DorTail_LoxNocf,Rump_LoxNocf,Throat_LoxNocf,WingTip_LoxNocf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-3.33333333333,-58.3333333332,6.66666666679,15.0000000001,-35.0,-45.0,18.3333333333,-13.3333333333,-25.0000000001
179.16,38.0,14.6666666667,44.0,30.6666666667,14.0,50.0,49.3333333333,43.9999999999,28.0
179.54,-3.33333333332,-18.3333333333,5.00000000002,11.6666666667,-2.5,9.16666666666,15.0,-6.66666666667,-3.33333333332
179.93,-28.4444666667,-38.2222,-16.8889333333,-22.6667333333,-31.5554666667,-18.6665333333,-29.3333333333,-49.7777333333,-28.0
180.31,940.000000001,1808.88886666,860.000066667,906.666800001,1655.55553333,1222.2222,822.222399999,1400.0,1542.22213333
180.69,173.6508,309.206266667,161.269866667,173.968333333,291.745866667,236.1904,151.111133333,250.476266667,274.920666667
181.07,117.3332,202.285866667,101.523733333,121.714333333,191.237933333,155.428466667,103.0476,175.428666667,184.5714
181.45,97.3612000001,158.0556,85.6944666667,97.7780000001,151.527733333,125.972266667,82.9165999999,144.583533333,150.0
181.83,79.785,130.322733333,73.0108,83.5484666667,127.096733333,102.365666667,68.7097333333,116.021533334,125.5914
182.21,56.1502,99.3428,53.5211333334,61.5962666667,100.2816,78.5915999999,42.4412,86.2911333334,101.783933333
182.59,38.8128,89.3149333333,40.4566,52.2374666667,85.4794,68.3107333333,26.6665333333,74.4292,84.2923333334
182.97,44.5161333333,100.1076,40.0000666667,56.9892000001,91.3979333333,78.9248666666,22.7957333333,86.1289333333,90.5376
183.35,38.7438666667,93.2367999999,37.9709333333,57.3912666667,82.9950666667,68.3092000001,20.0,78.3574666667,80.9662
183.73,24.3274666667,87.8361999999,22.3390666667,49.1227333333,76.3742666666,56.8420000001,-3.62586666667,69.8244666667,72.5147333333
184.11,16.9370666667,114.414466667,6.48653333328,45.2252666667,90.4504666665,70.2703333334,-25.4054,85.0450666667,76.5765333333
184.49,11.1110666667,112.222133333,-2.96299999995,34.4444666667,78.1481999999,68.7035333333,-36.6666000001,82.0370666668,65.1850666667
184.87,-8.62740000001,108.627466667,-20.1961333334,20.0,60.5882666666,45.0979333333,-50.1960666667,63.3334,46.2746
185.25,-27.4510666667,91.9607333333,-17.6471333334,11.7646666667,48.4314000001,32.9412,-60.1960666667,38.2352666667,27.4511333333
185.63,-61.2345333332,97.0371333333,-40.9876666666,5.92593333332,38.0247333333,24.6914,-90.6173333333,29.8766,16.2963333333
186.01,-70.1333333333,118.4,-37.0666666666,20.0000000001,41.0666666666,35.4666666667,-97.0666666665,47.2,14.9333333333
186.39,-16.5925333333,97.9259333333,10.9629999999,39.4074,50.5185333333,42.5184,-28.7408,51.4073333333,28.5925333333
186.77,-15.5555333333,116.068466667,17.4358666667,45.8120666667,61.8803333335,48.0340666667,-27.0084666667,60.3419333333,32.4786
187.15,-15.5038666667,106.5116,24.4960666666,46.9766666667,58.1395333333,34.7286666667,-19.0698,51.0078666666,38.6047333333
187.53,-39.0196666666,112.745066667,10.5882666667,27.0588,39.8039999999,15.6862666667,-45.2939333333,33.7254666666,23.7254
187.91,-17.1428666667,113.492133333,28.254,36.3493333333,41.9047333333,28.4127999999,-17.7778,37.4602666667,34.4445333334
188.29,-14.2028,108.840533333,29.7100666667,46.9564666666,45.6520666666,24.2028,-12.3189333333,34.9276,40.7247333333
188.67,-17.6812,112.463866667,28.4058666667,59.4203333333,45.5073333333,23.0433333333,-13.4780666667,27.971,40.4346666667
189.05,-17.4074666667,154.259333333,50.0000666667,88.1482666666,69.8148666667,42.2222000001,-4.81493333326,50.3703333333,56.4815333333
189.43,-4.065,143.414733333,52.1951333334,83.7398666667,64.0651333332,46.0162000001,8.61793333332,53.1707333333,50.8941999999
