wavelength,Back_LoxPorf,Belly_LoxPorf,Breast_LoxPorf,Crissum_LoxPorf,Crown_LoxPorf,DorTail_LoxPorf,Rump_LoxPorf,Throat_LoxPorf,WingTip_LoxPorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,-35.8025555556,-7.4072222222,12.3457777778,38.2716666667,27.1605555555,22.2222222222,-17.284,12.3455555556,61.7285555555
179.54,-9.0908888889,10.1008888889,27.2726666666,14.1413333333,10.101,24.2425555555,-15.1515555556,9.0911111111,41.4142222222
179.93,30.0,46.6666666667,76.6666666667,42.2222222222,54.4444444444,60.0,17.7777777778,21.1111111111,56.6666666667
180.31,5.94666666666,44.9138888889,66.6665555556,48.5133333333,53.3646666667,59.3115555554,22.8481111111,35.3676666667,66.3535555556
180.69,10.9848888889,46.717,69.1918888889,52.7778888889,55.4292222222,62.4998888889,26.389,37.7524444444,67.1716666667
181.07,22.5555555556,54.7777777778,77.6666666666,57.5555555556,62.5555555556,66.888888889,37.2222222222,44.5555555556,73.6666666667
181.45,23.2222222222,57.6666666667,79.3333333333,54.8888888889,60.1111111111,67.4444444444,37.3333333333,41.3333333333,71.8888888889
181.83,22.1041111111,59.3381111111,80.2601111111,55.9102222222,59.338111111,69.6217777778,35.6974444445,37.707,72.9314444444
182.21,16.2196666667,58.7483333333,76.2452222221,55.5555555555,55.9386666665,67.5604444446,33.2055555555,32.5671111111,73.8185555556
182.59,19.5602222222,58.4491111111,72.2222222222,56.4815555556,52.0833333333,65.5092222223,35.9954444445,31.4814444444,70.2546666667
182.97,18.1138888889,53.5014444444,62.5583333333,49.2996666667,42.6704444444,56.396,32.3996666667,26.8906666667,59.8506666667
183.35,16.5057777778,51.2078888889,54.5894444444,45.8937777778,37.6006666666,51.5298888889,31.8035555556,24.3155555556,54.1868888889
183.73,18.5988888889,53.8647777778,55.7166666667,46.2158888889,40.4991111111,53.0596666666,33.4942222222,27.3752222222,57.6491111111
184.11,10.4785555556,49.9547777778,54.2906666667,40.3795555556,35.5014444445,49.2321111111,30.6233333333,20.2346666667,55.3748888889
184.49,10.2004444444,48.0874444444,56.1931111111,38.0691111111,35.7923333333,48.3605555556,30.2368888889,19.2167777778,54.9181111111
184.87,8.97044444447,51.6817777778,59.7351111111,37.5127777778,36.0854444445,48.8276666667,34.7604444445,19.9795555555,53.9245555555
185.25,-3.15644444447,49.6212222222,56.9443333334,29.4191111111,24.8735555556,44.3182222222,31.1868888889,6.313,43.3081111111
185.63,-0.653555555567,51.5032222222,65.621,33.4641111111,29.9346666666,48.8888888889,41.3072222222,8.75833333333,44.8365555556
186.01,-0.138888888867,56.1111111111,75.1388888889,37.2222222222,31.5277777778,50.4166666667,52.3611111111,14.1666666667,45.4166666667
186.39,2.48555555557,56.8712222222,86.5496666668,40.3508888889,35.3801111111,54.532,64.1813333333,22.9532222222,48.8305555555
186.77,-36.4779999999,34.1718888889,86.3732222222,14.8846666667,3.35422222223,38.9937777778,55.5554444444,-2.72544444445,29.7693333333
187.15,-1025.0,-141.666666667,558.333333333,-352.777777777,-477.777777777,-63.888888889,144.444444444,-611.111111111,-138.888888889
187.53,198.718,86.3246666667,-45.7264444444,92.3076666667,119.658111111,62.3931111111,18.376,139.743555556,69.6581111111
187.91,146.491222222,76.6082222223,-20.7601111111,69.883,102.631666667,61.9883333335,23.6842222222,108.479444445,65.2046666667
188.29,116.825444444,46.6665555557,-46.9842222221,34.603111111,88.2539999999,47.6192222222,-9.20633333336,77.7778888888,49.2063333333
188.67,86.8055555555,32.6387777778,-22.2223333332,33.7963333333,72.2222222222,43.9814444444,5.787,65.0462222222,48.3796666667
189.05,75.5101111112,24.7166666667,-20.634888889,28.5712222222,72.5624444444,43.0838888889,2.72099999999,58.0497777778,37.8684444445
189.43,73.7374444443,17.1717777778,-39.1413333333,20.202,68.4342222222,40.4042222222,4.29277777778,55.0505555555,21.4647777778
189.81,54.7325555555,6.58433333333,-25.5143333333,22.6337777778,66.0494444443,39.3003333333,8.23055555557,49.5885555556,22.4281111111
190.19,55.3376666666,8.061,-23.7473333332,30.0655555556,64.0524444443,41.3943333333,5.66444444443,57.9521111111,27.0153333333
190.57,67.0858888889,19.2873333333,-3.3542222222,45.0733333334,77.9873333332,54.7171111111,16.9811111111,73.1656666667,47.3793333333
190.95,37.7777777779,-23.2098888889,-41.9754444445,16.5431111112,50.1234444446,25.1853333333,-20.7406666667,42.4691111111,24.4443333333
191.33,-10.1010000001,-126.767666667,-165.151444444,-33.8384444446,22.7273333333,-6.56566666677,-140.404,-8.58577777777,-21.2121111111
191.71,-64.9123333333,-187.134444444,-233.918333333,-73.0994444447,-10.5264444446,-23.9767777778,-224.561222222,-53.8012222221,-39.1812222221
192.09,-96.8254444443,-193.121777778,-238.095222222,-94.179888889,-35.4497777779,-42.8572222223,-253.968222222,-67.7248888888,-30.1586666668
192.47,-25.925888889,-70.9875555556,-112.654222222,-23.1482222222,22.2222222222,4.32077777777,-111.111222222,7.09866666664,21.6048888889
192.85,-23.3333333334,-70.3703333334,-145.925888889,-32.9629999999,38.5185555556,-1.8519999999,-148.518555556,11.4813333334,33.7037777778
193.23,9.94155555553,-27.4852222221,-95.3216666667,-2.9239999999,45.0291111111,12.8653333333,-101.462,41.228,60.5263333333
193.61,3.252,-28.4553333333,-87.2628888889,-14.0921111111,34.6883333333,9.485,-116.531111111,22.4932222221,58.2655555557
193.99,12.5927777779,-9.87655555557,-69.1358888889,-13.5803333333,38.2715555556,19.5062222222,-105.679,18.5185555555,58.2717777779
194.37,16.4528888888,-1.0686666667,-57.4784444443,-13.6752222222,43.1624444444,28.4186666667,-86.3247777778,23.2905555556,56.1965555554
194.75,8.33344444443,-2.6038888889,-49.9997777778,-13.3676666667,39.5836666667,24.3058888889,-70.3123333333,17.7085555556,49.4792222222
195.13,27.1605555556,18.5185555556,-16.7902222222,8.27166666669,45.926,36.2964444444,-31.605,30.3705555556,55.6788888889
195.51,37.1135555556,31.3858888889,-3.0928888889,16.4948888889,55.3263333333,41.6952222222,-17.6404444444,35.2807777778,64.0321111111
195.89,49.2396666666,41.1694444444,11.8128888889,25.1462222222,63.6258888889,48.7717777778,-2.45622222222,43.5088888889,73.3334444445
196.27,64.8746666666,52.0906666666,32.3774444444,39.307,79.8086666667,62.3655555556,14.5757777778,56.2723333333,81.6007777779
196.65,61.6487777778,44.3252222222,34.0502222222,36.2006666667,75.269,60.8125555556,11.9474444444,48.9843333333,76.3441111112
197.03,47.5362222222,37.5845555556,32.6568888889,32.7535555556,62.3187777778,52.1738888889,11.884,40.483,64.4444444444
197.40,38.6242222222,35.3616666667,28.9243333333,31.6578888889,56.5256666667,49.8236666666,10.4936666667,34.127,57.2312222222
197.78,38.1746666667,40.7141111111,31.2696666667,36.5081111111,58.0952222222,50.7935555555,17.1426666667,39.6032222222,58.5713333333
198.16,38.9592222222,42.6863333333,35.021,40.7171111111,55.9071111111,51.4768888889,22.9255555556,42.8268888889,57.8061111111
198.54,37.9573333333,43.3525555555,38.5997777778,41.8754444444,55.0418888889,47.0777777778,27.4887777778,41.5542222222,56.583
198.92,39.5274444444,45.4023333333,40.6767777778,43.2312222222,55.1086666667,46.8711111111,31.1622222222,43.231,55.6195555556
199.30,37.0156666667,45.6717777778,40.8268888889,43.217,53.1654444444,44.5735555556,31.5246666666,41.5374444445,54.3927777778
199.68,35.2632222222,43.2748888889,39.883,43.5672222222,49.2983333333,44.0934444444,31.6958888889,41.345,53.8597777778
