wavelength,Back_LoxViof,Belly_LoxViof,Breast_LoxViof,Crissum_LoxViof,Crown_LoxViof,DorTail_LoxViof,Patch10_LoxViof,Rump_LoxViof,Throat_LoxViof,WingTip_LoxViof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,75.2381333333,27.1429666667,22.8571333333,7.61899999998,19.9999333333,64.7620000001,58.0953333333,55.2381333333,56.1903999999,56.1904666667
179.16,86.6666666666,173.333333333,153.333333333,260.0,313.333333333,40.0,186.666666667,53.3333333335,26.6666666666,-100.0
179.54,54.8147333334,56.2964000001,45.1852666667,48.8888,72.5926,73.3332666666,80.0000000001,68.1481333333,65.926,72.5926
179.93,171.111133333,246.666766667,155.5556,164.4444,151.111,262.222133333,179.999933333,244.444333333,217.7778,273.333133333
180.31,218.166666666,224.25,186.333333333,167.5,190.5,214.0,209.666666667,225.166666667,243.166666667,228.5
180.69,213.049666667,216.808466667,179.290866667,164.8228,186.099266667,203.262266666,201.985933334,215.7446,237.730466667,220.000133333
181.07,201.7284,211.2962,174.444466667,163.086466667,173.209933333,190.0,186.790133333,205.061733334,227.160533333,205.308466667
181.45,194.111066667,207.1665,171.3334,160.222333333,167.111,180.7778,178.111133333,195.888933333,218.777733333,195.444533333
181.83,242.0292,258.2608,210.4348,195.072466666,195.362333333,214.4928,209.4202,240.434933333,275.507333333,232.463866667
182.21,306.666733333,320.571333334,261.904733333,241.714066667,236.761866667,258.285733333,261.5238,295.809533333,355.809533333,281.333466667
182.59,294.955,293.062966667,242.702733333,225.765733333,212.6126,244.144266667,238.017933333,269.1892,336.036066667,257.837866667
182.97,307.7478,296.756666667,251.531533333,230.6306,208.828933333,248.828866667,224.504533333,274.954933333,348.828866667,253.1532
183.35,327.8788,303.434333333,244.444333333,237.575733333,205.656466667,244.8486,213.939466667,276.1616,369.899,249.293066667
183.73,462.666666667,431.666666667,315.333333333,317.0,262.666666667,328.0,270.0,376.666666667,528.333333333,320.333333334
184.11,522.666666667,485.333266667,337.7778,338.666733333,261.333333333,361.777933333,283.555533333,413.3334,627.1112,353.777733333
184.49,-880.952333335,-849.0476,-494.285599999,-520.000066666,-332.3812,-553.333400001,-401.904733333,-599.047666667,-1138.09533333,-533.333333333
184.87,-197.7778,-201.527733333,-95.2777333333,-96.6667333333,-31.6666000001,-110.555533333,-68.3332666668,-115.555533333,-283.055533333,-100.000133333
185.25,-72.9251999999,-79.1155666667,-24.0816666667,-24.6258666667,-1.63246666668,-34.4218666667,-16.1904666666,-33.1972,-120.952333333,-30.8844666667
