wavelength,Back_LoxViom,Belly_LoxViom,Breast_LoxViom,Crissum_LoxViom,Crown_LoxViom,DorTail_LoxViom,Patch10_LoxViom,Rump_LoxViom,Throat_LoxViom,WingTip_LoxViom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,9.52373333332,-3.33343333335,-18.0952666667,-1.90480000002,15.238,-18.0952,21.9047333333,-3.8095333334,-19.9999333333,32.381
179.16,386.666666667,653.333333333,733.333333333,433.333333333,240.0,666.666666667,226.666666667,613.333333333,653.333333333,266.666666667
179.54,35.5556,17.0371333333,7.40753333334,36.2963333333,53.3334,-0.000133333334,74.0739333334,22.963,13.3332666667,30.3702666667
179.93,122.222266667,106.666633333,146.666533333,171.111133333,206.666733334,37.7778000001,202.222266667,93.3334666667,79.9999999999,82.2221333334
180.31,152.666666667,124.166666667,122.666666667,158.5,163.333333333,92.3333333333,205.0,139.5,124.5,146.0
180.69,147.6596,120.070766667,122.553,153.616933333,166.5248,94.4680666665,201.560333333,137.021266667,125.106466667,142.411333333
181.07,143.4568,119.567833333,124.938133333,148.148133333,162.8394,95.6791333334,195.925866667,138.024733333,127.284,138.642
181.45,138.6666,123.500066667,129.888866667,143.5556,159.333333333,97.6666666666,186.111266667,142.333333333,131.7778,138.222133333
181.83,165.507333333,151.159433333,158.260866666,166.376733333,190.724666667,114.7826,231.884,172.463733333,160.434666667,169.8552
182.21,200.761933333,180.952233333,191.047666666,188.9524,226.285733333,138.285733333,290.476266667,212.9524,196.5714,200.1904
182.59,180.540533333,166.486533333,181.4414,171.711666667,203.243266667,128.648666667,274.4144,205.045,185.765733333,180.900866667
182.97,191.351533333,170.360433333,185.765733333,184.324333333,212.432466667,130.991,281.621666667,216.3964,192.6126,193.513733333
183.35,185.252466666,162.0202,175.151466667,176.363533333,215.151533333,117.979733333,286.4646,214.949466667,186.0606,192.121266667
183.73,209.333333333,181.833333333,206.0,201.333333333,275.333333333,120.666666667,399.666666667,267.666666667,202.666666667,241.666666667
184.11,190.666666667,157.333466667,195.999933334,181.777733333,320.889,103.111,444.8888,268.8888,172.889,239.999933333
184.49,-189.523933333,-136.190333333,-183.809466667,-140.0,-531.428533333,-28.5714666667,-682.857200001,-353.333266667,-162.857133333,-295.238266666
184.87,1.11113333325,3.7499333334,6.66660000007,14.4444,-94.1666000001,45.2778666667,-134.7222,-53.6110666667,10.2776666667,-24.7222666668
185.25,24.762,18.7755666667,24.7619333333,22.9931999999,-28.9796666667,42.0408,-43.6734,-11.1565333333,28.0272,13.6054666667
185.63,11.7948666667,8.39746666666,18.9743333333,-0.64106666672,-39.6154,27.6923333333,-53.0769333333,-23.2051333333,15.2564,7.3078
186.01,-3.52199999998,-8.99373333333,3.77359999998,-20.5032000001,-54.9685333334,9.81139999993,-53.3332000001,-37.7358666667,2.89306666666,-5.66033333332
186.39,-32.9294,-39.5960333334,-15.9595333334,-60.6059333332,-118.585866667,-12.5252666665,-103.0302,-83.0302666667,-20.4040000001,-52.5252666667
186.77,-12.1053333333,-14.8245333333,15.2629999999,-36.4912666667,-92.6316,9.82459999987,-64.2104666665,-50.1754000001,4.56146666666,-30.7019333333
187.15,-5.80653333332,-5.91396666668,24.3010666667,-39.3548666667,-120.8602,15.9139333333,-64.7311999999,-45.3764000001,-0.86033333332,-23.2258000001
187.53,2.49999999999,-4.58333333332,34.1666666668,-33.1249999999,-107.708333333,24.3750000001,-40.8333333332,-36.2500000001,-3.54166666676,-7.49999999992
187.91,-16.25,-25.9375,15.625,-51.0416666666,-122.708333333,13.125,-45.0000000002,-45.6249999999,-32.9166666667,-18.9583333333
188.29,-18.586,-22.9293666667,21.2122,-51.3131333332,-109.292866667,24.8485333334,-36.5655999999,-39.1920000001,-37.9797333333,-26.6666
188.67,-114.999866667,-153.3334,-24.9999333335,-222.777733333,-377.777733333,-31.1110666665,-184.444466667,-188.888933333,-181.111,-167.777933333
189.05,401.111066667,490.000066666,251.111,665.555533333,931.111133333,318.8888,550.0,582.222266667,604.444466666,581.111199999
189.43,242.222266667,248.333333333,124.999933333,332.777733334,475.555533333,197.222133333,273.333333333,298.333333333,338.8888,312.222266667
189.81,-441.666666667,-486.666666667,-115.000000001,-593.333333333,-1175.0,-389.999999999,-495.000000001,-533.333333333,-690.0,-646.666666667
190.19,699.999933333,781.1112,297.777866667,957.777866668,1820.00006667,728.888866666,984.444466667,908.888933333,1193.33333333,1026.6666
190.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.95,238.181933333,333.030166667,147.8788,317.575800001,612.121133333,283.636333333,344.848533333,291.515133334,416.3636,304.848466667
191.33,-1080.0,-1886.66666667,-676.666666667,-1646.66666667,-3180.0,-1596.66666667,-1776.66666667,-1480.0,-1963.33333333,-1473.33333333
191.71,767.999999999,1057.33333333,685.333333333,1048.0,1656.0,1116.0,1109.33333333,950.666666666,1089.33333333,945.333333333
192.09,-3646.66666667,-5203.33333333,-3153.33333333,-4666.66666667,-8133.33333333,-5686.66666667,-5346.66666667,-4600.0,-5046.66666667,-4393.33333334
192.47,245.490133333,375.882366667,250.588333334,320.7842,536.4706,413.333333333,345.098133333,322.352933333,338.8236,302.352866667
192.85,-798.666666665,-1170.66666667,-824.0,-1029.33333333,-1706.66666667,-1316.0,-1010.66666667,-1012.0,-1065.33333333,-878.666666667
193.23,-164.5614,-260.1754,-167.0176,-218.947333333,-402.456,-271.228133334,-201.052733333,-209.824533333,-217.894666667,-162.105133333
193.61,-258.4616,-443.5898,-291.282,-375.897333333,-612.307533333,-439.487333333,-302.564066667,-310.769333333,-341.0256,-260.000066667
193.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194.37,-148.5714,-300.238233333,-161.904733333,-239.523733333,-422.380933333,-288.095266667,-123.809533333,-177.142933333,-192.857266667,-95.2382000001
194.75,-72.3078666665,-155.000033333,-74.6152666667,-130.0,-208.205133333,-155.128266667,-31.2819333333,-92.3077333334,-90.0000666666,-34.3588
195.13,-43.8596666667,-101.842033333,-45.0876666666,-88.7717333334,-140.1754,-104.386066667,-9.64913333334,-62.1052666667,-56.4911999999,-14.9121333333
195.51,-35.0427333333,-96.9231333333,-35.7264666666,-84.1026666667,-130.7694,-102.222266667,2.22213333346,-57.0940666666,-56.9230666667,-20.1708666667
195.89,11.5151333333,-32.7879,20.4849333334,-18.6666,-52.3636666667,-33.9395333334,42.1818000001,3.51513333326,-6.66660000002,24.7272666667
196.27,23.8462,-25.0640666667,32.9486666667,-12.1794666667,-46.7948666667,-27.5640666667,56.2821333333,17.5642000001,-0.64100000002,32.9488000001
196.65,31.9166666667,1.70833333332,43.5833333333,11.8333333333,-11.9166666667,3.33333333333,53.6666666666,30.25,14.0833333333,38.9166666667
197.03,48.1278,10.2284,60.6390666668,23.6529333334,-1.82646666666,15.6164666667,68.0365333333,50.0456666666,25.3880666667,51.7807999999
197.40,41.0810666667,6.48656666667,56.3964,21.4416666667,-8.46833333334,5.58559999998,62.7026666667,49.6396666666,20.7208666667,47.2071333333
197.78,41.648,16.8165666667,55.7304666667,27.4906666667,-0.97373333334,12.1348,59.6254,52.8089999999,27.2658,50.3370666666
198.16,48.148,22.0201333333,56.9023999999,33.8048666667,7.47473333333,15.0168666666,62.2221333333,61.5488666667,31.3131333333,51.7171999999
198.54,42.2745333333,10.5881666667,51.9215333333,22.8236666667,-3.45099999999,3.52946666667,55.1372,60.0000666666,20.6274666667,47.6078
198.92,45.3932666667,15.9924333333,53.0336000001,29.3633333333,7.94006666665,11.5355333333,54.0074,66.1423333333,25.7678666667,51.0113333333
199.30,56.2450666667,24.8658,60.9195999999,36.3984666667,19.8466666667,20.3065333333,61.9923333334,76.7050000001,34.023,61.9157333334
199.68,60.0000666667,29.0597333333,65.2135999999,41.3674666666,20.6837333333,24.3589333333,65.8974666667,83.7608666667,33.9315333333,73.2478666667
200.06,55.5556,15.6061333333,59.1919333333,36.9696666667,10.8080666667,16.6667333333,65.7575333333,82.6263333333,27.9796666667,70.3029333333
200.44,50.1492666667,12.8358333333,53.1343999999,36.5174,12.5373333333,16.4178666667,61.8906,82.0894666667,27.5619999999,70.3481999999
200.82,52.8654,11.3448333333,54.7369333333,37.193,9.12293333334,10.1754,64.0934666667,94.5028666666,31.2282666666,76.4911999999
201.19,38.983,-3.33340000001,42.2598666666,31.6383333333,2.37300000007,-6.66666999997e-05,51.0736,75.3672666668,22.1468666667,61.6947999999
201.57,49.2222666667,1.94443333333,48.4444666667,39.3334,20.8889333334,10.7778,58.4444666667,81.3333999999,31.4444,65.9999333334
