wavelength,Back_MelMelm,Belly_MelMelm,Breast_MelMelm,Crissum_MelMelm,Crown_MelMelm,DorTail_MelMelm,Patch10_MelMelm,Patch11_MelMelm,Rump_MelMelm,Throat_MelMelm,WingTip_MelMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-37.7778,-120.171035898,-68.8889333334,-104.4444,-90.0001,33.3333,-48.8889,-44.4445333333,-155.4445,-53.3333666666,-108.889066667
179.16,-133.333333333,-266.282051282,-260.0,-243.333333333,-178.333333333,-70.0,-311.666666667,-126.666666667,-278.5,-290.0,110.0
179.54,-96.6666666667,-122.179487179,-108.333333333,-131.666666667,-80.8333333333,-15.8333333334,-92.4999999999,-145.0,-114.833333333,-140.833333333,-131.666666667
179.93,-32.2222666666,-100.982861538,-38.8888666666,-96.6666,-88.3334333335,-30.0000666667,-54.4445333334,-85.5556666667,-96.3888766667,-49.4443999999,-103.3334
180.31,116.274533333,131.380046154,120.588266667,158.431266666,130.7843,45.1961333334,138.235233333,122.745133333,158.823633334,114.901866667,145.490266667
180.69,103.407466667,117.3619,115.259266667,135.111066667,112.518533333,47.4073666666,123.407366667,105.037066667,134.222266667,109.4075,122.222133333
181.07,83.4972666666,92.9633025641,102.295,103.8252,91.4209,46.8306666666,104.098333333,87.7596666666,105.213156667,90.2732,95.7376666666
181.45,84.2856666666,95.3388769231,101.666733333,105.0,95.2381666667,44.4045333334,100.714433333,88.9284666666,102.952426667,82.7381000001,102.857066667
181.83,79.6428666667,92.1337025641,101.904866667,99.6427333333,97.4998999999,51.0118666666,99.9999,87.0237333334,104.970243333,75.8333666668,105.833333333
182.21,62.5438666667,68.0364461539,78.9474000001,74.2104666667,70.3509666666,36.0964333334,78.4208,62.2808,74.0438133334,53.2894666667,75.8770666667
182.59,72.3163999999,72.5249358974,94.0114,79.322,74.1241333333,35.3109333334,87.6835666666,69.1524000001,80.8983133334,55.7627333333,83.2768666667
182.97,73.8364000001,72.6075025641,91.5723333333,72.7043333334,72.3270999999,33.5220333334,84.7798999999,68.5534666667,81.6729633335,56.6037333333,78.7421333333
183.35,75.0877333333,70.9851871795,91.4035333333,65.9649333333,57.7192333334,12.5438333334,90.7895,64.5614666667,76.9034100001,49.3859333333,64.2105333333
183.73,99.6492666668,83.3872717949,134.035066666,67.7192666667,57.8946000001,-39.4736333334,127.368366667,64.9121999999,78.579,38.4210666668,54.3859999999
184.11,80.0,65.5128205128,145.416666667,58.3333333334,35.8333333331,-73.125,98.7500000001,37.5,74.875,39.7916666668,39.5833333334
184.49,290.0,281.965946154,490.0,193.333266667,169.444466667,-92.7777666666,396.6665,217.777799999,305.888863333,196.110966667,213.333333333
184.87,133.333333333,69.0705128205,200.0,36.6666666666,37.9166666665,-196.25,176.25,95.0,121.375,11.2500000001,98.3333333332
185.25,-7.4509333334,46.6968589744,7.05893333334,38.8234666667,58.2352000001,163.137266667,-5.8822333332,16.8627333332,24.6666999998,49.4116666667,17.2549999999
185.63,51.7948,156.84428718,86.1537333333,111.282066667,167.435933333,290.000133333,53.3333666667,87.1794,96.2820533333,127.948766667,87.1794666668
186.01,-121.666666667,-517.692307692,-406.666666667,-323.333333333,-601.666666667,-1025.83333333,-239.166666667,-326.666666665,-469.750000001,-427.5,-426.666666666
186.39,254.166666666,482.564102564,400.0,335.833333333,467.916666667,657.083333333,286.25,323.333333333,372.708333333,298.333333333,450.000000001
186.77,-239.166666667,-478.42948718,-395.833333333,-345.0,-415.416666667,-610.0,-257.916666667,-292.499999999,-345.125,-276.25,-445.833333333
187.15,-220.0,-471.698717949,-388.333333333,-369.166666666,-436.25,-610.416666667,-275.833333333,-305.833333333,-362.375,-318.333333333,-462.499999999
187.53,966.666666667,1845.8974359,1583.33333333,1343.33333333,1616.66666667,2233.33333333,996.666666668,1060.0,1447.16666667,1143.33333333,1653.33333333
187.91,-161.428533333,-280.842530769,-228.095266667,-185.7144,-238.8096,-316.666733333,-151.666533333,-168.571466667,-223.523763333,-185.714266667,-242.381133333
188.29,-71.2279333333,-177.516884615,-154.0352,-101.7544,-137.7193,-204.7368,-75.2632333334,-76.1402666666,-141.63146,-113.333266667,-154.386133333
188.67,-117.460266667,-200.842561538,-189.2064,-120.317533333,-163.1746,-240.158633333,-130.952266667,-115.5556,-181.30162,-160.4761,-199.999866667
189.05,219.999933333,299.475502564,292.727333333,223.333266667,261.666633333,335.606066667,223.636233333,203.030333333,265.57569,268.0302,334.8484
189.43,451.666666666,599.252197436,577.7778,453.888866667,509.722166667,644.999966667,473.055733333,414.444466667,526.055553333,541.388866667,649.444600001
189.81,554.074066667,790.997033335,768.1482,587.407333333,637.037,777.777733333,590.370266667,523.703666667,687.481476666,671.111033333,807.407333333
190.19,248.787866667,331.480061538,310.909066667,253.333466667,270.757533333,316.0607,248.9393,223.333266667,287.409083333,267.121266667,336.060533333
190.57,322.222266667,501.645341026,454.444533333,329.444466667,384.999866667,446.111,387.500033333,287.777666667,421.72216,388.888933333,460.5556
190.95,190.5554,273.65385641,263.889,178.888933333,225.694433333,258.194433333,220.416633333,161.6666,253.958286667,220.555633333,261.666866667
191.33,209.8924,266.162138461,258.494533333,175.483866667,206.344033333,254.5162,228.494633333,169.892266667,246.537496667,225.268933333,251.3978
191.71,515.384533333,661.479161538,632.307533333,422.564133333,501.538566667,631.025733333,558.2052,428.205133333,616.923153333,573.846133333,610.769333333
192.09,383.75,523.28525641,505.833333333,329.583333334,356.25,486.041666667,418.125,283.333333333,458.270833333,407.916666667,474.583333333
192.47,285.952466667,372.646435897,346.190466667,261.9046,270.9524,337.976233333,318.690433333,236.190533333,324.952263333,297.857233333,346.904733333
192.85,278.160866667,390.353605128,334.252866667,265.977,266.781733333,322.643566667,325.287433333,233.333466667,324.78152,285.517333333,355.862266667
193.23,1255.55573333,1777.82051795,1449.99993333,1171.11113333,1162.77776667,1378.33343333,1524.44443333,1086.6668,1496.72227,1193.88903333,1547.7776
193.61,601.904866667,818.626323078,652.857133334,557.619,561.190433333,654.0475,673.333366667,512.380933333,721.904779999,570.000066667,743.809466667
193.99,514.814733333,664.928710256,504.4444,464.8148,462.222233333,546.111166667,560.925933333,416.296266667,589.462966667,454.444433333,625.185266667
194.37,461.515133334,591.107215385,453.0302,426.969733333,415.757666667,508.1818,488.333266667,373.9394,514.59091,413.939533333,554.848266667
194.75,361.212133333,437.824548718,350.101066667,350.707066667,328.484766667,399.293033333,360.8082,304.646333333,402.01006,335.7574,433.737466667
195.13,423.333466667,534.694246154,408.205133333,442.820333334,392.435933333,475.128333333,433.4616,370.2564,484.653866667,415.256433333,538.205133333
195.51,460.634866667,600.488320513,445.7142,497.7778,442.381033333,502.5397,469.682533333,414.603133333,553.746033333,449.364966667,627.619133333
195.89,346.6666,456.847069231,340.9876,384.444333334,337.777733333,376.419566667,352.716033333,320.246866667,419.790136667,337.407466667,498.5184
