wavelength,Back_MelNigm,Belly_MelNigm,Breast_MelNigm,Crissum_MelNigm,Crown_MelNigm,DorTail_MelNigm,Patch10_MelNigm,Rump_MelNigm,Throat_MelNigm,WingTip_MelNigm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,63.9999999999,57.3333333334,62.6666666667,46.6666666666,42.6666666667,71.3333333334,21.3333333333,90.6666666667,25.3333333333,32.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,13.3333333333,31.6666666667,-80.0000000001,-38.3333333333,-81.6666666668,-6.66666666673,-20.0,-23.3333333333,-78.3333333333,-4.99999999994
179.93,73.3333333334,49.9999999999,-140.0,-90.0000000003,-196.666666667,-66.6666666665,23.3333333333,103.333333333,-46.6666666666,-103.333333333
180.31,-329.999999999,326.666666666,453.333333334,686.666666665,1510.0,458.333333333,366.666666667,-603.333333333,753.333333335,869.999999999
180.69,-179.999999999,502.2222,379.999866667,662.222333333,1277.77773333,537.777600001,422.2222,-344.4444,648.888733332,775.555666667
181.07,29.2307333335,176.9232,157.948733333,237.948733333,364.102666667,218.718,140.0,-15.3846666667,208.205,252.307733333
181.45,87.4999999999,324.166666667,293.333333333,471.666666667,595.833333333,413.75,240.0,24.9999999998,375.0,452.499999999
181.83,65.2631999999,188.070266667,135.438666667,234.7368,271.579,196.140366667,129.1228,27.0174,170.8772,235.0878
182.21,33.9393333333,167.8788,86.0605333334,186.6666,214.848466666,151.212033333,104.242466667,16.0605333332,136.060666667,193.333333333
182.59,22.7451333334,188.235266667,60.7842,198.039133333,234.902066667,145.6861,103.137266667,-10.1960666667,129.803866667,227.843066667
182.97,55.3846666667,155.128133334,70.0000666667,157.6922,173.077,126.538666667,90.7691333333,26.9231333333,112.051266667,189.743533333
183.35,49.6969333333,129.090933333,63.0303333334,128.4848,140.404133333,108.1819,88.0808,30.1010666667,92.5253333333,155.353466667
183.73,0.74079999994,102.716,40.2468666667,117.037066667,119.753133333,83.7038999999,68.3952,-16.0495333334,62.7160666667,142.222333333
184.11,-24.9998666667,88.3333333335,31.3887333334,114.166666667,113.8888,76.5277999999,66.1110666667,-35.0000666667,70.8333999999,139.4446
184.49,-40.4762,61.1905333333,20.4761999999,70.7142666667,74.0475999999,44.9999333332,44.9999333334,-53.0952000001,52.3810000001,104.761933333
184.87,-42.2222000001,37.7778666667,18.6665333333,48.6665999999,47.5556,25.9999000001,32.6667333333,-58.6665333334,44.2222666667,91.1112666667
185.25,-53.5482000001,31.6128666667,13.9785999999,27.3118666667,44.5160666666,16.9892999999,36.1290666667,-60.6452000001,36.3441999999,80.4300666667
185.63,-2.82473333333,38.5310666667,29.1526000001,31.7514666667,49.1526,37.8532333333,49.9434666667,-6.44066666667,42.0338666667,69.7175333333
186.01,4.95233333334,35.0475333333,34.5714,33.1428,51.2381333334,47.8570666667,51.5238,4.5716,44.7618666667,66.4761333333
186.39,20.4818,36.4657333333,46.0242000001,37.5904666667,52.6906666667,52.9718666667,55.5822,16.3051333333,48.1926666667,66.5864
186.77,23.0303333333,37.1044666667,49.6969333333,37.6432666667,49.8316,51.7845,57.5084,22.2895333334,48.5522,62.0876666667
187.15,22.1994,38.0756,52.921,34.5704,50.5154,53.6768666667,61.4432,23.4364666667,49.5533333333,60.5498
187.53,23.1884666666,39.3479333333,51.2318666667,32.3913333333,50.4346666667,54.4929333333,61.4492,23.5507333333,52.319,61.0870666667
187.91,36.3398,44.1176666667,55.9476666667,38.2354666667,57.9085333334,60.2614,64.8366,33.6600666667,54.7712666667,64.3137333333
188.29,38.9970666667,45.3097333333,57.7582,37.9350666667,58.4070666667,61.5043666667,65.3686666667,36.0472,49.7935333333,63.1268666667
188.67,38.2656666667,43.9023333333,54.7966666667,37.5067333333,57.8319333333,60.5691333333,63.4148,39.8374666667,45.7451333333,57.832
189.05,44.64,46.9866666666,58.0266666667,41.3333333333,63.1466666667,66.5333333333,68.7466666667,47.04,48.0,59.9466666667
189.43,44.7381333333,46.887,56.6942666667,41.2672,59.3388,66.9144333334,69.4214666667,47.7134,48.1543333333,57.741
189.81,38.538,43.8010666667,54.5615333333,37.076,53.2749333333,61.4327666667,68.2456,43.5087333333,43.9766,49.0643333333
