wavelength,Back_MelRicm,Belly_MelRicm,Breast_MelRicm,Crissum_MelRicm,Crown_MelRicm,DorTail_MelRicm,Rump_MelRicm,Throat_MelRicm,WingTip_MelRicm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-177.778,-188.889,-83.3333333333,-88.889,-122.222333333,-127.777666667,-166.666666667,-183.333333333,-166.666666667
179.16,185.714333333,109.523666667,171.428666667,104.762,161.904666667,209.523666667,176.190666667,219.048,280.952333333
179.54,-54.5453333333,-24.2423333333,-39.394,21.212,-33.3333333333,-63.6363333333,-60.606,-12.1213333333,-81.818
179.93,141.666666667,225.0,50.0,41.6666666667,66.6666666667,258.333333333,258.333333333,216.666666667,283.333333333
180.31,2377.778,1800.0,1633.33333333,811.111333333,1877.77766667,2433.33366667,2266.66666667,2355.55566667,3344.44433333
180.69,8000.0,6033.33333333,5200.0,2800.0,6033.33333333,8200.0,7633.33333333,8000.0,10800.0
181.07,1480.0,1160.0,973.333333333,486.666666667,1226.66666667,1640.0,1460.0,1540.0,2193.33333333
181.45,460.784333333,400.000333333,307.843333333,156.863,390.196333333,498.039,482.353,439.215666667,660.784333333
181.83,211.712,186.486666667,136.036,80.1803333333,169.369333333,218.018,222.522666667,193.693666667,309.009
182.21,252.688,216.129,163.440666667,102.150333333,217.204333333,261.29,238.709666667,215.054,363.441
182.59,264.516333333,235.484,166.666666667,108.602,222.580666667,275.268666667,236.559,212.903333333,341.935333333
182.97,468.518333333,425.926,318.518666667,181.481666667,359.259333333,479.629333333,412.963,311.111,561.111
183.35,1257.143,1209.52366667,809.523666667,590.476333333,980.952333333,1152.38066667,1147.619,742.857,1376.19033333
183.73,-951.852,-970.370333333,-651.852,-422.222333333,-751.852,-933.333333333,-959.259333333,-462.963,-1062.963
184.11,-134.014,-142.177,-80.9523333333,-33.333,-106.122666667,-138.775666667,-140.816333333,-40.136,-182.993333333
184.49,-109.219666667,-117.730666667,-46.0993333333,-9.22,-90.7803333333,-109.22,-113.475,-20.5676666667,-175.177333333
184.87,-113.178,-141.085333333,-61.2403333333,-19.38,-123.256,-117.829333333,-131.007333333,-24.031,-197.674666667
185.25,-83.3333333333,-108.641666667,-64.815,-31.4816666667,-84.568,-92.5926666667,-100.0,-9.87633333333,-154.938333333
185.63,-41.453,-52.9913333333,-23.932,-6.83766666667,-38.889,-46.581,-52.564,8.54733333333,-90.5983333333
186.01,-29.592,-36.7346666667,-13.6053333333,2.721,-28.9116666667,-35.034,-32.993,3.06133333333,-62.245
186.39,-20.0,-23.3333333333,-7.33333333333,16.6666666667,-14.0,-18.6666666667,-29.0,10.6666666667,-48.0
186.77,-4.425,-9.14466666667,0.295,25.3686666667,-1.18,-6.48933333333,-20.3536666667,17.4043333333,-41.298
187.15,7.31,-2.339,8.47966666667,28.655,2.63166666667,-5.556,-15.7893333333,16.3743333333,-39.766
187.53,20.168,9.244,21.5686666667,38.095,19.8876666667,-1.68066666667,-0.560333333333,18.4876666667,-35.2936666667
187.91,28.9406666667,12.92,28.1653333333,40.31,27.907,17.0543333333,3.359,20.6716666667,-25.8396666667
188.29,25.5376666667,5.64533333333,20.1613333333,29.8386666667,18.8173333333,12.6343333333,-5.37633333333,15.8603333333,-26.8816666667
188.67,21.1443333333,0.497333333333,11.194,26.866,14.9253333333,5.72166666667,-12.6866666667,10.9456666667,-24.3783333333
189.05,28.3446666667,7.256,11.7913333333,35.374,26.5306666667,9.75033333333,-2.49433333333,21.542,-21.542
189.43,28.889,9.55533333333,18.4446666667,41.7776666667,30.0,9.55566666667,0.888666666667,28.4446666667,-17.7776666667
189.81,28.9683333333,6.15066666667,15.4763333333,37.5003333333,27.3806666667,9.72233333333,7.143,27.7776666667,-9.722
190.19,32.6126666667,10.8106666667,16.216,36.757,30.811,16.2163333333,10.4503333333,34.4143333333,-6.84666666667
190.57,32.524,11.0033333333,14.0776666667,35.1133333333,28.4786666667,14.7253333333,14.0776666667,33.1713333333,-4.85433333333
190.95,31.0343333333,7.22466666667,10.8376666667,31.0343333333,23.1526666667,11.0016666667,11.494,32.6763333333,-8.53833333333
191.33,25.238,6.50766666667,10.3176666667,32.5396666667,24.6033333333,12.8573333333,10.635,31.5873333333,-6.34933333333
191.71,23.7423333333,3.61666666667,9.74866666667,33.648,22.6413333333,16.0373333333,8.80466666667,35.3773333333,-5.66033333333
192.09,24.537,7.40733333333,11.2653333333,34.7223333333,21.7593333333,16.667,13.7343333333,41.204,-5.55566666667
192.47,29.0813333333,6.63266666667,16.6663333333,42.347,26.7006666667,19.5576666667,18.537,47.959,-5.95266666667
192.85,32.2636666667,7.84333333333,19.4296666667,43.3156666667,31.729,18.5386666667,18.895,53.1196666667,-6.595
193.23,29.762,10.034,22.789,41.6663333333,31.122,20.5783333333,22.9593333333,49.8296666667,-1.02066666667
193.61,36.6336666667,16.3363333333,25.7426666667,45.2143333333,33.3333333333,27.5576666667,28.7126666667,51.485,7.42566666667
193.99,39.7086666667,16.7576666667,27.687,50.091,37.5223333333,31.512,28.7796666667,54.4623333333,4.918
194.37,44.0403333333,12.3233333333,29.8993333333,53.9393333333,41.01,32.1213333333,30.9093333333,57.9796666667,5.05033333333
194.75,41.822,11.8013333333,32.2983333333,54.0373333333,47.619,33.9543333333,33.5403333333,65.8383333333,8.48866666667
195.13,39.1813333333,14.035,32.1636666667,54.5806666667,47.5633333333,30.799,38.0116666667,64.3273333333,17.349
195.51,43.3923333333,15.582,32.9386666667,52.2683333333,46.5483333333,33.5306666667,43.984,66.8636666667,21.1043333333
195.89,50.581,22.4806666667,34.3023333333,53.876,54.07,38.566,47.4806666667,70.3486666667,31.783
196.27,54.696,18.232,34.8066666667,55.2483333333,57.09,38.3056666667,46.593,66.4823333333,36.6483333333
196.65,46.805,20.5526666667,27.1156666667,47.1503333333,51.1226666667,33.6786666667,39.378,56.6496666667,37.6513333333
197.03,45.9546666667,21.6826666667,25.4046666667,45.3076666667,49.029,33.333,41.424,50.3236666667,39.806
197.40,47.327,24.0563333333,26.7296666667,44.025,49.6853333333,32.0756666667,37.4213333333,53.4593333333,43.7106666667
197.78,42.5393333333,22.6986666667,24.4443333333,42.3813333333,48.73,33.1746666667,33.0156666667,51.4286666667,44.4443333333
198.16,44.0626666667,23.8913333333,25.751,41.9166666667,46.3516666667,32.189,33.6196666667,48.9273333333,43.0613333333
198.54,42.8173333333,25.2443333333,22.594,39.749,42.1196666667,31.9386666667,32.6356666667,46.165,42.3986666667
198.92,42.424,21.645,20.2023333333,36.6523333333,38.095,30.8803333333,29.0043333333,41.5586666667,40.2596666667
199.30,45.5656666667,21.5596666667,20.0303333333,35.168,42.049,36.0856666667,28.8993333333,41.743,38.2263333333
199.68,43.317,19.324,16.2643333333,34.2996666667,39.4526666667,32.8503333333,23.8323333333,36.393,37.5203333333
200.06,38.2076666667,15.4086666667,11.3206666667,32.2326666667,34.277,31.761,26.415,30.5033333333,39.151
200.44,33.3333333333,17.863,6.69833333333,26.635,29.8243333333,30.7813333333,25.678,25.997,42.9026666667
200.82,34.715,11.5716666667,1.55433333333,22.1073333333,29.1886666667,25.9066666667,24.8703333333,25.0433333333,44.3873333333
201.19,33.145,6.59133333333,-5.838,17.8906666667,27.1186666667,19.2093333333,22.787,24.1053333333,43.1263333333
201.57,34.553,0.203333333333,-15.0406666667,13.4146666667,27.2356666667,15.8536666667,22.9673333333,18.2926666667,42.8863333333
201.95,33.5513333333,-0.218,-16.122,14.379,26.5796666667,8.93266666667,24.401,15.468,45.098
202.33,24.0196666667,-6.37233333333,-27.451,3.92166666667,22.304,7.84333333333,20.5883333333,12.5,47.7943333333
202.71,24.938,-6.41966666667,-23.21,2.22233333333,21.235,11.111,20.4936666667,13.0863333333,49.3826666667
203.09,29.8386666667,-7.25833333333,-29.0323333333,-0.537666666667,20.9676666667,8.87133333333,18.8173333333,2.957,48.656
203.47,29.1666666667,-17.857,-30.655,-1.488,19.0473333333,0.893,18.1546666667,-10.4166666667,52.0833333333
203.85,34.2593333333,-17.901,-30.2466666667,-0.926,25.926,0.925666666667,25.3086666667,-8.95066666667,55.5553333333
204.22,38.8886666667,-21.4813333333,-32.2223333333,-2.963,28.1483333333,-10.3706666667,16.2963333333,-8.51833333333,52.5926666667
204.60,35.7143333333,-67.857,-75.0,-27.381,12.5,-45.8333333333,-2.381,-32.143,47.619
204.98,67.8573333333,-35.714,-45.238,1.78566666667,32.738,-11.3093333333,26.1906666667,-2.976,59.5236666667
205.36,85.606,-27.2726666667,-43.1816666667,9.84866666667,46.212,15.1513333333,42.4243333333,-1.515,82.5756666667
205.74,60.6836666667,-40.171,-49.5726666667,-11.966,18.8033333333,6.83733333333,31.624,-29.0596666667,67.5213333333
206.12,54.902,-78.4313333333,-83.3333333333,-61.7646666667,-5.88233333333,-2.941,12.7453333333,-64.706,33.333
206.50,93.3333333333,-90.6666666667,-66.6666666667,-74.6666666667,22.6666666667,-5.33333333333,46.6666666667,-82.6666666667,68.0
206.87,78.788,-306.060666667,-263.636666667,-275.757666667,21.212,-151.515,30.3033333333,-321.212,87.8786666667
207.25,52.778,-101.389,-83.3336666667,-109.722333333,31.9443333333,-58.333,58.3333333333,-98.611,80.5556666667
207.63,39.2156666667,-50.9803333333,-91.1763333333,-83.3333333333,15.686,-35.2943333333,37.255,-73.5293333333,65.686
208.01,-3.03,-125.757666667,-189.394333333,-160.606,-33.3333333333,-74.2423333333,18.1816666667,-169.697,46.9693333333
208.39,-70.8333333333,-168.75,-293.75,-295.833333333,-66.6666666667,-164.583333333,25.0,-362.5,-6.25
208.77,-38.8886666667,-97.2223333333,-168.055666667,-213.889,-23.6113333333,-118.055333333,31.9443333333,-288.889,-15.278
209.14,-64.7616666667,-83.8093333333,-120.952333333,-138.095333333,-25.7143333333,-96.1903333333,18.095,-220.0,-12.3806666667
209.52,-64.2273333333,-78.0486666667,-109.756,-121.951,-39.0243333333,-86.1786666667,-2.43866666667,-196.748,-20.3253333333
209.90,-93.1033333333,-103.448333333,-139.080333333,-150.575,-33.3333333333,-116.092,-4.59766666667,-299.999666667,-31.0343333333
210.28,-133.333333333,-173.016,-253.968,-206.349333333,-58.7303333333,-195.237666667,-33.333,-439.682333333,-95.2383333333
210.66,-86.6666666667,-116.0,-264.0,-166.666666667,-68.0,-198.666666667,-28.0,-388.0,-84.0
211.03,-82.051,-100.0,-274.358666667,-164.102666667,-93.5896666667,-192.307666667,-35.8973333333,-364.102666667,-102.564
211.41,1533.33333333,1677.77766667,3133.33333333,2044.44433333,1744.44466667,2244.44433333,1166.66666667,3822.22233333,1777.778
211.79,299.999666667,271.929666667,521.052666667,375.438666667,342.105333333,407.017666667,231.578666667,610.526,361.403333333
212.17,245.454666667,254.545333333,493.939333333,348.484666667,334.848666667,395.454333333,222.727333333,537.879,346.969666667
212.55,225.926,233.333,462.962666667,292.592666667,330.864333333,366.666333333,245.679333333,435.802333333,314.815
212.92,199.099,194.594666667,370.27,208.108,252.252333333,274.774666667,202.702666667,307.207,250.450333333
213.30,141.818,124.242333333,263.636666667,148.484666667,176.363666667,192.727333333,147.272666667,215.151666667,181.212333333
213.68,133.333,115.384666667,224.615333333,133.333333333,151.282,178.462,124.615333333,181.025333333,160.512666667
214.06,126.839666667,108.658,205.194666667,123.809666667,141.558333333,153.68,116.017333333,151.082333333,141.125333333
214.44,140.888666667,118.666666667,200.444333333,130.222,148.888666667,158.222,119.555666667,148.444333333,145.333333333
