wavelength,Back_MelXanm,Belly_MelXanm,Breast_MelXanm,Crissum_MelXanm,Crown_MelXanm,DorTail_MelXanm,Patch10_MelXanm,Rump_MelXanm,Throat_MelXanm,WingTip_MelXanm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,27.564,44.2735083333,54.166625,28.2051666667,38.4616666667,57.6922916667,23.077,36.8590833333,23.2906666667,60.2565
179.16,330.555583333,324.814715741,212.499916667,319.44425,238.88875,287.5,330.555583334,202.777791667,321.296472222,226.389
179.54,102.77775,208.580185185,141.666708333,138.889166667,169.444416667,108.333375,130.555666666,168.055625,156.94425,201.388916667
179.93,82.7779166667,87.8394648149,80.2778333333,66.1110833333,87.7777499999,82.5000833333,73.3334999999,74.7223333332,77.3147083333,92.2221666667
180.31,63.2143333334,97.1878444442,89.3452499999,70.5951666667,79.4048333333,84.0478333333,51.0715,81.5475416667,49.4046111112,91.7262916667
180.69,68.9743333333,107.894402778,93.9103333333,77.1795,85.5128333334,97.1153333333,55.76925,85.1924166668,53.376111111,94.6797916667
181.07,96.6050000002,133.587075,114.660375,97.0678333334,108.179,115.817875,78.0864166667,106.9445,71.4505833333,115.277583333
181.45,129.761833333,170.049188889,142.942125,132.993333333,136.224583333,150.850375,109.693833333,133.673333333,97.5057083332,147.704083333
181.83,150.595166667,182.495610185,156.646916667,146.428583333,151.98425,179.86125,120.436583333,147.817541667,110.053013889,170.436375
182.21,219.097333333,258.989339815,228.993083333,222.569416667,211.805583334,274.131958333,165.972333334,213.888958333,158.217430555,261.458333333
182.59,-282.77775,-325.450650926,-273.61125,-277.22225,-223.333166666,-387.222125,-212.22225,-262.500083333,-206.759166667,-354.1665
182.97,-116.666666667,-143.272648148,-120.977041667,-120.68975,-90.2298333333,-196.407916667,-103.160916667,-110.344833334,-81.4173611112,-170.833333333
183.35,-103.030333333,-127.359692593,-112.500041667,-126.010166667,-86.1110000001,-179.797875,-102.777833333,-111.489916667,-87.9631388889,-143.434166667
183.73,-63.1208333332,-69.3243074074,-67.4645000001,-83.6879166669,-54.2554166667,-111.170208333,-62.9434166667,-63.9184999999,-59.6631527778,-91.3120833333
184.11,-45.0564166667,-41.1912305556,-40.5367083333,-58.6158333333,-36.582,-78.3192916667,-44.2090833333,-45.9039583333,-49.6704444444,-69.6327083333
184.49,-55.4093333334,-48.5704564814,-51.9735416666,-71.4913333333,-44.7369166666,-87.1345833333,-53.8011666667,-56.1402916667,-64.6200277778,-84.2838333333
184.87,-93.3711666666,-81.4646231482,-92.2349166666,-114.393833333,-77.4621666667,-123.579666667,-83.1438333334,-90.2462083334,-106.691888889,-139.867375
185.25,-58.3332499999,-55.423412963,-67.206875,-89.1974166667,-52.4690833333,-93.5184999999,-56.7900833333,-60.1852083334,-80.2469722224,-107.175875
185.63,-58.1920000001,-52.6664425925,-63.9124583334,-80.3673333333,-58.4744999999,-84.5337916667,-54.6609166667,-52.75425,-85.0282777778,-103.813583333
186.01,-38.2629166667,-42.1974731481,-49.5304583333,-56.2206666667,-40.2580833334,-61.6784583333,-37.4413333334,-33.0985833333,-65.981875,-73.4740833333
186.39,-46.9361666667,-59.0427537038,-63.603,-68.5049166667,-55.8824166666,-80.0245833333,-50.7351666666,-46.38475,-76.654375,-83.7621666667
186.77,-75.3401666666,-91.4814657406,-97.9591666668,-106.122333333,-94.2178333332,-110.034166667,-81.1225000001,-70.3230833333,-119.813069445,-121.513791667
187.15,-48.6111666667,-65.605389815,-73.7652916668,-80.2468333333,-64.5060833333,-63.8890833333,-49.69125,-41.9752083333,-95.807402778,-90.046375
187.53,-53.57125,-67.5683185185,-68.7500833333,-76.58725,-68.2539166666,-64.285625,-46.8253333334,-28.9681666667,-111.871569444,-113.69025
187.91,-118.2795,-139.292315741,-128.225875,-133.064583333,-120.96775,-122.714958333,-92.4732499999,-61.6934166666,-193.145055555,-181.182708333
188.29,-456.666666667,-517.444444445,-495.0,-442.5,-450.0,-505.416666667,-375.0,-219.166666667,-664.583333333,-603.75
188.67,-124.38275,-148.679674074,-137.191416667,-112.037083333,-129.320833333,-150.92575,-96.6049166667,-29.0123333333,-201.234361111,-166.820958333
189.05,-82.4559166665,-98.2383175926,-85.8553333334,-62.5000833334,-89.4735833332,-102.741041667,-65.7894166668,-13.0482083334,-129.751333333,-105.592125
189.43,-174.242416667,-183.712340741,-153.219708333,-120.83325,-154.924166667,-185.606041667,-134.469666667,-41.4772916668,-236.742611111,-202.0835
189.81,-215.476166667,-236.044941667,-183.035541667,-151.785833333,-147.619083333,-222.916625,-176.1905,-36.6070833333,-322.916611111,-259.8215
190.19,-1138.889,-1249.01245092,-1024.99995833,-1022.22216667,-844.444500002,-1190.27779167,-1022.22233334,-430.555541667,-1636.57418056,-1384.72216667
190.57,4141.66666667,4013.05555556,3091.66666667,3516.66666667,2733.33333334,3329.16666667,3783.33333333,1529.16666667,5126.38888889,4579.16666667
190.95,1164.58333333,1008.88888889,855.208333334,991.666666667,747.916666666,991.666666667,1108.33333333,504.166666666,1329.86111111,1280.20833333
191.33,355.701833333,289.809876852,274.122791667,297.807166667,235.52625,339.693,310.526333333,178.070291667,381.652027778,350.657833333
191.71,394.583333333,306.337962963,314.583333333,355.416666667,256.25,370.208333333,345.833333333,203.541666667,393.472222222,338.75
192.09,438.23525,322.870279629,360.539125,403.431416667,275.490083334,423.284375,400.980333333,232.352958333,443.954319444,399.754833333
192.47,691.66675,519.385589815,559.469791667,716.666583334,399.999916667,659.848541667,660.606083333,407.9545,687.499861111,645.833333333
192.85,315.972166667,243.317982407,267.882041667,340.972,171.180583334,296.180833333,301.388833333,190.972291667,311.631916667,284.72225
193.23,264.583416667,189.679248148,238.24425,304.464333334,136.309583333,251.637,258.928583334,167.708333333,268.105152778,239.583333333
193.61,507.051333333,331.687927778,477.884708333,571.15375,239.1025,504.166625,503.205166667,305.448791667,512.499875,408.65375
193.99,500.595333333,341.474750926,491.368958333,560.714333334,259.523833334,503.868958333,489.28575,303.869208333,511.011861111,368.452375
194.37,367.083333334,228.134259259,353.125,389.583333334,169.166666667,359.375,359.583333333,203.333333333,358.888888889,262.708333333
194.75,663.541666667,348.831018519,701.041666667,753.125000001,192.708333333,671.354166667,654.166666667,280.729166667,764.930555555,420.3125
