wavelength,Back_NemPilf,Belly_NemPilf,Breast_NemPilf,Crissum_NemPilf,Crown_NemPilf,DorTail_NemPilf,Patch10_NemPilf,Rump_NemPilf,Throat_NemPilf,WingTip_NemPilf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,94.6666666668,50.6666666667,22.6666666666,110.666666667,36.0000000001,104.0,114.666666667,58.6666666667,37.3333333334,57.3333333335
179.54,0.952399999994,-42.8570666667,18.0952,-20.0,34.2857333333,19.9999333333,20.0,50.4760666668,-23.8094666667,-19.0475333334
179.93,246.666666667,140.0,46.6666666667,-193.333333333,-93.3333333332,106.666666667,-99.9999999998,-346.666666667,106.666666666,46.6666666667
180.31,6.22226666667,-39.7776666666,-7.55560000002,27.1111333333,43.5556000001,46.2221999999,85.1111333333,126.222266667,-7.77779999994,6.00006666668
180.69,8.10813333331,-25.5856666667,3.96400000002,21.6216666667,52.4323333333,47.9279333334,84.8649333332,119.459533333,-9.9098,18.0180666667
181.07,19.8692666667,-8.10459999999,14.3792,23.2680666667,51.1112,47.3202666666,70.5881999999,93.8562000001,8.36606666674,25.0980666667
181.45,24.6782666667,3.15786666665,19.5320666667,22.2222,56.8420666667,47.1345333333,66.3158000001,96.4912000001,18.3625333333,33.4503333333
181.83,24.553,5.85353333333,14.7966666667,24.8779333333,72.683,53.1707333334,86.9919999999,123.9024,32.1951333333,42.9267333333
182.21,37.3563333333,13.1034,20.8047333333,20.8046,60.9195333333,50.6896666666,67.1264666666,101.609066667,34.2528666666,44.8276666667
182.59,51.6939333333,22.2950666667,30.7104,23.2786666667,65.9016,58.1420666667,76.7214,103.278733333,49.8361333333,57.5956
182.97,60.0866666667,39.0476666667,45.9739333333,37.7488666667,68.2252,61.3851333333,76.2769999999,104.761933333,52.381,64.6754
183.35,55.4420666667,37.7550666667,43.6054666667,35.8502666667,63.9456,53.2653333333,64.4217333334,90.4761333332,52.7891333333,54.0136
183.73,49.3486,24.981,29.1187333333,23.295,56.2451333333,43.9082,50.7280000001,86.7433333334,39.6934666666,50.1914666667
184.11,41.6858666667,18.2374666667,17.6246,14.3296,43.8314,32.1073333333,34.7894666667,76.4750000001,32.1072666666,42.5286666667
184.49,52.0276,31.3401333333,31.8214,23.3676,47.904,39.5876,42.1992000001,79.7938666667,46.1855999999,46.8041333333
184.87,49.2121333334,29.6970666667,27.6970666667,23.5757333333,37.4546,32.4242666666,33.8787333333,67.9999333334,44.0607333333,38.6061333333
185.25,52.6529333333,28.1634,23.0613333333,22.1088666667,31.0203333334,29.5237333333,28.2992666667,72.3129999999,40.4079333333,38.7074666667
185.63,42.0289333333,11.2318666667,11.2318666666,9.78259999999,14.7828,12.6086,14.7826,59.4926666667,22.6086666667,21.4492666667
186.01,39.9394,16.1212,14.6666,11.2727333333,14.2424,16.9697333333,15.8788666667,53.3331333333,18.6061333333,22.2423333333
186.39,37.3332,12.7016,10.0352,6.45606666666,6.66666666667,10.4561333333,11.2982,48.6314000001,14.3156666667,13.9649333333
