wavelength,Back_NeoFasf,Belly_NeoFasf,Breast_NeoFasf,Crissum_NeoFasf,Crown_NeoFasf,DorTail_NeoFasf,Patch10_NeoFasf,Rump_NeoFasf,Throat_NeoFasf,WingTip_NeoFasf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,311.111111111,200.0,144.444444444,77.7777777779,233.333333333,355.555555556,-22.222222222,144.444444445,-111.111111111,244.444444444
179.16,61.111111111,38.888888889,205.555555555,-66.6666666668,11.111111111,-94.4444444447,-44.4444444447,-83.3333333337,-100.0,-94.4444444444
179.54,-8.64188888887,-18.5184444444,22.2223333333,-7.40744444443,-23.4567777778,-19.7531111111,-70.3703333333,-41.9754444444,-25.9261111111,-34.568
179.93,57.6133333333,57.2016666667,76.9547777778,59.2592222222,63.3745555555,52.675,46.9136666667,48.1483333333,55.144,63.3744444444
180.31,57.9196666667,61.1112222222,90.4254444446,48.1086666667,65.6027777778,47.7542222222,37.7068888889,42.0804444444,43.8534444445,56.974
180.69,66.3265555556,71.9953333333,97.1654444442,51.8141111111,74.8297777778,54.8752222222,41.1563333333,47.7323333333,50.3401111111,67.5737777778
181.07,61.6931111111,69.7354444444,90.8993333331,47.5131111111,67.7247777778,53.9683333333,39.0476666666,44.5503333333,50.3704444445,66.8783333334
181.45,68.969,75.0752222222,92.4925555556,55.2552222222,75.8757777778,62.5624444444,47.3475555556,49.6495555556,57.8578888889,75.4754444445
181.83,84.4444444445,94.7088888889,111.111,67.8307777778,94.8147777778,78.6242222222,66.455111111,62.6455555556,72.2749999999,96.6137777778
182.21,94.5766666668,105.952333333,123.941777778,70.1056666667,107.672,87.5660000001,72.619,67.9893333333,75.2646666666,105.026555556
182.59,100.868,109.722222222,135.937444444,63.5415555556,110.416777778,86.632,68.2292222221,58.854111111,70.8333333333,114.236222222
182.97,91.2820000001,103.247777778,126.495777778,53.8463333333,106.666777778,75.3845555555,57.777888889,45.1281111111,57.9487777778,99.829111111
183.35,98.0214444445,108.828111111,126.179666667,63.6224444445,111.110888889,79.7566666668,65.7532222221,52.207,59.8172222222,106.697222222
183.73,108.051555556,124.959666667,136.070777778,71.0145555556,119.323777778,89.6941111112,70.6923333332,58.293,66.9887777777,122.866333333
184.11,144.898,169.841333333,173.015888889,97.959222222,166.439888889,126.984,85.9412222223,76.6441111109,95.0113333335,178.231333333
184.49,184.900111111,218.518444444,211.681,115.954333333,190.313333333,154.701,102.279333333,98.8604444444,113.960111111,219.942888889
184.87,170.175222222,204.970777778,202.924,118.128555555,170.760333333,132.456,98.8304444445,88.0117777779,99.1227777779,204.386
185.25,178.744,199.999888889,208.454111111,135.748777778,174.396111111,125.120777778,122.946777778,94.2028888889,116.183666667,189.855222222
185.63,187.597,220.413444444,226.356666667,139.276444445,185.529888889,128.682222222,130.232555555,100.258444444,121.447,205.426333333
186.01,159.752888889,190.370333334,188.395,123.703666667,149.876333333,98.2716666668,100.987555556,78.5185555554,100.493888889,174.567777778
186.39,170.915222222,232.026111111,205.228777778,139.542333333,145.751777778,86.601111111,97.3856666668,61.7646666667,105.882555556,194.771222222
186.77,184.175111111,269.697111111,223.232222222,160.606,168.013555555,100.000111111,110.101,70.3704444446,123.905777778,209.427777778
187.15,196.031666667,309.127,241.269777778,169.047666667,169.444555555,90.4759999999,99.9999999999,73.8095555556,140.873111111,219.444444445
187.53,140.501777778,240.860111111,199.283333333,125.448111111,118.638,61.2903333334,67.3834444443,42.2938888889,110.752666667,160.573444444
187.91,106.837555556,193.162444444,153.846333333,80.6266666666,86.0397777777,40.1708888889,59.2593333332,28.4901111111,88.603888889,109.401777778
188.29,94.8412222222,155.952444445,137.5,86.3095555557,79.9604444443,43.8492222222,71.2302222222,36.3096666667,84.325111111,93.0554444444
188.67,84.3800000001,129.307666667,117.391333333,75.0401111112,72.6247777779,42.673,63.7681111111,35.7487777778,76.8115555554,79.8712222221
189.05,83.5679999999,130.203555556,121.752777778,74.0218888888,79.8122222223,51.7997777778,70.4225555555,41.0015555556,85.759,81.2205555557
189.43,69.6798888889,130.131888889,117.514,62.5236666667,75.5178888888,39.1713333333,53.8606666668,26.1768888889,72.8812222222,77.0245555555
189.81,75.3968888889,159.259222222,139.417666667,63.4920000001,75.9258888888,27.7777777778,49.2064444443,4.762,79.6295555557,78.5713333334
190.19,94.6127777778,193.939444444,179.461333333,72.7273333333,98.9899999999,40.404111111,80.4714444443,8.75422222224,107.744111111,90.2357777776
190.57,97.5609999999,169.918666667,159.349555555,68.5637777777,103.523,61.5175555556,82.6557777779,19.7832222222,108.401,85.0946666666
190.95,88.8888888888,159.078555555,152.303555555,65.0406666666,93.4958888888,62.0595555556,85.3660000001,20.5962222221,105.149,82.1136666666
191.33,176.388888889,369.444444445,358.333333333,150.0,197.916666667,153.472222222,206.944444444,-0.694444444557,237.5,203.472222222
191.71,444.444444445,1124.44444445,1104.44444444,460.0,584.444444446,468.888888889,595.555555557,-108.888888889,733.333333333,613.333333333
192.09,-130.555555556,-387.037111111,-387.962888889,-151.852,-186.111111111,-121.296333333,-148.148111111,122.222222222,-250.925888889,-220.370333333
192.47,-206.666666667,-828.88888889,-717.777777779,-200.0,-324.444444444,-293.333333333,-200.0,377.777777779,-477.777777778,-400.0
192.85,49.4444444446,-141.111111111,-96.1111111111,10.5555555556,-11.1111111111,-16.1111111111,17.2222222222,165.0,-51.1111111111,-25.0000000001
193.23,90.4761111111,-104.232888889,-40.7406666668,35.4495555556,37.0371111112,20.635,66.1376666665,191.534333333,-4.23266666668,-10.582
193.61,59.6826666666,-70.1587777779,-24.4444444444,14.2857777778,25.3967777778,1.9048888889,33.6507777778,109.841222222,-12.3812222222,-7.93655555557
193.99,175.0,-433.333333333,-198.611111111,-109.722222222,-44.4444444443,-166.666666667,18.0555555556,300.0,-225.0,-151.388888889
194.37,156.349222222,-225.396666666,-43.6507777777,-0.793666666667,23.8094444445,-50.7935555557,78.5714444446,215.079333333,-71.4286666668,-41.2698888888
194.75,93.9394444444,-146.969777778,-32.3231111109,-15.6566666665,17.6766666665,-34.3435555554,31.8182222222,111.616111111,-39.393888889,-48.4848888889
195.13,71.0144444444,-142.029,-31.8841111109,-34.2994444443,14.4926666667,-42.0290000001,29.9517777777,97.1012222221,-60.8696666667,-52.1737777779
195.51,57.7777777777,-404.444444445,-88.888888889,-136.666666667,-50.0000000001,-137.777777778,-11.1111111111,115.555555555,-221.111111111,-177.777777778
195.89,6.7901111111,-239.506222222,-38.8888888888,-68.5184444444,-27.1603333334,-77.1604444444,-16.6664444444,38.8889999998,-129.629777778,-96.9136666668
196.27,-8.6420000001,-244.444333333,-51.851888889,-103.703666667,-29.0123333332,-104.320888889,-28.3951111113,-1.851888889,-131.481666667,-82.7161111112
196.65,2.41533333333,-86.7151111111,-13.5264444446,-35.9902222223,-3.86466666666,-23.4297777778,-2.174,3.3816666667,-39.1305555556,-19.3237777778
197.03,-30.1170000001,-129.532222222,-32.7485555557,-63.1577777777,-7.60222222223,-42.3977777778,-22.2221111111,-14.9122222221,-63.4503333334,-28.6551111111
197.40,-43.6693333335,-123.772555556,-44.9612222221,-66.1498888888,-6.71833333332,-52.7132222222,-32.0412222222,-24.8062222222,-65.8915555556,-15.7622222222
197.78,-55.5555555557,-141.176555556,-46.4052222221,-72.2222222221,14.0522222222,-56.5358888889,-19.6077777778,-32.0259999999,-76.7973333334,-2.94122222233
198.16,-6.85188888887,-52.9628888889,-4.62977777777,-16.8518888889,41.4813333333,-3.51877777777,3.33311111111,-2.40733333333,-14.2592222222,23.7036666666
198.54,-9.52388888888,-52.381,-7.53977777777,-19.8411111111,46.4285555555,1.78588888891,2.38088888891,-5.35711111113,-14.2857777778,30.1585555556
198.92,-18.6867777778,-68.9392222223,-14.1414444444,-25.0,48.2323333333,-0.757666666667,-0.505,-16.9192222222,-26.2627777779,35.6061111111
199.30,-11.9882222222,-76.3157777777,-19.006,-23.6843333333,55.848,-8.1871111111,-5.26311111113,-29.532,-23.9767777778,41.228
199.68,-25.0896666667,-97.1326666667,-44.4443333333,-55.1971111111,64.1576666668,-31.8997777778,-26.1648888888,-59.8564444444,-53.0464444444,30.1074444444
200.06,-19.1572222222,-90.0383333332,-34.865888889,-64.7507777778,72.7971111112,-25.6704444445,-13.0268888889,-61.3025555553,-47.8928888889,41.3793333334
200.44,25.3967777778,-64.6825555556,6.3492222222,-35.3173333333,107.142888889,8.33344444443,5.15877777777,-31.7460000001,-30.5554444445,70.6347777779
200.82,74.2690000001,-91.2282222222,28.0701111111,-35.0876666667,195.906444445,11.6957777778,26.3157777777,-19.883,-43.275,138.011777778
201.19,77.0370000001,-41.8518888889,30.3704444444,-12.5925555556,121.481333333,15.5556666667,27.4073333333,2.96299999987,-20.7407777779,97.0371111111
201.57,73.6507777778,-18.7301111111,48.5714444445,-11.1111111111,112.063444444,26.984,41.9046666667,17.7777777778,-10.4763333333,91.7461111112
201.95,53.174888889,-20.3704444445,26.7195555556,-26.7195555556,77.248888889,15.0794444445,11.6401111111,1.58733333333,-26.7193333334,68.2541111111
202.33,56.6666666667,-19.1666666666,33.3333333333,-38.8888888889,82.7777777779,23.8888888889,23.0555555556,5.55555555553,-38.6111111111,78.888888889
202.71,58.6892222223,-29.3446666667,27.3503333333,-64.6724444444,93.4472222222,14.2451111111,22.792,-3.7036666667,-44.4444444446,72.6494444444
203.09,66.453111111,3.41877777777,42.3075555556,-41.6666666666,98.9316666667,32.6922222222,36.3248888889,18.8033333333,-11.7521111111,73.7178888889
203.47,64.9691111112,22.5308888889,56.9446666667,-12.6543333333,91.3582222223,48.6113333333,46.2962222222,35.0307777778,10.4937777778,74.074
203.85,79.316111111,35.2136666667,75.8976666667,-5.29933333333,105.812,65.1281111111,65.2991111111,50.94,23.5897777778,97.7777777776
204.22,83.5318888889,33.7302222222,85.3175555557,-15.873,115.674555556,64.881,60.3174444444,51.7856666667,14.0872222222,109.920777778
204.60,66.0,19.7777777778,78.4444444445,-36.0,112.888888889,50.0,56.4444444443,42.2222222222,-6.00000000003,111.777777778
204.98,54.8463333334,13.2386666667,77.305,-56.7375555557,113.238777778,45.6264444444,39.7163333334,33.0966666667,-14.1842222222,98.345222222
205.36,42.4444444445,8.8888888889,69.5555555555,-65.7777777777,108.222222222,38.2222222222,31.5555555556,29.3333333333,-9.77777777777,89.1111111111
205.74,71.2962222221,28.9352222222,94.4443333334,-44.6758888889,130.786888889,57.4074444444,41.8981111111,41.2036666667,7.40733333333,108.796333334
206.12,86.2432222221,39.947,127.248777778,-43.1217777778,151.322888889,70.8995555556,62.6984444444,54.2326666667,23.8095555556,134.920555555
206.50,82.7777777778,37.7777777778,128.888888889,-50.5555555556,151.666666667,60.0,61.1111111111,38.0555555556,26.1111111112,134.166666667
206.87,101.904666667,52.3808888889,158.730222222,-44.1271111111,161.269777778,73.6508888888,81.2698888888,42.2222222222,25.0793333333,162.222222222
207.25,129.218222222,42.7984444445,182.715888889,-62.1398888888,188.065888889,92.5925555554,96.2962222221,51.0286666667,13.1685555555,216.461
207.63,1311.11111111,77.7777777777,1788.88888889,-1400.0,2061.11111111,905.555555554,849.999999999,250.0,-211.11111111,2655.55555556
208.01,2255.55555555,-533.333333333,2744.44444444,-3455.55555556,3833.33333333,1311.11111111,877.777777778,-44.4444444443,-633.333333333,5044.44444445
208.39,189.418111111,29.6296666666,198.941888889,-98.4127777778,241.269888889,143.386111111,115.873,60.8465555555,66.1376666665,307.407555556
208.77,152.287444444,41.8301111111,142.156888889,-42.8105555556,170.915,112.745111111,90.5229999999,60.7843333334,85.9476666667,210.784222222
209.14,171.380555556,62.6262222222,159.259222222,-22.8956666667,183.838222222,144.107777778,117.171666667,78.7878888888,119.528666667,242.087333333
209.52,168.376,71.51,149.003,-6.26777777777,173.504333333,139.885888889,114.53,77.4927777778,105.128333333,217.948777778
209.90,119.777777778,44.0,110.444444444,-17.1111111111,126.666666667,104.444444445,86.2222222222,63.111111111,79.7777777779,162.222222222
210.28,103.174777778,38.448,96.8254444442,-6.34933333332,111.640333333,89.417888889,72.1341111111,56.6137777778,68.4303333333,138.447888889
210.66,98.3702222222,43.5554444444,90.6666666667,7.55555555554,97.1851111112,85.4815555557,70.6665555556,65.6296666667,66.3704444445,128.592444444
211.03,91.0255555556,45.0142222222,85.4700000001,5.55566666667,93.1624444445,75.2136666667,62.5354444445,65.3845555556,65.242111111,124.643777778
211.41,82.5032222222,46.2324444444,81.7367777778,6.64111111112,86.3345555556,66.0282222222,60.9194444444,59.1314444445,58.7482222222,113.282111111
211.79,76.2345555557,49.3827777778,80.6586666667,17.9011111111,81.5843333333,59.7735555555,60.288,53.9095555555,57.613,98.2508888888
212.17,74.4745555555,52.3524444445,83.7837777778,20.1201111111,81.5815555555,57.7576666667,60.3605555556,53.1532222222,57.3574444444,93.0932222223
212.55,76.6323333335,57.961,85.1086666667,20.5038888889,86.3688888889,55.7847777778,60.71,57.8463333333,56.8156666667,98.5108888888
212.92,77.6605555555,62.2221111111,89.7076666668,26.6666666667,93.8013333333,59.7662222222,61.9884444445,55.3216666666,50.6432222222,102.105222222
213.30,74.9696666666,60.3174444445,84.3712222221,21.2455555555,89.9875555556,51.8925555556,56.5322222222,49.5726666667,41.5141111111,100.244222222
213.68,83.9662222221,71.0267777778,99.578111111,25.5977777778,96.6245555558,56.2588888889,64.557,54.1492222222,47.1168888889,113.783333333
214.06,94.6728888889,88.7366666666,111.567666667,35.0074444444,109.589,66.3622222222,74.5814444444,61.796,55.4033333333,131.354666667
214.44,121.493444444,107.650111111,130.054555556,42.4407777777,131.694,86.1567777779,90.346111111,75.4098888889,70.1273333332,152.459
214.81,132.929333333,112.727333333,141.414222222,39.191888889,154.747555555,94.1413333332,95.1513333332,74.9493333333,77.3736666668,160.606111111
215.19,128.748,100.881888889,132.275,38.2714444444,146.737333333,99.8235555556,94.0036666666,72.3103333334,77.4251111111,148.500888889
215.57,151.234444445,111.728333333,147.736666666,36.4197777778,169.752888889,115.432111111,104.115222222,71.6047777778,91.3582222223,168.312777778
215.95,161.111111111,111.777777778,152.222222222,32.4444444445,175.555555555,118.222222222,106.222222222,79.5555555557,98.2222222223,183.111111111
216.32,129.982333333,91.0054444446,122.398555555,25.2204444443,139.153444445,104.761777778,92.2397777779,66.8431111111,83.4215555556,155.379222222
216.70,116.666555556,81.3272222223,112.345666667,20.3703333333,125.771555555,95.5248888889,82.562,56.3271111111,73.7653333334,142.283888889
217.08,128.394888889,91.1816666667,122.927666667,9.34744444443,132.627888889,102.821777778,86.7725555554,66.1374444444,83.9506666667,157.495666667
217.46,124.709777778,80.2652222221,121.227222222,7.46266666668,128.358333333,98.0098888889,85.738111111,63.5155555555,73.1343333334,148.093
217.83,127.179444444,82.735,127.521333333,7.35044444444,139.316333333,108.888777778,88.7178888889,65.8121111111,79.8291111111,148.547
218.21,123.418888889,73.6752222222,119.316222222,1.70933333331,134.017,105.469888889,85.1281111112,58.8034444445,70.0855555557,141.538444444
218.59,110.101,75.7575555555,113.275777778,13.5642222222,122.799555556,100.000111111,90.0434444443,66.0894444444,74.4587777778,131.313
218.97,112.206555556,78.0907777778,118.466444445,14.2411111111,126.291111111,106.416222222,99.5305555556,74.1784444445,77.151888889,142.879444444
219.34,110.752777778,82.4374444443,124.910333333,13.2617777778,124.372777778,109.856555556,104.301333333,79.0322222222,81.7203333334,148.745444445
219.72,117.460222222,94.0476666668,137.499888889,24.2063333333,130.952333333,114.682666667,113.492,97.0238888889,88.8887777777,160.912888889
