wavelength,Back_NepOnem,Belly_NepOnem,Breast_NepOnem,Crissum_NepOnem,Crown_NepOnem,DorTail_NepOnem,Rump_NepOnem,Throat_NepOnem,WingTip_NepOnem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,51.6666666667,71.6666666667,32.5,80.0,63.3333333334,65.8333333332,57.9166666667,25.8333333333,59.1666666667
179.16,13.9394,30.909,38.1818,35.7574666667,21.2120666667,51.5152,25.1516333333,24.8485333333,42.4244
179.54,-6.66666666667,20.0,61.6666666667,91.6666666665,-10.0,95.0,5.00000000002,20.0,78.3333333332
179.93,66.6666666666,71.6666666665,48.3333333333,99.9999999999,-8.33333333341,33.3333333333,41.6666666667,91.6666666667,-20.0
180.31,33.9008,33.9007333333,56.8794666667,78.298,29.9292,81.9857999999,57.2339999999,51.3476666667,31.0638666667
180.69,28.8889333333,32.9412,55.817,74.3791333335,32.2876666667,80.6534666667,53.0717999999,49.1503333333,23.3987333333
181.07,31.0569333333,33.3332,72.6830666666,86.1789999999,36.2601333333,94.6340666667,56.0975333333,58.5365333333,23.252
181.45,54.1666666667,53.75,103.958333333,117.5,58.125,125.625,78.125,86.4583333332,28.5416666666
181.83,100.2564,89.2307333333,147.6924,154.102666667,100.512666667,181.0256,123.205066667,134.358933333,41.7948666667
182.21,187.083333333,167.5,257.916666667,270.416666667,192.083333333,329.166666667,231.666666667,232.5,99.5833333332
182.59,168.333333333,158.055533333,208.333333333,207.5,157.500066667,247.5,188.194366667,191.389,112.500066667
182.97,154.747533333,146.262666667,184.4444,174.343333333,145.050466667,210.100933333,172.929333333,164.848533333,122.424266667
183.35,173.541666666,173.333333333,206.458333333,187.083333333,176.666666667,232.708333333,192.5,187.708333333,146.875
183.73,198.333333333,191.6668,211.904666667,220.476333333,196.4286,249.762,208.571466667,204.761866667,159.5238
184.11,259.4444,244.166533333,264.7222,266.111133334,249.4444,298.888866667,271.666666667,256.111066667,214.999933333
184.49,314.2858,298.412733334,310.476133333,307.936533333,313.9682,359.682533333,339.3651,309.2064,266.032
184.87,383.921666667,368.235266667,370.588266667,357.254933333,370.980333333,428.2354,419.411666667,382.352933333,329.803933333
185.25,338.412666667,325.0794,315.238133333,313.333333334,335.5556,385.396866667,385.714266667,365.3968,286.6666
185.63,346.0316,335.873,331.4286,339.0476,345.396666667,395.872933333,408.412733333,376.507866667,299.0476
186.01,184.166666667,185.166666667,182.833333333,188.666666667,185.333333333,209.333333333,217.0,195.833333333,173.166666667
186.39,130.9878,128.642,133.2098,135.185266667,133.950533333,153.703666667,151.234566667,142.716,127.160533333
186.77,120.9676,120.537666667,123.763466667,128.4946,131.075266667,146.774266667,147.150466667,135.591333333,121.827933333
