wavelength,Back_OrcAbef,Belly_OrcAbef,Breast_OrcAbef,Crissum_OrcAbef,Crown_OrcAbef,DorTail_OrcAbef,Patch10_OrcAbef,Patch11_OrcAbef,Rump_OrcAbef,Throat_OrcAbef,WingTip_OrcAbef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,62.2038077602,67.8743888889,78.7438888889,67.633,62.0772222222,74.8792222222,91.0629444444,70.5314444444,75.3622222222,88.1642777779,90.8215555554
179.16,35.4387125221,30.5555555556,45.8333333333,28.4722222222,34.7222222222,32.9861111111,58.5069444445,25.6944444444,42.3611111111,39.7569444444,49.3055555556
179.54,78.5184462082,64.0741111111,82.222111111,66.6665555555,90.3703888889,87.4073888889,107.777666667,79.2593333333,96.2963333335,78.5183888889,146.666777778
179.93,50.7193333333,32.1636666667,57.31,45.0291111111,47.0760555556,56.1402777778,68.4209444444,57.8946666667,52.0466666667,52.9240555556,57.8947777778
180.31,45.5011957672,41.2036111111,61.1112222222,49.1665555555,56.3887777778,66.5277222222,79.5371666667,54.6296666667,60.6482222222,46.7129444444,78.7963333333
180.69,42.6398853615,39.6940555556,55.9581111111,45.8937777778,54.1463888889,64.0899444445,72.8662777778,51.9323333333,56.6022222222,45.2898333333,74.8791111111
181.07,25.8256014109,22.0693333333,42.8134444445,34.5566666667,42.4056666667,52.3956111111,68.6033333333,41.7941111111,46.3812222222,25.8408888889,68.7055555556
181.45,18.0618306878,14.6117777778,38.6604444445,37.8996666667,42.6177777778,61.4915555555,76.6361111111,47.4884444444,45.5098888889,16.9711111111,81.2785555554
181.83,5.1483968254,4.08488888887,28.5947777778,26.7973333333,31.6993333333,50.7353333333,63.0717777778,35.9476666667,32.0262222222,2.77783333333,63.3985555556
182.21,2.7462610229,-1.36050000001,29.0251111111,38.0951111111,44.5577777777,66.7800555555,75.9639444446,44.898,40.8163333333,1.13366666667,91.8365555556
182.59,-28.7574479719,-22.5308333333,15.7406666667,20.9876666666,28.0863888889,55.7097777778,84.8766111112,35.1852222222,30.5556666667,-28.0864444446,109.876666667
182.97,-42.0362980599,-32.3755555557,23.7547777778,36.0153333333,33.907888889,82.3755000001,116.858166667,43.2948888889,42.1455555556,-7.088111111,164.750777778
183.35,-45.2134038802,-46.6666666668,28.4444444444,52.4444444445,24.8888888889,102.666666667,129.111111111,43.1111111111,51.5555555554,6.66666666667,176.888888889
183.73,-64.8285343914,-81.1964444446,17.949,29.487111111,-11.5383888889,67.0939999999,121.794777778,10.2563333333,24.7864444445,-36.9659444443,146.581111111
184.11,-45.4964285714,-81.6090555556,24.5211111111,25.6703333333,-9.387,57.0881666666,106.321944445,8.42922222222,9.19544444457,-40.0383333333,120.306666667
184.49,-1.59841975307,-31.25,38.1944444444,45.3703333333,15.9721666667,67.7084444446,94.5600555556,29.1666666667,29.861,-9.49055555557,98.3793333334
184.87,-18.7929294533,-70.3705555556,29.321,41.9752222222,-2.46905555553,59.7221111111,107.098777778,24.6914444445,20.6791111111,-34.7222222221,107.715888889
185.25,18.557335097,-14.8775555556,45.1978888889,54.0488888889,26.3651666667,66.8548888889,84.8397222223,40.678,36.1581111111,9.9812222222,96.0449999999
185.63,22.3538447972,-3.4136111111,44.8461111111,48.4604444444,25.3012222222,54.8862222222,69.0762222222,37.4831111111,38.2864444444,13.9225555556,77.9115555556
186.01,15.6756366843,-20.0292222222,36.4035555556,47.0761111111,16.7397222222,55.8478888888,70.0291111111,31.579,28.5086666667,1.02344444443,69.006
186.39,14.0716772487,-8.41416666667,33.6568888889,41.1004444444,12.082,48.1122222222,60.8955,22.33,19.8487777778,3.99133333334,49.7301111111
186.77,15.8351922399,-4.16655555556,32.4404444445,39.7816666667,13.5912222222,48.8094444445,53.4722222222,20.1387777778,18.254,5.50594444443,45.8335555555
187.15,5.95784656084,-10.4048333333,19.4916666667,28.437,2.21277777777,34.9812222222,39.8776111111,10.9227777778,4.89644444447,-8.80411111113,29.7553333333
187.53,3.31441093474,-13.1226666667,15.0383333333,25.9578888889,-2.44255555554,31.6571111111,36.2546111111,8.23744444443,-1.05377777777,-12.8832222222,33.1416666667
187.91,2.79450617283,-12.3168888889,11.6278888889,22.5666666666,-2.06727777778,25.6242777778,28.2083333333,6.97655555554,-0.516666666667,-7.27816666667,28.7683333333
188.29,4.46644973545,-6.59005555556,15.8622222222,25.6705555556,3.40983333335,25.0573333333,29.3871111111,10.3447777778,8.27577777777,-2.03066666668,30.4214444444
188.67,4.51019223984,-6.63766666666,13.8527777778,24.6754444444,1.40694444443,18.4704444444,22.4387222222,7.72022222223,5.33922222223,-3.0663888889,27.2725555555
189.05,1.83149382714,-9.11677777778,14.8861111111,23.7891111111,-2.95577777779,14.9216111111,17.8062222222,1.42433333333,2.9202222222,-9.68672222223,24.8575555556
189.43,-6.9196472663,-18.451,8.75922222224,16.6258888889,-11.8817222222,8.06961111113,8.43466666667,-7.78600000003,-3.9741111111,-20.0325555556,17.3561111111
189.81,-8.07260493827,-16.4407777778,11.924,20.6865555555,-10.0721666667,9.982,7.54288888887,-5.78122222223,-5.96211111113,-20.0088888889,15.6277777778
