wavelength,Back_OreFram,Belly_OreFram,Breast_OreFram,Crissum_OreFram,Crown_OreFram,DorTail_OreFram,Patch10_OreFram,Rump_OreFram,Throat_OreFram,WingTip_OreFram
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,93.7500000001,78.125,66.6666666667,43.7500000001,88.5416666666,73.6111111111,80.2083333332,72.9166666666,86.4583333334,48.9583333333
179.16,111.666666667,138.333333333,73.3333333333,80.8333333334,116.666666666,96.6203703701,108.333333333,100.833333333,130.0,88.3333333334
179.54,495.833333333,533.333333334,202.083333333,254.166666667,337.5,309.953703704,437.5,450.0,550.0,370.833333334
179.93,21.6666666666,86.6666666666,-20.0,63.3333333332,-26.6666666666,5.18518518518,28.3333333333,23.3333333333,59.9999999999,18.3333333334
180.31,98.3333333331,110.9375,53.6979166667,70.6250000001,85.5208333334,71.9907407408,97.0833333334,96.2500000001,115.3125,80.8333333334
180.69,102.235833333,118.0895,58.0285833334,70.2234999999,90.9553333333,72.9279768519,99.7969166666,97.8658333334,120.223583333,84.1463333332
181.07,107.489416667,128.481,57.9113333333,75.7383333333,94.0928333333,75.5624444444,105.696166667,103.269833333,126.47675,91.5610833333
181.45,130.737833333,158.469833333,66.7350833332,90.5739166667,107.240416666,86.8396759259,123.360666667,124.043666667,152.73225,112.705166667
181.83,127.638916667,152.222333333,61.8749999999,86.5277499999,99.7221666666,83.7113101852,113.055666667,114.027833333,147.222166666,107.361083333
182.21,152.891166667,174.999833333,61.90475,82.6529166667,115.47625,92.4130092594,129.421666667,128.40125,167.006833333,116.326583333
182.59,341.666583333,400.438666667,96.0525416666,115.350916667,234.210583333,174.902601852,242.10525,250.4385,364.47375,206.140583333
182.97,639.814916667,753.70375,157.407416667,169.444416667,410.185083333,296.965199074,383.333416667,432.407416667,684.259333334,347.222166667
183.35,-862.500083333,-1005.55566667,-37.5,-74.9999166675,-477.77775,-335.648037037,-374.999916667,-499.999916667,-859.722250002,-348.61125
