wavelength,Back_OryMaxf,Belly_OryMaxf,Breast_OryMaxf,Crissum_OryMaxf,Crown_OryMaxf,DorTail_OryMaxf,Rump_OryMaxf,Throat_OryMaxf,WingTip_OryMaxf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-225.0,-50.0,-158.333333334,-258.333333334,-500.0,-191.666666667,-491.666666666,-308.333333334,-404.166666666
179.16,-83.3333333333,-83.3333333335,-14.5833333333,-112.5,-137.5,-16.6666666667,-145.833333333,-54.1666666667,-135.416666667
179.54,-566.666666667,-666.666666667,-308.333333334,-766.666666669,-700.0,-300.0,-916.666666667,-600.0,-725.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-2794.4445,-1783.3335,-1827.77783333,-2466.66666666,-3066.6665,-2150.0,-4033.33333333,-3638.889,-3269.4445
180.69,4666.66666666,3041.66666666,3045.83333334,4125.0,5033.33333334,3741.66666666,6791.66666666,6025.0,5533.33333334
181.07,1996.66666666,1373.33333333,1343.33333334,1836.66666666,2056.66666666,1693.33333334,2790.0,2630.0,2328.33333334
181.45,1442.85733334,985.714166666,974.999916665,1314.28583333,1454.762,1283.33333333,2007.14266666,1928.57166667,1705.95233333
181.83,-1441.66666667,-863.888666665,-912.5,-1372.22233333,-1483.33333334,-1422.22233334,-2158.33333334,-2044.4445,-1898.61091666
182.21,-7733.33333334,-4616.66666667,-4925.0,-8016.66666667,-8949.99999999,-8250.0,-12333.3333334,-12016.6666667,-11050.0
182.59,707.575833333,425.757666667,509.8485,787.878666667,860.606,809.091,1206.06066667,1130.30316666,1044.697
182.97,724.242333333,465.151666667,603.03025,812.121,840.909,810.606,1203.03033333,1115.1515,1060.606
183.35,486.904833333,315.476,423.214416667,620.238166667,602.380833333,598.809666666,896.4285,827.381,780.952416667
183.73,483.333333333,341.0255,445.512833333,665.3845,644.871666667,642.307666667,880.769,788.4615,873.717916667
184.11,2208.33333334,1591.66666667,1987.5,3550.0,3375.0,3550.0,4816.66666666,4116.66666666,4912.5
184.49,416.6665,263.888833333,472.222416666,997.222166665,966.666833333,916.666666666,1369.4445,1025.0,1441.66666666
184.87,406.666666667,293.333333333,551.666666667,1233.33333334,1156.66666667,1086.66666666,1486.66666667,1176.66666667,1696.66666666
185.25,325.0,162.5,527.083333333,1212.5,1283.33333333,1095.83333333,1729.16666667,1016.66666667,1950.0
185.63,94.4443333331,54.8610000002,135.069333333,231.25,256.25,198.610833333,329.861166667,201.388833333,356.597166667
186.01,96.1903333333,71.4285,144.762083333,177.142833333,208.571166667,149.0475,258.095333333,180.9525,265.476166667
