wavelength,Back_OryMaxm,Belly_OryMaxm,Breast_OryMaxm,Crissum_OryMaxm,Crown_OryMaxm,DorTail_OryMaxm,Rump_OryMaxm,Throat_OryMaxm,WingTip_OryMaxm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-225.0,-508.333333334,-433.333333333,-233.333333333,-275.0,-283.333333333,-250.0,-375.0,-325.0
179.16,-145.833333333,-112.5,-120.833333333,-12.5,-158.333333333,-129.166666667,-75.0000000001,-4.16666666665,-137.5
179.54,-849.999999999,-1166.66666666,-866.666666665,-683.333333334,-950.000000001,-666.666666667,-600.0,-916.666666667,-666.666666667
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-3405.5555,-3716.66666666,-3405.55566666,-2299.99983333,-3338.88916667,-2416.66666667,-2594.4445,-2544.4445,-3333.3335
180.69,5683.33333334,6058.33333334,5616.66666666,3666.66666667,5400.0,4191.66666666,4283.33333333,4000.0,5641.66666667
181.07,2406.66666666,2476.66666667,2323.33333333,1660.0,2383.33333334,1830.0,1820.0,1656.66666666,2393.33333334
181.45,1740.47633333,1804.76183334,1683.33333334,1311.905,1709.52383333,1323.8095,1285.71416667,1223.8095,1771.4285
181.83,-1808.33333333,-1944.44466667,-1763.88883334,-1305.55566666,-1741.6665,-1322.22233333,-1288.889,-1216.66666666,-1922.22233333
182.21,-9850.00000001,-11600.0,-9899.99999999,-7283.33333334,-10316.6666666,-7383.33333334,-6616.66666666,-6750.0,-10933.3333333
182.59,919.696833335,1113.63616667,916.666499999,703.030333333,990.909166666,769.697,636.363666667,650.0,1018.18166667
182.97,919.697,1090.90916667,919.696999998,706.0605,1036.36366667,821.212,653.030333334,684.8485,934.848333332
183.35,676.190333333,805.952666667,647.619,492.857333334,763.095333333,655.952333334,445.238,504.761833333,695.238166667
183.73,716.666833333,835.8975,656.410333333,543.589833333,769.230833333,683.333333333,448.718,520.512833333,712.820666666
184.11,3741.66666666,4658.33333334,3433.33333334,2891.66666666,4291.66666667,3708.33333334,2250.0,2400.0,3791.66666667
184.49,930.555499998,1344.4445,908.333333335,797.222333333,1230.5555,1069.44433333,538.889,550.0,1075.0
184.87,1050.0,1590.0,956.666666669,1053.33333334,1456.66666667,1236.66666666,636.666666667,623.333333333,1233.33333333
185.25,1162.5,1737.5,891.666666669,987.499999999,1512.5,1312.5,637.5,462.5,1304.16666667
185.63,218.0555,335.4165,166.666666667,181.249833333,309.027833333,255.555333333,140.972333333,110.416666666,231.25
186.01,176.190333334,243.3335,138.5715,157.619166667,247.142666667,210.952333333,131.428666667,95.2381666667,186.666666667
186.39,182.432333333,226.576333333,130.6305,159.008833333,237.837833333,211.261333334,136.036,93.2431666665,195.946
186.77,174.206333333,219.4445,140.079333333,164.682666667,236.111166666,209.523833333,151.1905,116.666666667,200.397
187.15,156.837666667,199.145333333,120.512833333,143.1625,224.786333334,192.3075,133.3335,89.7438333333,204.700666667
187.53,152.174166667,181.521666667,106.521833334,138.405833333,198.1885,159.7825,117.7535,78.9855,186.594166666
187.91,118.954333334,145.7515,73.5293333335,95.7515000002,161.438166666,129.411666667,89.2156666667,48.3661666667,138.562
188.29,98.5291666666,103.431333333,59.0685,84.5589999999,120.097833334,96.8136666668,70.8333333333,44.3628333333,107.843166667
188.67,84.7368333334,78.9473333333,48.2456666667,70.877,98.5966666665,83.1578333335,68.2456666666,48.5963333334,87.8945000002
189.05,73.4195,70.546,43.6781666667,62.069,89.799,72.9883333333,58.1896666666,43.678,73.7068333334
189.43,68.31,68.5445,44.9531666666,61.8545,81.2206666667,72.5351666666,54.6948333333,47.1831666667,67.9576666669
189.81,64.5976666666,58.8505,38.0458333334,51.494,68.8503333333,66.3216666667,50.2296666667,38.3908333334,60.46
190.19,60.6358333334,52.5221666666,34.6491666667,45.6138333334,61.2938333334,62.1711666667,45.9431666667,32.0175,54.057
190.57,60.6895,50.2296666667,34.8275,47.1263333333,60.1151666667,65.7471666667,50.6896666667,29.3103333334,51.839
190.95,55.918,42.6326666667,26.087,40.7006666667,52.5363333334,60.0243333333,44.3235,17.3911666667,41.425
